Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,869206405,1781712373.418550318,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,869206405,1781712373.418550318,1,OK,0.9531715,0.1154637,-0.1171321,0.2537958,17.143,59.834,-1632.431,0.3449826,3,OK,17.359,59.502,-1632.492,OK,34.079,-31.417,-1656.452,OK,-58.784,18.821,-1657.772,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,869206405,1781712373.418550318,1,OK,0.6319687,-0.5368085,-0.2531021,0.4983889,-227.237,24.142,-1678.163,0.5466882,3,OK,-227.227,24.409,-1678.521,OK,-277.802,-34.033,-1740.549,OK,-262.334,-60.475,-1657.671
3,Port 0x01: JJH Probe  s/n:3E4C880C,869206408,1781712373.468550318,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,869206408,1781712373.468550318,1,OK,0.9532553,0.1155067,-0.1163824,0.2538063,17.251,59.843,-1632.473,0.3402348,3,OK,17.460,59.512,-1632.535,OK,34.169,-31.418,-1656.492,OK,-58.701,18.813,-1657.688,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,869206408,1781712373.468550318,1,OK,0.6320511,-0.5367653,-0.2532173,0.4982724,-227.147,24.132,-1678.151,0.5432304,3,OK,-227.123,24.411,-1678.484,OK,-277.727,-34.034,-1740.603,OK,-262.248,-60.484,-1657.677
3,Port 0x01: JJH Probe  s/n:3E4C880C,869206411,1781712373.518550318,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,869206411,1781712373.518550318,1,OK,0.9532469,0.1156140,-0.1164228,0.2537705,17.200,59.837,-1632.466,0.3439247,3,OK,17.403,59.496,-1632.531,OK,34.119,-31.415,-1656.503,OK,-58.753,18.825,-1657.688,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,869206411,1781712373.518550318,1,OK,0.6321167,-0.5366283,-0.2534315,0.4982280,-227.209,24.137,-1678.099,0.5171455,3,OK,-227.178,24.421,-1678.419,OK,-277.770,-34.033,-1740.554,OK,-262.304,-60.478,-1657.714
3,Port 0x01: JJH Probe  s/n:3E4C880C,869206414,1781712373.568550318,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,869206414,1781712373.568550318,1,OK,0.9531631,0.1156261,-0.1170394,0.2537960,17.137,59.838,-1632.439,0.3458516,3,OK,17.355,59.507,-1632.499,OK,34.074,-31.406,-1656.489,OK,-58.796,18.826,-1657.772,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,869206414,1781712373.568550318,1,OK,0.6320596,-0.5367247,-0.2532128,0.4983077,-227.232,24.141,-1678.114,0.5391668,3,OK,-227.217,24.412,-1678.461,OK,-277.801,-34.020,-1740.531,OK,-262.333,-60.476,-1657.660
3,Port 0x01: JJH Probe  s/n:3E4C880C,869206417,1781712373.618550318,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,869206417,1781712373.618550318,1,OK,0.9531941,0.1157579,-0.1168355,0.2537137,17.227,59.820,-1632.444,0.3448681,3,OK,17.441,59.487,-1632.505,OK,34.144,-31.422,-1656.517,OK,-58.720,18.821,-1657.746,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,869206417,1781712373.618550318,1,OK,0.6318873,-0.5368959,-0.2529767,0.4984616,-227.164,24.133,-1678.181,0.5636052,3,OK,-227.166,24.392,-1678.562,OK,-277.721,-34.043,-1740.528,OK,-262.263,-60.491,-1657.644
3,Port 0x01: JJH Probe  s/n:3E4C880C,869206420,1781712373.668550318,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,869206420,1781712373.668550318,1,OK,0.9532396,0.1153288,-0.1167446,0.2537801,17.191,59.850,-1632.487,0.3476488,3,OK,17.402,59.509,-1632.551,OK,34.111,-31.408,-1656.477,OK,-58.748,18.829,-1657.755,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,869206420,1781712373.668550318,1,OK,0.6319904,-0.5367613,-0.2530603,0.4984335,-227.201,24.145,-1678.165,0.5513514,3,OK,-227.189,24.420,-1678.526,OK,-277.774,-34.030,-1740.538,OK,-262.298,-60.481,-1657.670
3,Port 0x01: JJH Probe  s/n:3E4C880C,869206423,1781712373.718550318,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,869206423,1781712373.718550318,1,OK,0.9532322,0.1155027,-0.1166778,0.2537592,17.172,59.842,-1632.486,0.3441222,3,OK,17.381,59.505,-1632.549,OK,34.092,-31.413,-1656.507,OK,-58.773,18.830,-1657.749,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,869206423,1781712373.718550318,1,OK,0.6319674,-0.5368430,-0.2531153,0.4983467,-227.216,24.135,-1678.149,0.5502176,3,OK,-227.205,24.402,-1678.501,OK,-277.785,-34.037,-1740.557,OK,-262.316,-60.481,-1657.645
3,Port 0x01: JJH Probe  s/n:3E4C880C,869206426,1781712373.768550318,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,869206426,1781712373.768550318,1,OK,0.9531654,0.1157668,-0.1170347,0.2537255,17.202,59.822,-1632.458,0.3430636,3,OK,17.423,59.498,-1632.516,OK,34.125,-31.420,-1656.537,OK,-58.738,18.820,-1657.797,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,869206426,1781712373.768550318,1,OK,0.6320525,-0.5366748,-0.2532334,0.4983600,-227.195,24.126,-1678.161,0.5343543,3,OK,-227.175,24.403,-1678.501,OK,-277.764,-34.045,-1740.576,OK,-262.284,-60.493,-1657.715
3,Port 0x01: JJH Probe  s/n:3E4C880C,869206429,1781712373.818550318,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,869206429,1781712373.818550318,1,OK,0.9532668,0.1153800,-0.1164581,0.2537861,17.191,59.851,-1632.516,0.3431644,3,OK,17.390,59.507,-1632.583,OK,34.107,-31.411,-1656.510,OK,-58.752,18.831,-1657.734,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,869206429,1781712373.818550318,1,OK,0.6320842,-0.5366316,-0.2533646,0.4982995,-227.207,24.133,-1678.095,0.5185529,3,OK,-227.187,24.408,-1678.435,OK,-277.757,-34.038,-1740.503,OK,-262.301,-60.483,-1657.709
3,Port 0x01: JJH Probe  s/n:3E4C880C,869206432,1781712373.868550318,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,869206432,1781712373.868550318,1,OK,0.9532497,0.1152351,-0.1167955,0.2537611,17.193,59.856,-1632.512,0.3448877,3,OK,17.401,59.517,-1632.575,OK,34.108,-31.408,-1656.486,OK,-58.743,18.838,-1657.783,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,869206432,1781712373.868550318,1,OK,0.6319864,-0.5368147,-0.2529581,0.4984328,-227.189,24.141,-1678.162,0.5472549,3,OK,-227.189,24.403,-1678.539,OK,-277.758,-34.029,-1740.485,OK,-262.301,-60.471,-1657.672
