Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,869163253,1781711654.218571695,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,869163253,1781711654.218571695,1,OK,0.9280461,0.2199827,-0.1280356,0.2719283,44.994,77.019,-1649.817,0.3832441,3,OK,45.249,76.683,-1649.967,OK,67.238,-5.909,-1692.336,OK,-28.737,36.744,-1681.927,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,869163253,1781711654.218571695,1,OK,0.6435455,-0.4988345,-0.2174038,0.5382833,-211.220,21.559,-1664.773,0.5292081,3,OK,-211.211,21.868,-1665.065,OK,-268.467,-37.465,-1720.391,OK,-241.657,-63.797,-1640.344
3,Port 0x01: JJH Probe  s/n:3E4C880C,869163256,1781711654.268571695,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,869163256,1781711654.268571695,1,OK,0.9281190,0.2196981,-0.1279207,0.2719637,45.046,77.043,-1649.848,0.3959588,3,OK,45.304,76.692,-1650.005,OK,67.282,-5.896,-1692.308,OK,-28.686,36.747,-1681.929,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,869163256,1781711654.268571695,1,OK,0.6436172,-0.4987983,-0.2174535,0.5382110,-211.155,21.565,-1664.750,0.5139418,3,OK,-211.149,21.873,-1665.045,OK,-268.393,-37.450,-1720.351,OK,-241.615,-63.784,-1640.371
3,Port 0x01: JJH Probe  s/n:3E4C880C,869163259,1781711654.318571695,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,869163259,1781711654.318571695,1,OK,0.9281333,0.2197091,-0.1277718,0.2719759,45.075,77.034,-1649.888,0.3880621,3,OK,45.326,76.688,-1650.044,OK,67.314,-5.917,-1692.353,OK,-28.664,36.734,-1681.943,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,869163259,1781711654.318571695,1,OK,0.6435615,-0.4988476,-0.2172535,0.5383127,-211.127,21.554,-1664.769,0.5254855,3,OK,-211.125,21.863,-1665.074,OK,-268.377,-37.469,-1720.333,OK,-241.582,-63.796,-1640.339
3,Port 0x01: JJH Probe  s/n:3E4C880C,869163262,1781711654.368571695,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,869163262,1781711654.368571695,1,OK,0.9281056,0.2197095,-0.1279894,0.2719677,45.007,77.044,-1649.860,0.3923869,3,OK,45.263,76.696,-1650.016,OK,67.257,-5.900,-1692.325,OK,-28.729,36.756,-1681.951,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,869163262,1781711654.368571695,1,OK,0.6436076,-0.4987884,-0.2172607,0.5383096,-211.186,21.558,-1664.759,0.5218533,3,OK,-211.186,21.864,-1665.065,OK,-268.438,-37.457,-1720.320,OK,-241.642,-63.792,-1640.343
3,Port 0x01: JJH Probe  s/n:3E4C880C,869163265,1781711654.418571695,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,869163265,1781711654.418571695,1,OK,0.9281407,0.2196142,-0.1279119,0.2719612,45.041,77.036,-1649.890,0.3953452,3,OK,45.294,76.682,-1650.049,OK,67.279,-5.912,-1692.335,OK,-28.692,36.742,-1681.963,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,869163265,1781711654.418571695,1,OK,0.6434413,-0.4990336,-0.2170842,0.5383523,-211.161,21.560,-1664.827,0.5487377,3,OK,-211.168,21.863,-1665.145,OK,-268.416,-37.468,-1720.380,OK,-241.613,-63.792,-1640.313
3,Port 0x01: JJH Probe  s/n:3E4C880C,869163268,1781711654.468571695,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,869163268,1781711654.468571695,1,OK,0.9280571,0.2199571,-0.1279357,0.2719582,45.055,77.033,-1649.876,0.3844007,3,OK,45.311,76.695,-1650.026,OK,67.306,-5.900,-1692.389,OK,-28.685,36.751,-1681.969,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,869163268,1781711654.468571695,1,OK,0.6435921,-0.4988335,-0.2172055,0.5383086,-211.143,21.557,-1664.797,0.5350536,3,OK,-211.148,21.864,-1665.114,OK,-268.395,-37.450,-1720.351,OK,-241.604,-63.800,-1640.356
3,Port 0x01: JJH Probe  s/n:3E4C880C,869163271,1781711654.518571695,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,869163271,1781711654.518571695,1,OK,0.9280824,0.2200176,-0.1276884,0.2719395,45.037,77.023,-1649.849,0.3805176,3,OK,45.285,76.686,-1650.001,OK,67.267,-5.909,-1692.372,OK,-28.704,36.735,-1681.902,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,869163271,1781711654.518571695,1,OK,0.6435393,-0.4988656,-0.2170811,0.5383920,-211.169,21.561,-1664.809,0.5425578,3,OK,-211.179,21.867,-1665.134,OK,-268.424,-37.454,-1720.333,OK,-241.625,-63.799,-1640.334
3,Port 0x01: JJH Probe  s/n:3E4C880C,869163274,1781711654.568571695,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,869163274,1781711654.568571695,1,OK,0.9280994,0.2199335,-0.1277162,0.2719364,45.065,77.037,-1649.827,0.3864441,3,OK,45.310,76.688,-1649.986,OK,67.302,-5.899,-1692.333,OK,-28.680,36.755,-1681.878,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,869163274,1781711654.568571695,1,OK,0.6435752,-0.4989244,-0.2170085,0.5383241,-211.141,21.583,-1664.789,0.5458268,3,OK,-211.149,21.887,-1665.112,OK,-268.413,-37.422,-1720.324,OK,-241.610,-63.768,-1640.297
3,Port 0x01: JJH Probe  s/n:3E4C880C,869163277,1781711654.618571695,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,869163277,1781711654.618571695,1,OK,0.9279736,0.2202243,-0.1281361,0.2719327,45.134,76.985,-1649.811,0.3702626,3,OK,45.385,76.665,-1649.953,OK,67.387,-5.933,-1692.380,OK,-28.590,36.720,-1681.949,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,869163277,1781711654.618571695,1,OK,0.6436544,-0.4987340,-0.2167378,0.5385148,-211.085,21.556,-1664.775,0.5417519,3,OK,-211.105,21.852,-1665.113,OK,-268.380,-37.443,-1720.226,OK,-241.547,-63.792,-1640.275
3,Port 0x01: JJH Probe  s/n:3E4C880C,869163280,1781711654.668571695,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,869163280,1781711654.668571695,1,OK,0.9280488,0.2199110,-0.1279197,0.2720314,45.182,76.971,-1649.827,0.3874689,3,OK,45.431,76.625,-1649.984,OK,67.434,-5.953,-1692.327,OK,-28.534,36.675,-1681.916,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,869163280,1781711654.668571695,1,OK,0.6436010,-0.4985668,-0.2172108,0.5385429,-211.029,21.466,-1664.707,0.5328066,3,OK,-211.031,21.767,-1665.011,OK,-268.300,-37.554,-1720.272,OK,-241.431,-63.902,-1640.259
