Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,869167735,1781711728.918581367,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,869167735,1781711728.918581367,1,OK,0.9575368,0.0993643,-0.1071036,0.2485535,35.543,56.502,-1634.059,0.3550018,3,OK,35.754,56.150,-1634.115,OK,50.927,-35.756,-1655.027,OK,-41.258,15.677,-1656.938,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,869167735,1781711728.918581367,1,OK,0.6504365,-0.4736339,-0.1944397,0.5610672,-217.712,20.541,-1658.645,0.5824822,3,OK,-217.693,20.892,-1658.906,OK,-278.841,-38.831,-1709.775,OK,-245.166,-65.254,-1632.145
3,Port 0x01: JJH Probe  s/n:3E4C880C,869167738,1781711728.968581367,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,869167738,1781711728.968581367,1,OK,0.9575360,0.0995374,-0.1069534,0.2485520,35.576,56.501,-1634.040,0.3479597,3,OK,35.783,56.156,-1634.094,OK,50.959,-35.760,-1655.039,OK,-41.229,15.677,-1656.899,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,869167738,1781711728.968581367,1,OK,0.6504839,-0.4735069,-0.1944362,0.5611207,-217.683,20.544,-1658.637,0.5608500,3,OK,-217.669,20.886,-1658.900,OK,-278.802,-38.828,-1709.732,OK,-245.136,-65.243,-1632.176
3,Port 0x01: JJH Probe  s/n:3E4C880C,869167741,1781711729.018581368,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,869167741,1781711729.018581368,1,OK,0.9574625,0.0998749,-0.1072219,0.2485842,35.524,56.499,-1634.020,0.3424728,3,OK,35.740,56.171,-1634.069,OK,50.928,-35.755,-1655.089,OK,-41.279,15.679,-1656.943,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,869167741,1781711729.018581368,1,OK,0.6504774,-0.4735268,-0.1944542,0.5611052,-217.736,20.547,-1658.650,0.5658481,3,OK,-217.716,20.900,-1658.912,OK,-278.856,-38.829,-1709.752,OK,-245.193,-65.247,-1632.189
3,Port 0x01: JJH Probe  s/n:3E4C880C,869167744,1781711729.068581368,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,869167744,1781711729.068581368,1,OK,0.9574951,0.0994964,-0.1073605,0.2485506,35.537,56.501,-1634.029,0.3472064,3,OK,35.754,56.167,-1634.078,OK,50.932,-35.763,-1655.028,OK,-41.265,15.681,-1656.959,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,869167744,1781711729.068581368,1,OK,0.6505445,-0.4734314,-0.1944054,0.5611248,-217.713,20.538,-1658.635,0.5592153,3,OK,-217.698,20.885,-1658.901,OK,-278.838,-38.826,-1709.717,OK,-245.174,-65.254,-1632.188
3,Port 0x01: JJH Probe  s/n:3E4C880C,869167747,1781711729.118581367,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,869167747,1781711729.118581367,1,OK,0.9574883,0.0995209,-0.1072972,0.2485940,35.548,56.500,-1634.010,0.3539173,3,OK,35.766,56.156,-1634.062,OK,50.946,-35.752,-1655.010,OK,-41.250,15.671,-1656.931,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,869167747,1781711729.118581367,1,OK,0.6504863,-0.4734873,-0.1945034,0.5611111,-217.709,20.546,-1658.656,0.5617705,3,OK,-217.686,20.895,-1658.911,OK,-278.831,-38.832,-1709.771,OK,-245.158,-65.245,-1632.204
3,Port 0x01: JJH Probe  s/n:3E4C880C,869167750,1781711729.168581367,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,869167750,1781711729.168581367,1,OK,0.9574977,0.0998009,-0.1071268,0.2485190,35.566,56.497,-1633.997,0.3452851,3,OK,35.780,56.163,-1634.047,OK,50.950,-35.755,-1655.050,OK,-41.240,15.684,-1656.898,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,869167750,1781711729.168581367,1,OK,0.6503999,-0.4735404,-0.1942431,0.5612567,-217.702,20.554,-1658.682,0.5696563,3,OK,-217.696,20.898,-1658.959,OK,-278.820,-38.831,-1709.724,OK,-245.145,-65.239,-1632.175
3,Port 0x01: JJH Probe  s/n:3E4C880C,869167753,1781711729.218581367,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,869167753,1781711729.218581367,1,OK,0.9574802,0.0995727,-0.1073996,0.2485603,35.530,56.499,-1634.000,0.3544320,3,OK,35.753,56.159,-1634.050,OK,50.923,-35.750,-1655.012,OK,-41.268,15.675,-1656.941,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,869167753,1781711729.218581367,1,OK,0.6503560,-0.4737290,-0.1943850,0.5610992,-217.719,20.552,-1658.641,0.5881695,3,OK,-217.703,20.901,-1658.906,OK,-278.843,-38.830,-1709.760,OK,-245.168,-65.241,-1632.111
3,Port 0x01: JJH Probe  s/n:3E4C880C,869167756,1781711729.268581368,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,869167756,1781711729.268581368,1,OK,0.9574993,0.0997400,-0.1070683,0.2485629,35.546,56.500,-1633.973,0.3447814,3,OK,35.761,56.167,-1634.023,OK,50.937,-35.756,-1655.013,OK,-41.261,15.676,-1656.864,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,869167756,1781711729.268581368,1,OK,0.6504398,-0.4735867,-0.1941700,0.5611966,-217.698,20.544,-1658.647,0.5758950,3,OK,-217.692,20.889,-1658.926,OK,-278.831,-38.829,-1709.691,OK,-245.157,-65.246,-1632.125
3,Port 0x01: JJH Probe  s/n:3E4C880C,869167759,1781711729.318581368,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,869167759,1781711729.318581368,1,OK,0.9574779,0.0996507,-0.1073561,0.2485566,35.561,56.500,-1634.014,0.3463999,3,OK,35.783,56.172,-1634.062,OK,50.956,-35.758,-1655.043,OK,-41.242,15.678,-1656.952,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,869167759,1781711729.318581368,1,OK,0.6504741,-0.4735043,-0.1943540,0.5611628,-217.689,20.555,-1658.620,0.5583556,3,OK,-217.672,20.906,-1658.887,OK,-278.809,-38.827,-1709.684,OK,-245.149,-65.234,-1632.158
3,Port 0x01: JJH Probe  s/n:3E4C880C,869167762,1781711729.368581367,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,869167762,1781711729.368581367,1,OK,0.9575652,0.0991803,-0.1069772,0.2485721,35.538,56.514,-1634.096,0.3571753,3,OK,35.756,56.165,-1634.149,OK,50.922,-35.754,-1655.026,OK,-41.276,15.676,-1656.947,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,869167762,1781711729.368581367,1,OK,0.6504099,-0.4736518,-0.1942628,0.5611443,-217.721,20.549,-1658.647,0.5746942,3,OK,-217.708,20.894,-1658.915,OK,-278.852,-38.832,-1709.723,OK,-245.177,-65.236,-1632.129
