Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,869018815,1781709246.918572792,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,869018815,1781709246.918572792,1,OK,0.9564426,0.0616666,-0.1000658,0.2672107,38.293,56.613,-1624.467,0.4394329,3,OK,38.577,56.195,-1624.495,OK,56.519,-36.397,-1637.896,OK,-37.041,11.773,-1644.649,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,869018815,1781709246.918572792,1,OK,0.6510248,-0.4724563,-0.1951039,0.5611472,-217.485,20.367,-1658.776,0.5174800,3,OK,-217.455,20.700,-1659.003,OK,-278.619,-38.937,-1709.984,OK,-244.886,-65.455,-1632.567
3,Port 0x01: JJH Probe  s/n:3E4C880C,869018818,1781709246.968572792,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,869018818,1781709246.968572792,1,OK,0.9564517,0.0610361,-0.1002961,0.2672368,38.287,56.601,-1624.364,0.4383412,3,OK,38.569,56.183,-1624.391,OK,56.517,-36.428,-1637.677,OK,-37.039,11.750,-1644.556,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,869018818,1781709246.968572792,1,OK,0.6510403,-0.4724168,-0.1950685,0.5611748,-217.491,20.366,-1658.734,0.5144985,3,OK,-217.469,20.689,-1658.966,OK,-278.624,-38.930,-1709.931,OK,-244.887,-65.453,-1632.523
3,Port 0x01: JJH Probe  s/n:3E4C880C,869018821,1781709247.018572792,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,869018821,1781709247.018572792,1,OK,0.9565191,0.0608515,-0.0996124,0.2672931,38.288,56.583,-1624.362,0.4344405,3,OK,38.561,56.162,-1624.391,OK,56.515,-36.457,-1637.628,OK,-37.052,11.714,-1644.427,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,869018821,1781709247.018572792,1,OK,0.6510412,-0.4724735,-0.1950199,0.5611429,-217.511,20.369,-1658.777,0.5212862,3,OK,-217.482,20.702,-1659.005,OK,-278.659,-38.931,-1709.981,OK,-244.916,-65.449,-1632.551
3,Port 0x01: JJH Probe  s/n:3E4C880C,869018824,1781709247.068572792,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,869018824,1781709247.068572792,1,OK,0.9564032,0.0611027,-0.1004034,0.2673548,38.291,56.563,-1624.254,0.4367745,3,OK,38.575,56.149,-1624.281,OK,56.546,-36.461,-1637.580,OK,-37.020,11.694,-1644.469,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,869018824,1781709247.068572792,1,OK,0.6510382,-0.4725124,-0.1948116,0.5611860,-217.461,20.359,-1658.793,0.5189351,3,OK,-217.450,20.681,-1659.041,OK,-278.605,-38.931,-1709.932,OK,-244.880,-65.453,-1632.542
3,Port 0x01: JJH Probe  s/n:3E4C880C,869018827,1781709247.118572792,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,869018827,1781709247.118572792,1,OK,0.9564623,0.0611932,-0.0998649,0.2673241,38.266,56.593,-1624.330,0.4387080,3,OK,38.545,56.171,-1624.358,OK,56.507,-36.430,-1637.663,OK,-37.065,11.726,-1644.455,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,869018827,1781709247.118572792,1,OK,0.6509608,-0.4725216,-0.1949317,0.5612263,-217.512,20.386,-1658.779,0.5268346,3,OK,-217.493,20.717,-1659.022,OK,-278.645,-38.922,-1709.947,OK,-244.911,-65.439,-1632.526
3,Port 0x01: JJH Probe  s/n:3E4C880C,869018830,1781709247.168572792,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,869018830,1781709247.168572792,1,OK,0.9564868,0.0609570,-0.0999243,0.2672684,38.282,56.604,-1624.399,0.4388150,3,OK,38.561,56.181,-1624.427,OK,56.511,-36.428,-1637.690,OK,-37.053,11.743,-1644.523,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,869018830,1781709247.168572792,1,OK,0.6510906,-0.4724031,-0.1949365,0.5611739,-217.483,20.374,-1658.749,0.5088450,3,OK,-217.461,20.701,-1658.984,OK,-278.631,-38.920,-1709.915,OK,-244.897,-65.438,-1632.539
3,Port 0x01: JJH Probe  s/n:3E4C880C,869018833,1781709247.218572792,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,869018833,1781709247.218572792,1,OK,0.9564493,0.0613156,-0.1000891,0.2672588,38.295,56.588,-1624.360,0.4380120,3,OK,38.573,56.167,-1624.389,OK,56.527,-36.431,-1637.722,OK,-37.030,11.738,-1644.529,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,869018833,1781709247.218572792,1,OK,0.6510202,-0.4725325,-0.1947470,0.5612124,-217.462,20.374,-1658.792,0.5295672,3,OK,-217.446,20.706,-1659.043,OK,-278.614,-38.920,-1709.926,OK,-244.881,-65.446,-1632.520
3,Port 0x01: JJH Probe  s/n:3E4C880C,869018836,1781709247.268572792,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,869018836,1781709247.268572792,1,OK,0.9564783,0.0609834,-0.0999948,0.2672663,38.258,56.611,-1624.365,0.4408199,3,OK,38.545,56.193,-1624.391,OK,56.489,-36.419,-1637.662,OK,-37.081,11.748,-1644.505,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,869018836,1781709247.268572792,1,OK,0.6509835,-0.4725329,-0.1947037,0.5612697,-217.520,20.378,-1658.846,0.5266195,3,OK,-217.512,20.705,-1659.104,OK,-278.662,-38.921,-1709.954,OK,-244.934,-65.441,-1632.568
3,Port 0x01: JJH Probe  s/n:3E4C880C,869018839,1781709247.318572792,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,869018839,1781709247.318572792,1,OK,0.9565415,0.0607386,-0.0996386,0.2672288,38.301,56.602,-1624.443,0.4392389,3,OK,38.575,56.174,-1624.474,OK,56.516,-36.438,-1637.689,OK,-37.044,11.744,-1644.507,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,869018839,1781709247.318572792,1,OK,0.6509860,-0.4724915,-0.1947744,0.5612771,-217.482,20.369,-1658.815,0.5178872,3,OK,-217.472,20.697,-1659.071,OK,-278.614,-38.936,-1709.923,OK,-244.895,-65.451,-1632.564
3,Port 0x01: JJH Probe  s/n:3E4C880C,869018842,1781709247.368572792,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,869018842,1781709247.368572792,1,OK,0.9564677,0.0609455,-0.1000943,0.2672758,38.296,56.593,-1624.324,0.4408269,3,OK,38.576,56.168,-1624.353,OK,56.532,-36.437,-1637.615,OK,-37.036,11.734,-1644.478,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,869018842,1781709247.368572792,1,OK,0.6509287,-0.4726003,-0.1947398,0.5612640,-217.477,20.372,-1658.775,0.5333887,3,OK,-217.469,20.696,-1659.031,OK,-278.615,-38.932,-1709.904,OK,-244.881,-65.448,-1632.479
3,Port 0x01: JJH Probe  s/n:3E4C880C,869018845,1781709247.418572792,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,869018845,1781709247.418572792,1,OK,0.9565640,0.0601495,-0.0995137,0.2673281,38.272,56.601,-1624.355,0.4454875,3,OK,38.552,56.169,-1624.384,OK,56.494,-36.448,-1637.485,OK,-37.076,11.709,-1644.372,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,869018845,1781709247.418572792,1,OK,0.6510859,-0.4723805,-0.1950024,0.5611754,-217.520,20.375,-1658.777,0.5103809,3,OK,-217.497,20.708,-1659.016,OK,-278.655,-38.919,-1709.943,OK,-244.934,-65.448,-1632.582
3,Port 0x01: JJH Probe  s/n:3E4C880C,869018848,1781709247.468572792,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,869018848,1781709247.468572792,1,OK,0.9565395,0.0604364,-0.0995941,0.2673213,38.306,56.578,-1624.322,0.4370568,3,OK,38.582,56.156,-1624.350,OK,56.533,-36.471,-1637.509,OK,-37.034,11.695,-1644.366,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,869018848,1781709247.468572792,1,OK,0.6510800,-0.4724064,-0.1948446,0.5612153,-217.472,20.364,-1658.746,0.5086871,3,OK,-217.457,20.687,-1658.990,OK,-278.616,-38.928,-1709.879,OK,-244.888,-65.448,-1632.524
3,Port 0x01: JJH Probe  s/n:3E4C880C,869018851,1781709247.518572792,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,869018851,1781709247.518572792,1,OK,0.9565429,0.0604104,-0.0995818,0.2673197,38.289,56.587,-1624.318,0.4405751,3,OK,38.560,56.154,-1624.349,OK,56.514,-36.457,-1637.499,OK,-37.045,11.707,-1644.357,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,869018851,1781709247.518572792,1,OK,0.6509847,-0.4724684,-0.1947990,0.5612894,-217.493,20.373,-1658.793,0.5252858,3,OK,-217.482,20.702,-1659.048,OK,-278.628,-38.930,-1709.916,OK,-244.897,-65.454,-1632.534
3,Port 0x01: JJH Probe  s/n:3E4C880C,869018854,1781709247.568572792,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,869018854,1781709247.568572792,1,OK,0.9565376,0.0601668,-0.0998526,0.2672923,38.282,56.596,-1624.386,0.4473671,3,OK,38.557,56.156,-1624.418,OK,56.506,-36.448,-1637.525,OK,-37.053,11.722,-1644.461,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,869018854,1781709247.568572792,1,OK,0.6510273,-0.4724329,-0.1947460,0.5612884,-217.486,20.379,-1658.786,0.5197431,3,OK,-217.476,20.708,-1659.043,OK,-278.626,-38.919,-1709.892,OK,-244.898,-65.444,-1632.536
