Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,867811555,1781689125.918729535,1,OK,0.6812916,0.2995153,0.3581917,0.5637650,-98.576,107.123,-1611.089,0.1681098,3,OK,-111.217,-13.225,-1594.723,OK,-122.313,-113.899,-1579.234,OK,-112.811,-155.995,-1593.464,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,867811555,1781689125.918729535,1,OK,0.9616286,0.1126936,-0.1051134,0.2269840,9.522,38.597,-1632.110,0.3190911,3,OK,9.697,38.274,-1632.172,OK,20.863,-53.605,-1655.911,OK,-69.180,1.543,-1654.874,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,867811555,1781689125.918729535,1,OK,0.6317403,-0.1236391,0.1093896,0.7573978,-224.869,-5.990,-1552.623,0.5044653,3,OK,-224.767,-5.334,-1552.841,OK,-294.081,-74.778,-1532.795,OK,-208.949,-93.090,-1522.141
3,Port 0x01: JJH Probe  s/n:3E4C880C,867811558,1781689125.968729535,1,OK,0.6809570,0.3000054,0.3587608,0.5635469,-98.627,107.117,-1611.226,0.1610587,3,OK,-111.232,-13.219,-1594.848,OK,-122.296,-113.914,-1579.345,OK,-112.813,-156.013,-1593.596,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,867811558,1781689125.968729535,1,OK,0.9615972,0.1124092,-0.1055834,0.2270398,9.509,38.601,-1632.074,0.3230416,3,OK,9.694,38.281,-1632.133,OK,20.861,-53.602,-1655.831,OK,-69.173,1.532,-1654.911,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,867811558,1781689125.968729535,1,OK,0.6318130,-0.1237306,0.1089830,0.7573809,-224.852,-5.980,-1552.579,0.5027238,3,OK,-224.752,-5.326,-1552.797,OK,-294.082,-74.773,-1532.835,OK,-208.947,-93.096,-1522.131
3,Port 0x01: JJH Probe  s/n:3E4C880C,867811561,1781689126.018729535,1,OK,0.6811431,0.2996570,0.3584938,0.5636772,-98.579,107.116,-1611.248,0.1659276,3,OK,-111.197,-13.230,-1594.853,OK,-122.254,-113.909,-1579.366,OK,-112.776,-155.999,-1593.568,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,867811561,1781689126.018729535,1,OK,0.9615882,0.1128141,-0.1053045,0.2270066,9.536,38.599,-1632.105,0.3195696,3,OK,9.721,38.283,-1632.163,OK,20.874,-53.587,-1655.933,OK,-69.152,1.536,-1654.910,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,867811561,1781689126.018729535,1,OK,0.6316313,-0.1243687,0.1092481,0.7573897,-224.843,-5.997,-1552.663,0.5145732,3,OK,-224.749,-5.330,-1552.886,OK,-294.070,-74.785,-1532.875,OK,-208.910,-93.087,-1522.089
3,Port 0x01: JJH Probe  s/n:3E4C880C,867811564,1781689126.068729535,1,OK,0.6802871,0.3009834,0.3600216,0.5630302,-98.628,107.121,-1611.223,0.1694029,3,OK,-111.160,-13.230,-1594.792,OK,-122.160,-113.906,-1579.241,OK,-112.721,-156.000,-1593.528,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,867811564,1781689126.068729535,1,OK,0.9615471,0.1127520,-0.1057358,0.2270112,9.491,38.595,-1632.027,0.3187846,3,OK,9.683,38.287,-1632.082,OK,20.845,-53.597,-1655.854,OK,-69.193,1.538,-1654.906,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,867811564,1781689126.068729535,1,OK,0.6317035,-0.1241148,0.1092292,0.7573739,-224.873,-5.991,-1552.633,0.5081579,3,OK,-224.777,-5.331,-1552.853,OK,-294.099,-74.776,-1532.845,OK,-208.953,-93.086,-1522.100
3,Port 0x01: JJH Probe  s/n:3E4C880C,867811567,1781689126.118729535,1,OK,0.6804229,0.3005547,0.3601294,0.5630261,-98.586,107.100,-1611.368,0.1683028,3,OK,-111.100,-13.234,-1594.847,OK,-122.081,-113.913,-1579.226,OK,-112.633,-156.008,-1593.468,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,867811567,1781689126.118729535,1,OK,0.9616281,0.1126386,-0.1051617,0.2269909,9.509,38.608,-1632.068,0.3185399,3,OK,9.688,38.289,-1632.129,OK,20.843,-53.593,-1655.861,OK,-69.188,1.546,-1654.841,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,867811567,1781689126.118729535,1,OK,0.6317183,-0.1237711,0.1094624,0.7573841,-224.876,-5.996,-1552.636,0.5102912,3,OK,-224.775,-5.333,-1552.857,OK,-294.092,-74.780,-1532.796,OK,-208.953,-93.094,-1522.125
3,Port 0x01: JJH Probe  s/n:3E4C880C,867811570,1781689126.168729535,1,OK,0.6797934,0.3015756,0.3608536,0.5627769,-98.598,107.111,-1611.303,0.1688774,3,OK,-111.054,-13.234,-1594.848,OK,-122.006,-113.923,-1579.244,OK,-112.566,-156.022,-1593.585,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,867811570,1781689126.168729535,1,OK,0.9615063,0.1131107,-0.1058452,0.2269547,9.525,38.573,-1631.986,0.3166485,3,OK,9.713,38.265,-1632.042,OK,20.876,-53.601,-1655.883,OK,-69.153,1.538,-1654.895,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,867811570,1781689126.168729535,1,OK,0.6317570,-0.1236254,0.1093941,0.7573855,-224.846,-5.996,-1552.647,0.5045852,3,OK,-224.744,-5.339,-1552.865,OK,-294.062,-74.781,-1532.818,OK,-208.929,-93.096,-1522.166
3,Port 0x01: JJH Probe  s/n:3E4C880C,867811573,1781689126.218729535,1,OK,0.6797961,0.3012707,0.3607564,0.5629991,-98.555,107.129,-1611.110,0.1710022,3,OK,-110.971,-13.232,-1594.637,OK,-121.863,-113.911,-1579.059,OK,-112.425,-155.994,-1593.344,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,867811573,1781689126.218729535,1,OK,0.9616115,0.1124104,-0.1055358,0.2270009,9.528,38.603,-1632.092,0.3317609,3,OK,9.714,38.271,-1632.154,OK,20.875,-53.592,-1655.847,OK,-69.164,1.544,-1654.921,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,867811573,1781689126.218729535,1,OK,0.6317583,-0.1237783,0.1090645,0.7574069,-224.844,-5.981,-1552.593,0.5022254,3,OK,-224.743,-5.329,-1552.810,OK,-294.074,-74.777,-1532.832,OK,-208.921,-93.089,-1522.129
3,Port 0x01: JJH Probe  s/n:3E4C880C,867811576,1781689126.268729535,1,OK,0.6795951,0.3013354,0.3606899,0.5632498,-98.593,107.119,-1611.040,0.1617405,3,OK,-110.952,-13.250,-1594.622,OK,-121.796,-113.938,-1579.091,OK,-112.336,-156.033,-1593.398,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,867811576,1781689126.268729535,1,OK,0.9615994,0.1127175,-0.1054170,0.2269550,9.498,38.581,-1632.036,0.3202518,3,OK,9.678,38.261,-1632.096,OK,20.833,-53.611,-1655.849,OK,-69.192,1.532,-1654.854,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,867811576,1781689126.268729535,1,OK,0.6318050,-0.1237396,0.1089615,0.7573892,-224.875,-5.983,-1552.563,0.5033032,3,OK,-224.771,-5.329,-1552.780,OK,-294.109,-74.784,-1532.821,OK,-208.969,-93.096,-1522.117
3,Port 0x01: JJH Probe  s/n:3E4C880C,867811579,1781689126.318729535,1,OK,0.6794281,0.3011204,0.3619761,0.5627408,-98.544,107.087,-1611.369,0.1711942,3,OK,-110.818,-13.251,-1594.688,OK,-121.592,-113.932,-1578.929,OK,-112.140,-156.020,-1593.172,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,867811579,1781689126.318729535,1,OK,0.9615834,0.1127832,-0.1054223,0.2269877,9.540,38.574,-1632.023,0.3192394,3,OK,9.736,38.268,-1632.077,OK,20.875,-53.617,-1655.849,OK,-69.155,1.508,-1654.850,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,867811579,1781689126.318729535,1,OK,0.6317491,-0.1241302,0.1092584,0.7573291,-224.836,-6.001,-1552.637,0.5112876,3,OK,-224.739,-5.337,-1552.858,OK,-294.071,-74.777,-1532.846,OK,-208.929,-93.099,-1522.098
3,Port 0x01: JJH Probe  s/n:3E4C880C,867811582,1781689126.368729537,1,OK,0.6783429,0.3026607,0.3635813,0.5621887,-98.664,107.110,-1611.264,0.1792031,3,OK,-110.807,-13.243,-1594.599,OK,-121.507,-113.922,-1578.784,OK,-112.062,-156.023,-1593.174,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,867811582,1781689126.368729537,1,OK,0.9616171,0.1125903,-0.1052923,0.2270011,9.541,38.587,-1632.063,0.3199591,3,OK,9.725,38.270,-1632.122,OK,20.882,-53.615,-1655.850,OK,-69.156,1.524,-1654.857,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,867811582,1781689126.368729537,1,OK,0.6317395,-0.1238167,0.1093095,0.7573810,-224.850,-5.990,-1552.635,0.5052682,3,OK,-224.754,-5.334,-1552.853,OK,-294.074,-74.771,-1532.828,OK,-208.925,-93.093,-1522.135
