Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,867825043,1781689350.718698465,1,OK,0.5226988,0.4401658,0.2983723,0.6663438,-109.962,126.442,-1622.711,0.2450797,3,OK,-101.674,9.864,-1658.234,OK,-94.881,-88.425,-1686.424,OK,-81.798,-118.219,-1717.769,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,867825043,1781689350.718698465,1,OK,0.9614310,0.1124159,-0.1057115,0.2276801,10.014,38.303,-1631.979,0.3271230,3,OK,10.207,37.983,-1632.036,OK,21.491,-53.881,-1655.728,OK,-68.615,1.128,-1654.851,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,867825043,1781689350.718698465,1,OK,0.6314832,-0.1221820,0.1097926,0.7577903,-224.294,-5.973,-1552.769,0.5035470,3,OK,-224.184,-5.318,-1552.985,OK,-293.434,-74.824,-1532.827,OK,-208.239,-93.096,-1522.444
3,Port 0x01: JJH Probe  s/n:3E4C880C,867825046,1781689350.768698465,1,OK,0.5267856,0.4378667,0.2953920,0.6659679,-109.844,126.326,-1622.618,0.2381165,3,OK,-102.097,9.637,-1657.794,OK,-95.750,-88.789,-1685.751,OK,-82.638,-118.769,-1716.886,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,867825046,1781689350.768698465,1,OK,0.9614106,0.1126185,-0.1057100,0.2276666,10.037,38.281,-1631.987,0.3200091,3,OK,10.228,37.970,-1632.043,OK,21.517,-53.904,-1655.777,OK,-68.593,1.115,-1654.866,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,867825046,1781689350.768698465,1,OK,0.6314921,-0.1224370,0.1096918,0.7577563,-224.261,-5.989,-1552.761,0.5088571,3,OK,-224.149,-5.327,-1552.980,OK,-293.413,-74.840,-1532.843,OK,-208.216,-93.111,-1522.411
3,Port 0x01: JJH Probe  s/n:3E4C880C,867825049,1781689350.818698465,1,OK,0.5316243,0.4345680,0.2918137,0.6658611,-109.996,126.368,-1622.689,0.2320436,3,OK,-102.767,9.496,-1657.442,OK,-96.894,-89.024,-1685.002,OK,-83.658,-119.213,-1715.939,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,867825049,1781689350.818698465,1,OK,0.9614959,0.1123168,-0.1052414,0.2276728,10.033,38.291,-1632.057,0.3262962,3,OK,10.219,37.967,-1632.117,OK,21.494,-53.901,-1655.778,OK,-68.607,1.108,-1654.843,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,867825049,1781689350.818698465,1,OK,0.6314635,-0.1223977,0.1100857,0.7577293,-224.285,-5.995,-1552.803,0.5032060,3,OK,-224.177,-5.340,-1553.020,OK,-293.428,-74.823,-1532.809,OK,-208.232,-93.099,-1522.414
3,Port 0x01: JJH Probe  s/n:3E4C880C,867825052,1781689350.868698466,1,OK,0.5344942,0.4319314,0.2891643,0.6664348,-110.230,126.518,-1622.677,0.2120338,3,OK,-103.171,9.582,-1657.198,OK,-97.465,-89.012,-1684.552,OK,-84.069,-119.318,-1715.371,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,867825052,1781689350.868698466,1,OK,0.9614140,0.1126725,-0.1056480,0.2276543,10.001,38.309,-1632.037,0.3279306,3,OK,10.202,37.995,-1632.093,OK,21.478,-53.867,-1655.834,OK,-68.643,1.141,-1654.911,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,867825052,1781689350.868698466,1,OK,0.6314647,-0.1223950,0.1098418,0.7577642,-224.302,-5.979,-1552.770,0.5021368,3,OK,-224.198,-5.327,-1552.987,OK,-293.447,-74.818,-1532.825,OK,-208.244,-93.095,-1522.409
3,Port 0x01: JJH Probe  s/n:3E4C880C,867825055,1781689350.918698465,1,OK,0.5363906,0.4303062,0.2865579,0.6670879,-110.248,126.529,-1622.585,0.2319134,3,OK,-103.334,9.597,-1657.104,OK,-97.729,-89.023,-1684.524,OK,-84.264,-119.342,-1715.192,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,867825055,1781689350.918698465,1,OK,0.9614679,0.1123948,-0.1054137,0.2276726,10.030,38.311,-1632.031,0.3267245,3,OK,10.220,37.989,-1632.090,OK,21.500,-53.878,-1655.770,OK,-68.610,1.134,-1654.850,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,867825055,1781689350.918698465,1,OK,0.6315147,-0.1223951,0.1095154,0.7577698,-224.259,-5.976,-1552.726,0.4905724,3,OK,-224.157,-5.339,-1552.937,OK,-293.412,-74.821,-1532.846,OK,-208.211,-93.097,-1522.405
3,Port 0x01: JJH Probe  s/n:3E4C880C,867825058,1781689350.968698465,1,OK,0.5362741,0.4299669,0.2869974,0.6672114,-110.365,126.588,-1622.712,0.2249479,3,OK,-103.347,9.615,-1657.148,OK,-97.667,-88.982,-1684.464,OK,-84.161,-119.334,-1715.138,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,867825058,1781689350.968698465,1,OK,0.9614167,0.1125461,-0.1057110,0.2276762,10.021,38.322,-1632.066,0.3243670,3,OK,10.216,38.008,-1632.122,OK,21.502,-53.861,-1655.841,OK,-68.612,1.152,-1654.944,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,867825058,1781689350.968698465,1,OK,0.6314706,-0.1224387,0.1097353,0.7577676,-224.267,-5.975,-1552.767,0.4946732,3,OK,-224.166,-5.333,-1552.980,OK,-293.415,-74.813,-1532.845,OK,-208.209,-93.089,-1522.413
3,Port 0x01: JJH Probe  s/n:3E4C880C,867825061,1781689351.018698465,1,OK,0.5362690,0.4291725,0.2863497,0.6680048,-110.330,126.583,-1622.573,0.2118957,3,OK,-103.141,9.647,-1657.042,OK,-97.321,-88.949,-1684.390,OK,-83.711,-119.289,-1715.061,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,867825061,1781689351.018698465,1,OK,0.9613976,0.1126885,-0.1057801,0.2276545,10.014,38.314,-1632.043,0.3218913,3,OK,10.208,38.003,-1632.099,OK,21.492,-53.863,-1655.847,OK,-68.616,1.151,-1654.938,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,867825061,1781689351.018698465,1,OK,0.6314714,-0.1225598,0.1097569,0.7577443,-224.274,-5.981,-1552.791,0.4993064,3,OK,-224.171,-5.332,-1553.006,OK,-293.423,-74.818,-1532.865,OK,-208.226,-93.092,-1522.417
3,Port 0x01: JJH Probe  s/n:3E4C880C,867825064,1781689351.068698465,1,OK,0.5370084,0.4276454,0.2854589,0.6687709,-110.558,126.680,-1622.609,0.2191795,3,OK,-103.235,9.719,-1656.974,OK,-97.306,-88.896,-1684.240,OK,-83.579,-119.246,-1714.823,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,867825064,1781689351.068698465,1,OK,0.9614397,0.1126378,-0.1054961,0.2276333,9.998,38.338,-1632.083,0.3282948,3,OK,10.191,38.017,-1632.142,OK,21.467,-53.839,-1655.869,OK,-68.646,1.174,-1654.926,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,867825064,1781689351.068698465,1,OK,0.6315160,-0.1221589,0.1097686,0.7577702,-224.293,-5.966,-1552.777,0.4977862,3,OK,-224.185,-5.319,-1552.991,OK,-293.433,-74.809,-1532.842,OK,-208.245,-93.089,-1522.459
3,Port 0x01: JJH Probe  s/n:3E4C880C,867825067,1781689351.118698466,1,OK,0.5376007,0.4271526,0.2844189,0.6690532,-110.686,126.731,-1622.577,0.2361935,3,OK,-103.415,9.796,-1656.975,OK,-97.510,-88.848,-1684.322,OK,-83.772,-119.173,-1714.831,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,867825067,1781689351.118698466,1,OK,0.9614667,0.1124335,-0.1055142,0.2276120,10.020,38.343,-1632.104,0.3311257,3,OK,10.220,38.023,-1632.161,OK,21.481,-53.842,-1655.853,OK,-68.630,1.174,-1654.943,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,867825067,1781689351.118698466,1,OK,0.6315118,-0.1221575,0.1098542,0.7577615,-224.276,-5.968,-1552.772,0.4948891,3,OK,-224.173,-5.324,-1552.985,OK,-293.417,-74.802,-1532.822,OK,-208.223,-93.087,-1522.445
3,Port 0x01: JJH Probe  s/n:3E4C880C,867825070,1781689351.168698465,1,OK,0.5382960,0.4270674,0.2839126,0.6687634,-110.854,126.812,-1622.650,0.2412857,3,OK,-103.740,9.829,-1657.036,OK,-97.986,-88.784,-1684.330,OK,-84.262,-119.134,-1714.842,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,867825070,1781689351.168698465,1,OK,0.9614368,0.1127049,-0.1055018,0.2276099,10.034,38.344,-1632.083,0.3296732,3,OK,10.232,38.025,-1632.140,OK,21.502,-53.832,-1655.882,OK,-68.619,1.185,-1654.930,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,867825070,1781689351.168698465,1,OK,0.6314928,-0.1222268,0.1098384,0.7577684,-224.256,-5.977,-1552.773,0.5022302,3,OK,-224.147,-5.324,-1552.989,OK,-293.400,-74.819,-1532.825,OK,-208.201,-93.097,-1522.437
3,Port 0x01: JJH Probe  s/n:3E4C880C,867825073,1781689351.218698465,1,OK,0.5390767,0.4262679,0.2825624,0.6692164,-110.905,126.841,-1622.594,0.2541689,3,OK,-103.822,9.853,-1657.023,OK,-98.098,-88.736,-1684.353,OK,-84.318,-119.077,-1714.818,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,867825073,1781689351.218698465,1,OK,0.9614357,0.1124563,-0.1057826,0.2276073,10.000,38.358,-1632.086,0.3277069,3,OK,10.201,38.044,-1632.141,OK,21.461,-53.824,-1655.846,OK,-68.635,1.191,-1654.973,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,867825073,1781689351.218698465,1,OK,0.6315225,-0.1221938,0.1096305,0.7577791,-224.284,-5.958,-1552.754,0.4947831,3,OK,-224.176,-5.315,-1552.966,OK,-293.437,-74.805,-1532.848,OK,-208.228,-93.083,-1522.448
