Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,930779740,1782738595.668658100,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,930779740,1782738595.668658100,1,OK,0.8304578,0.0133839,-0.2495644,0.4978738,13.041,-89.039,-1573.768,0.1932167,3,OK,13.101,-89.232,-1573.801,OK,74.755,-162.409,-1568.175,OK,-20.912,-162.554,-1612.078,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,930779740,1782738595.668658100,1,OK,0.6585378,0.0960669,0.1290987,0.7351412,-209.061,-105.097,-1537.610,0.5075974,3,OK,-208.871,-104.418,-1537.718,OK,-278.384,-171.312,-1510.434,OK,-198.498,-198.042,-1534.875
3,Port 0x01: JJH Probe  s/n:3E4C880C,930779743,1782738595.718658101,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,930779743,1782738595.718658101,1,OK,0.8303394,0.0138420,-0.2500370,0.4978216,13.036,-89.041,-1573.723,0.1902620,3,OK,13.115,-89.232,-1573.746,OK,74.765,-162.388,-1568.194,OK,-20.903,-162.532,-1612.152,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,930779743,1782738595.718658101,1,OK,0.6585721,0.0961728,0.1290300,0.7351087,-209.064,-105.090,-1537.603,0.5133164,3,OK,-208.870,-104.403,-1537.712,OK,-278.393,-171.307,-1510.437,OK,-198.518,-198.038,-1534.887
3,Port 0x01: JJH Probe  s/n:3E4C880C,930779746,1782738595.768658101,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,930779746,1782738595.768658101,1,OK,0.8305070,0.0136522,-0.2494556,0.4978389,13.047,-89.061,-1573.813,0.2035035,3,OK,13.105,-89.265,-1573.849,OK,74.758,-162.428,-1568.277,OK,-20.913,-162.556,-1612.126,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,930779746,1782738595.768658101,1,OK,0.6585561,0.0965324,0.1290654,0.7350697,-209.060,-105.103,-1537.592,0.5148204,3,OK,-208.868,-104.414,-1537.700,OK,-278.385,-171.321,-1510.411,OK,-198.517,-198.059,-1534.922
3,Port 0x01: JJH Probe  s/n:3E4C880C,930779749,1782738595.818658101,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,930779749,1782738595.818658101,1,OK,0.8304229,0.0140988,-0.2499009,0.4977435,13.027,-89.038,-1574.002,0.1981035,3,OK,13.093,-89.247,-1574.036,OK,74.758,-162.397,-1568.528,OK,-20.928,-162.493,-1612.426,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,930779749,1782738595.818658101,1,OK,0.6585452,0.0960307,0.1291080,0.7351377,-209.073,-105.102,-1537.617,0.5161253,3,OK,-208.877,-104.412,-1537.727,OK,-278.401,-171.323,-1510.437,OK,-198.514,-198.050,-1534.874
3,Port 0x01: JJH Probe  s/n:3E4C880C,930779752,1782738595.868658101,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,930779752,1782738595.868658101,1,OK,0.8306300,0.0158624,-0.2501085,0.4972403,13.036,-88.922,-1574.763,0.2149798,3,OK,13.086,-89.146,-1574.811,OK,74.755,-162.316,-1569.638,OK,-20.965,-162.219,-1613.365,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,930779752,1782738595.868658101,1,OK,0.6585456,0.0964082,0.1294631,0.7350255,-209.066,-105.065,-1537.590,0.5162743,3,OK,-208.871,-104.375,-1537.700,OK,-278.381,-171.269,-1510.333,OK,-198.514,-198.019,-1534.855
3,Port 0x01: JJH Probe  s/n:3E4C880C,930779755,1782738595.918658100,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,930779755,1782738595.918658100,1,OK,0.8306097,0.0174199,-0.2508577,0.4968446,13.066,-88.902,-1575.162,0.2076184,3,OK,13.130,-89.112,-1575.199,OK,74.788,-162.300,-1570.316,OK,-20.948,-162.086,-1614.023,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,930779755,1782738595.918658100,1,OK,0.6585714,0.0962698,0.1290917,0.7350858,-209.045,-105.088,-1537.581,0.5194331,3,OK,-208.852,-104.393,-1537.691,OK,-278.374,-171.304,-1510.401,OK,-198.500,-198.046,-1534.871
3,Port 0x01: JJH Probe  s/n:3E4C880C,930779758,1782738595.968658101,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,930779758,1782738595.968658101,1,OK,0.8305206,0.0165902,-0.2507259,0.4970883,13.055,-88.917,-1574.880,0.2045091,3,OK,13.118,-89.125,-1574.917,OK,74.785,-162.304,-1569.873,OK,-20.929,-162.167,-1613.645,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,930779758,1782738595.968658101,1,OK,0.6585662,0.0958814,0.1291191,0.7351365,-209.064,-105.075,-1537.595,0.5137769,3,OK,-208.872,-104.388,-1537.704,OK,-278.394,-171.286,-1510.416,OK,-198.503,-198.024,-1534.829
3,Port 0x01: JJH Probe  s/n:3E4C880C,930779761,1782738596.018658101,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,930779761,1782738596.018658101,1,OK,0.8304741,0.0144158,-0.2499881,0.4976051,13.063,-88.971,-1574.323,0.1992303,3,OK,13.114,-89.183,-1574.366,OK,74.793,-162.351,-1568.912,OK,-20.901,-162.382,-1612.783,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,930779761,1782738596.018658101,1,OK,0.6585720,0.0957083,0.1291046,0.7351563,-209.062,-105.094,-1537.592,0.5149521,3,OK,-208.868,-104.404,-1537.702,OK,-278.393,-171.307,-1510.421,OK,-198.502,-198.039,-1534.803
3,Port 0x01: JJH Probe  s/n:3E4C880C,930779764,1782738596.068658103,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,930779764,1782738596.068658103,1,OK,0.8304429,0.0140188,-0.2495687,0.4978791,13.062,-89.009,-1573.953,0.1991654,3,OK,13.118,-89.206,-1573.989,OK,74.799,-162.365,-1568.478,OK,-20.880,-162.491,-1612.314,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,930779764,1782738596.068658103,1,OK,0.6585467,0.0961785,0.1290975,0.7351189,-209.063,-105.096,-1537.614,0.5140523,3,OK,-208.872,-104.408,-1537.722,OK,-278.389,-171.312,-1510.434,OK,-198.506,-198.049,-1534.892
3,Port 0x01: JJH Probe  s/n:3E4C880C,930779767,1782738596.118658103,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,930779767,1782738596.118658103,1,OK,0.8304322,0.0129963,-0.2494195,0.4979994,13.057,-89.006,-1573.828,0.1989070,3,OK,13.108,-89.211,-1573.868,OK,74.779,-162.372,-1568.161,OK,-20.880,-162.541,-1612.074,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,930779767,1782738596.118658103,1,OK,0.6585511,0.0959428,0.1293915,0.7350941,-209.083,-105.094,-1537.627,0.5113157,3,OK,-208.893,-104.410,-1537.736,OK,-278.404,-171.293,-1510.395,OK,-198.517,-198.041,-1534.838
