Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,930768739,1782738412.318590131,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,930768739,1782738412.318590131,1,OK,0.8442822,-0.1239238,-0.1896157,0.4856710,1.899,-98.651,-1537.412,0.1568321,3,OK,1.983,-98.824,-1537.365,OK,55.612,-173.032,-1508.964,OK,-39.030,-176.415,-1555.332,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,930768739,1782738412.318590131,1,OK,0.6472220,-0.2817309,-0.2283704,0.6705060,-187.879,-100.918,-1645.585,0.6050547,3,OK,-187.725,-100.273,-1645.496,OK,-247.482,-163.802,-1695.064,OK,-187.359,-194.368,-1637.700
3,Port 0x01: JJH Probe  s/n:3E4C880C,930768742,1782738412.368590131,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,930768742,1782738412.368590131,1,OK,0.8442686,-0.1242353,-0.1894899,0.4856642,1.867,-98.649,-1537.463,0.1531078,3,OK,1.942,-98.825,-1537.421,OK,55.571,-173.027,-1508.960,OK,-39.065,-176.409,-1555.334,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,930768742,1782738412.368590131,1,OK,0.6472013,-0.2817969,-0.2282612,0.6705354,-187.918,-100.914,-1645.609,0.6091883,3,OK,-187.771,-100.267,-1645.526,OK,-247.526,-163.800,-1695.069,OK,-187.395,-194.373,-1637.694
3,Port 0x01: JJH Probe  s/n:3E4C880C,930768745,1782738412.418590131,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,930768745,1782738412.418590131,1,OK,0.8442827,-0.1240677,-0.1895565,0.4856566,1.846,-98.648,-1537.435,0.1550711,3,OK,1.927,-98.821,-1537.390,OK,55.550,-173.030,-1508.964,OK,-39.085,-176.412,-1555.333,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,930768745,1782738412.418590131,1,OK,0.6471932,-0.2817867,-0.2284466,0.6704844,-187.946,-100.924,-1645.589,0.6113195,3,OK,-187.788,-100.280,-1645.496,OK,-247.552,-163.808,-1695.094,OK,-187.416,-194.373,-1637.698
3,Port 0x01: JJH Probe  s/n:3E4C880C,930768748,1782738412.468590131,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,930768748,1782738412.468590131,1,OK,0.8443249,-0.1239607,-0.1894177,0.4856647,1.871,-98.648,-1537.452,0.1569132,3,OK,1.954,-98.819,-1537.406,OK,55.577,-173.032,-1509.006,OK,-39.063,-176.411,-1555.336,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,930768748,1782738412.468590131,1,OK,0.6472097,-0.2817674,-0.2283669,0.6705038,-187.921,-100.914,-1645.589,0.6110492,3,OK,-187.767,-100.264,-1645.500,OK,-247.526,-163.800,-1695.071,OK,-187.399,-194.371,-1637.695
3,Port 0x01: JJH Probe  s/n:3E4C880C,930768751,1782738412.518590131,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,930768751,1782738412.518590131,1,OK,0.8443158,-0.1238870,-0.1895174,0.4856605,1.886,-98.653,-1537.464,0.1601747,3,OK,1.968,-98.832,-1537.419,OK,55.596,-173.037,-1509.028,OK,-39.043,-176.409,-1555.370,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,930768751,1782738412.518590131,1,OK,0.6471871,-0.2818068,-0.2284796,0.6704707,-187.906,-100.917,-1645.585,0.6092479,3,OK,-187.746,-100.275,-1645.489,OK,-247.508,-163.804,-1695.095,OK,-187.379,-194.360,-1637.698
3,Port 0x01: JJH Probe  s/n:3E4C880C,930768754,1782738412.568590131,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,930768754,1782738412.568590131,1,OK,0.8443116,-0.1236728,-0.1897584,0.4856281,1.862,-98.647,-1537.419,0.1635718,3,OK,1.958,-98.822,-1537.367,OK,55.572,-173.033,-1509.018,OK,-39.072,-176.411,-1555.388,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,930768754,1782738412.568590131,1,OK,0.6472514,-0.2814886,-0.2286560,0.6704821,-187.934,-100.924,-1645.567,0.6117390,3,OK,-187.761,-100.265,-1645.460,OK,-247.533,-163.810,-1695.102,OK,-187.405,-194.369,-1637.759
3,Port 0x01: JJH Probe  s/n:3E4C880C,930768757,1782738412.618590131,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,930768757,1782738412.618590131,1,OK,0.8443042,-0.1238319,-0.1896140,0.4856568,1.862,-98.644,-1537.449,0.1556385,3,OK,1.949,-98.812,-1537.401,OK,55.573,-173.032,-1509.021,OK,-39.068,-176.410,-1555.377,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,930768757,1782738412.618590131,1,OK,0.6471321,-0.2820563,-0.2283361,0.6704677,-187.919,-100.910,-1645.630,0.6137598,3,OK,-187.769,-100.277,-1645.544,OK,-247.525,-163.797,-1695.123,OK,-187.389,-194.361,-1637.677
3,Port 0x01: JJH Probe  s/n:3E4C880C,930768760,1782738412.668590131,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,930768760,1782738412.668590131,1,OK,0.8442982,-0.1240372,-0.1895905,0.4856241,1.858,-98.651,-1537.487,0.1571830,3,OK,1.939,-98.831,-1537.443,OK,55.565,-173.034,-1509.018,OK,-39.083,-176.406,-1555.397,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,930768760,1782738412.668590131,1,OK,0.6472053,-0.2817303,-0.2284191,0.6705058,-187.931,-100.920,-1645.581,0.6113696,3,OK,-187.770,-100.274,-1645.485,OK,-247.542,-163.810,-1695.080,OK,-187.402,-194.367,-1637.696
3,Port 0x01: JJH Probe  s/n:3E4C880C,930768763,1782738412.718590131,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,930768763,1782738412.718590131,1,OK,0.8443553,-0.1238489,-0.1894515,0.4856271,1.880,-98.653,-1537.426,0.1649098,3,OK,1.963,-98.839,-1537.380,OK,55.585,-173.039,-1509.001,OK,-39.060,-176.402,-1555.328,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,930768763,1782738412.718590131,1,OK,0.6471716,-0.2818034,-0.2286702,0.6704220,-187.924,-100.924,-1645.570,0.6213967,3,OK,-187.747,-100.267,-1645.461,OK,-247.523,-163.819,-1695.127,OK,-187.394,-194.367,-1637.710
3,Port 0x01: JJH Probe  s/n:3E4C880C,930768766,1782738412.768590131,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,930768766,1782738412.768590131,1,OK,0.8443297,-0.1239872,-0.1894826,0.4856242,1.879,-98.652,-1537.495,0.1574822,3,OK,1.960,-98.829,-1537.451,OK,55.583,-173.039,-1509.042,OK,-39.060,-176.406,-1555.390,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,930768766,1782738412.768590131,1,OK,0.6472184,-0.2818370,-0.2283368,0.6704764,-187.918,-100.921,-1645.626,0.6182831,3,OK,-187.759,-100.274,-1645.532,OK,-247.543,-163.806,-1695.120,OK,-187.394,-194.373,-1637.711
