Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,930911590,1782740793.168676153,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,930911590,1782740793.168676153,1,OK,0.8305749,-0.0983120,-0.2059710,0.5079921,8.557,-90.354,-1545.814,0.1765975,3,OK,8.657,-90.534,-1545.774,OK,66.913,-162.365,-1520.712,OK,-27.199,-169.662,-1567.525,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,930911590,1782740793.168676153,1,OK,0.6017741,0.2521400,0.2791016,0.7045535,-181.945,-107.091,-1496.094,0.5043278,3,OK,-181.710,-106.521,-1496.392,OK,-230.361,-174.830,-1440.939,OK,-168.126,-199.403,-1497.852
3,Port 0x01: JJH Probe  s/n:3E4C880C,930911593,1782740793.218676151,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,930911593,1782740793.218676151,1,OK,0.8305806,-0.0982186,-0.2060383,0.5079737,8.567,-90.351,-1545.810,0.1719247,3,OK,8.664,-90.526,-1545.772,OK,66.928,-162.371,-1520.723,OK,-27.188,-169.654,-1567.541,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,930911593,1782740793.218676151,1,OK,0.6017603,0.2521533,0.2789330,0.7046273,-181.926,-107.082,-1496.067,0.4971846,3,OK,-181.696,-106.515,-1496.359,OK,-230.342,-174.834,-1440.953,OK,-168.110,-199.394,-1497.845
3,Port 0x01: JJH Probe  s/n:3E4C880C,930911596,1782740793.268676158,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,930911596,1782740793.268676158,1,OK,0.8305481,-0.0982617,-0.2061946,0.5079550,8.581,-90.340,-1545.733,0.1698287,3,OK,8.682,-90.510,-1545.692,OK,66.938,-162.359,-1520.632,OK,-27.173,-169.648,-1567.486,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,930911596,1782740793.268676158,1,OK,0.6017161,0.2523328,0.2790146,0.7045685,-181.924,-107.074,-1496.055,0.4939700,3,OK,-181.696,-106.513,-1496.344,OK,-230.329,-174.822,-1440.922,OK,-168.106,-199.389,-1497.855
3,Port 0x01: JJH Probe  s/n:3E4C880C,930911599,1782740793.318676158,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,930911599,1782740793.318676158,1,OK,0.8306293,-0.0981728,-0.2059435,0.5079413,8.576,-90.344,-1545.766,0.1765871,3,OK,8.674,-90.522,-1545.727,OK,66.928,-162.369,-1520.695,OK,-27.186,-169.642,-1567.487,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,930911599,1782740793.318676158,1,OK,0.6018578,0.2522194,0.2786107,0.7046478,-181.898,-107.072,-1496.017,0.4876477,3,OK,-181.672,-106.516,-1496.304,OK,-230.346,-174.832,-1440.963,OK,-168.114,-199.384,-1497.833
3,Port 0x01: JJH Probe  s/n:3E4C880C,930911602,1782740793.368676158,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,930911602,1782740793.368676158,1,OK,0.8306211,-0.0986752,-0.2057324,0.5079429,8.582,-90.338,-1545.810,0.1727589,3,OK,8.669,-90.513,-1545.775,OK,66.914,-162.360,-1520.653,OK,-27.186,-169.643,-1567.448,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,930911602,1782740793.368676158,1,OK,0.6017690,0.2521190,0.2792973,0.7044878,-181.950,-107.097,-1496.139,0.5027320,3,OK,-181.712,-106.535,-1496.439,OK,-230.352,-174.822,-1440.947,OK,-168.129,-199.400,-1497.869
3,Port 0x01: JJH Probe  s/n:3E4C880C,930911605,1782740793.418676158,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,930911605,1782740793.418676158,1,OK,0.8305819,-0.0983358,-0.2060249,0.5079543,8.571,-90.341,-1545.738,0.1778561,3,OK,8.675,-90.518,-1545.696,OK,66.916,-162.355,-1520.634,OK,-27.189,-169.651,-1567.457,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,930911605,1782740793.418676158,1,OK,0.6017894,0.2520533,0.2789254,0.7046413,-181.932,-107.082,-1496.078,0.4987949,3,OK,-181.698,-106.516,-1496.373,OK,-230.354,-174.835,-1440.965,OK,-168.118,-199.387,-1497.838
3,Port 0x01: JJH Probe  s/n:3E4C880C,930911608,1782740793.468676151,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,930911608,1782740793.468676151,1,OK,0.8305566,-0.0986163,-0.2059903,0.5079553,8.595,-90.336,-1545.750,0.1711396,3,OK,8.687,-90.516,-1545.713,OK,66.939,-162.351,-1520.589,OK,-27.166,-169.642,-1567.436,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,930911608,1782740793.468676151,1,OK,0.6017849,0.2522691,0.2789126,0.7045729,-181.905,-107.077,-1496.053,0.4968203,3,OK,-181.673,-106.515,-1496.347,OK,-230.330,-174.827,-1440.935,OK,-168.102,-199.387,-1497.849
3,Port 0x01: JJH Probe  s/n:3E4C880C,930911611,1782740793.518676158,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,930911611,1782740793.518676158,1,OK,0.8305776,-0.0982027,-0.2060833,0.5079634,8.566,-90.325,-1545.671,0.1666599,3,OK,8.664,-90.487,-1545.631,OK,66.924,-162.351,-1520.586,OK,-27.188,-169.637,-1567.411,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,930911611,1782740793.518676158,1,OK,0.6018360,0.2520841,0.2786061,0.7047167,-181.910,-107.071,-1496.008,0.4839740,3,OK,-181.688,-106.516,-1496.292,OK,-230.353,-174.831,-1440.962,OK,-168.110,-199.382,-1497.809
3,Port 0x01: JJH Probe  s/n:3E4C880C,930911614,1782740793.568676158,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,930911614,1782740793.568676158,1,OK,0.8305564,-0.0985733,-0.2059220,0.5079917,8.565,-90.335,-1545.720,0.1770236,3,OK,8.659,-90.522,-1545.683,OK,66.912,-162.342,-1520.571,OK,-27.193,-169.641,-1567.398,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,930911614,1782740793.568676158,1,OK,0.6017974,0.2522585,0.2789465,0.7045526,-181.926,-107.087,-1496.058,0.4936565,3,OK,-181.695,-106.529,-1496.350,OK,-230.348,-174.831,-1440.936,OK,-168.126,-199.396,-1497.845
3,Port 0x01: JJH Probe  s/n:3E4C880C,930911617,1782740793.618676158,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,930911617,1782740793.618676158,1,OK,0.8305899,-0.0983726,-0.2058760,0.5079943,8.562,-90.334,-1545.717,0.1791859,3,OK,8.663,-90.516,-1545.677,OK,66.915,-162.341,-1520.609,OK,-27.199,-169.641,-1567.409,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,930911617,1782740793.618676158,1,OK,0.6017657,0.2524950,0.2787096,0.7045887,-181.914,-107.064,-1495.987,0.4880350,3,OK,-181.693,-106.503,-1496.269,OK,-230.341,-174.823,-1440.911,OK,-168.124,-199.388,-1497.839
3,Port 0x01: JJH Probe  s/n:3E4C880C,930911620,1782740793.668676158,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,930911620,1782740793.668676158,1,OK,0.8305212,-0.0983589,-0.2061497,0.5079985,8.563,-90.340,-1545.704,0.1804985,3,OK,8.669,-90.529,-1545.661,OK,66.922,-162.340,-1520.584,OK,-27.190,-169.647,-1567.441,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,930911620,1782740793.668676158,1,OK,0.6018236,0.2521734,0.2787247,0.7046485,-181.916,-107.076,-1496.025,0.4878259,3,OK,-181.691,-106.518,-1496.311,OK,-230.352,-174.829,-1440.952,OK,-168.118,-199.388,-1497.825
3,Port 0x01: JJH Probe  s/n:3E4C880C,930911623,1782740793.718676151,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,930911623,1782740793.718676151,1,OK,0.8305905,-0.0983098,-0.2059516,0.5079750,8.571,-90.335,-1545.721,0.1757386,3,OK,8.672,-90.508,-1545.680,OK,66.922,-162.349,-1520.624,OK,-27.189,-169.645,-1567.431,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,930911623,1782740793.718676151,1,OK,0.6017776,0.2525958,0.2787648,0.7045206,-181.902,-107.070,-1496.011,0.4950444,3,OK,-181.676,-106.507,-1496.298,OK,-230.337,-174.827,-1440.912,OK,-168.116,-199.397,-1497.874
3,Port 0x01: JJH Probe  s/n:3E4C880C,930911626,1782740793.768676158,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,930911626,1782740793.768676158,1,OK,0.8306029,-0.0987694,-0.2056436,0.5079902,8.584,-90.321,-1545.754,0.1726939,3,OK,8.670,-90.504,-1545.721,OK,66.929,-162.331,-1520.577,OK,-27.189,-169.628,-1567.372,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,930911626,1782740793.768676158,1,OK,0.6018393,0.2521467,0.2786428,0.7046770,-181.900,-107.068,-1496.010,0.4921534,3,OK,-181.671,-106.506,-1496.299,OK,-230.345,-174.832,-1440.950,OK,-168.106,-199.378,-1497.813
3,Port 0x01: JJH Probe  s/n:3E4C880C,930911629,1782740793.818676158,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,930911629,1782740793.818676158,1,OK,0.8305467,-0.0981673,-0.2060971,0.5080151,8.541,-90.327,-1545.693,0.1714965,3,OK,8.643,-90.494,-1545.651,OK,66.906,-162.340,-1520.613,OK,-27.205,-169.642,-1567.437,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,930911629,1782740793.818676158,1,OK,0.6017186,0.2522780,0.2791665,0.7045258,-181.949,-107.083,-1496.076,0.4994464,3,OK,-181.714,-106.523,-1496.373,OK,-230.349,-174.824,-1440.909,OK,-168.127,-199.389,-1497.850
