Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,935982934,1782825315.568613553,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,935982934,1782825315.568613553,1,OK,0.8350673,0.1381193,-0.2954026,0.4430834,6.301,-79.525,-1607.206,0.2967135,3,OK,6.545,-79.777,-1607.248,OK,65.054,-153.037,-1625.502,OK,-32.549,-138.629,-1662.479,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,935982934,1782825315.568613553,1,OK,0.6594663,-0.3206027,-0.2483820,0.6329491,-190.617,-91.559,-1653.257,0.6022518,3,OK,-190.442,-90.979,-1653.159,OK,-249.698,-150.126,-1708.369,OK,-197.465,-184.770,-1645.680
3,Port 0x01: JJH Probe  s/n:3E4C880C,935982937,1782825315.618613553,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,935982937,1782825315.618613553,1,OK,0.8350519,0.1386283,-0.2953546,0.4429855,6.317,-79.530,-1607.133,0.2821798,3,OK,6.554,-79.750,-1607.160,OK,65.065,-153.031,-1625.540,OK,-32.538,-138.607,-1662.439,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,935982937,1782825315.618613553,1,OK,0.6595087,-0.3205086,-0.2483808,0.6329530,-190.594,-91.545,-1653.214,0.6063404,3,OK,-190.414,-90.958,-1653.111,OK,-249.686,-150.110,-1708.328,OK,-197.443,-184.759,-1645.652
3,Port 0x01: JJH Probe  s/n:3E4C880C,935982940,1782825315.668613554,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,935982940,1782825315.668613554,1,OK,0.8351370,0.1383088,-0.2952206,0.4430142,6.303,-79.514,-1607.175,0.2877432,3,OK,6.539,-79.757,-1607.216,OK,65.048,-153.032,-1625.521,OK,-32.571,-138.607,-1662.434,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,935982940,1782825315.668613554,1,OK,0.6594942,-0.3206988,-0.2482451,0.6329250,-190.619,-91.558,-1653.257,0.6107683,3,OK,-190.446,-90.981,-1653.162,OK,-249.724,-150.117,-1708.362,OK,-197.474,-184.773,-1645.642
3,Port 0x01: JJH Probe  s/n:3E4C880C,935982943,1782825315.718613554,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,935982943,1782825315.718613554,1,OK,0.8350990,0.1384351,-0.2952185,0.4430479,6.303,-79.529,-1607.175,0.2879643,3,OK,6.532,-79.775,-1607.221,OK,65.051,-153.035,-1625.545,OK,-32.550,-138.612,-1662.433,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,935982943,1782825315.718613554,1,OK,0.6594617,-0.3208171,-0.2480839,0.6329622,-190.601,-91.550,-1653.283,0.6033397,3,OK,-190.438,-90.976,-1653.198,OK,-249.700,-150.120,-1708.346,OK,-197.466,-184.767,-1645.633
3,Port 0x01: JJH Probe  s/n:3E4C880C,935982946,1782825315.768613553,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,935982946,1782825315.768613553,1,OK,0.8351669,0.1385877,-0.2949448,0.4430545,6.317,-79.508,-1607.145,0.2741480,3,OK,6.534,-79.735,-1607.185,OK,65.061,-153.022,-1625.561,OK,-32.553,-138.601,-1662.375,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,935982946,1782825315.768613553,1,OK,0.6595308,-0.3204949,-0.2484993,0.6328904,-190.621,-91.551,-1653.214,0.6157632,3,OK,-190.429,-90.953,-1653.100,OK,-249.717,-150.113,-1708.361,OK,-197.474,-184.765,-1645.673
3,Port 0x01: JJH Probe  s/n:3E4C880C,935982949,1782825315.818613553,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,935982949,1782825315.818613553,1,OK,0.8350467,0.1384322,-0.2953158,0.4430824,6.295,-79.524,-1607.189,0.2861938,3,OK,6.529,-79.760,-1607.227,OK,65.052,-153.026,-1625.554,OK,-32.548,-138.616,-1662.469,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,935982949,1782825315.818613553,1,OK,0.6594932,-0.3206602,-0.2483542,0.6329028,-190.611,-91.549,-1653.219,0.6117504,3,OK,-190.434,-90.961,-1653.120,OK,-249.703,-150.110,-1708.336,OK,-197.469,-184.769,-1645.631
3,Port 0x01: JJH Probe  s/n:3E4C880C,935982952,1782825315.868613553,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,935982952,1782825315.868613553,1,OK,0.8351632,0.1380877,-0.2951361,0.4430901,6.322,-79.505,-1607.202,0.2909858,3,OK,6.553,-79.761,-1607.253,OK,65.066,-153.031,-1625.507,OK,-32.543,-138.616,-1662.426,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,935982952,1782825315.868613553,1,OK,0.6595430,-0.3205354,-0.2480961,0.6330154,-190.582,-91.555,-1653.239,0.5877889,3,OK,-190.422,-90.974,-1653.158,OK,-249.672,-150.118,-1708.273,OK,-197.455,-184.773,-1645.649
3,Port 0x01: JJH Probe  s/n:3E4C880C,935982955,1782825315.918613554,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,935982955,1782825315.918613554,1,OK,0.8351995,0.1382585,-0.2950301,0.4430391,6.300,-79.499,-1607.226,0.2852338,3,OK,6.520,-79.751,-1607.280,OK,65.035,-153.028,-1625.574,OK,-32.569,-138.595,-1662.439,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,935982955,1782825315.918613554,1,OK,0.6594339,-0.3207952,-0.2482386,0.6329415,-190.622,-91.538,-1653.214,0.6095595,3,OK,-190.450,-90.960,-1653.121,OK,-249.713,-150.110,-1708.312,OK,-197.475,-184.754,-1645.584
3,Port 0x01: JJH Probe  s/n:3E4C880C,935982958,1782825315.968613554,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,935982958,1782825315.968613554,1,OK,0.8352349,0.1383079,-0.2949373,0.4430187,6.321,-79.510,-1607.222,0.2940628,3,OK,6.542,-79.772,-1607.282,OK,65.040,-153.033,-1625.585,OK,-32.552,-138.602,-1662.420,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,935982958,1782825315.968613554,1,OK,0.6594531,-0.3209665,-0.2479650,0.6329419,-190.590,-91.543,-1653.277,0.6051617,3,OK,-190.430,-90.973,-1653.195,OK,-249.699,-150.116,-1708.327,OK,-197.466,-184.758,-1645.590
3,Port 0x01: JJH Probe  s/n:3E4C880C,935982961,1782825316.018613553,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,935982961,1782825316.018613553,1,OK,0.8351283,0.1382492,-0.2952359,0.4430391,6.326,-79.497,-1607.190,0.2904190,3,OK,6.561,-79.743,-1607.233,OK,65.066,-153.015,-1625.526,OK,-32.534,-138.596,-1662.444,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,935982961,1782825316.018613553,1,OK,0.6594557,-0.3207261,-0.2481342,0.6329948,-190.591,-91.538,-1653.238,0.5980105,3,OK,-190.423,-90.963,-1653.148,OK,-249.685,-150.116,-1708.303,OK,-197.451,-184.747,-1645.612
3,Port 0x01: JJH Probe  s/n:3E4C880C,935982964,1782825316.068613553,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,935982964,1782825316.068613553,1,OK,0.8352257,0.1380869,-0.2950043,0.4430603,6.320,-79.479,-1607.202,0.2882709,3,OK,6.541,-79.736,-1607.259,OK,65.050,-153.016,-1625.519,OK,-32.549,-138.587,-1662.398,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,935982964,1782825316.068613553,1,OK,0.6594970,-0.3205096,-0.2483494,0.6329770,-190.607,-91.542,-1653.169,0.5967409,3,OK,-190.427,-90.957,-1653.067,OK,-249.691,-150.116,-1708.267,OK,-197.461,-184.748,-1645.611
3,Port 0x01: JJH Probe  s/n:3E4C880C,935982967,1782825316.118613553,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,935982967,1782825316.118613553,1,OK,0.8352053,0.1380917,-0.2950277,0.4430817,6.311,-79.467,-1607.242,0.2794651,3,OK,6.530,-79.709,-1607.291,OK,65.050,-153.008,-1625.561,OK,-32.553,-138.583,-1662.447,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,935982967,1782825316.118613553,1,OK,0.6594191,-0.3208062,-0.2481574,0.6329832,-190.610,-91.541,-1653.198,0.6129057,3,OK,-190.427,-90.954,-1653.094,OK,-249.712,-150.137,-1708.285,OK,-197.466,-184.750,-1645.560
3,Port 0x01: JJH Probe  s/n:3E4C880C,935982970,1782825316.168613553,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,935982970,1782825316.168613553,1,OK,0.8351688,0.1383214,-0.2949536,0.4431282,6.412,-79.561,-1607.151,0.2806348,3,OK,6.632,-79.805,-1607.200,OK,65.164,-153.079,-1625.508,OK,-32.454,-138.670,-1662.362,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,935982970,1782825316.168613553,1,OK,0.6593142,-0.3211135,-0.2479765,0.6330075,-190.560,-91.696,-1653.100,0.6247729,3,OK,-190.371,-91.109,-1652.989,OK,-249.676,-150.324,-1708.175,OK,-197.416,-184.899,-1645.384
