Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,935965168,1782825019.468608444,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,935965168,1782825019.468608444,1,OK,0.8514535,0.1419041,-0.3075920,0.4003464,-1.902,-85.735,-1617.691,0.3023322,3,OK,-1.689,-86.041,-1617.771,OK,50.224,-163.323,-1639.075,OK,-45.939,-139.064,-1674.905,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,935965168,1782825019.468608444,1,OK,0.6597593,-0.3205450,-0.2484459,0.6326478,-190.651,-91.745,-1653.468,0.6329947,3,OK,-190.451,-91.156,-1653.345,OK,-249.814,-150.257,-1708.660,OK,-197.545,-184.952,-1645.917
3,Port 0x01: JJH Probe  s/n:3E4C880C,935965171,1782825019.518608444,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,935965171,1782825019.518608444,1,OK,0.8514440,0.1420209,-0.3075495,0.4003580,-1.892,-85.738,-1617.648,0.2964196,3,OK,-1.677,-86.029,-1617.718,OK,50.231,-163.320,-1639.060,OK,-45.927,-139.074,-1674.869,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,935965171,1782825019.518608444,1,OK,0.6598631,-0.3203082,-0.2482806,0.6327243,-190.638,-91.752,-1653.497,0.6157902,3,OK,-190.451,-91.161,-1653.389,OK,-249.806,-150.251,-1708.628,OK,-197.544,-184.966,-1645.971
3,Port 0x01: JJH Probe  s/n:3E4C880C,935965174,1782825019.568608444,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,935965174,1782825019.568608444,1,OK,0.8514307,0.1417426,-0.3077497,0.4003311,-1.903,-85.724,-1617.691,0.3067971,3,OK,-1.681,-86.029,-1617.766,OK,50.219,-163.317,-1639.041,OK,-45.933,-139.059,-1674.924,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,935965174,1782825019.568608444,1,OK,0.6599441,-0.3201453,-0.2483523,0.6326941,-190.635,-91.746,-1653.470,0.6087030,3,OK,-190.448,-91.149,-1653.361,OK,-249.801,-150.231,-1708.601,OK,-197.555,-184.960,-1645.990
3,Port 0x01: JJH Probe  s/n:3E4C880C,935965177,1782825019.618608444,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,935965177,1782825019.618608444,1,OK,0.8513059,0.1420609,-0.3079617,0.4003205,-1.901,-85.745,-1617.624,0.2961316,3,OK,-1.672,-86.024,-1617.678,OK,50.240,-163.320,-1639.030,OK,-45.914,-139.066,-1674.920,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,935965177,1782825019.618608444,1,OK,0.6598533,-0.3202893,-0.2483145,0.6327308,-190.621,-91.752,-1653.498,0.6134447,3,OK,-190.432,-91.161,-1653.388,OK,-249.784,-150.254,-1708.632,OK,-197.525,-184.963,-1645.980
3,Port 0x01: JJH Probe  s/n:3E4C880C,935965180,1782825019.668608444,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,935965180,1782825019.668608444,1,OK,0.8513082,0.1424882,-0.3078125,0.4002785,-1.892,-85.754,-1617.544,0.2861796,3,OK,-1.668,-86.011,-1617.588,OK,50.238,-163.310,-1639.043,OK,-45.909,-139.061,-1674.845,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,935965180,1782825019.668608444,1,OK,0.6598947,-0.3202683,-0.2481627,0.6327578,-190.605,-91.745,-1653.488,0.6015494,3,OK,-190.426,-91.162,-1653.388,OK,-249.774,-150.242,-1708.582,OK,-197.522,-184.953,-1645.960
3,Port 0x01: JJH Probe  s/n:3E4C880C,935965183,1782825019.718608444,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,935965183,1782825019.718608444,1,OK,0.8514501,0.1418521,-0.3076309,0.4003423,-1.898,-85.727,-1617.671,0.2929306,3,OK,-1.688,-86.018,-1617.744,OK,50.226,-163.326,-1639.051,OK,-45.928,-139.063,-1674.890,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,935965183,1782825019.718608444,1,OK,0.6597847,-0.3204071,-0.2483224,0.6327397,-190.648,-91.752,-1653.514,0.6116882,3,OK,-190.462,-91.173,-1653.405,OK,-249.803,-150.260,-1708.654,OK,-197.542,-184.956,-1645.972
3,Port 0x01: JJH Probe  s/n:3E4C880C,935965186,1782825019.768608444,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,935965186,1782825019.768608444,1,OK,0.8514039,0.1422795,-0.3076131,0.4003025,-1.884,-85.753,-1617.595,0.2898202,3,OK,-1.666,-86.027,-1617.653,OK,50.236,-163.324,-1639.060,OK,-45.915,-139.074,-1674.846,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,935965186,1782825019.768608444,1,OK,0.6599221,-0.3201434,-0.2480458,0.6328382,-190.613,-91.765,-1653.501,0.5912774,3,OK,-190.441,-91.178,-1653.409,OK,-249.779,-150.266,-1708.551,OK,-197.535,-184.977,-1645.984
3,Port 0x01: JJH Probe  s/n:3E4C880C,935965189,1782825019.818608444,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,935965189,1782825019.818608444,1,OK,0.8513537,0.1420024,-0.3078060,0.4003593,-1.882,-85.748,-1617.635,0.2914899,3,OK,-1.660,-86.023,-1617.691,OK,50.256,-163.330,-1639.036,OK,-45.901,-139.083,-1674.902,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,935965189,1782825019.818608444,1,OK,0.6598722,-0.3202951,-0.2482549,0.6327316,-190.611,-91.775,-1653.492,0.6080347,3,OK,-190.422,-91.183,-1653.383,OK,-249.775,-150.281,-1708.609,OK,-197.528,-184.983,-1645.976
3,Port 0x01: JJH Probe  s/n:3E4C880C,935965192,1782825019.868608444,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,935965192,1782825019.868608444,1,OK,0.8513225,0.1420635,-0.3078338,0.4003826,-1.885,-85.759,-1617.618,0.2925504,3,OK,-1.666,-86.040,-1617.680,OK,50.257,-163.333,-1639.028,OK,-45.887,-139.087,-1674.885,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,935965192,1782825019.868608444,1,OK,0.6598557,-0.3203207,-0.2483040,0.6327166,-190.620,-91.801,-1653.465,0.6201915,3,OK,-190.422,-91.205,-1653.345,OK,-249.795,-150.312,-1708.608,OK,-197.528,-185.007,-1645.942
3,Port 0x01: JJH Probe  s/n:3E4C880C,935965195,1782825019.918608444,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,935965195,1782825019.918608444,1,OK,0.8512949,0.1421223,-0.3077711,0.4004687,-1.830,-85.853,-1617.615,0.2948439,3,OK,-1.610,-86.137,-1617.678,OK,50.329,-163.413,-1639.029,OK,-45.832,-139.189,-1674.879,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,935965195,1782825019.918608444,1,OK,0.6598378,-0.3203472,-0.2479748,0.6328509,-190.582,-91.918,-1653.391,0.6073272,3,OK,-190.402,-91.328,-1653.290,OK,-249.761,-150.440,-1708.452,OK,-197.494,-185.130,-1645.820
