Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,936364747,1782831679.118603359,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,936364747,1782831679.118603359,1,OK,0.8515704,-0.0182210,-0.2284798,0.4714794,3.889,-95.691,-1558.019,0.2812976,3,OK,3.942,-95.846,-1558.028,OK,59.513,-173.321,-1548.762,OK,-36.316,-168.451,-1591.266,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,936364747,1782831679.118603359,1,OK,0.6687327,-0.2899733,-0.2162574,0.6495728,-197.193,-91.234,-1645.293,0.5479549,3,OK,-197.021,-90.686,-1645.217,OK,-260.971,-150.247,-1694.279,OK,-202.856,-184.407,-1636.913
3,Port 0x01: JJH Probe  s/n:3E4C880C,936364750,1782831679.168603359,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,936364750,1782831679.168603359,1,OK,0.8515999,-0.0193481,-0.2275697,0.4718212,3.946,-95.737,-1557.728,0.3011631,3,OK,3.985,-95.903,-1557.745,OK,59.560,-173.343,-1548.280,OK,-36.247,-168.578,-1590.725,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,936364750,1782831679.168603359,1,OK,0.6687564,-0.2899101,-0.2162735,0.6495712,-197.176,-91.231,-1645.275,0.5402129,3,OK,-197.008,-90.687,-1645.202,OK,-260.948,-150.238,-1694.255,OK,-202.844,-184.402,-1636.911
3,Port 0x01: JJH Probe  s/n:3E4C880C,936364753,1782831679.218603359,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,936364753,1782831679.218603359,1,OK,0.8514505,-0.0202180,-0.2273883,0.4721417,3.956,-95.774,-1557.326,0.2913629,3,OK,4.004,-95.936,-1557.337,OK,59.592,-173.342,-1547.702,OK,-36.215,-168.696,-1590.224,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,936364753,1782831679.218603359,1,OK,0.6688200,-0.2896713,-0.2163811,0.6495765,-197.183,-91.235,-1645.255,0.5350578,3,OK,-197.006,-90.680,-1645.175,OK,-260.950,-150.242,-1694.241,OK,-202.859,-184.402,-1636.953
3,Port 0x01: JJH Probe  s/n:3E4C880C,936364756,1782831679.268603358,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,936364756,1782831679.268603358,1,OK,0.8513600,-0.0210912,-0.2270658,0.4724219,3.978,-95.797,-1557.017,0.2867345,3,OK,4.023,-95.955,-1557.028,OK,59.630,-173.343,-1547.225,OK,-36.172,-168.787,-1589.786,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,936364756,1782831679.268603358,1,OK,0.6687325,-0.2899039,-0.2163109,0.6495862,-197.184,-91.235,-1645.274,0.5394271,3,OK,-197.016,-90.694,-1645.200,OK,-260.951,-150.245,-1694.260,OK,-202.844,-184.404,-1636.913
3,Port 0x01: JJH Probe  s/n:3E4C880C,936364759,1782831679.318603359,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,936364759,1782831679.318603359,1,OK,0.8513566,-0.0215228,-0.2268152,0.4725290,3.999,-95.805,-1556.964,0.2899931,3,OK,4.043,-95.971,-1556.977,OK,59.648,-173.340,-1547.094,OK,-36.152,-168.822,-1589.657,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,936364759,1782831679.318603359,1,OK,0.6687554,-0.2898339,-0.2166033,0.6494964,-197.186,-91.235,-1645.238,0.5530453,3,OK,-196.994,-90.680,-1645.145,OK,-260.956,-150.245,-1694.295,OK,-202.844,-184.399,-1636.930
3,Port 0x01: JJH Probe  s/n:3E4C880C,936364762,1782831679.368603359,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,936364762,1782831679.368603359,1,OK,0.8513650,-0.0217997,-0.2264447,0.4726788,4.005,-95.827,-1556.831,0.2985784,3,OK,4.046,-96.001,-1556.846,OK,59.659,-173.345,-1546.915,OK,-36.142,-168.871,-1589.438,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,936364762,1782831679.368603359,1,OK,0.6687270,-0.2898986,-0.2163096,0.6495946,-197.187,-91.225,-1645.254,0.5458417,3,OK,-197.012,-90.673,-1645.177,OK,-260.956,-150.242,-1694.242,OK,-202.846,-184.398,-1636.894
3,Port 0x01: JJH Probe  s/n:3E4C880C,936364765,1782831679.418603359,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,936364765,1782831679.418603359,1,OK,0.8512485,-0.0218133,-0.2268212,0.4727074,4.012,-95.828,-1556.766,0.2854699,3,OK,4.065,-95.994,-1556.775,OK,59.682,-173.334,-1546.831,OK,-36.120,-168.881,-1589.436,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,936364765,1782831679.418603359,1,OK,0.6687942,-0.2898497,-0.2161137,0.6496125,-197.168,-91.236,-1645.294,0.5325357,3,OK,-197.010,-90.692,-1645.230,OK,-260.942,-150.239,-1694.230,OK,-202.846,-184.410,-1636.923
3,Port 0x01: JJH Probe  s/n:3E4C880C,936364768,1782831679.468603360,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,936364768,1782831679.468603360,1,OK,0.8513742,-0.0219472,-0.2260163,0.4728604,4.023,-95.853,-1556.502,0.3046024,3,OK,4.074,-96.012,-1556.511,OK,59.684,-173.349,-1546.570,OK,-36.121,-168.946,-1589.032,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,936364768,1782831679.468603360,1,OK,0.6687540,-0.2897695,-0.2162551,0.6496425,-197.186,-91.242,-1645.290,0.5393256,3,OK,-197.019,-90.692,-1645.219,OK,-260.954,-150.253,-1694.255,OK,-202.844,-184.418,-1636.942
3,Port 0x01: JJH Probe  s/n:3E4C880C,936364771,1782831679.518603360,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,936364771,1782831679.518603360,1,OK,0.8512939,-0.0231336,-0.2258903,0.4730086,4.052,-95.851,-1556.432,0.2952636,3,OK,4.096,-96.024,-1556.446,OK,59.705,-173.339,-1546.269,OK,-36.089,-168.994,-1588.840,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,936364771,1782831679.518603360,1,OK,0.6687009,-0.2900386,-0.2162398,0.6495822,-197.170,-91.236,-1645.283,0.5457425,3,OK,-197.001,-90.695,-1645.208,OK,-260.945,-150.252,-1694.266,OK,-202.829,-184.405,-1636.888
3,Port 0x01: JJH Probe  s/n:3E4C880C,936364774,1782831679.568603360,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,936364774,1782831679.568603360,1,OK,0.8512505,-0.0229527,-0.2260087,0.4730389,4.056,-95.859,-1556.456,0.2965834,3,OK,4.099,-96.031,-1556.470,OK,59.722,-173.341,-1546.322,OK,-36.067,-168.995,-1588.895,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,936364774,1782831679.568603360,1,OK,0.6687437,-0.2899707,-0.2161643,0.6495936,-197.170,-91.241,-1645.305,0.5400268,3,OK,-197.001,-90.696,-1645.232,OK,-260.947,-150.257,-1694.266,OK,-202.841,-184.408,-1636.918
