Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,936362188,1782831636.468583203,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,936362188,1782831636.468583203,1,OK,0.8378636,-0.2266144,-0.1313062,0.4789460,-6.047,-91.760,-1509.783,0.1337814,3,OK,-6.081,-91.930,-1509.750,OK,43.306,-160.754,-1464.472,OK,-51.450,-168.991,-1510.052,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,936362188,1782831636.468583203,1,OK,0.6688031,-0.2899587,-0.2161678,0.6495366,-197.313,-91.272,-1645.509,0.5458195,3,OK,-197.141,-90.718,-1645.434,OK,-261.100,-150.279,-1694.474,OK,-203.000,-184.446,-1637.131
3,Port 0x01: JJH Probe  s/n:3E4C880C,936362191,1782831636.518583203,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,936362191,1782831636.518583203,1,OK,0.8380194,-0.2259919,-0.1316034,0.4788859,-6.042,-91.775,-1509.864,0.1365326,3,OK,-6.066,-91.951,-1509.824,OK,43.315,-160.820,-1464.662,OK,-51.447,-169.012,-1510.238,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,936362191,1782831636.518583203,1,OK,0.6687294,-0.2901419,-0.2161275,0.6495441,-197.315,-91.262,-1645.507,0.5535725,3,OK,-197.145,-90.716,-1645.434,OK,-261.106,-150.274,-1694.481,OK,-202.986,-184.437,-1637.083
3,Port 0x01: JJH Probe  s/n:3E4C880C,936362194,1782831636.568583203,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,936362194,1782831636.568583203,1,OK,0.8382393,-0.2252805,-0.1316304,0.4788288,-6.055,-91.836,-1510.036,0.1468377,3,OK,-6.074,-92.015,-1509.993,OK,43.297,-160.945,-1464.973,OK,-51.443,-169.067,-1510.470,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,936362194,1782831636.568583203,1,OK,0.6689344,-0.2895762,-0.2160595,0.6496081,-197.312,-91.274,-1645.484,0.5254848,3,OK,-197.150,-90.726,-1645.417,OK,-261.106,-150.265,-1694.401,OK,-203.009,-184.443,-1637.159
3,Port 0x01: JJH Probe  s/n:3E4C880C,936362197,1782831636.618583203,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,936362197,1782831636.618583203,1,OK,0.8381730,-0.2251189,-0.1322063,0.4788621,-6.048,-91.853,-1510.128,0.1329474,3,OK,-6.071,-92.027,-1510.089,OK,43.329,-160.979,-1465.062,OK,-51.434,-169.106,-1510.674,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,936362197,1782831636.618583203,1,OK,0.6688392,-0.2897888,-0.2161552,0.6495795,-197.333,-91.270,-1645.499,0.5379763,3,OK,-197.163,-90.725,-1645.425,OK,-261.126,-150.271,-1694.456,OK,-203.012,-184.438,-1637.143
3,Port 0x01: JJH Probe  s/n:3E4C880C,936362200,1782831636.668583203,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,936362200,1782831636.668583203,1,OK,0.8381935,-0.2248778,-0.1324841,0.4788627,-5.995,-91.897,-1510.300,0.1335409,3,OK,-6.017,-92.071,-1510.260,OK,43.384,-161.044,-1465.270,OK,-51.368,-169.157,-1510.909,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,936362200,1782831636.668583203,1,OK,0.6687912,-0.2899159,-0.2163867,0.6494951,-197.317,-91.270,-1645.468,0.5485173,3,OK,-197.141,-90.723,-1645.388,OK,-261.098,-150.267,-1694.482,OK,-202.989,-184.441,-1637.118
3,Port 0x01: JJH Probe  s/n:3E4C880C,936362203,1782831636.718583203,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,936362203,1782831636.718583203,1,OK,0.8381691,-0.2248837,-0.1326161,0.4788662,-5.964,-91.935,-1510.385,0.1377707,3,OK,-6.003,-92.112,-1510.354,OK,43.418,-161.094,-1465.343,OK,-51.322,-169.185,-1511.013,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,936362203,1782831636.718583203,1,OK,0.6687605,-0.2900249,-0.2162914,0.6495098,-197.311,-91.269,-1645.481,0.5484713,3,OK,-197.136,-90.721,-1645.402,OK,-261.092,-150.276,-1694.478,OK,-202.987,-184.438,-1637.104
3,Port 0x01: JJH Probe  s/n:3E4C880C,936362206,1782831636.768583203,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,936362206,1782831636.768583203,1,OK,0.8382880,-0.2245629,-0.1324665,0.4788500,-5.973,-91.933,-1510.355,0.1395458,3,OK,-6.007,-92.108,-1510.322,OK,43.410,-161.116,-1465.382,OK,-51.329,-169.180,-1510.984,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,936362206,1782831636.768583203,1,OK,0.6688326,-0.2899561,-0.2161293,0.6495203,-197.309,-91.280,-1645.548,0.5413162,3,OK,-197.138,-90.730,-1645.474,OK,-261.101,-150.283,-1694.506,OK,-203.005,-184.449,-1637.170
3,Port 0x01: JJH Probe  s/n:3E4C880C,936362209,1782831636.818583203,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,936362209,1782831636.818583203,1,OK,0.8382423,-0.2245204,-0.1325103,0.4789378,-5.977,-91.913,-1510.348,0.1381301,3,OK,-5.998,-92.090,-1510.307,OK,43.419,-161.078,-1465.384,OK,-51.326,-169.180,-1510.985,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,936362209,1782831636.818583203,1,OK,0.6687987,-0.2900199,-0.2161637,0.6495152,-197.301,-91.269,-1645.487,0.5449859,3,OK,-197.132,-90.728,-1645.414,OK,-261.095,-150.268,-1694.463,OK,-202.982,-184.437,-1637.094
3,Port 0x01: JJH Probe  s/n:3E4C880C,936362212,1782831636.868583203,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,936362212,1782831636.868583203,1,OK,0.8382570,-0.2245438,-0.1325240,0.4788974,-5.975,-91.936,-1510.403,0.1418571,3,OK,-6.009,-92.114,-1510.369,OK,43.415,-161.114,-1465.432,OK,-51.319,-169.188,-1511.040,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,936362212,1782831636.868583203,1,OK,0.6688749,-0.2896743,-0.2161392,0.6495991,-197.315,-91.277,-1645.476,0.5294280,3,OK,-197.151,-90.735,-1645.407,OK,-261.103,-150.270,-1694.418,OK,-202.997,-184.445,-1637.138
3,Port 0x01: JJH Probe  s/n:3E4C880C,936362215,1782831636.918583203,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,936362215,1782831636.918583203,1,OK,0.8381984,-0.2248090,-0.1326940,0.4788285,-5.955,-91.959,-1510.511,0.1302344,3,OK,-5.995,-92.126,-1510.483,OK,43.427,-161.135,-1465.477,OK,-51.319,-169.212,-1511.160,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,936362215,1782831636.918583203,1,OK,0.6687541,-0.2901017,-0.2160965,0.6495470,-197.333,-91.270,-1645.542,0.5512882,3,OK,-197.166,-90.727,-1645.470,OK,-261.129,-150.277,-1694.508,OK,-203.006,-184.445,-1637.120
