Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,936052648,1782826477.468599630,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,936052648,1782826477.468599630,1,OK,0.8677685,-0.0659033,-0.2081838,0.4464237,-6.197,-105.238,-1548.424,0.3118092,3,OK,-6.149,-105.468,-1548.421,OK,42.982,-185.913,-1531.960,OK,-52.114,-177.161,-1575.435,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,936052648,1782826477.468599630,1,OK,0.6591400,-0.3210572,-0.2475038,0.6334025,-190.478,-91.589,-1652.959,0.6140064,3,OK,-190.304,-91.002,-1652.865,OK,-249.591,-150.280,-1707.912,OK,-197.292,-184.799,-1645.168
3,Port 0x01: JJH Probe  s/n:3E4C880C,936052651,1782826477.518599630,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,936052651,1782826477.518599630,1,OK,0.8677298,-0.0664119,-0.2082262,0.4464038,-6.180,-105.241,-1548.532,0.3054337,3,OK,-6.140,-105.485,-1548.533,OK,42.990,-185.913,-1531.965,OK,-52.108,-177.164,-1575.511,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,936052651,1782826477.518599630,1,OK,0.6592544,-0.3208408,-0.2473723,0.6334444,-190.457,-91.599,-1652.938,0.5997038,3,OK,-190.288,-91.013,-1652.850,OK,-249.584,-150.278,-1707.848,OK,-197.286,-184.807,-1645.174
3,Port 0x01: JJH Probe  s/n:3E4C880C,936052654,1782826477.568599630,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,936052654,1782826477.568599630,1,OK,0.8677452,-0.0662313,-0.2081054,0.4464569,-6.165,-105.270,-1548.472,0.3085239,3,OK,-6.128,-105.506,-1548.473,OK,43.016,-185.943,-1531.942,OK,-52.083,-177.196,-1575.442,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,936052654,1782826477.568599630,1,OK,0.6591493,-0.3210942,-0.2474067,0.6334119,-190.453,-91.627,-1652.920,0.6183715,3,OK,-190.276,-91.042,-1652.823,OK,-249.584,-150.322,-1707.866,OK,-197.269,-184.834,-1645.107
3,Port 0x01: JJH Probe  s/n:3E4C880C,936052657,1782826477.618599630,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,936052657,1782826477.618599630,1,OK,0.8677309,-0.0663233,-0.2081801,0.4464363,-6.179,-105.259,-1548.475,0.3104721,3,OK,-6.136,-105.503,-1548.474,OK,42.994,-185.925,-1531.927,OK,-52.100,-177.185,-1575.451,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,936052657,1782826477.618599630,1,OK,0.6590506,-0.3212997,-0.2474256,0.6334031,-190.481,-91.622,-1652.949,0.6273376,3,OK,-190.303,-91.037,-1652.851,OK,-249.602,-150.331,-1707.909,OK,-197.288,-184.832,-1645.099
3,Port 0x01: JJH Probe  s/n:3E4C880C,936052660,1782826477.668599630,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,936052660,1782826477.668599630,1,OK,0.8678067,-0.0664631,-0.2078323,0.4464303,-6.143,-105.280,-1548.481,0.3138784,3,OK,-6.114,-105.522,-1548.486,OK,43.023,-185.959,-1531.915,OK,-52.075,-177.204,-1575.387,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,936052660,1782826477.668599630,1,OK,0.6591199,-0.3211575,-0.2470980,0.6335309,-190.450,-91.653,-1652.933,0.6056893,3,OK,-190.293,-91.078,-1652.857,OK,-249.580,-150.356,-1707.801,OK,-197.268,-184.865,-1645.066
3,Port 0x01: JJH Probe  s/n:3E4C880C,936052663,1782826477.718599630,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,936052663,1782826477.718599630,1,OK,0.8676886,-0.0661937,-0.2083473,0.4464597,-6.150,-105.304,-1548.466,0.2963029,3,OK,-6.107,-105.538,-1548.464,OK,43.046,-185.975,-1531.931,OK,-52.069,-177.232,-1575.484,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,936052663,1782826477.718599630,1,OK,0.6591586,-0.3210008,-0.2473396,0.6334757,-190.440,-91.682,-1652.882,0.6111771,3,OK,-190.266,-91.097,-1652.788,OK,-249.571,-150.382,-1707.803,OK,-197.253,-184.889,-1645.076
3,Port 0x01: JJH Probe  s/n:3E4C880C,936052666,1782826477.768599630,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,936052666,1782826477.768599630,1,OK,0.8677933,-0.0658359,-0.2080841,0.4464319,-6.132,-105.309,-1548.416,0.3110317,3,OK,-6.083,-105.536,-1548.411,OK,43.050,-185.984,-1531.966,OK,-52.056,-177.234,-1575.418,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,936052666,1782826477.768599630,1,OK,0.6590799,-0.3211393,-0.2475596,0.6334015,-190.461,-91.691,-1652.870,0.6280327,3,OK,-190.272,-91.103,-1652.759,OK,-249.586,-150.400,-1707.858,OK,-197.259,-184.892,-1645.061
3,Port 0x01: JJH Probe  s/n:3E4C880C,936052669,1782826477.818599630,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,936052669,1782826477.818599630,1,OK,0.8677638,-0.0662424,-0.2079825,0.4464764,-6.117,-105.350,-1548.448,0.3153884,3,OK,-6.078,-105.594,-1548.448,OK,43.061,-186.016,-1531.920,OK,-52.037,-177.278,-1575.396,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,936052669,1782826477.818599630,1,OK,0.6591610,-0.3208373,-0.2474400,0.6335169,-190.453,-91.735,-1652.896,0.6134767,3,OK,-190.273,-91.136,-1652.797,OK,-249.575,-150.441,-1707.825,OK,-197.256,-184.948,-1645.129
3,Port 0x01: JJH Probe  s/n:3E4C880C,936052672,1782826477.868599630,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,936052672,1782826477.868599630,1,OK,0.8677368,-0.0649608,-0.2087172,0.4463745,-6.146,-105.365,-1548.294,0.3098262,3,OK,-6.075,-105.584,-1548.278,OK,43.055,-186.041,-1531.999,OK,-52.048,-177.274,-1575.472,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,936052672,1782826477.868599630,1,OK,0.6591572,-0.3209410,-0.2474836,0.6334512,-190.459,-91.740,-1652.849,0.6176786,3,OK,-190.274,-91.147,-1652.743,OK,-249.588,-150.443,-1707.802,OK,-197.266,-184.945,-1645.070
3,Port 0x01: JJH Probe  s/n:3E4C880C,936052675,1782826477.918599630,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,936052675,1782826477.918599630,1,OK,0.8676544,-0.0660731,-0.2085109,0.4464677,-6.106,-105.384,-1548.424,0.2959866,3,OK,-6.056,-105.622,-1548.420,OK,43.097,-186.048,-1531.908,OK,-52.019,-177.311,-1575.479,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,936052675,1782826477.918599630,1,OK,0.6591666,-0.3209018,-0.2471691,0.6335841,-190.440,-91.778,-1652.867,0.6037022,3,OK,-190.274,-91.192,-1652.781,OK,-249.574,-150.485,-1707.738,OK,-197.251,-184.988,-1645.052
