Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,936055258,1782826520.968603324,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,936055258,1782826520.968603324,1,OK,0.8647078,0.1257048,-0.3026055,0.3806687,-7.943,-92.451,-1614.707,0.3092811,3,OK,-7.893,-92.777,-1614.865,OK,39.756,-173.209,-1634.782,OK,-55.074,-144.620,-1670.121,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,936055258,1782826520.968603324,1,OK,0.6597935,-0.3202261,-0.2483437,0.6328137,-190.690,-91.656,-1653.376,0.6068422,3,OK,-190.505,-91.069,-1653.269,OK,-249.836,-150.168,-1708.501,OK,-197.576,-184.866,-1645.866
3,Port 0x01: JJH Probe  s/n:3E4C880C,936055261,1782826521.018603324,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,936055261,1782826521.018603324,1,OK,0.8646904,0.1254016,-0.3027593,0.3806860,-7.946,-92.444,-1614.754,0.3089261,3,OK,-7.897,-92.775,-1614.916,OK,39.759,-173.220,-1634.766,OK,-55.065,-144.620,-1670.170,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,936055261,1782826521.018603324,1,OK,0.6598010,-0.3202181,-0.2482718,0.6328381,-190.680,-91.661,-1653.319,0.6119653,3,OK,-190.492,-91.067,-1653.210,OK,-249.836,-150.178,-1708.434,OK,-197.566,-184.875,-1645.799
3,Port 0x01: JJH Probe  s/n:3E4C880C,936055264,1782826521.068603324,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,936055264,1782826521.068603324,1,OK,0.8647227,0.1255825,-0.3025719,0.3807019,-7.962,-92.475,-1614.740,0.3228531,3,OK,-7.924,-92.820,-1614.916,OK,39.742,-173.238,-1634.789,OK,-55.083,-144.638,-1670.127,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,936055264,1782826521.068603324,1,OK,0.6597446,-0.3203398,-0.2483132,0.6328191,-190.698,-91.689,-1653.324,0.6219555,3,OK,-190.503,-91.096,-1653.207,OK,-249.857,-150.217,-1708.464,OK,-197.575,-184.900,-1645.783
3,Port 0x01: JJH Probe  s/n:3E4C880C,936055267,1782826521.118603327,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,936055267,1782826521.118603327,1,OK,0.8646959,0.1250322,-0.3027342,0.3808148,-7.957,-92.456,-1614.782,0.3239031,3,OK,-7.914,-92.813,-1614.961,OK,39.763,-173.239,-1634.713,OK,-55.066,-144.653,-1670.164,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,936055267,1782826521.118603327,1,OK,0.6597019,-0.3204598,-0.2481826,0.6328541,-190.685,-91.708,-1653.345,0.6162040,3,OK,-190.501,-91.122,-1653.238,OK,-249.839,-150.242,-1708.454,OK,-197.565,-184.919,-1645.767
3,Port 0x01: JJH Probe  s/n:3E4C880C,936055270,1782826521.168603327,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,936055270,1782826521.168603327,1,OK,0.8646747,0.1255791,-0.3026771,0.3807284,-7.897,-92.478,-1614.726,0.3119963,3,OK,-7.849,-92.809,-1614.888,OK,39.814,-173.238,-1634.771,OK,-55.012,-144.653,-1670.139,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,936055270,1782826521.168603327,1,OK,0.6598123,-0.3201500,-0.2480955,0.6329299,-190.649,-91.711,-1653.250,0.6023439,3,OK,-190.463,-91.119,-1653.143,OK,-249.814,-150.244,-1708.319,OK,-197.538,-184.920,-1645.722
3,Port 0x01: JJH Probe  s/n:3E4C880C,936055273,1782826521.218603327,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,936055273,1782826521.218603327,1,OK,0.8646009,0.1253438,-0.3028180,0.3808616,-7.850,-92.522,-1614.682,0.3138714,3,OK,-7.795,-92.865,-1614.847,OK,39.890,-173.276,-1634.665,OK,-54.951,-144.717,-1670.107,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,936055273,1782826521.218603327,1,OK,0.6597269,-0.3204339,-0.2479388,0.6329367,-190.635,-91.814,-1653.166,0.6231425,3,OK,-190.437,-91.212,-1653.047,OK,-249.822,-150.380,-1708.236,OK,-197.526,-185.021,-1645.566
3,Port 0x01: JJH Probe  s/n:3E4C880C,936055276,1782826521.268603328,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,936055276,1782826521.268603328,1,OK,0.8645738,0.1251666,-0.3025599,0.3811863,-7.639,-92.687,-1614.480,0.3129021,3,OK,-7.585,-93.028,-1614.645,OK,40.140,-173.432,-1634.419,OK,-54.720,-144.946,-1669.858,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,936055276,1782826521.268603328,1,OK,0.6591791,-0.3201392,-0.2472713,0.6339170,-190.378,-92.271,-1652.780,0.6046408,3,OK,-190.194,-91.680,-1652.676,OK,-249.532,-151.000,-1707.657,OK,-197.106,-185.476,-1645.059
3,Port 0x01: JJH Probe  s/n:3E4C880C,936055279,1782826521.318603328,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,936055279,1782826521.318603328,1,OK,0.8645822,0.1246362,-0.3021379,0.3816753,-7.134,-92.974,-1614.404,0.3238164,3,OK,-7.084,-93.330,-1614.579,OK,40.690,-173.714,-1634.226,OK,-54.191,-145.338,-1669.684,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,936055279,1782826521.318603328,1,OK,0.6576162,-0.3188387,-0.2468475,0.6363562,-189.641,-93.173,-1652.421,0.6039053,3,OK,-189.466,-92.582,-1652.323,OK,-248.627,-152.281,-1707.057,OK,-195.825,-186.411,-1644.583
3,Port 0x01: JJH Probe  s/n:3E4C880C,936055282,1782826521.368603327,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,936055282,1782826521.368603327,1,OK,0.8645943,0.1247157,-0.3020455,0.3816951,-7.143,-92.942,-1614.402,0.3168296,3,OK,-7.095,-93.283,-1614.570,OK,40.680,-173.684,-1634.245,OK,-54.198,-145.316,-1669.674,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,936055282,1782826521.368603327,1,OK,0.6575230,-0.3181800,-0.2464197,0.6369477,-189.703,-93.237,-1652.159,0.6040887,3,OK,-189.525,-92.651,-1652.058,OK,-248.732,-152.404,-1706.696,OK,-195.782,-186.476,-1644.305
3,Port 0x01: JJH Probe  s/n:3E4C880C,936055285,1782826521.418603327,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,936055285,1782826521.418603327,1,OK,0.8646222,0.1248943,-0.3018100,0.3817600,-7.129,-93.012,-1614.417,0.3274171,3,OK,-7.092,-93.361,-1614.595,OK,40.697,-173.740,-1634.297,OK,-54.185,-145.385,-1669.654,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,936055285,1782826521.418603327,1,OK,0.6576829,-0.3167945,-0.2455659,0.6378024,-189.914,-93.389,-1651.937,0.6029220,3,OK,-189.735,-92.792,-1651.836,OK,-249.064,-152.602,-1706.282,OK,-195.876,-186.641,-1644.109
