Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,914929123,1782474418.718628512,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,914929123,1782474418.718628512,1,OK,0.6976954,0.1742061,-0.1113024,-0.6859192,12.426,154.218,-1624.644,0.2295849,3,OK,12.215,154.124,-1624.745,OK,-71.101,188.495,-1657.268,OK,9.360,243.766,-1617.115,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,914929123,1782474418.718628512,1,OK,0.8834330,0.2747636,-0.2180810,-0.3106311,-217.337,150.145,-1693.574,0.5614256,3,OK,-217.160,149.474,-1693.755,OK,-224.714,242.329,-1656.219,OK,-283.520,212.730,-1713.332
3,Port 0x01: JJH Probe  s/n:3E4C880C,914929126,1782474418.768628512,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,914929126,1782474418.768628512,1,OK,0.6975723,0.1744459,-0.1117327,-0.6859135,12.369,154.207,-1624.583,0.2181194,3,OK,12.178,154.101,-1624.676,OK,-71.137,188.506,-1657.302,OK,9.319,243.762,-1617.076,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,914929126,1782474418.768628512,1,OK,0.8835481,0.2745776,-0.2179097,-0.3105884,-217.375,150.150,-1693.635,0.5698463,3,OK,-217.196,149.477,-1693.815,OK,-224.766,242.338,-1656.319,OK,-283.563,212.729,-1713.367
3,Port 0x01: JJH Probe  s/n:3E4C880C,914929129,1782474418.818628512,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,914929129,1782474418.818628512,1,OK,0.6975773,0.1743495,-0.1120594,-0.6858796,12.358,154.214,-1624.530,0.2060928,3,OK,12.178,154.114,-1624.618,OK,-71.139,188.510,-1657.298,OK,9.307,243.759,-1617.080,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,914929129,1782474418.818628512,1,OK,0.8834748,0.2749467,-0.2176771,-0.3106336,-217.368,150.161,-1693.673,0.5663262,3,OK,-217.201,149.489,-1693.863,OK,-224.756,242.333,-1656.261,OK,-283.569,212.727,-1713.349
3,Port 0x01: JJH Probe  s/n:3E4C880C,914929132,1782474418.868628512,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,914929132,1782474418.868628512,1,OK,0.6975734,0.1744168,-0.1120085,-0.6858748,12.381,154.203,-1624.521,0.2057429,3,OK,12.198,154.107,-1624.609,OK,-71.120,188.495,-1657.287,OK,9.332,243.745,-1617.054,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,914929132,1782474418.868628512,1,OK,0.8834543,0.2749158,-0.2178425,-0.3106034,-217.348,150.159,-1693.656,0.5521262,3,OK,-217.184,149.501,-1693.840,OK,-224.729,242.331,-1656.255,OK,-283.549,212.720,-1713.371
3,Port 0x01: JJH Probe  s/n:3E4C880C,914929135,1782474418.918628513,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,914929135,1782474418.918628513,1,OK,0.6975386,0.1744836,-0.1120134,-0.6858924,12.372,154.212,-1624.522,0.2042961,3,OK,12.189,154.120,-1624.610,OK,-71.127,188.511,-1657.295,OK,9.330,243.753,-1617.045,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,914929135,1782474418.918628513,1,OK,0.8834399,0.2750543,-0.2176210,-0.3106771,-217.352,150.165,-1693.691,0.5654486,3,OK,-217.195,149.497,-1693.886,OK,-224.738,242.330,-1656.254,OK,-283.543,212.729,-1713.344
3,Port 0x01: JJH Probe  s/n:3E4C880C,914929138,1782474418.968628513,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,914929138,1782474418.968628513,1,OK,0.6975855,0.1744160,-0.1117820,-0.6858996,12.366,154.205,-1624.556,0.2188771,3,OK,12.172,154.103,-1624.650,OK,-71.138,188.497,-1657.281,OK,9.315,243.758,-1617.058,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,914929138,1782474418.968628513,1,OK,0.8833804,0.2750847,-0.2179468,-0.3105909,-217.363,150.159,-1693.638,0.5571133,3,OK,-217.194,149.488,-1693.825,OK,-224.748,242.334,-1656.202,OK,-283.570,212.725,-1713.368
3,Port 0x01: JJH Probe  s/n:3E4C880C,914929141,1782474419.018628513,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,914929141,1782474419.018628513,1,OK,0.6975715,0.1743179,-0.1117882,-0.6859378,12.359,154.203,-1624.557,0.2126469,3,OK,12.169,154.106,-1624.649,OK,-71.148,188.503,-1657.276,OK,9.315,243.748,-1617.073,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,914929141,1782474419.018628513,1,OK,0.8834409,0.2747642,-0.2181056,-0.3105909,-217.383,150.154,-1693.594,0.5579983,3,OK,-217.207,149.489,-1693.773,OK,-224.768,242.335,-1656.245,OK,-283.568,212.734,-1713.357
3,Port 0x01: JJH Probe  s/n:3E4C880C,914929144,1782474419.068628513,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,914929144,1782474419.068628513,1,OK,0.6976479,0.1742794,-0.1115998,-0.6859005,12.388,154.211,-1624.600,0.2216561,3,OK,12.186,154.116,-1624.696,OK,-71.123,188.495,-1657.280,OK,9.325,243.754,-1617.100,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,914929144,1782474419.068628513,1,OK,0.8835253,0.2744591,-0.2182075,-0.3105493,-217.366,150.137,-1693.556,0.5595980,3,OK,-217.186,149.476,-1693.729,OK,-224.756,242.327,-1656.284,OK,-283.541,212.720,-1713.349
3,Port 0x01: JJH Probe  s/n:3E4C880C,914929147,1782474419.118628513,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,914929147,1782474419.118628513,1,OK,0.6976236,0.1743601,-0.1117979,-0.6858725,12.399,154.210,-1624.556,0.2108750,3,OK,12.215,154.107,-1624.645,OK,-71.112,188.500,-1657.280,OK,9.336,243.755,-1617.072,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,914929147,1782474419.118628513,1,OK,0.8835086,0.2748877,-0.2175309,-0.3106923,-217.344,150.155,-1693.671,0.5725203,3,OK,-217.188,149.485,-1693.869,OK,-224.727,242.332,-1656.264,OK,-283.527,212.717,-1713.311
3,Port 0x01: JJH Probe  s/n:3E4C880C,914929150,1782474419.168628513,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,914929150,1782474419.168628513,1,OK,0.6975885,0.1744792,-0.1115096,-0.6859249,12.366,154.195,-1624.604,0.2234314,3,OK,12.162,154.101,-1624.702,OK,-71.145,188.489,-1657.286,OK,9.315,243.742,-1617.063,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,914929150,1782474419.168628513,1,OK,0.8834313,0.2746829,-0.2182478,-0.3105901,-217.374,150.125,-1693.543,0.5509572,3,OK,-217.192,149.465,-1693.715,OK,-224.749,242.306,-1656.216,OK,-283.561,212.713,-1713.342
