Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,914973679,1782475161.318619187,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,914973679,1782475161.318619187,1,OK,0.6937837,0.1472531,-0.1158129,-0.6953906,5.999,154.885,-1607.159,0.2208113,3,OK,5.786,154.807,-1607.246,OK,-77.675,190.066,-1638.413,OK,5.463,244.691,-1603.192,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,914973679,1782475161.318619187,1,OK,0.8019527,-0.0155584,0.4208123,-0.4237297,-182.885,156.090,-1552.295,0.5543118,3,OK,-182.761,155.516,-1552.722,OK,-146.167,248.072,-1544.173,OK,-209.574,221.168,-1490.391
3,Port 0x01: JJH Probe  s/n:3E4C880C,914973682,1782475161.368619187,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,914973682,1782475161.368619187,1,OK,0.6936899,0.1472306,-0.1163580,-0.6953980,5.974,154.891,-1607.013,0.2179663,3,OK,5.770,154.801,-1607.097,OK,-77.676,190.076,-1638.360,OK,5.465,244.710,-1603.113,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,914973682,1782475161.368619187,1,OK,0.8019813,-0.0156996,0.4207638,-0.4237184,-182.863,156.087,-1552.273,0.5490025,3,OK,-182.741,155.517,-1552.696,OK,-146.155,248.080,-1544.181,OK,-209.566,221.170,-1490.384
3,Port 0x01: JJH Probe  s/n:3E4C880C,914973685,1782475161.418619187,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,914973685,1782475161.418619187,1,OK,0.6937458,0.1474800,-0.1157883,-0.6953844,5.965,154.903,-1607.081,0.2226996,3,OK,5.750,154.824,-1607.169,OK,-77.702,190.091,-1638.348,OK,5.431,244.712,-1603.080,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,914973685,1782475161.418619187,1,OK,0.8019794,-0.0158420,0.4206963,-0.4237839,-182.884,156.088,-1552.240,0.5378999,3,OK,-182.764,155.532,-1552.654,OK,-146.178,248.080,-1544.181,OK,-209.584,221.183,-1490.381
3,Port 0x01: JJH Probe  s/n:3E4C880C,914973688,1782475161.468619187,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,914973688,1782475161.468619187,1,OK,0.6938076,0.1472950,-0.1154870,-0.6954121,5.998,154.887,-1607.063,0.2324135,3,OK,5.772,154.809,-1607.155,OK,-77.677,190.072,-1638.259,OK,5.451,244.695,-1603.051,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,914973688,1782475161.468619187,1,OK,0.8020569,-0.0156966,0.4205430,-0.4237947,-182.849,156.071,-1552.260,0.5344790,3,OK,-182.735,155.514,-1552.667,OK,-146.147,248.063,-1544.167,OK,-209.558,221.157,-1490.422
3,Port 0x01: JJH Probe  s/n:3E4C880C,914973691,1782475161.518619187,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,914973691,1782475161.518619187,1,OK,0.6938155,0.1471205,-0.1154886,-0.6954409,5.972,154.911,-1607.056,0.2355242,3,OK,5.748,154.824,-1607.148,OK,-77.703,190.099,-1638.237,OK,5.426,244.724,-1603.067,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,914973691,1782475161.518619187,1,OK,0.8019210,-0.0156995,0.4208579,-0.4237393,-182.878,156.087,-1552.269,0.5469585,3,OK,-182.754,155.522,-1552.691,OK,-146.162,248.071,-1544.178,OK,-209.561,221.168,-1490.372
3,Port 0x01: JJH Probe  s/n:3E4C880C,914973694,1782475161.568619187,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,914973694,1782475161.568619187,1,OK,0.6937216,0.1473158,-0.1160148,-0.6954056,5.926,154.907,-1606.944,0.2166684,3,OK,5.729,154.809,-1607.027,OK,-77.737,190.107,-1638.238,OK,5.395,244.723,-1602.995,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,914973694,1782475161.568619187,1,OK,0.8019780,-0.0158367,0.4207512,-0.4237322,-182.881,156.081,-1552.243,0.5412559,3,OK,-182.765,155.515,-1552.658,OK,-146.179,248.084,-1544.176,OK,-209.580,221.168,-1490.376
3,Port 0x01: JJH Probe  s/n:3E4C880C,914973697,1782475161.618619187,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,914973697,1782475161.618619187,1,OK,0.6937417,0.1474685,-0.1158047,-0.6953882,5.961,154.915,-1606.933,0.2188207,3,OK,5.759,154.819,-1607.017,OK,-77.708,190.116,-1638.203,OK,5.417,244.729,-1602.940,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,914973697,1782475161.618619187,1,OK,0.8020353,-0.0156585,0.4206062,-0.4237743,-182.853,156.084,-1552.267,0.5437732,3,OK,-182.737,155.517,-1552.682,OK,-146.148,248.076,-1544.165,OK,-209.560,221.171,-1490.410
3,Port 0x01: JJH Probe  s/n:3E4C880C,914973700,1782475161.668619187,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,914973700,1782475161.668619187,1,OK,0.6937731,0.1477053,-0.1151529,-0.6954149,5.938,154.914,-1606.976,0.2363392,3,OK,5.710,154.832,-1607.070,OK,-77.736,190.117,-1638.145,OK,5.380,244.722,-1602.870,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,914973700,1782475161.668619187,1,OK,0.8019567,-0.0158734,0.4207710,-0.4237513,-182.888,156.083,-1552.254,0.5411772,3,OK,-182.767,155.521,-1552.671,OK,-146.184,248.078,-1544.198,OK,-209.584,221.175,-1490.384
3,Port 0x01: JJH Probe  s/n:3E4C880C,914973703,1782475161.718619187,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,914973703,1782475161.718619187,1,OK,0.6938480,0.1475125,-0.1151539,-0.6953809,5.957,154.925,-1606.949,0.2321700,3,OK,5.737,154.836,-1607.039,OK,-77.733,190.118,-1638.106,OK,5.384,244.736,-1602.871,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,914973703,1782475161.718619187,1,OK,0.8020369,-0.0158607,0.4206040,-0.4237659,-182.866,156.081,-1552.241,0.5366572,3,OK,-182.748,155.522,-1552.652,OK,-146.170,248.081,-1544.181,OK,-209.580,221.176,-1490.396
3,Port 0x01: JJH Probe  s/n:3E4C880C,914973706,1782475161.768619187,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,914973706,1782475161.768619187,1,OK,0.6937800,0.1478585,-0.1150292,-0.6953959,5.967,154.933,-1607.024,0.2325123,3,OK,5.745,154.847,-1607.115,OK,-77.717,190.141,-1638.186,OK,5.399,244.743,-1602.883,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,914973706,1782475161.768619187,1,OK,0.8020787,-0.0156003,0.4205072,-0.4237925,-182.843,156.083,-1552.248,0.5383841,3,OK,-182.727,155.525,-1552.657,OK,-146.144,248.067,-1544.131,OK,-209.552,221.169,-1490.409
