Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,914664682,1782470011.368621496,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,914664682,1782470011.368621496,1,OK,0.6822174,0.2306191,-0.0350843,-0.6929383,3.683,148.557,-1586.787,0.2422739,3,OK,3.446,148.507,-1586.900,OK,-80.946,187.456,-1610.072,OK,0.395,235.035,-1562.326,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,914664682,1782470011.368621496,1,OK,0.8016564,-0.0170006,0.4216366,-0.4234153,-181.322,152.405,-1552.562,0.5354853,3,OK,-181.207,151.846,-1552.972,OK,-144.709,244.454,-1544.672,OK,-207.930,217.508,-1490.684
3,Port 0x01: JJH Probe  s/n:3E4C880C,914664685,1782470011.418621496,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,914664685,1782470011.418621496,1,OK,0.6843095,0.2252045,-0.0401109,-0.6923832,3.657,149.252,-1588.367,0.2633331,3,OK,3.395,149.202,-1588.488,OK,-81.005,187.692,-1612.198,OK,0.305,236.104,-1565.230,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,914664685,1782470011.418621496,1,OK,0.8016457,-0.0168769,0.4215857,-0.4234913,-181.317,152.384,-1552.611,0.5398492,3,OK,-181.199,151.824,-1553.024,OK,-144.693,244.418,-1544.700,OK,-207.913,217.495,-1490.736
3,Port 0x01: JJH Probe  s/n:3E4C880C,914664688,1782470011.468621496,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,914664688,1782470011.468621496,1,OK,0.6874576,0.2164983,-0.0499293,-0.6914026,3.514,150.360,-1590.567,0.2490803,3,OK,3.272,150.302,-1590.681,OK,-81.153,188.098,-1615.567,OK,0.081,237.802,-1569.788,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,914664688,1782470011.468621496,1,OK,0.8014914,-0.0171046,0.4219350,-0.4234263,-181.343,152.402,-1552.639,0.5352033,3,OK,-181.223,151.846,-1553.052,OK,-144.709,244.446,-1544.779,OK,-207.915,217.503,-1490.724
3,Port 0x01: JJH Probe  s/n:3E4C880C,914664691,1782470011.518621496,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,914664691,1782470011.518621496,1,OK,0.6905025,0.2079960,-0.0569582,-0.6904344,3.338,151.461,-1592.630,0.2556273,3,OK,3.085,151.402,-1592.745,OK,-81.406,188.490,-1618.299,OK,-0.224,239.336,-1573.857,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,914664691,1782470011.518621496,1,OK,0.8017232,-0.0172622,0.4214593,-0.4234548,-181.373,152.411,-1552.598,0.5261385,3,OK,-181.256,151.866,-1553.001,OK,-144.781,244.466,-1544.762,OK,-208.003,217.539,-1490.764
3,Port 0x01: JJH Probe  s/n:3E4C880C,914664694,1782470011.568621496,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,914664694,1782470011.568621496,1,OK,0.6930163,0.2018410,-0.0635518,-0.6891659,3.215,152.321,-1594.224,0.2518707,3,OK,2.965,152.261,-1594.337,OK,-81.579,188.711,-1620.658,OK,-0.516,240.526,-1577.108,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,914664694,1782470011.568621496,1,OK,0.8015914,-0.0170304,0.4216492,-0.4235247,-181.316,152.420,-1552.648,0.5354803,3,OK,-181.195,151.867,-1553.061,OK,-144.683,244.455,-1544.779,OK,-207.910,217.539,-1490.769
3,Port 0x01: JJH Probe  s/n:3E4C880C,914664697,1782470011.618621494,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,914664697,1782470011.618621494,1,OK,0.6943318,0.1983917,-0.0668427,-0.6885319,3.090,152.820,-1595.232,0.2646815,3,OK,2.832,152.747,-1595.351,OK,-81.732,188.862,-1622.015,OK,-0.720,241.204,-1578.989,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,914664697,1782470011.618621494,1,OK,0.8015283,-0.0171708,0.4218156,-0.4234727,-181.361,152.458,-1552.620,0.5337292,3,OK,-181.239,151.905,-1553.033,OK,-144.728,244.502,-1544.780,OK,-207.948,217.572,-1490.722
3,Port 0x01: JJH Probe  s/n:3E4C880C,914664700,1782470011.668621494,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,914664700,1782470011.668621494,1,OK,0.6947957,0.1970965,-0.0681891,-0.6883038,3.041,152.926,-1595.683,0.2640448,3,OK,2.780,152.862,-1595.801,OK,-81.796,188.834,-1622.620,OK,-0.781,241.369,-1579.778,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,914664700,1782470011.668621494,1,OK,0.8016776,-0.0171466,0.4214157,-0.4235892,-181.383,152.413,-1552.603,0.5305203,3,OK,-181.269,151.861,-1553.007,OK,-144.766,244.457,-1544.753,OK,-207.992,217.552,-1490.776
3,Port 0x01: JJH Probe  s/n:3E4C880C,914664703,1782470011.718621494,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,914664703,1782470011.718621494,1,OK,0.6951729,0.1951763,-0.0696975,-0.6883190,3.141,152.998,-1596.007,0.2666070,3,OK,2.878,152.929,-1596.125,OK,-81.676,188.817,-1623.056,OK,-0.661,241.512,-1580.542,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,914664703,1782470011.718621494,1,OK,0.8016736,-0.0169785,0.4215244,-0.4234954,-181.337,152.418,-1552.641,0.5401179,3,OK,-181.216,151.860,-1553.056,OK,-144.718,244.455,-1544.755,OK,-207.952,217.540,-1490.771
3,Port 0x01: JJH Probe  s/n:3E4C880C,914664706,1782470011.768621494,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,914664706,1782470011.768621494,1,OK,0.6954909,0.1937436,-0.0710830,-0.6882609,3.155,153.112,-1596.308,0.2668411,3,OK,2.889,153.050,-1596.426,OK,-81.653,188.839,-1623.494,OK,-0.626,241.683,-1581.200,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,914664706,1782470011.768621494,1,OK,0.8016211,-0.0170272,0.4215675,-0.4235499,-181.344,152.443,-1552.632,0.5370690,3,OK,-181.224,151.889,-1553.044,OK,-144.718,244.477,-1544.758,OK,-207.939,217.571,-1490.770
3,Port 0x01: JJH Probe  s/n:3E4C880C,914664709,1782470011.818621494,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,914664709,1782470011.818621494,1,OK,0.6959890,0.1922422,-0.0727103,-0.6880084,3.095,153.255,-1596.888,0.2651371,3,OK,2.828,153.199,-1597.005,OK,-81.721,188.836,-1624.260,OK,-0.698,241.891,-1582.182,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,914664709,1782470011.818621494,1,OK,0.8015577,-0.0172067,0.4217832,-0.4234479,-181.387,152.411,-1552.625,0.5408694,3,OK,-181.264,151.852,-1553.044,OK,-144.767,244.458,-1544.786,OK,-207.982,217.534,-1490.730
