Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,914652520,1782469808.668617015,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,914652520,1782469808.668617015,1,OK,0.6872543,0.0617707,-0.2182122,-0.6901082,24.353,138.916,-1661.664,0.3114400,3,OK,24.011,138.971,-1661.824,OK,-56.612,168.666,-1703.598,OK,28.736,226.578,-1680.915,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,914652520,1782469808.668617015,1,OK,0.8933507,0.2565823,-0.1740930,-0.3252411,-218.498,145.698,-1685.440,0.6094947,3,OK,-218.303,145.006,-1685.620,OK,-221.848,237.987,-1647.980,OK,-286.092,208.525,-1698.587
3,Port 0x01: JJH Probe  s/n:3E4C880C,914652523,1782469808.718617015,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,914652523,1782469808.718617015,1,OK,0.6868886,0.0626169,-0.2178201,-0.6905198,24.430,138.810,-1661.390,0.3021494,3,OK,24.099,138.863,-1661.545,OK,-56.494,168.698,-1703.332,OK,28.885,226.504,-1680.468,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,914652523,1782469808.718617015,1,OK,0.8932064,0.2571260,-0.1738598,-0.3253325,-218.490,145.701,-1685.517,0.5968707,3,OK,-218.307,145.016,-1685.702,OK,-221.823,237.958,-1647.926,OK,-286.094,208.520,-1698.595
3,Port 0x01: JJH Probe  s/n:3E4C880C,914652526,1782469808.768617015,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,914652526,1782469808.768617015,1,OK,0.6867906,0.0619393,-0.2183170,-0.6905215,24.481,138.726,-1661.534,0.3070941,3,OK,24.144,138.776,-1661.690,OK,-56.433,168.583,-1703.504,OK,28.976,226.392,-1680.754,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,914652526,1782469808.768617015,1,OK,0.8932491,0.2571024,-0.1737987,-0.3252668,-218.491,145.690,-1685.504,0.6050992,3,OK,-218.310,144.998,-1685.693,OK,-221.842,237.955,-1647.919,OK,-286.098,208.499,-1698.572
3,Port 0x01: JJH Probe  s/n:3E4C880C,914652529,1782469808.818617015,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,914652529,1782469808.818617015,1,OK,0.6866620,0.0613823,-0.2186296,-0.6906002,24.499,138.701,-1661.506,0.3040744,3,OK,24.166,138.733,-1661.656,OK,-56.406,168.565,-1703.487,OK,29.030,226.354,-1680.834,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,914652529,1782469808.818617015,1,OK,0.8931548,0.2572308,-0.1741882,-0.3252159,-218.512,145.687,-1685.487,0.5948884,3,OK,-218.320,144.998,-1685.668,OK,-221.869,237.944,-1647.899,OK,-286.127,208.509,-1698.625
3,Port 0x01: JJH Probe  s/n:3E4C880C,914652532,1782469808.868617015,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,914652532,1782469808.868617015,1,OK,0.6866225,0.0617881,-0.2184129,-0.6906718,24.556,138.657,-1661.499,0.2980303,3,OK,24.229,138.713,-1661.653,OK,-56.346,168.554,-1703.478,OK,29.089,226.303,-1680.741,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,914652532,1782469808.868617015,1,OK,0.8930425,0.2576393,-0.1739504,-0.3253280,-218.491,145.697,-1685.581,0.5949889,3,OK,-218.314,145.003,-1685.774,OK,-221.831,237.941,-1647.885,OK,-286.102,208.513,-1698.651
3,Port 0x01: JJH Probe  s/n:3E4C880C,914652535,1782469808.918617015,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,914652535,1782469808.918617015,1,OK,0.6865138,0.0629830,-0.2173864,-0.6909958,24.555,138.645,-1661.313,0.3134985,3,OK,24.211,138.719,-1661.478,OK,-56.339,168.655,-1703.211,OK,29.104,226.353,-1680.265,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,914652535,1782469808.918617015,1,OK,0.8931740,0.2574825,-0.1734751,-0.3253451,-218.475,145.711,-1685.591,0.6080245,3,OK,-218.305,145.017,-1685.789,OK,-221.824,237.952,-1647.911,OK,-286.083,208.514,-1698.574
3,Port 0x01: JJH Probe  s/n:3E4C880C,914652538,1782469808.968617015,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,914652538,1782469808.968617015,1,OK,0.6863471,0.0628557,-0.2179607,-0.6909921,24.535,138.678,-1661.074,0.2899972,3,OK,24.218,138.711,-1661.219,OK,-56.324,168.701,-1703.065,OK,29.108,226.381,-1680.119,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,914652538,1782469808.968617015,1,OK,0.8931096,0.2574163,-0.1738772,-0.3253596,-218.473,145.695,-1685.562,0.6016505,3,OK,-218.287,144.994,-1685.752,OK,-221.804,237.948,-1647.907,OK,-286.087,208.522,-1698.629
3,Port 0x01: JJH Probe  s/n:3E4C880C,914652541,1782469809.018617015,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,914652541,1782469809.018617015,1,OK,0.6864846,0.0628625,-0.2168499,-0.6912042,24.570,138.682,-1660.925,0.3194277,3,OK,24.220,138.723,-1661.085,OK,-56.323,168.759,-1702.721,OK,29.107,226.419,-1679.838,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,914652541,1782469809.018617015,1,OK,0.8931288,0.2574123,-0.1737728,-0.3253659,-218.495,145.702,-1685.553,0.5987577,3,OK,-218.317,145.010,-1685.745,OK,-221.826,237.952,-1647.895,OK,-286.103,208.520,-1698.600
3,Port 0x01: JJH Probe  s/n:3E4C880C,914652544,1782469809.068617015,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,914652544,1782469809.068617015,1,OK,0.6863140,0.0635399,-0.2166737,-0.6913670,24.549,138.682,-1660.659,0.3082762,3,OK,24.211,138.717,-1660.812,OK,-56.319,168.830,-1702.483,OK,29.111,226.444,-1679.458,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,914652544,1782469809.068617015,1,OK,0.8930312,0.2573878,-0.1744793,-0.3252749,-218.516,145.679,-1685.464,0.5801860,3,OK,-218.327,144.995,-1685.645,OK,-221.845,237.940,-1647.842,OK,-286.127,208.508,-1698.654
3,Port 0x01: JJH Probe  s/n:3E4C880C,914652547,1782469809.118617015,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,914652547,1782469809.118617015,1,OK,0.6862546,0.0644694,-0.2158354,-0.6916020,24.519,138.780,-1660.230,0.3101183,3,OK,24.180,138.800,-1660.380,OK,-56.345,169.027,-1701.987,OK,29.073,226.603,-1678.809,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,914652547,1782469809.118617015,1,OK,0.8932041,0.2571467,-0.1742148,-0.3251325,-218.515,145.686,-1685.492,0.5997747,3,OK,-218.322,144.994,-1685.674,OK,-221.892,237.951,-1647.928,OK,-286.132,208.499,-1698.640
