Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,914716288,1782470871.468626987,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,914716288,1782470871.468626987,1,OK,0.6988147,0.1230801,-0.1701150,-0.6837911,9.376,149.270,-1644.287,0.2917379,3,OK,9.087,149.182,-1644.410,OK,-72.752,180.312,-1682.926,OK,8.781,238.995,-1650.518,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,914716288,1782470871.468626987,1,OK,0.8559781,0.0414022,0.2968762,-0.4212504,-200.926,151.211,-1593.812,0.5911636,3,OK,-200.671,150.580,-1594.205,OK,-168.324,243.608,-1576.468,OK,-244.854,216.615,-1542.869
3,Port 0x01: JJH Probe  s/n:3E4C880C,914716291,1782470871.518626987,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,914716291,1782470871.518626987,1,OK,0.6988689,0.1230678,-0.1701828,-0.6837209,9.390,149.286,-1644.304,0.2940474,3,OK,9.093,149.214,-1644.432,OK,-72.739,180.301,-1682.954,OK,8.790,239.002,-1650.544,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,914716291,1782470871.518626987,1,OK,0.8559229,0.0417891,0.2969196,-0.4212937,-200.924,151.230,-1593.856,0.5992070,3,OK,-200.662,150.594,-1594.256,OK,-168.303,243.598,-1576.440,OK,-244.840,216.626,-1542.875
3,Port 0x01: JJH Probe  s/n:3E4C880C,914716294,1782470871.568626987,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,914716294,1782470871.568626987,1,OK,0.6989636,0.1228628,-0.1696909,-0.6837833,9.414,149.280,-1644.468,0.3178014,3,OK,9.087,149.218,-1644.609,OK,-72.730,180.290,-1683.009,OK,8.801,239.001,-1650.672,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,914716294,1782470871.568626987,1,OK,0.8560843,0.0415444,0.2964850,-0.4212960,-200.899,151.205,-1593.839,0.5890999,3,OK,-200.644,150.577,-1594.232,OK,-168.312,243.597,-1576.475,OK,-244.854,216.623,-1542.946
3,Port 0x01: JJH Probe  s/n:3E4C880C,914716297,1782470871.618626987,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,914716297,1782470871.618626987,1,OK,0.6989771,0.1224554,-0.1700341,-0.6837573,9.394,149.293,-1644.414,0.3110981,3,OK,9.083,149.207,-1644.547,OK,-72.751,180.290,-1682.984,OK,8.783,239.016,-1650.719,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,914716297,1782470871.618626987,1,OK,0.8561138,0.0412600,0.2964449,-0.4212922,-200.925,151.194,-1593.828,0.5790873,3,OK,-200.677,150.573,-1594.213,OK,-168.347,243.605,-1576.520,OK,-244.885,216.617,-1542.967
3,Port 0x01: JJH Probe  s/n:3E4C880C,914716300,1782470871.668626988,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,914716300,1782470871.668626988,1,OK,0.6989498,0.1228521,-0.1699887,-0.6837253,9.352,149.282,-1644.469,0.3097480,3,OK,9.038,149.209,-1644.604,OK,-72.787,180.281,-1683.064,OK,8.743,239.007,-1650.713,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,914716300,1782470871.668626988,1,OK,0.8561020,0.0419329,0.2963927,-0.4212866,-200.969,151.209,-1593.906,0.5936432,3,OK,-200.713,150.574,-1594.302,OK,-168.381,243.583,-1576.466,OK,-244.928,216.614,-1542.997
3,Port 0x01: JJH Probe  s/n:3E4C880C,914716303,1782470871.718626988,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,914716303,1782470871.718626988,1,OK,0.6989397,0.1227293,-0.1703287,-0.6836731,9.363,149.293,-1644.494,0.2984027,3,OK,9.063,149.217,-1644.623,OK,-72.769,180.281,-1683.140,OK,8.757,239.007,-1650.799,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,914716303,1782470871.718626988,1,OK,0.8562016,0.0417997,0.2960304,-0.4213521,-200.956,151.198,-1593.893,0.5835695,3,OK,-200.707,150.569,-1594.281,OK,-168.379,243.586,-1576.487,OK,-244.937,216.621,-1543.056
3,Port 0x01: JJH Probe  s/n:3E4C880C,914716306,1782470871.768626988,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,914716306,1782470871.768626988,1,OK,0.6989178,0.1227046,-0.1705681,-0.6836403,9.362,149.299,-1644.474,0.2946168,3,OK,9.070,149.213,-1644.599,OK,-72.762,180.282,-1683.161,OK,8.760,239.017,-1650.814,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,914716306,1782470871.768626988,1,OK,0.8561493,0.0419508,0.2962163,-0.4213126,-200.966,151.211,-1593.959,0.5919791,3,OK,-200.712,150.576,-1594.354,OK,-168.374,243.591,-1576.523,OK,-244.944,216.619,-1543.075
3,Port 0x01: JJH Probe  s/n:3E4C880C,914716309,1782470871.818626988,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,914716309,1782470871.818626988,1,OK,0.6989273,0.1226359,-0.1705062,-0.6836583,9.330,149.297,-1644.511,0.2996987,3,OK,9.030,149.215,-1644.639,OK,-72.802,180.273,-1683.182,OK,8.735,239.018,-1650.848,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,914716309,1782470871.818626988,1,OK,0.8561119,0.0416070,0.2964700,-0.4212445,-201.000,151.204,-1593.950,0.5865040,3,OK,-200.747,150.577,-1594.341,OK,-168.421,243.597,-1576.572,OK,-244.964,216.609,-1543.055
3,Port 0x01: JJH Probe  s/n:3E4C880C,914716312,1782470871.868626988,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,914716312,1782470871.868626988,1,OK,0.6990186,0.1224698,-0.1701789,-0.6836763,9.357,149.300,-1644.578,0.3116375,3,OK,9.041,149.224,-1644.713,OK,-72.787,180.271,-1683.174,OK,8.742,239.019,-1650.898,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,914716312,1782470871.868626988,1,OK,0.8561968,0.0414750,0.2961944,-0.4212788,-200.977,151.197,-1593.939,0.5827667,3,OK,-200.728,150.570,-1594.326,OK,-168.411,243.604,-1576.590,OK,-244.960,216.620,-1543.099
3,Port 0x01: JJH Probe  s/n:3E4C880C,914716315,1782470871.918626988,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,914716315,1782470871.918626988,1,OK,0.6989502,0.1228261,-0.1703120,-0.6836491,9.346,149.297,-1644.528,0.3035576,3,OK,9.037,149.229,-1644.661,OK,-72.786,180.274,-1683.178,OK,8.742,239.015,-1650.815,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,914716315,1782470871.918626988,1,OK,0.8561316,0.0417264,0.2964060,-0.4212375,-200.989,151.212,-1593.971,0.5894844,3,OK,-200.736,150.580,-1594.364,OK,-168.413,243.601,-1576.569,OK,-244.958,216.615,-1543.076
