Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,914713480,1782470824.668603053,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,914713480,1782470824.668603053,1,OK,0.7065574,0.0709980,-0.2121528,-0.6713622,15.934,147.649,-1658.764,0.3019130,3,OK,15.600,147.681,-1658.917,OK,-66.686,173.166,-1700.273,OK,15.256,235.611,-1677.099,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,914713480,1782470824.668603053,1,OK,0.8940415,0.2558444,-0.1757751,-0.3230116,-219.399,146.192,-1686.024,0.6076635,3,OK,-219.197,145.503,-1686.198,OK,-223.182,238.595,-1648.907,OK,-287.158,208.751,-1699.626
3,Port 0x01: JJH Probe  s/n:3E4C880C,914713483,1782470824.718603053,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,914713483,1782470824.718603053,1,OK,0.7065249,0.0705288,-0.2125304,-0.6713263,15.959,147.665,-1658.652,0.3019814,3,OK,15.628,147.673,-1658.799,OK,-66.656,173.157,-1700.185,OK,15.297,235.626,-1677.097,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,914713483,1782470824.718603053,1,OK,0.8939477,0.2559950,-0.1759906,-0.3230346,-219.367,146.192,-1686.028,0.6013408,3,OK,-219.163,145.505,-1686.200,OK,-223.143,238.591,-1648.888,OK,-287.121,208.762,-1699.661
3,Port 0x01: JJH Probe  s/n:3E4C880C,914713486,1782470824.768603053,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,914713486,1782470824.768603053,1,OK,0.7065322,0.0706597,-0.2124385,-0.6713340,15.976,147.665,-1658.621,0.3021689,3,OK,15.643,147.683,-1658.771,OK,-66.637,173.164,-1700.148,OK,15.308,235.620,-1677.037,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,914713486,1782470824.768603053,1,OK,0.8938644,0.2563117,-0.1758813,-0.3230735,-219.359,146.192,-1686.089,0.5959424,3,OK,-219.166,145.504,-1686.268,OK,-223.128,238.580,-1648.872,OK,-287.118,208.752,-1699.688
3,Port 0x01: JJH Probe  s/n:3E4C880C,914713489,1782470824.818603053,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,914713489,1782470824.818603053,1,OK,0.7063703,0.0709945,-0.2127480,-0.6713710,15.882,147.652,-1658.634,0.2845762,3,OK,15.569,147.666,-1658.775,OK,-66.708,173.175,-1700.248,OK,15.246,235.607,-1677.042,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,914713489,1782470824.818603053,1,OK,0.8938283,0.2563091,-0.1761521,-0.3230279,-219.416,146.196,-1686.030,0.5902194,3,OK,-219.216,145.511,-1686.204,OK,-223.189,238.587,-1648.828,OK,-287.177,208.762,-1699.683
3,Port 0x01: JJH Probe  s/n:3E4C880C,914713492,1782470824.868603053,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,914713492,1782470824.868603053,1,OK,0.7065307,0.0707933,-0.2123184,-0.6713595,15.945,147.661,-1658.684,0.3028334,3,OK,15.611,147.679,-1658.835,OK,-66.670,173.171,-1700.203,OK,15.275,235.624,-1677.068,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,914713492,1782470824.868603053,1,OK,0.8938051,0.2564505,-0.1759454,-0.3230926,-219.386,146.198,-1686.091,0.5997019,3,OK,-219.191,145.504,-1686.272,OK,-223.157,238.584,-1648.849,OK,-287.140,208.766,-1699.690
3,Port 0x01: JJH Probe  s/n:3E4C880C,914713495,1782470824.918603053,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,914713495,1782470824.918603053,1,OK,0.7064973,0.0711242,-0.2121870,-0.6714012,15.977,147.644,-1658.639,0.3072073,3,OK,15.638,147.673,-1658.794,OK,-66.625,173.172,-1700.161,OK,15.311,235.613,-1676.961,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,914713495,1782470824.918603053,1,OK,0.8938198,0.2563136,-0.1761550,-0.3230463,-219.346,146.191,-1686.031,0.5935033,3,OK,-219.141,145.499,-1686.204,OK,-223.114,238.584,-1648.826,OK,-287.112,208.765,-1699.685
3,Port 0x01: JJH Probe  s/n:3E4C880C,914713498,1782470824.968603053,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,914713498,1782470824.968603053,1,OK,0.7065513,0.0708059,-0.2123645,-0.6713219,15.947,147.660,-1658.655,0.2981241,3,OK,15.619,147.678,-1658.803,OK,-66.667,173.166,-1700.183,OK,15.267,235.618,-1677.045,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,914713498,1782470824.968603053,1,OK,0.8938212,0.2565003,-0.1759187,-0.3230230,-219.373,146.208,-1686.103,0.5960301,3,OK,-219.183,145.517,-1686.285,OK,-223.156,238.593,-1648.850,OK,-287.137,208.760,-1699.701
3,Port 0x01: JJH Probe  s/n:3E4C880C,914713501,1782470825.018603053,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,914713501,1782470825.018603053,1,OK,0.7064493,0.0706940,-0.2127866,-0.6713074,15.923,147.662,-1658.585,0.2881902,3,OK,15.607,147.669,-1658.725,OK,-66.674,173.163,-1700.177,OK,15.268,235.612,-1677.041,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,914713501,1782470825.018603053,1,OK,0.8938692,0.2562758,-0.1760340,-0.3230056,-219.381,146.194,-1686.031,0.5979260,3,OK,-219.179,145.501,-1686.207,OK,-223.162,238.587,-1648.833,OK,-287.147,208.757,-1699.664
3,Port 0x01: JJH Probe  s/n:3E4C880C,914713504,1782470825.068603053,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,914713504,1782470825.068603053,1,OK,0.7065179,0.0710405,-0.2123344,-0.6713418,15.939,147.649,-1658.687,0.2959739,3,OK,15.613,147.673,-1658.836,OK,-66.670,173.165,-1700.232,OK,15.267,235.611,-1677.041,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,914713504,1782470825.068603053,1,OK,0.8938747,0.2560926,-0.1763664,-0.3229544,-219.382,146.185,-1685.999,0.5881926,3,OK,-219.172,145.501,-1686.166,OK,-223.161,238.587,-1648.855,OK,-287.148,208.753,-1699.708
3,Port 0x01: JJH Probe  s/n:3E4C880C,914713507,1782470825.118603053,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,914713507,1782470825.118603053,1,OK,0.7064204,0.0705998,-0.2129034,-0.6713107,15.930,147.669,-1658.557,0.2906395,3,OK,15.614,147.658,-1658.694,OK,-66.658,173.168,-1700.159,OK,15.281,235.626,-1677.043,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,914713507,1782470825.118603053,1,OK,0.8939560,0.2561217,-0.1757289,-0.3230536,-219.377,146.200,-1686.103,0.6070654,3,OK,-219.179,145.507,-1686.281,OK,-223.155,238.594,-1648.922,OK,-287.137,208.761,-1699.681
