Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,914711293,1782470788.218587433,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,914711293,1782470788.218587433,1,OK,0.6844419,0.2471166,-0.0349964,-0.6850168,10.666,146.129,-1603.357,0.2556021,3,OK,10.430,146.071,-1603.480,OK,-73.948,184.231,-1628.074,OK,5.450,232.039,-1577.167,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,914711293,1782470788.218587433,1,OK,0.8934692,0.2569562,-0.1765486,-0.3232907,-219.578,145.952,-1686.332,0.5855973,3,OK,-219.374,145.270,-1686.503,OK,-223.325,238.297,-1649.025,OK,-287.291,208.582,-1699.992
3,Port 0x01: JJH Probe  s/n:3E4C880C,914711296,1782470788.268587433,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,914711296,1782470788.268587433,1,OK,0.6854030,0.2447792,-0.0377233,-0.6847501,10.598,146.511,-1604.066,0.2606150,3,OK,10.354,146.457,-1604.192,OK,-74.000,184.411,-1629.114,OK,5.353,232.612,-1578.520,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,914711296,1782470788.268587433,1,OK,0.8935576,0.2568896,-0.1762490,-0.3232628,-219.560,145.953,-1686.336,0.6016543,3,OK,-219.366,145.262,-1686.516,OK,-223.327,238.306,-1649.032,OK,-287.267,208.567,-1699.937
3,Port 0x01: JJH Probe  s/n:3E4C880C,914711299,1782470788.318587433,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,914711299,1782470788.318587433,1,OK,0.6860643,0.2432012,-0.0382824,-0.6846192,10.570,146.713,-1604.489,0.2683251,3,OK,10.306,146.668,-1604.618,OK,-74.052,184.474,-1629.526,OK,5.282,232.879,-1579.228,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,914711299,1782470788.318587433,1,OK,0.8934741,0.2571729,-0.1762867,-0.3232476,-219.589,145.960,-1686.372,0.5984478,3,OK,-219.398,145.265,-1686.556,OK,-223.359,238.306,-1649.008,OK,-287.304,208.569,-1699.968
3,Port 0x01: JJH Probe  s/n:3E4C880C,914711302,1782470788.368587433,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,914711302,1782470788.368587433,1,OK,0.6864241,0.2423508,-0.0398423,-0.6844711,10.515,146.873,-1604.773,0.2660944,3,OK,10.263,146.814,-1604.903,OK,-74.096,184.558,-1630.037,OK,5.220,233.143,-1579.810,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,914711302,1782470788.368587433,1,OK,0.8935054,0.2569408,-0.1765726,-0.3231899,-219.597,145.941,-1686.282,0.5944685,3,OK,-219.396,145.250,-1686.458,OK,-223.370,238.298,-1648.984,OK,-287.310,208.557,-1699.946
3,Port 0x01: JJH Probe  s/n:3E4C880C,914711305,1782470788.418587433,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,914711305,1782470788.418587433,1,OK,0.6869376,0.2411428,-0.0411087,-0.6843077,10.501,147.065,-1605.139,0.2611130,3,OK,10.256,147.002,-1605.266,OK,-74.122,184.642,-1630.553,OK,5.184,233.424,-1580.493,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,914711305,1782470788.418587433,1,OK,0.8934959,0.2570248,-0.1764820,-0.3231987,-219.591,145.955,-1686.358,0.5963531,3,OK,-219.390,145.266,-1686.533,OK,-223.371,238.300,-1649.044,OK,-287.304,208.573,-1699.997
3,Port 0x01: JJH Probe  s/n:3E4C880C,914711308,1782470788.468587433,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,914711308,1782470788.468587433,1,OK,0.6876011,0.2396501,-0.0422390,-0.6840968,10.484,147.310,-1605.672,0.2708198,3,OK,10.225,147.251,-1605.803,OK,-74.156,184.737,-1631.192,OK,5.131,233.764,-1581.363,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,914711308,1782470788.468587433,1,OK,0.8934791,0.2572804,-0.1759157,-0.3233505,-219.575,145.964,-1686.437,0.6107152,3,OK,-219.398,145.266,-1686.631,OK,-223.343,238.302,-1649.035,OK,-287.271,208.570,-1699.944
3,Port 0x01: JJH Probe  s/n:3E4C880C,914711311,1782470788.518587433,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,914711311,1782470788.518587433,1,OK,0.6882695,0.2379668,-0.0448893,-0.6838435,10.400,147.556,-1606.101,0.2594914,3,OK,10.155,147.495,-1606.227,OK,-74.207,184.842,-1631.976,OK,5.024,234.155,-1582.346,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,914711311,1782470788.518587433,1,OK,0.8934649,0.2572209,-0.1762146,-0.3232744,-219.592,145.964,-1686.421,0.5906350,3,OK,-219.404,145.276,-1686.604,OK,-223.351,238.303,-1649.040,OK,-287.312,208.568,-1700.006
3,Port 0x01: JJH Probe  s/n:3E4C880C,914711314,1782470788.568587433,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,914711314,1782470788.568587433,1,OK,0.6890943,0.2359555,-0.0471169,-0.6835598,10.317,147.871,-1606.727,0.2538067,3,OK,10.077,147.813,-1606.849,OK,-74.299,184.972,-1632.868,OK,4.910,234.609,-1583.515,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,914711314,1782470788.568587433,1,OK,0.8934264,0.2570881,-0.1766748,-0.3232352,-219.602,145.953,-1686.316,0.5856928,3,OK,-219.402,145.270,-1686.490,OK,-223.365,238.298,-1648.992,OK,-287.311,208.577,-1699.990
3,Port 0x01: JJH Probe  s/n:3E4C880C,914711317,1782470788.618587433,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,914711317,1782470788.618587433,1,OK,0.6899620,0.2339966,-0.0490177,-0.6832241,10.306,148.181,-1607.401,0.2580365,3,OK,10.057,148.125,-1607.525,OK,-74.315,185.084,-1633.749,OK,4.841,235.045,-1584.692,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,914711317,1782470788.618587433,1,OK,0.8935147,0.2571090,-0.1762634,-0.3231989,-219.576,145.962,-1686.426,0.5968409,3,OK,-219.387,145.274,-1686.608,OK,-223.358,238.305,-1649.081,OK,-287.290,208.562,-1700.021
3,Port 0x01: JJH Probe  s/n:3E4C880C,914711320,1782470788.668587432,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,914711320,1782470788.668587432,1,OK,0.6907667,0.2316275,-0.0510136,-0.6830723,10.246,148.429,-1607.877,0.2493165,3,OK,10.007,148.367,-1607.999,OK,-74.384,185.167,-1634.411,OK,4.762,235.425,-1585.731,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,914711320,1782470788.668587432,1,OK,0.8934275,0.2572737,-0.1764835,-0.3231890,-219.583,145.959,-1686.353,0.5916235,3,OK,-219.396,145.272,-1686.536,OK,-223.367,238.301,-1648.984,OK,-287.294,208.562,-1699.980
