Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,915912130,1782490802.168649475,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,915912130,1782490802.168649475,1,OK,0.6853975,0.1912220,-0.0923080,-0.6965225,31.123,164.839,-1524.112,0.1956513,3,OK,30.983,164.701,-1524.193,OK,-51.817,202.707,-1554.372,OK,29.976,253.871,-1511.540,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,915912130,1782490802.168649475,1,OK,0.7875243,0.0052940,0.4606990,-0.4093090,-149.834,163.419,-1464.084,0.5242109,3,OK,-149.762,162.915,-1464.512,OK,-111.816,254.248,-1450.894,OK,-172.121,223.527,-1395.884
3,Port 0x01: JJH Probe  s/n:3E4C880C,915912133,1782490802.218649475,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,915912133,1782490802.218649475,1,OK,0.6853870,0.1912926,-0.0921328,-0.6965367,31.140,164.835,-1524.117,0.2047002,3,OK,30.989,164.696,-1524.202,OK,-51.789,202.709,-1554.345,OK,29.983,253.863,-1511.517,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,915912133,1782490802.218649475,1,OK,0.7874775,0.0053861,0.4607966,-0.4092880,-149.821,163.421,-1464.095,0.5296320,3,OK,-149.745,162.915,-1464.529,OK,-111.795,254.239,-1450.887,OK,-172.096,223.521,-1395.871
3,Port 0x01: JJH Probe  s/n:3E4C880C,915912136,1782490802.268649475,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,915912136,1782490802.268649475,1,OK,0.6854128,0.1919876,-0.0915766,-0.6963934,31.160,164.840,-1524.127,0.1917891,3,OK,31.009,164.723,-1524.210,OK,-51.806,202.703,-1554.324,OK,29.972,253.838,-1511.368,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,915912136,1782490802.268649475,1,OK,0.7875282,0.0053146,0.4606953,-0.4093054,-149.815,163.426,-1464.090,0.5240508,3,OK,-149.741,162.925,-1464.518,OK,-111.798,254.249,-1450.897,OK,-172.104,223.533,-1395.887
3,Port 0x01: JJH Probe  s/n:3E4C880C,915912139,1782490802.318649475,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,915912139,1782490802.318649475,1,OK,0.6854427,0.1917444,-0.0912460,-0.6964743,31.130,164.833,-1524.147,0.2138523,3,OK,30.962,164.701,-1524.238,OK,-51.834,202.699,-1554.258,OK,29.939,253.845,-1511.378,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,915912139,1782490802.318649475,1,OK,0.7875698,0.0053969,0.4606077,-0.4093228,-149.846,163.420,-1464.085,0.5278568,3,OK,-149.775,162.915,-1464.513,OK,-111.831,254.244,-1450.870,OK,-172.137,223.530,-1395.896
3,Port 0x01: JJH Probe  s/n:3E4C880C,915912142,1782490802.368649475,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,915912142,1782490802.368649475,1,OK,0.6853783,0.1915682,-0.0916246,-0.6965366,31.149,164.829,-1524.091,0.2061466,3,OK,30.989,164.702,-1524.179,OK,-51.794,202.709,-1554.251,OK,29.982,253.840,-1511.391,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,915912142,1782490802.368649475,1,OK,0.7875437,0.0051114,0.4606341,-0.4093471,-149.802,163.406,-1464.074,0.5182886,3,OK,-149.734,162.903,-1464.496,OK,-111.789,254.250,-1450.922,OK,-172.097,223.530,-1395.898
3,Port 0x01: JJH Probe  s/n:3E4C880C,915912145,1782490802.418649475,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,915912145,1782490802.418649475,1,OK,0.6853742,0.1917656,-0.0917429,-0.6964706,31.136,164.832,-1524.038,0.1985333,3,OK,30.987,164.700,-1524.122,OK,-51.817,202.709,-1554.242,OK,29.964,253.846,-1511.326,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,915912145,1782490802.418649475,1,OK,0.7875755,0.0053941,0.4605820,-0.4093409,-149.815,163.420,-1464.103,0.5267199,3,OK,-149.747,162.913,-1464.528,OK,-111.797,254.247,-1450.890,OK,-172.108,223.530,-1395.918
3,Port 0x01: JJH Probe  s/n:3E4C880C,915912148,1782490802.468649475,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,915912148,1782490802.468649475,1,OK,0.6853001,0.1916443,-0.0921066,-0.6965290,31.095,164.827,-1524.027,0.1970910,3,OK,30.952,164.691,-1524.110,OK,-51.830,202.721,-1554.279,OK,29.941,253.845,-1511.377,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,915912148,1782490802.468649475,1,OK,0.7876008,0.0053380,0.4605294,-0.4093521,-149.831,163.411,-1464.082,0.5241842,3,OK,-149.762,162.907,-1464.505,OK,-111.820,254.239,-1450.880,OK,-172.131,223.528,-1395.910
3,Port 0x01: JJH Probe  s/n:3E4C880C,915912151,1782490802.518649475,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,915912151,1782490802.518649475,1,OK,0.6853168,0.1918042,-0.0917391,-0.6965170,31.134,164.828,-1524.070,0.1966776,3,OK,30.986,164.699,-1524.153,OK,-51.809,202.721,-1554.271,OK,29.969,253.836,-1511.353,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,915912151,1782490802.518649475,1,OK,0.7876267,0.0052971,0.4604846,-0.4093533,-149.802,163.407,-1464.080,0.5208613,3,OK,-149.734,162.905,-1464.500,OK,-111.795,254.240,-1450.886,OK,-172.109,223.526,-1395.917
3,Port 0x01: JJH Probe  s/n:3E4C880C,915912154,1782490802.568649475,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,915912154,1782490802.568649475,1,OK,0.6853100,0.1916849,-0.0920017,-0.6965219,31.122,164.830,-1523.983,0.1896407,3,OK,30.983,164.700,-1524.062,OK,-51.820,202.723,-1554.225,OK,29.968,253.842,-1511.313,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,915912154,1782490802.568649475,1,OK,0.7875633,0.0053085,0.4606043,-0.4093404,-149.823,163.417,-1464.083,0.5193008,3,OK,-149.754,162.915,-1464.506,OK,-111.802,254.249,-1450.895,OK,-172.122,223.526,-1395.897
3,Port 0x01: JJH Probe  s/n:3E4C880C,915912157,1782490802.618649475,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,915912157,1782490802.618649475,1,OK,0.6854392,0.1917929,-0.0906789,-0.6965385,31.163,164.835,-1524.182,0.2170070,3,OK,30.990,164.706,-1524.276,OK,-51.820,202.714,-1554.197,OK,29.968,253.834,-1511.336,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,915912157,1782490802.618649475,1,OK,0.7876266,0.0053827,0.4604756,-0.4093625,-149.812,163.409,-1464.068,0.5224783,3,OK,-149.747,162.905,-1464.487,OK,-111.801,254.239,-1450.855,OK,-172.114,223.523,-1395.906
