Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,915723688,1782487661.468633013,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,915723688,1782487661.468633013,1,OK,0.7184019,0.0737602,-0.2055135,-0.6604713,37.508,170.578,-1572.975,0.2821825,3,OK,37.215,170.526,-1573.093,OK,-46.251,193.664,-1613.559,OK,33.633,258.574,-1590.755,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,915723688,1782487661.468633013,1,OK,0.8717519,0.3103495,-0.2026654,-0.3204036,-191.074,167.535,-1599.284,0.6602859,3,OK,-191.005,166.830,-1599.632,OK,-198.231,256.451,-1554.315,OK,-257.157,231.466,-1613.352
3,Port 0x01: JJH Probe  s/n:3E4C880C,915723691,1782487661.518633013,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,915723691,1782487661.518633013,1,OK,0.7184616,0.0736067,-0.2055128,-0.6604237,37.551,170.588,-1573.000,0.2865365,3,OK,37.254,170.536,-1573.120,OK,-46.215,193.655,-1613.569,OK,33.665,258.580,-1590.801,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,915723691,1782487661.518633013,1,OK,0.8718562,0.3099300,-0.2028654,-0.3203994,-191.057,167.521,-1599.199,0.6522933,3,OK,-190.985,166.829,-1599.536,OK,-198.205,256.459,-1554.331,OK,-257.122,231.463,-1613.321
3,Port 0x01: JJH Probe  s/n:3E4C880C,915723694,1782487661.568633013,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,915723694,1782487661.568633013,1,OK,0.7184164,0.0737554,-0.2054965,-0.6604614,37.512,170.568,-1573.022,0.2855355,3,OK,37.212,170.526,-1573.145,OK,-46.250,193.642,-1613.601,OK,33.643,258.562,-1590.797,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,915723694,1782487661.568633013,1,OK,0.8718105,0.3102439,-0.2025935,-0.3203919,-191.080,167.515,-1599.229,0.6656694,3,OK,-191.012,166.808,-1599.578,OK,-198.241,256.439,-1554.281,OK,-257.161,231.443,-1613.287
3,Port 0x01: JJH Probe  s/n:3E4C880C,915723697,1782487661.618633013,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,915723697,1782487661.618633013,1,OK,0.7184510,0.0734487,-0.2054654,-0.6604676,37.533,170.576,-1573.038,0.2961181,3,OK,37.229,170.509,-1573.157,OK,-46.234,193.648,-1613.583,OK,33.653,258.584,-1590.854,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,915723697,1782487661.618633013,1,OK,0.8717436,0.3103640,-0.2026842,-0.3204003,-191.065,167.534,-1599.263,0.6625715,3,OK,-190.999,166.827,-1599.613,OK,-198.224,256.454,-1554.290,OK,-257.146,231.463,-1613.333
3,Port 0x01: JJH Probe  s/n:3E4C880C,915723700,1782487661.668633013,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,915723700,1782487661.668633013,1,OK,0.7184357,0.0732507,-0.2057461,-0.6604188,37.553,170.589,-1573.006,0.2852400,3,OK,37.261,170.527,-1573.121,OK,-46.213,193.646,-1613.584,OK,33.678,258.572,-1590.881,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,915723700,1782487661.668633013,1,OK,0.8717444,0.3100794,-0.2031860,-0.3203557,-191.060,167.515,-1599.200,0.6476088,3,OK,-190.977,166.809,-1599.536,OK,-198.208,256.459,-1554.306,OK,-257.138,231.468,-1613.386
3,Port 0x01: JJH Probe  s/n:3E4C880C,915723703,1782487661.718633013,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,915723703,1782487661.718633013,1,OK,0.7185015,0.0732855,-0.2053634,-0.6604625,37.539,170.587,-1573.064,0.2982769,3,OK,37.229,170.535,-1573.189,OK,-46.238,193.649,-1613.577,OK,33.652,258.579,-1590.885,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,915723703,1782487661.718633013,1,OK,0.8719007,0.3100116,-0.2026552,-0.3203323,-191.076,167.543,-1599.212,0.6628905,3,OK,-191.001,166.839,-1599.554,OK,-198.244,256.476,-1554.324,OK,-257.159,231.472,-1613.295
3,Port 0x01: JJH Probe  s/n:3E4C880C,915723706,1782487661.768633013,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,915723706,1782487661.768633013,1,OK,0.7185353,0.0733430,-0.2051649,-0.6604810,37.567,170.572,-1573.119,0.3030533,3,OK,37.248,170.533,-1573.250,OK,-46.217,193.637,-1613.602,OK,33.674,258.562,-1590.905,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,915723706,1782487661.768633013,1,OK,0.8717080,0.3104121,-0.2027047,-0.3204375,-191.070,167.537,-1599.276,0.6578787,3,OK,-191.007,166.835,-1599.626,OK,-198.218,256.453,-1554.289,OK,-257.148,231.467,-1613.349
3,Port 0x01: JJH Probe  s/n:3E4C880C,915723709,1782487661.818633013,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,915723709,1782487661.818633013,1,OK,0.7182675,0.0733396,-0.2063934,-0.6603899,37.518,170.600,-1572.928,0.2703834,3,OK,37.244,170.534,-1573.035,OK,-46.212,193.655,-1613.624,OK,33.681,258.567,-1590.871,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,915723709,1782487661.818633013,1,OK,0.8716252,0.3106698,-0.2025937,-0.3204835,-191.056,167.553,-1599.274,0.6678805,3,OK,-190.998,166.840,-1599.634,OK,-198.204,256.461,-1554.222,OK,-257.134,231.482,-1613.310
3,Port 0x01: JJH Probe  s/n:3E4C880C,915723712,1782487661.868633015,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,915723712,1782487661.868633015,1,OK,0.7192928,0.0745984,-0.2001695,-0.6610485,37.736,170.421,-1573.852,0.4220404,3,OK,37.266,170.479,-1574.062,OK,-46.224,193.624,-1613.586,OK,33.669,258.540,-1590.838,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,915723712,1782487661.868633015,1,OK,0.8717895,0.3102809,-0.2026204,-0.3203963,-191.082,167.531,-1599.227,0.6634308,3,OK,-191.012,166.823,-1599.575,OK,-198.240,256.452,-1554.270,OK,-257.167,231.461,-1613.290
3,Port 0x01: JJH Probe  s/n:3E4C880C,915723715,1782487661.918633015,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,915723715,1782487661.918633015,1,OK,0.7185537,0.0735860,-0.2050294,-0.6604761,37.598,170.573,-1573.113,0.2970746,3,OK,37.281,170.553,-1573.247,OK,-46.190,193.646,-1613.597,OK,33.697,258.555,-1590.850,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,915723715,1782487661.918633015,1,OK,0.8716891,0.3103496,-0.2029232,-0.3204114,-191.057,167.549,-1599.208,0.6508381,3,OK,-190.987,166.849,-1599.552,OK,-198.204,256.470,-1554.245,OK,-257.132,231.489,-1613.326
