Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Passive Strays,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
4,Port 0x01: JJH Probe  s/n:3E4C880C,843062611,1781276643.518589981,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843062611,1781276643.518589981,1,OK,0.9063022,0.3997312,0.1283840,-0.0484636,97.916,222.722,-1687.653,0.4558729,3,OK,97.933,222.541,-1687.864,OK,47.725,161.894,-1741.857,OK,11.551,221.150,-1663.569,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843062611,1781276643.518589981,1,OK,0.7563922,-0.6300065,-0.0844245,-0.1543865,75.401,-256.893,-1513.958,1.1313494,3,OK,75.868,-257.145,-1512.832,OK,47.981,-236.448,-1608.712,OK,-12.468,-245.062,-1543.722,Passive Strays,843062611,1781276643.518,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,5,OK,349.546,479.847,-2156.587,OK,144.952,17.341,-1676.307,OK,141.048,-52.086,-1667.193,OK,133.189,-130.081,-1670.012,OK,124.863,-197.877,-1677.869
4,Port 0x01: JJH Probe  s/n:3E4C880C,843062614,1781276643.568589981,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843062614,1781276643.568589981,1,OK,0.9062881,0.3997200,0.1285595,-0.0483556,97.890,222.714,-1687.671,0.4432160,3,OK,97.898,222.536,-1687.876,OK,47.709,161.860,-1741.878,OK,11.537,221.121,-1663.559,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843062614,1781276643.568589981,1,OK,0.7557145,-0.6308846,-0.0847550,-0.1539380,75.434,-256.498,-1513.926,1.1304266,3,OK,75.905,-256.748,-1512.802,OK,47.981,-236.299,-1608.717,OK,-12.457,-244.803,-1543.697,Passive Strays,843062614,1781276643.568,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,5,Saturated,349.536,479.824,-2156.576,OK,144.937,17.366,-1676.236,OK,141.041,-52.036,-1667.102,OK,133.191,-130.069,-1669.974,OK,124.911,-197.869,-1677.905
4,Port 0x01: JJH Probe  s/n:3E4C880C,843062617,1781276643.618589981,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843062617,1781276643.618589981,1,OK,0.9063319,0.3994785,0.1289868,-0.0483922,97.891,222.748,-1687.712,0.4645346,3,OK,97.913,222.555,-1687.938,OK,47.696,161.874,-1741.830,OK,11.535,221.130,-1663.529,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843062617,1781276643.618589981,1,OK,0.7557909,-0.6307737,-0.0849380,-0.1539163,75.427,-256.490,-1513.869,1.1198524,3,OK,75.910,-256.740,-1512.745,OK,47.976,-236.283,-1608.641,OK,-12.456,-244.811,-1543.686,Passive Strays,843062617,1781276643.618,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,5,Saturated,349.530,479.834,-2156.548,OK,144.941,17.373,-1676.307,OK,141.039,-52.028,-1667.056,OK,133.190,-130.051,-1669.930,OK,124.927,-197.851,-1677.893
4,Port 0x01: JJH Probe  s/n:3E4C880C,843062620,1781276643.668589981,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843062620,1781276643.668589981,1,OK,0.9062901,0.3997220,0.1285068,-0.0484420,97.899,222.723,-1687.653,0.4479767,3,OK,97.914,222.546,-1687.859,OK,47.706,161.882,-1741.855,OK,11.543,221.144,-1663.547,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843062620,1781276643.668589981,1,OK,0.7561235,-0.6303680,-0.0845399,-0.1541639,75.447,-256.724,-1513.818,1.1373786,3,OK,75.917,-256.976,-1512.687,OK,48.006,-236.378,-1608.593,OK,-12.436,-244.952,-1543.575,Passive Strays,843062620,1781276643.668,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,5,OK,349.563,479.864,-2156.688,OK,144.956,17.315,-1676.255,OK,141.046,-52.083,-1667.075,OK,133.214,-130.075,-1669.893,OK,124.939,-197.854,-1677.798
4,Port 0x01: JJH Probe  s/n:3E4C880C,843062623,1781276643.718589982,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843062623,1781276643.718589982,1,OK,0.9061878,0.3997068,0.1293151,-0.0483287,97.911,222.753,-1687.697,0.4423997,3,OK,97.936,222.556,-1687.930,OK,47.723,161.877,-1741.849,OK,11.549,221.118,-1663.434,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843062623,1781276643.718589982,1,OK,0.7567343,-0.6296133,-0.0840450,-0.1545207,75.455,-257.113,-1513.844,1.1347332,3,OK,75.915,-257.366,-1512.724,OK,48.028,-236.544,-1608.573,OK,-12.426,-245.207,-1543.547,Passive Strays,843062623,1781276643.718,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,5,OK,349.567,479.849,-2156.639,OK,144.961,17.254,-1676.260,OK,141.045,-52.175,-1667.104,OK,133.226,-130.146,-1669.877,OK,124.917,-197.909,-1677.791
4,Port 0x01: JJH Probe  s/n:3E4C880C,843062626,1781276643.768589982,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843062626,1781276643.768589982,1,OK,0.9061975,0.3998926,0.1286431,-0.0484048,97.904,222.747,-1687.618,0.4364708,3,OK,97.911,222.566,-1687.826,OK,47.716,161.913,-1741.846,OK,11.550,221.159,-1663.478,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843062626,1781276643.768589982,1,OK,0.7573553,-0.6287862,-0.0839311,-0.1549078,75.399,-257.451,-1513.914,1.1267740,3,OK,75.867,-257.707,-1512.794,OK,48.011,-236.671,-1608.595,OK,-12.460,-245.443,-1543.651,Passive Strays,843062626,1781276643.768,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,5,OK,349.562,479.858,-2156.659,OK,144.928,17.229,-1676.224,OK,141.019,-52.216,-1667.074,OK,133.208,-130.172,-1669.945,OK,124.874,-197.928,-1677.899
4,Port 0x01: JJH Probe  s/n:3E4C880C,843062629,1781276643.818589982,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843062629,1781276643.818589982,1,OK,0.9062631,0.3996802,0.1288696,-0.0483271,97.906,222.795,-1687.708,0.4529086,3,OK,97.935,222.603,-1687.935,OK,47.730,161.936,-1741.878,OK,11.533,221.180,-1663.534,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843062629,1781276643.818589982,1,OK,0.7578550,-0.6281112,-0.0839292,-0.1552027,75.358,-257.679,-1513.973,1.1142220,3,OK,75.847,-257.939,-1512.850,OK,47.994,-236.737,-1608.599,OK,-12.479,-245.596,-1543.769,Passive Strays,843062629,1781276643.818,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,5,OK,349.574,479.884,-2156.714,OK,144.920,17.216,-1676.236,OK,140.996,-52.242,-1667.186,OK,133.187,-130.174,-1670.044,OK,124.832,-197.940,-1678.057
4,Port 0x01: JJH Probe  s/n:3E4C880C,843062632,1781276643.868589982,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843062632,1781276643.868589982,1,OK,0.9062025,0.4001822,0.1277034,-0.0484050,97.900,222.716,-1687.604,0.4228565,3,OK,97.910,222.555,-1687.791,OK,47.738,161.930,-1741.958,OK,11.518,221.186,-1663.623,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843062632,1781276643.868589982,1,OK,0.7579886,-0.6279896,-0.0835073,-0.1552704,75.372,-257.801,-1513.990,1.1171125,3,OK,75.842,-258.057,-1512.880,OK,47.996,-236.795,-1608.608,OK,-12.483,-245.659,-1543.701,Passive Strays,843062632,1781276643.868,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,5,OK,349.555,479.839,-2156.623,OK,144.897,17.175,-1676.215,OK,140.973,-52.270,-1667.159,OK,133.172,-130.188,-1670.048,OK,124.804,-197.959,-1677.997
4,Port 0x01: JJH Probe  s/n:3E4C880C,843062635,1781276643.918589982,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843062635,1781276643.918589982,1,OK,0.9061961,0.3998932,0.1286674,-0.0483605,97.913,222.750,-1687.670,0.4363503,3,OK,97.929,222.563,-1687.889,OK,47.740,161.913,-1741.900,OK,11.541,221.159,-1663.518,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843062635,1781276643.918589982,1,OK,0.7579621,-0.6280154,-0.0836011,-0.1552449,75.404,-257.756,-1513.909,1.0831201,3,OK,75.879,-258.007,-1512.830,OK,48.028,-236.774,-1608.480,OK,-12.447,-245.626,-1543.655,Passive Strays,843062635,1781276643.918,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,5,OK,349.574,479.859,-2156.691,OK,144.925,17.178,-1676.200,OK,141.014,-52.265,-1667.129,OK,133.218,-130.202,-1669.983,OK,124.839,-197.956,-1677.891
4,Port 0x01: JJH Probe  s/n:3E4C880C,843062638,1781276643.968589982,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843062638,1781276643.968589982,1,OK,0.9062674,0.3997347,0.1286497,-0.0483821,97.913,222.772,-1687.661,0.4512993,3,OK,97.925,222.584,-1687.879,OK,47.734,161.929,-1741.854,OK,11.551,221.178,-1663.526,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843062638,1781276643.968589982,1,OK,0.7577793,-0.6282125,-0.0838666,-0.1551965,75.374,-257.684,-1513.917,1.1224728,3,OK,75.859,-257.944,-1512.793,OK,48.013,-236.759,-1608.561,OK,-12.472,-245.602,-1543.691,Passive Strays,843062638,1781276643.968,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,5,OK,349.561,479.858,-2156.645,OK,144.916,17.207,-1676.201,OK,141.011,-52.253,-1667.108,OK,133.206,-130.180,-1669.988,OK,124.845,-197.962,-1677.954
