Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Passive Strays,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
4,Port 0x01: JJH Probe  s/n:3E4C880C,843274840,1781280180.668635122,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843274840,1781280180.668635122,1,OK,0.9305327,0.3459309,0.0975583,-0.0701648,106.704,229.549,-1705.236,0.4411160,3,OK,106.766,229.287,-1705.480,OK,55.609,164.681,-1753.580,OK,19.426,235.013,-1684.738,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843274840,1781280180.668635122,1,OK,0.9231058,0.0535490,0.1540962,-0.3482278,28.306,-464.291,-1628.766,0.7592285,3,OK,28.764,-465.195,-1629.082,OK,39.766,-366.919,-1610.552,OK,-38.174,-405.370,-1598.576,Passive Strays,843274840,1781280180.668,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,4,OK,144.860,16.000,-1676.672,OK,136.024,-53.085,-1674.683,OK,124.964,-131.219,-1678.166,OK,118.060,-199.818,-1681.025
4,Port 0x01: JJH Probe  s/n:3E4C880C,843274843,1781280180.718635122,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843274843,1781280180.718635122,1,OK,0.9304112,0.3462612,0.0976009,-0.0700870,106.692,229.547,-1705.163,0.4142545,3,OK,106.747,229.300,-1705.392,OK,55.599,164.682,-1753.577,OK,19.424,235.001,-1684.651,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843274843,1781280180.718635122,1,OK,0.9230489,0.0534953,0.1542568,-0.3483158,28.279,-464.289,-1628.784,0.7587075,3,OK,28.740,-465.190,-1629.101,OK,39.764,-366.924,-1610.577,OK,-38.187,-405.356,-1598.569,Passive Strays,843274843,1781280180.718,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,4,OK,144.832,15.997,-1676.594,OK,136.025,-53.072,-1674.714,OK,124.962,-131.211,-1678.142,OK,118.065,-199.809,-1680.988
4,Port 0x01: JJH Probe  s/n:3E4C880C,843274846,1781280180.768635122,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843274846,1781280180.768635122,1,OK,0.9305485,0.3460334,0.0969946,-0.0702311,106.696,229.527,-1705.174,0.4312150,3,OK,106.751,229.280,-1705.403,OK,55.602,164.684,-1753.579,OK,19.421,235.027,-1684.775,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843274846,1781280180.768635122,1,OK,0.9230713,0.0536165,0.1541993,-0.3482633,28.288,-464.275,-1628.756,0.7579488,3,OK,28.744,-465.179,-1629.073,OK,39.759,-366.907,-1610.526,OK,-38.179,-405.355,-1598.547,Passive Strays,843274846,1781280180.768,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,4,OK,144.855,16.012,-1676.640,OK,136.026,-53.077,-1674.726,OK,124.961,-131.199,-1678.167,OK,118.061,-199.806,-1680.976
4,Port 0x01: JJH Probe  s/n:3E4C880C,843274849,1781280180.818635122,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843274849,1781280180.818635122,1,OK,0.9305115,0.3459673,0.0976331,-0.0701621,106.719,229.562,-1705.259,0.4395527,3,OK,106.781,229.300,-1705.503,OK,55.623,164.695,-1753.604,OK,19.442,235.023,-1684.746,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843274849,1781280180.818635122,1,OK,0.9230636,0.0536970,0.1541646,-0.3482866,28.300,-464.282,-1628.767,0.7597159,3,OK,28.757,-465.188,-1629.083,OK,39.775,-366.918,-1610.523,OK,-38.166,-405.358,-1598.557,Passive Strays,843274849,1781280180.818,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,4,OK,144.875,16.000,-1676.637,OK,136.035,-53.080,-1674.715,OK,124.976,-131.214,-1678.136,OK,118.073,-199.801,-1680.950
4,Port 0x01: JJH Probe  s/n:3E4C880C,843274852,1781280180.868635122,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843274852,1781280180.868635122,1,OK,0.9305460,0.3460210,0.0971293,-0.0701386,106.713,229.551,-1705.171,0.4348958,3,OK,106.778,229.305,-1705.401,OK,55.624,164.698,-1753.565,OK,19.434,235.025,-1684.758,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843274852,1781280180.868635122,1,OK,0.9230743,0.0539659,0.1540325,-0.3482752,28.289,-464.276,-1628.784,0.7611670,3,OK,28.741,-465.188,-1629.102,OK,39.759,-366.912,-1610.494,OK,-38.177,-405.361,-1598.582,Passive Strays,843274852,1781280180.868,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,4,OK,144.865,15.993,-1676.682,OK,136.026,-53.077,-1674.725,OK,124.966,-131.199,-1678.139,OK,118.080,-199.811,-1681.071
4,Port 0x01: JJH Probe  s/n:3E4C880C,843274855,1781280180.918635122,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843274855,1781280180.918635122,1,OK,0.9304742,0.3461811,0.0972557,-0.0701264,106.718,229.552,-1705.215,0.4287589,3,OK,106.783,229.302,-1705.449,OK,55.632,164.705,-1753.630,OK,19.433,235.024,-1684.768,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843274855,1781280180.918635122,1,OK,0.9230521,0.0536920,0.1543226,-0.3482478,28.286,-464.280,-1628.760,0.7653010,3,OK,28.747,-465.192,-1629.080,OK,39.757,-366.915,-1610.508,OK,-38.176,-405.360,-1598.523,Passive Strays,843274855,1781280180.918,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,4,OK,144.860,16.000,-1676.624,OK,136.025,-53.080,-1674.740,OK,124.974,-131.205,-1678.133,OK,118.062,-199.798,-1680.934
4,Port 0x01: JJH Probe  s/n:3E4C880C,843274858,1781280180.968635124,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843274858,1781280180.968635124,1,OK,0.9304782,0.3461559,0.0973415,-0.0700789,106.701,229.552,-1705.213,0.4263485,3,OK,106.757,229.299,-1705.447,OK,55.623,164.694,-1753.622,OK,19.424,235.014,-1684.753,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843274858,1781280180.968635124,1,OK,0.9230428,0.0540080,0.1543576,-0.3482081,28.292,-464.267,-1628.782,0.7751905,3,OK,28.751,-465.197,-1629.105,OK,39.758,-366.900,-1610.463,OK,-38.168,-405.360,-1598.519,Passive Strays,843274858,1781280180.968,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,4,OK,144.856,15.998,-1676.659,OK,136.028,-53.077,-1674.776,OK,124.959,-131.210,-1678.138,OK,118.055,-199.805,-1680.960
4,Port 0x01: JJH Probe  s/n:3E4C880C,843274861,1781280181.018635125,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843274861,1781280181.018635125,1,OK,0.9304330,0.3461858,0.0976694,-0.0700745,106.697,229.561,-1705.224,0.4237270,3,OK,106.751,229.302,-1705.463,OK,55.614,164.693,-1753.617,OK,19.423,235.012,-1684.698,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843274861,1781280181.018635125,1,OK,0.9230822,0.0537703,0.1542143,-0.3482038,28.292,-464.266,-1628.750,0.7637552,3,OK,28.752,-465.176,-1629.069,OK,39.753,-366.902,-1610.488,OK,-38.183,-405.355,-1598.526,Passive Strays,843274861,1781280181.018,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,4,OK,144.858,16.004,-1676.684,OK,136.022,-53.071,-1674.719,OK,124.951,-131.199,-1678.099,OK,118.060,-199.807,-1680.985
4,Port 0x01: JJH Probe  s/n:3E4C880C,843274864,1781280181.068635125,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843274864,1781280181.068635125,1,OK,0.9304599,0.3462177,0.0972214,-0.0701832,106.714,229.525,-1705.192,0.4240751,3,OK,106.777,229.279,-1705.422,OK,55.618,164.684,-1753.616,OK,19.435,235.008,-1684.748,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843274864,1781280181.068635125,1,OK,0.9229831,0.0541150,0.1546262,-0.3482306,28.292,-464.273,-1628.862,0.7891672,3,OK,28.762,-465.217,-1629.192,OK,39.774,-366.910,-1610.511,OK,-38.160,-405.362,-1598.542,Passive Strays,843274864,1781280181.068,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,4,OK,144.866,16.003,-1676.607,OK,136.032,-53.069,-1674.783,OK,124.967,-131.202,-1678.119,OK,118.075,-199.799,-1680.986
4,Port 0x01: JJH Probe  s/n:3E4C880C,843274867,1781280181.118635125,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843274867,1781280181.118635125,1,OK,0.9304232,0.3464195,0.0968615,-0.0701714,106.706,229.523,-1705.123,0.4076816,3,OK,106.751,229.288,-1705.339,OK,55.621,164.699,-1753.617,OK,19.438,235.025,-1684.740,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843274867,1781280181.118635125,1,OK,0.9231295,0.0536341,0.1538962,-0.3482403,28.307,-464.276,-1628.692,0.7517005,3,OK,28.755,-465.176,-1629.005,OK,39.761,-366.903,-1610.471,OK,-38.170,-405.359,-1598.536,Passive Strays,843274867,1781280181.118,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,4,OK,144.862,16.000,-1676.634,OK,136.036,-53.077,-1674.761,OK,124.960,-131.197,-1678.140,OK,118.064,-199.801,-1680.945
4,Port 0x01: JJH Probe  s/n:3E4C880C,843274870,1781280181.168635124,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843274870,1781280181.168635124,1,OK,0.9305523,0.3461441,0.0965864,-0.0701981,106.707,229.540,-1705.165,0.4293700,3,OK,106.763,229.306,-1705.382,OK,55.620,164.717,-1753.618,OK,19.434,235.045,-1684.850,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843274870,1781280181.168635124,1,OK,0.9230540,0.0537543,0.1543297,-0.3482299,28.283,-464.278,-1628.793,0.7669097,3,OK,28.745,-465.191,-1629.114,OK,39.753,-366.913,-1610.529,OK,-38.184,-405.362,-1598.550,Passive Strays,843274870,1781280181.168,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,4,OK,144.856,16.007,-1676.625,OK,136.014,-53.071,-1674.672,OK,124.962,-131.204,-1678.163,OK,118.053,-199.802,-1680.966
