Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,650918728,1778074245.468779348,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,650918728,1778074245.468779348,1,OK,0.4241245,0.2225125,0.1283372,-0.8684101,95.536,-77.752,-1577.142,0.2164773,3,OK,95.361,-77.871,-1577.254,OK,42.773,0.145,-1557.075,OK,144.279,-16.619,-1532.563,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,650918728,1778074245.468779348,1,OK,0.8721580,0.1952816,-0.4227626,0.1499247,-145.108,-136.196,-1854.568,0.5762689,3,OK,-144.544,-136.617,-1854.239,OK,-214.733,-70.854,-1884.105,OK,-200.922,-145.049,-1928.788
3,Port 0x01: JJH Probe  s/n:3E4C880C,650918731,1778074245.518779348,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,650918731,1778074245.518779348,1,OK,0.4241166,0.2225174,0.1284994,-0.8683887,95.534,-77.596,-1577.142,0.2196680,3,OK,95.354,-77.713,-1577.256,OK,42.772,0.287,-1557.047,OK,144.280,-16.469,-1532.549,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,650918731,1778074245.518779348,1,OK,0.8719537,0.1955563,-0.4230624,0.1499093,-145.130,-136.038,-1854.570,0.5794771,3,OK,-144.553,-136.441,-1854.210,OK,-214.735,-70.688,-1884.093,OK,-200.923,-144.868,-1928.875
3,Port 0x01: JJH Probe  s/n:3E4C880C,650918734,1778074245.568779349,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,650918734,1778074245.568779349,1,OK,0.4241320,0.2224502,0.1284216,-0.8684100,95.589,-77.805,-1577.198,0.2163835,3,OK,95.418,-77.934,-1577.314,OK,42.825,0.095,-1557.111,OK,144.331,-16.670,-1532.622,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,650918734,1778074245.568779349,1,OK,0.8719313,0.1957945,-0.4230195,0.1498493,-145.061,-136.289,-1854.584,0.5766339,3,OK,-144.485,-136.682,-1854.219,OK,-214.673,-70.920,-1884.049,OK,-200.867,-145.114,-1928.907
3,Port 0x01: JJH Probe  s/n:3E4C880C,650918737,1778074245.618779349,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,650918737,1778074245.618779349,1,OK,0.4241628,0.2223214,0.1280859,-0.8684775,95.524,-77.610,-1577.106,0.2103675,3,OK,95.349,-77.710,-1577.209,OK,42.764,0.295,-1557.086,OK,144.281,-16.461,-1532.576,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,650918737,1778074245.618779349,1,OK,0.8721373,0.1956976,-0.4226318,0.1498709,-145.109,-136.030,-1854.593,0.5595536,3,OK,-144.565,-136.444,-1854.285,OK,-214.759,-70.683,-1884.046,OK,-200.932,-144.856,-1928.791
3,Port 0x01: JJH Probe  s/n:3E4C880C,650918740,1778074245.668779349,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,650918740,1778074245.668779349,1,OK,0.4241030,0.2225433,0.1288215,-0.8683410,95.536,-77.723,-1577.241,0.2296431,3,OK,95.357,-77.869,-1577.368,OK,42.770,0.154,-1557.080,OK,144.276,-16.600,-1532.616,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,650918740,1778074245.668779349,1,OK,0.8721173,0.1955864,-0.4227345,0.1498430,-145.111,-136.206,-1854.575,0.5640127,3,OK,-144.553,-136.607,-1854.238,OK,-214.733,-70.859,-1884.047,OK,-200.944,-145.039,-1928.819
3,Port 0x01: JJH Probe  s/n:3E4C880C,650918743,1778074245.718779348,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,650918743,1778074245.718779348,1,OK,0.4241506,0.2228131,0.1283041,-0.8683252,95.575,-77.622,-1577.133,0.2220381,3,OK,95.397,-77.745,-1577.249,OK,42.795,0.271,-1557.082,OK,144.296,-16.493,-1532.508,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,650918743,1778074245.718779348,1,OK,0.8722474,0.1953484,-0.4225632,0.1498792,-145.064,-136.063,-1854.559,0.5534083,3,OK,-144.533,-136.483,-1854.269,OK,-214.699,-70.727,-1884.059,OK,-200.885,-144.909,-1928.718
3,Port 0x01: JJH Probe  s/n:3E4C880C,650918746,1778074245.768779348,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,650918746,1778074245.768779348,1,OK,0.4241003,0.2224118,0.1284715,-0.8684279,95.561,-77.679,-1577.163,0.2202409,3,OK,95.387,-77.811,-1577.281,OK,42.804,0.220,-1557.064,OK,144.313,-16.545,-1532.587,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,650918746,1778074245.768779348,1,OK,0.8720972,0.1954600,-0.4228287,0.1498589,-145.085,-136.124,-1854.533,0.5704073,3,OK,-144.523,-136.535,-1854.199,OK,-214.702,-70.770,-1884.039,OK,-200.897,-144.961,-1928.777
3,Port 0x01: JJH Probe  s/n:3E4C880C,650918749,1778074245.818779349,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,650918749,1778074245.818779349,1,OK,0.4240979,0.2225567,0.1284351,-0.8683973,95.523,-77.660,-1577.172,0.2310952,3,OK,95.341,-77.797,-1577.295,OK,42.759,0.237,-1557.085,OK,144.276,-16.524,-1532.570,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,650918749,1778074245.818779349,1,OK,0.8720284,0.1956312,-0.4229086,0.1498106,-145.132,-136.115,-1854.575,0.5711198,3,OK,-144.567,-136.521,-1854.234,OK,-214.745,-70.750,-1884.059,OK,-200.939,-144.933,-1928.843
3,Port 0x01: JJH Probe  s/n:3E4C880C,650918752,1778074245.868779349,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,650918752,1778074245.868779349,1,OK,0.4241244,0.2223649,0.1280071,-0.8684967,95.541,-77.628,-1577.088,0.2053323,3,OK,95.369,-77.725,-1577.189,OK,42.791,0.284,-1557.081,OK,144.295,-16.486,-1532.561,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,650918752,1778074245.868779349,1,OK,0.8722328,0.1956036,-0.4225057,0.1497937,-145.074,-136.043,-1854.560,0.5455506,3,OK,-144.549,-136.456,-1854.274,OK,-214.714,-70.702,-1884.008,OK,-200.908,-144.859,-1928.714
3,Port 0x01: JJH Probe  s/n:3E4C880C,650918755,1778074245.918779351,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,650918755,1778074245.918779351,1,OK,0.4241599,0.2225988,0.1283562,-0.8683679,95.603,-77.678,-1577.133,0.2226769,3,OK,95.425,-77.803,-1577.249,OK,42.828,0.215,-1557.066,OK,144.339,-16.540,-1532.535,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,650918755,1778074245.918779351,1,OK,0.8720684,0.1952841,-0.4229292,0.1499726,-145.070,-136.116,-1854.578,0.5898033,3,OK,-144.491,-136.545,-1854.238,OK,-214.694,-70.777,-1884.149,OK,-200.861,-144.959,-1928.820
