Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,651103666,1778077327.768770301,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,651103666,1778077327.768770301,1,OK,0.4330955,0.1851841,0.0743143,-0.8789838,96.348,-67.179,-1590.070,0.2761946,3,OK,96.173,-67.432,-1590.200,OK,44.518,13.234,-1579.349,OK,146.462,-1.099,-1554.952,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,651103666,1778077327.768770301,1,OK,0.9673943,0.2264635,0.1111836,-0.0223770,-227.881,-116.985,-1629.255,0.4249639,3,OK,-227.409,-117.193,-1629.472,OK,-277.329,-45.051,-1581.115,OK,-319.021,-117.685,-1608.204
3,Port 0x01: JJH Probe  s/n:3E4C880C,651103669,1778077327.818770301,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,651103669,1778077327.818770301,1,OK,0.4330157,0.1853283,0.0749830,-0.8789359,96.327,-67.171,-1589.943,0.2761202,3,OK,96.147,-67.421,-1590.073,OK,44.496,13.214,-1579.098,OK,146.443,-1.130,-1554.753,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,651103669,1778077327.818770301,1,OK,0.9675433,0.2261692,0.1104788,-0.0224010,-227.871,-116.910,-1629.198,0.4104528,3,OK,-227.408,-117.091,-1629.398,OK,-277.342,-44.950,-1581.189,OK,-319.051,-117.575,-1608.271
3,Port 0x01: JJH Probe  s/n:3E4C880C,651103672,1778077327.868770301,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,651103672,1778077327.868770301,1,OK,0.4329502,0.1856077,0.0752294,-0.8788882,96.329,-67.269,-1589.898,0.2783259,3,OK,96.147,-67.521,-1590.030,OK,44.502,13.108,-1579.011,OK,146.435,-1.251,-1554.646,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,651103672,1778077327.868770301,1,OK,0.9674413,0.2265553,0.1105959,-0.0223311,-227.877,-116.976,-1629.271,0.4173109,3,OK,-227.416,-117.174,-1629.479,OK,-277.354,-45.038,-1581.181,OK,-319.043,-117.672,-1608.332
3,Port 0x01: JJH Probe  s/n:3E4C880C,651103675,1778077327.918770301,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,651103675,1778077327.918770301,1,OK,0.4330313,0.1857024,0.0754107,-0.8788127,96.342,-67.221,-1590.012,0.2862672,3,OK,96.166,-67.493,-1590.149,OK,44.488,13.154,-1579.093,OK,146.427,-1.196,-1554.731,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,651103675,1778077327.918770301,1,OK,0.9674872,0.2261392,0.1110647,-0.0222316,-227.888,-116.957,-1629.244,0.4175729,3,OK,-227.417,-117.153,-1629.454,OK,-277.368,-45.025,-1581.175,OK,-319.037,-117.665,-1608.215
3,Port 0x01: JJH Probe  s/n:3E4C880C,651103678,1778077327.968770301,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,651103678,1778077327.968770301,1,OK,0.4329671,0.1854782,0.0754106,-0.8788917,96.309,-67.255,-1589.855,0.2689217,3,OK,96.127,-67.491,-1589.982,OK,44.484,13.106,-1578.933,OK,146.416,-1.244,-1554.613,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,651103678,1778077327.968770301,1,OK,0.9674248,0.2265898,0.1106794,-0.0222806,-227.891,-116.952,-1629.263,0.4281121,3,OK,-227.421,-117.155,-1629.476,OK,-277.371,-45.014,-1581.154,OK,-319.064,-117.667,-1608.311
3,Port 0x01: JJH Probe  s/n:3E4C880C,651103681,1778077328.018770301,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,651103681,1778077328.018770301,1,OK,0.4329249,0.1854667,0.0753022,-0.8789242,96.325,-67.321,-1589.767,0.2683945,3,OK,96.150,-67.562,-1589.894,OK,44.502,13.058,-1578.862,OK,146.440,-1.313,-1554.535,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,651103681,1778077328.018770301,1,OK,0.9674549,0.2264070,0.1107819,-0.0223236,-227.861,-116.961,-1629.257,0.4193984,3,OK,-227.398,-117.158,-1629.466,OK,-277.329,-45.015,-1581.170,OK,-319.024,-117.665,-1608.285
3,Port 0x01: JJH Probe  s/n:3E4C880C,651103684,1778077328.068770301,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,651103684,1778077328.068770301,1,OK,0.4328572,0.1857719,0.0760656,-0.8788274,96.304,-67.292,-1589.776,0.2751429,3,OK,96.126,-67.545,-1589.908,OK,44.470,13.061,-1578.732,OK,146.407,-1.325,-1554.439,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,651103684,1778077328.068770301,1,OK,0.9674293,0.2265667,0.1106731,-0.0223507,-227.878,-116.913,-1629.259,0.4216309,3,OK,-227.412,-117.111,-1629.468,OK,-277.346,-44.974,-1581.158,OK,-319.048,-117.611,-1608.304
3,Port 0x01: JJH Probe  s/n:3E4C880C,651103687,1778077328.118770306,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,651103687,1778077328.118770306,1,OK,0.4329294,0.1857702,0.0758256,-0.8788128,96.312,-67.307,-1589.804,0.2789392,3,OK,96.140,-67.571,-1589.937,OK,44.466,13.059,-1578.806,OK,146.405,-1.320,-1554.484,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,651103687,1778077328.118770306,1,OK,0.9674114,0.2266021,0.1107664,-0.0223061,-227.883,-116.938,-1629.251,0.4277211,3,OK,-227.414,-117.142,-1629.464,OK,-277.354,-45.000,-1581.130,OK,-319.050,-117.652,-1608.283
3,Port 0x01: JJH Probe  s/n:3E4C880C,651103690,1778077328.168770306,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,651103690,1778077328.168770306,1,OK,0.4329300,0.1858318,0.0758301,-0.8787991,96.330,-67.284,-1589.789,0.2730781,3,OK,96.150,-67.529,-1589.918,OK,44.483,13.067,-1578.795,OK,146.423,-1.304,-1554.460,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,651103690,1778077328.168770306,1,OK,0.9673981,0.2266673,0.1107415,-0.0223415,-227.873,-116.927,-1629.293,0.4248241,3,OK,-227.408,-117.131,-1629.505,OK,-277.338,-44.989,-1581.165,OK,-319.036,-117.636,-1608.329
3,Port 0x01: JJH Probe  s/n:3E4C880C,651103693,1778077328.218770306,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,651103693,1778077328.218770306,1,OK,0.4329053,0.1862554,0.0756779,-0.8787348,96.315,-67.383,-1589.660,0.2689016,3,OK,96.142,-67.624,-1589.786,OK,44.459,12.975,-1578.705,OK,146.387,-1.420,-1554.280,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,651103693,1778077328.218770306,1,OK,0.9673696,0.2268745,0.1105689,-0.0223272,-227.873,-116.966,-1629.293,0.4258437,3,OK,-227.412,-117.170,-1629.504,OK,-277.342,-45.034,-1581.149,OK,-319.045,-117.684,-1608.365
