Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,651196939,1778078882.318766692,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,651196939,1778078882.318766692,1,OK,0.4440366,0.1865077,0.0757853,-0.8730996,94.490,-61.898,-1595.501,0.2646220,3,OK,94.314,-62.128,-1595.625,OK,40.653,17.185,-1584.996,OK,142.784,5.370,-1560.111,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,651196939,1778078882.318766692,1,OK,0.8722375,0.1908439,-0.4227834,0.1550311,-145.294,-137.244,-1855.898,0.5977278,3,OK,-144.695,-137.647,-1855.514,OK,-215.149,-72.625,-1886.448,OK,-200.852,-147.288,-1930.238
3,Port 0x01: JJH Probe  s/n:3E4C880C,651196942,1778078882.368766692,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,651196942,1778078882.368766692,1,OK,0.4440564,0.1864342,0.0751902,-0.8731567,94.521,-61.954,-1595.422,0.2435974,3,OK,94.358,-62.157,-1595.534,OK,40.687,17.149,-1585.030,OK,142.815,5.318,-1560.097,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,651196942,1778078882.368766692,1,OK,0.8722369,0.1913865,-0.4226534,0.1547198,-145.247,-137.327,-1855.860,0.5703607,3,OK,-144.670,-137.691,-1855.470,OK,-215.082,-72.674,-1886.262,OK,-200.855,-147.319,-1930.227
3,Port 0x01: JJH Probe  s/n:3E4C880C,651196945,1778078882.418766692,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,651196945,1778078882.418766692,1,OK,0.4440916,0.1862573,0.0752908,-0.8731679,94.505,-61.905,-1595.396,0.2488695,3,OK,94.341,-62.122,-1595.512,OK,40.672,17.196,-1584.978,OK,142.798,5.380,-1560.089,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,651196945,1778078882.418766692,1,OK,0.8722544,0.1908280,-0.4227757,0.1549761,-145.277,-137.233,-1855.788,0.5971203,3,OK,-144.677,-137.634,-1855.400,OK,-215.123,-72.612,-1886.335,OK,-200.843,-147.267,-1930.128
3,Port 0x01: JJH Probe  s/n:3E4C880C,651196948,1778078882.468766692,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,651196948,1778078882.468766692,1,OK,0.4440853,0.1863555,0.0751123,-0.8731655,94.501,-61.964,-1595.383,0.2511664,3,OK,94.340,-62.184,-1595.500,OK,40.662,17.149,-1585.003,OK,142.796,5.323,-1560.074,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,651196948,1778078882.468766692,1,OK,0.8723846,0.1906872,-0.4225914,0.1549194,-145.268,-137.288,-1855.819,0.5872328,3,OK,-144.685,-137.697,-1855.458,OK,-215.120,-72.657,-1886.359,OK,-200.846,-147.332,-1930.106
3,Port 0x01: JJH Probe  s/n:3E4C880C,651196951,1778078882.518766692,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,651196951,1778078882.518766692,1,OK,0.4440590,0.1860913,0.0752725,-0.8732215,94.498,-61.950,-1595.403,0.2445400,3,OK,94.337,-62.160,-1595.516,OK,40.671,17.158,-1584.985,OK,142.809,5.332,-1560.124,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,651196951,1778078882.518766692,1,OK,0.8723145,0.1903145,-0.4228658,0.1550235,-145.301,-137.279,-1855.853,0.6274241,3,OK,-144.672,-137.703,-1855.448,OK,-215.134,-72.658,-1886.506,OK,-200.858,-147.336,-1930.190
3,Port 0x01: JJH Probe  s/n:3E4C880C,651196954,1778078882.568766692,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,651196954,1778078882.568766692,1,OK,0.4440689,0.1864136,0.0758649,-0.8730964,94.520,-61.927,-1595.489,0.2591546,3,OK,94.350,-62.153,-1595.610,OK,40.673,17.152,-1584.968,OK,142.813,5.338,-1560.109,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,651196954,1778078882.568766692,1,OK,0.8722142,0.1913296,-0.4226862,0.1548280,-145.245,-137.308,-1855.841,0.5738093,3,OK,-144.672,-137.693,-1855.472,OK,-215.104,-72.654,-1886.272,OK,-200.820,-147.314,-1930.183
3,Port 0x01: JJH Probe  s/n:3E4C880C,651196957,1778078882.618766692,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,651196957,1778078882.618766692,1,OK,0.4440355,0.1863477,0.0751637,-0.8731881,94.492,-61.943,-1595.391,0.2530790,3,OK,94.322,-62.156,-1595.507,OK,40.665,17.165,-1585.000,OK,142.799,5.339,-1560.076,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,651196957,1778078882.618766692,1,OK,0.8722898,0.1910700,-0.4226331,0.1548680,-145.256,-137.293,-1855.824,0.5834524,3,OK,-144.671,-137.684,-1855.446,OK,-215.110,-72.657,-1886.300,OK,-200.846,-147.313,-1930.153
3,Port 0x01: JJH Probe  s/n:3E4C880C,651196960,1778078882.668766692,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,651196960,1778078882.668766692,1,OK,0.4440882,0.1863045,0.0756284,-0.8731304,94.525,-61.954,-1595.482,0.2495690,3,OK,94.366,-62.179,-1595.600,OK,40.685,17.140,-1585.001,OK,142.810,5.318,-1560.143,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,651196960,1778078882.668766692,1,OK,0.8722543,0.1913743,-0.4225808,0.1548350,-145.236,-137.337,-1855.865,0.5631381,3,OK,-144.672,-137.712,-1855.500,OK,-215.097,-72.691,-1886.270,OK,-200.826,-147.352,-1930.199
3,Port 0x01: JJH Probe  s/n:3E4C880C,651196963,1778078882.718766692,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,651196963,1778078882.718766692,1,OK,0.4440879,0.1865252,0.0755843,-0.8730872,94.523,-61.915,-1595.471,0.2577586,3,OK,94.359,-62.147,-1595.592,OK,40.675,17.179,-1585.004,OK,142.802,5.358,-1560.098,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,651196963,1778078882.718766692,1,OK,0.8724542,0.1908793,-0.4223937,0.1548302,-145.246,-137.272,-1855.888,0.5676346,3,OK,-144.686,-137.675,-1855.550,OK,-215.107,-72.645,-1886.369,OK,-200.846,-147.291,-1930.130
3,Port 0x01: JJH Probe  s/n:3E4C880C,651196966,1778078882.768766692,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,651196966,1778078882.768766692,1,OK,0.4439958,0.1864766,0.0751511,-0.8731819,94.490,-61.975,-1595.416,0.2533023,3,OK,94.314,-62.181,-1595.532,OK,40.673,17.129,-1585.031,OK,142.796,5.302,-1560.083,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,651196966,1778078882.768766692,1,OK,0.8722357,0.1910147,-0.4227654,0.1548795,-145.272,-137.330,-1855.833,0.5881262,3,OK,-144.681,-137.722,-1855.448,OK,-215.114,-72.693,-1886.335,OK,-200.845,-147.347,-1930.181
