Tools,Port 0x01: BrainLAB Y Junction  s/n:38220010,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: BrainLAB Black Probe  s/n:38220401,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1392180877,1727270214.618166715,1,OK,0.6963219,0.1827478,0.4531036,0.5257720,-27.117,-137.053,-1951.682,0.1646027,3,OK,-27.160,-137.159,-1951.600,OK,-4.766,-227.819,-1942.490,OK,-67.648,-201.298,-1887.381,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1392180877,1727270214.618166715,1,OK,0.0147896,-0.2025553,0.1120434,0.9727275,122.664,217.081,-2085.758,0.4575333,3,OK,122.370,216.853,-2085.800,OK,212.046,172.952,-2050.198,OK,137.318,124.703,-2062.702,Port 0x03: BrainLAB Black Probe  s/n:38220401,1392180877,1727270214.618166715,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1392180880,1727270214.668166715,1,OK,0.6963729,0.1832476,0.4524001,0.5261361,-26.997,-136.993,-1951.635,0.1924647,3,OK,-27.072,-137.121,-1951.512,OK,-4.668,-227.801,-1942.587,OK,-67.561,-201.295,-1887.512,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1392180880,1727270214.668166715,1,OK,0.0148020,-0.2027804,0.1121309,0.9726704,122.734,217.115,-2085.825,0.4704705,3,OK,122.423,216.891,-2085.873,OK,212.109,172.978,-2050.209,OK,137.383,124.751,-2062.745,Port 0x03: BrainLAB Black Probe  s/n:38220401,1392180880,1727270214.668166715,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1392180883,1727270214.718166708,1,OK,0.6962459,0.1831947,0.4529852,0.5258192,-27.063,-137.042,-1951.627,0.1836344,3,OK,-27.117,-137.154,-1951.531,OK,-4.720,-227.836,-1942.528,OK,-67.595,-201.306,-1887.366,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1392180883,1727270214.718166708,1,OK,0.0147994,-0.2027784,0.1118059,0.9727082,122.665,217.082,-2085.715,0.4721546,3,OK,122.357,216.849,-2085.760,OK,212.048,172.938,-2050.129,OK,137.322,124.712,-2062.698,Port 0x03: BrainLAB Black Probe  s/n:38220401,1392180883,1727270214.718166708,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1392180886,1727270214.768166715,1,OK,0.6963129,0.1829123,0.4528105,0.5259791,-27.064,-137.004,-1951.616,0.1675987,3,OK,-27.120,-137.113,-1951.519,OK,-4.716,-227.785,-1942.476,OK,-67.596,-201.283,-1887.395,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1392180886,1727270214.768166715,1,OK,0.0147744,-0.2023558,0.1121201,0.9727605,122.650,217.123,-2085.759,0.4617440,3,OK,122.349,216.901,-2085.803,OK,212.046,172.989,-2050.226,OK,137.314,124.750,-2062.694,Port 0x03: BrainLAB Black Probe  s/n:38220401,1392180886,1727270214.768166715,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1392180889,1727270214.818166715,1,OK,0.6962003,0.1831171,0.4531602,0.5257557,-27.071,-137.026,-1951.622,0.1727147,3,OK,-27.117,-137.136,-1951.536,OK,-4.727,-227.804,-1942.493,OK,-67.582,-201.286,-1887.327,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1392180889,1727270214.818166715,1,OK,0.0147592,-0.2024296,0.1125537,0.9726953,122.682,217.085,-2085.743,0.4573020,3,OK,122.377,216.874,-2085.791,OK,212.071,172.969,-2050.157,OK,137.331,124.720,-2062.594,Port 0x03: BrainLAB Black Probe  s/n:38220401,1392180889,1727270214.818166715,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1392180892,1727270214.868166715,1,OK,0.6963701,0.1832336,0.4527707,0.5258258,-27.078,-136.974,-1951.613,0.1796427,3,OK,-27.137,-137.092,-1951.511,OK,-4.769,-227.773,-1942.519,OK,-67.636,-201.242,-1887.398,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1392180892,1727270214.868166715,1,OK,0.0147948,-0.2022705,0.1122464,0.9727633,122.699,217.125,-2085.718,0.4522438,3,OK,122.410,216.903,-2085.759,OK,212.083,172.997,-2050.196,OK,137.357,124.748,-2062.633,Port 0x03: BrainLAB Black Probe  s/n:38220401,1392180892,1727270214.868166715,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1392180895,1727270214.918166715,1,OK,0.6965351,0.1829491,0.4524366,0.5259939,-27.148,-136.981,-1951.628,0.1728632,3,OK,-27.212,-137.104,-1951.519,OK,-4.846,-227.771,-1942.503,OK,-67.735,-201.258,-1887.477,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1392180895,1727270214.918166715,1,OK,0.0148514,-0.2018836,0.1120453,0.9728660,122.653,217.115,-2085.673,0.4511867,3,OK,122.370,216.888,-2085.710,OK,212.057,172.965,-2050.241,OK,137.316,124.728,-2062.642,Port 0x03: BrainLAB Black Probe  s/n:38220401,1392180895,1727270214.918166715,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1392180898,1727270214.968166708,1,OK,0.6966889,0.1825606,0.4523479,0.5260014,-27.183,-136.980,-1951.627,0.1547347,3,OK,-27.246,-137.092,-1951.523,OK,-4.890,-227.761,-1942.424,OK,-67.786,-201.246,-1887.484,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1392180898,1727270214.968166708,1,OK,0.0148088,-0.2022012,0.1122196,0.9727806,122.663,217.101,-2085.694,0.4529090,3,OK,122.370,216.880,-2085.736,OK,212.059,172.968,-2050.184,OK,137.317,124.721,-2062.618,Port 0x03: BrainLAB Black Probe  s/n:38220401,1392180898,1727270214.968166708,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1392180901,1727270215.018166715,1,OK,0.6965161,0.1828159,0.4526850,0.5258516,-27.152,-136.970,-1951.666,0.1584023,3,OK,-27.202,-137.073,-1951.578,OK,-4.844,-227.754,-1942.496,OK,-67.733,-201.234,-1887.445,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1392180901,1727270215.018166715,1,OK,0.0148499,-0.2026651,0.1114449,0.9727725,122.700,217.142,-2085.607,0.4693857,3,OK,122.406,216.897,-2085.646,OK,212.084,172.983,-2050.078,OK,137.360,124.759,-2062.664,Port 0x03: BrainLAB Black Probe  s/n:38220401,1392180901,1727270215.018166715,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1392180904,1727270215.068166715,1,OK,0.6966128,0.1824978,0.4525353,0.5259629,-27.130,-136.988,-1951.625,0.1512204,3,OK,-27.186,-137.092,-1951.531,OK,-4.815,-227.763,-1942.406,OK,-67.717,-201.249,-1887.437,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1392180904,1727270215.068166715,1,OK,0.0148377,-0.2026206,0.1119308,0.9727262,122.723,217.116,-2085.646,0.4646266,3,OK,122.426,216.883,-2085.688,OK,212.099,172.971,-2050.082,OK,137.374,124.742,-2062.611,Port 0x03: BrainLAB Black Probe  s/n:38220401,1392180904,1727270215.068166715,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
