Tools,Port 0x01: BrainLAB Y Junction  s/n:38220010,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: BrainLAB Black Probe  s/n:38220401,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1392733936,1727279432.268166709,1,OK,0.6970093,0.1828471,0.4522541,0.5255580,-26.969,-136.869,-1951.323,0.1759194,3,OK,-27.029,-137.001,-1951.215,OK,-4.769,-227.668,-1942.142,OK,-67.674,-201.070,-1887.156,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1392733936,1727279432.268166709,1,OK,0.0156241,-0.2030722,0.1060315,0.9732805,123.433,216.034,-2083.512,0.4965703,3,OK,123.109,215.785,-2083.562,OK,212.845,171.538,-2048.374,OK,138.150,123.444,-2061.571,Port 0x03: BrainLAB Black Probe  s/n:38220401,1392733936,1727279432.268166709,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1392733939,1727279432.318166709,1,OK,0.6970132,0.1829109,0.4523038,0.5254879,-26.925,-136.851,-1951.314,0.1742878,3,OK,-26.984,-136.977,-1951.209,OK,-4.734,-227.658,-1942.134,OK,-67.629,-201.046,-1887.138,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1392733939,1727279432.318166709,1,OK,0.0155828,-0.2031181,0.1060265,0.9732721,123.463,216.045,-2083.503,0.4970837,3,OK,123.137,215.793,-2083.553,OK,212.885,171.559,-2048.355,OK,138.182,123.455,-2061.562,Port 0x03: BrainLAB Black Probe  s/n:38220401,1392733939,1727279432.318166709,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1392733942,1727279432.368166709,1,OK,0.6970883,0.1827275,0.4521839,0.5255552,-26.841,-136.859,-1951.324,0.1741246,3,OK,-26.901,-136.989,-1951.216,OK,-4.645,-227.658,-1942.123,OK,-67.562,-201.053,-1887.163,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1392733942,1727279432.368166709,1,OK,0.0155793,-0.2031170,0.1058712,0.9732893,123.573,216.030,-2083.503,0.4974663,3,OK,123.242,215.782,-2083.554,OK,213.005,171.539,-2048.366,OK,138.296,123.433,-2061.589,Port 0x03: BrainLAB Black Probe  s/n:38220401,1392733942,1727279432.368166709,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1392733945,1727279432.418166709,1,OK,0.6971639,0.1825982,0.4520469,0.5256178,-26.907,-136.843,-1951.278,0.1674425,3,OK,-26.973,-136.971,-1951.165,OK,-4.722,-227.643,-1942.053,OK,-67.630,-201.039,-1887.155,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1392733945,1727279432.418166709,1,OK,0.0155867,-0.2032890,0.1060819,0.9732303,123.506,216.045,-2083.556,0.4964419,3,OK,123.171,215.801,-2083.609,OK,212.927,171.562,-2048.367,OK,138.213,123.451,-2061.597,Port 0x03: BrainLAB Black Probe  s/n:38220401,1392733945,1727279432.418166709,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1392733948,1727279432.468166709,1,OK,0.6969417,0.1828813,0.4524712,0.5254489,-26.927,-136.887,-1951.327,0.1709225,3,OK,-26.976,-137.009,-1951.234,OK,-4.721,-227.682,-1942.139,OK,-67.619,-201.082,-1887.108,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1392733948,1727279432.468166709,1,OK,0.0156285,-0.2034187,0.1056355,0.9732511,123.459,216.025,-2083.482,0.5003508,3,OK,123.124,215.779,-2083.537,OK,212.873,171.518,-2048.310,OK,138.177,123.419,-2061.602,Port 0x03: BrainLAB Black Probe  s/n:38220401,1392733948,1727279432.468166709,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1392733951,1727279432.518166709,1,OK,0.6970206,0.1821708,0.4526341,0.5254507,-26.869,-136.877,-1951.406,0.1329724,3,OK,-26.908,-136.979,-1951.330,OK,-4.645,-227.636,-1942.067,OK,-67.538,-201.054,-1887.145,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1392733951,1727279432.518166709,1,OK,0.0156348,-0.2030956,0.1063092,0.9732451,123.504,216.058,-2083.587,0.4915227,3,OK,123.173,215.822,-2083.641,OK,212.918,171.569,-2048.417,OK,138.206,123.464,-2061.593,Port 0x03: BrainLAB Black Probe  s/n:38220401,1392733951,1727279432.518166709,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1392733954,1727279432.568166709,1,OK,0.6969368,0.1827661,0.4523126,0.5256319,-26.788,-136.898,-1951.348,0.1694402,3,OK,-26.847,-137.018,-1951.245,OK,-4.564,-227.698,-1942.157,OK,-67.472,-201.111,-1887.174,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1392733954,1727279432.568166709,1,OK,0.0156163,-0.2029569,0.1059627,0.9733122,123.544,216.020,-2083.493,0.4936104,3,OK,123.216,215.774,-2083.544,OK,212.975,171.523,-2048.380,OK,138.261,123.420,-2061.569,Port 0x03: BrainLAB Black Probe  s/n:38220401,1392733954,1727279432.568166709,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1392733957,1727279432.618166709,1,OK,0.6969931,0.1824504,0.4523781,0.5256106,-26.868,-136.867,-1951.333,0.1546246,3,OK,-26.925,-136.986,-1951.233,OK,-4.645,-227.646,-1942.070,OK,-67.539,-201.064,-1887.149,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1392733957,1727279432.618166709,1,OK,0.0156763,-0.2032058,0.1061487,0.9732390,123.480,216.052,-2083.498,0.4959131,3,OK,123.144,215.814,-2083.553,OK,212.893,171.550,-2048.319,OK,138.177,123.455,-2061.531,Port 0x03: BrainLAB Black Probe  s/n:38220401,1392733957,1727279432.618166709,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1392733960,1727279432.668166709,1,OK,0.6969279,0.1829943,0.4522643,0.5256059,-26.860,-136.868,-1951.315,0.1804478,3,OK,-26.923,-137.007,-1951.202,OK,-4.656,-227.669,-1942.164,OK,-67.546,-201.082,-1887.162,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1392733960,1727279432.668166709,1,OK,0.0156454,-0.2030036,0.1058041,0.9733192,123.473,216.034,-2083.434,0.4934073,3,OK,123.148,215.785,-2083.484,OK,212.902,171.530,-2048.327,OK,138.188,123.428,-2061.539,Port 0x03: BrainLAB Black Probe  s/n:38220401,1392733960,1727279432.668166709,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1392733963,1727279432.718166709,1,OK,0.6969405,0.1827674,0.4525589,0.5254145,-26.846,-136.864,-1951.339,0.1701887,3,OK,-26.898,-136.989,-1951.241,OK,-4.635,-227.656,-1942.121,OK,-67.525,-201.043,-1887.108,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1392733963,1727279432.718166709,1,OK,0.0155999,-0.2031893,0.1062297,0.9732348,123.519,216.039,-2083.545,0.4944835,3,OK,123.189,215.800,-2083.598,OK,212.924,171.553,-2048.366,OK,138.234,123.450,-2061.560,Port 0x03: BrainLAB Black Probe  s/n:38220401,1392733963,1727279432.718166709,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
