Tools,Port 0x01: BrainLAB Y Junction  s/n:38220010,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: BrainLAB Black Probe  s/n:38220401,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1401719875,1727429197.918166708,1,OK,0.7065709,0.2035271,0.4292478,0.5244814,-40.529,-95.888,-1959.924,0.1180444,3,OK,-40.560,-96.001,-1959.865,OK,-22.045,-187.782,-1954.765,OK,-84.887,-161.528,-1899.698,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1401719875,1727429197.918166708,1,OK,0.0308327,-0.2018206,0.0857418,0.9751749,122.786,259.234,-2073.482,0.4540455,3,OK,122.444,259.131,-2073.567,OK,211.124,211.219,-2040.431,OK,135.545,165.324,-2055.795,Port 0x03: BrainLAB Black Probe  s/n:38220401,1401719875,1727429197.918166708,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1401719878,1727429197.968166708,1,OK,0.7065401,0.2039059,0.4291639,0.5244443,-40.505,-95.877,-1959.952,0.1318605,3,OK,-40.547,-95.998,-1959.881,OK,-22.045,-187.790,-1954.862,OK,-84.869,-161.519,-1899.756,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1401719878,1727429197.968166708,1,OK,0.0307951,-0.2020403,0.0848994,0.9752043,122.796,259.246,-2073.417,0.4595066,3,OK,122.462,259.112,-2073.496,OK,211.142,211.224,-2040.403,OK,135.580,165.337,-2055.883,Port 0x03: BrainLAB Black Probe  s/n:38220401,1401719878,1727429197.968166708,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1401719881,1727429198.018166711,1,OK,0.7064842,0.2041414,0.4292074,0.5243924,-40.512,-95.868,-1959.958,0.1501134,3,OK,-40.551,-96.000,-1959.887,OK,-22.049,-187.783,-1954.918,OK,-84.889,-161.510,-1899.741,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1401719881,1727429198.018166711,1,OK,0.0308272,-0.2017334,0.0845457,0.9752976,122.775,259.264,-2073.396,0.4470510,3,OK,122.455,259.122,-2073.469,OK,211.142,211.236,-2040.474,OK,135.560,165.335,-2055.941,Port 0x03: BrainLAB Black Probe  s/n:38220401,1401719881,1727429198.018166711,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1401719884,1727429198.068166711,1,OK,0.7065726,0.2038957,0.4292305,0.5243499,-40.559,-95.868,-1959.970,0.1359722,3,OK,-40.596,-95.989,-1959.903,OK,-22.103,-187.780,-1954.873,OK,-84.937,-161.495,-1899.746,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1401719884,1727429198.068166711,1,OK,0.0307336,-0.2012858,0.0851947,0.9753365,122.727,259.248,-2073.418,0.4438984,3,OK,122.408,259.117,-2073.492,OK,211.109,211.246,-2040.520,OK,135.522,165.331,-2055.852,Port 0x03: BrainLAB Black Probe  s/n:38220401,1401719884,1727429198.068166711,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1401719887,1727429198.118166711,1,OK,0.7064352,0.2044743,0.4292227,0.5243162,-40.500,-95.862,-1959.943,0.1601581,3,OK,-40.541,-95.991,-1959.870,OK,-22.051,-187.796,-1954.960,OK,-84.882,-161.506,-1899.726,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1401719887,1727429198.118166711,1,OK,0.0308642,-0.2016956,0.0853194,0.9752368,122.803,259.248,-2073.423,0.4477035,3,OK,122.470,259.134,-2073.504,OK,211.156,211.224,-2040.435,OK,135.565,165.325,-2055.823,Port 0x03: BrainLAB Black Probe  s/n:38220401,1401719887,1727429198.118166711,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1401719890,1727429198.168166711,1,OK,0.7065186,0.2036881,0.4295292,0.5242589,-40.519,-95.883,-1959.996,0.1258982,3,OK,-40.540,-95.987,-1959.949,OK,-22.041,-187.783,-1954.844,OK,-84.880,-161.502,-1899.695,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1401719890,1727429198.168166711,1,OK,0.0308524,-0.2015716,0.0853151,0.9752632,122.807,259.258,-2073.437,0.4525875,3,OK,122.474,259.138,-2073.517,OK,211.164,211.232,-2040.473,OK,135.577,165.344,-2055.842,Port 0x03: BrainLAB Black Probe  s/n:38220401,1401719890,1727429198.168166711,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1401719893,1727429198.218166711,1,OK,0.7064521,0.2039613,0.4295684,0.5242101,-40.572,-95.875,-1959.942,0.1446472,3,OK,-40.596,-95.994,-1959.888,OK,-22.098,-187.778,-1954.842,OK,-84.933,-161.491,-1899.635,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1401719893,1727429198.218166711,1,OK,0.0308108,-0.2015338,0.0846276,0.9753322,122.731,259.261,-2073.363,0.4475930,3,OK,122.414,259.115,-2073.434,OK,211.108,211.237,-2040.470,OK,135.520,165.338,-2055.900,Port 0x03: BrainLAB Black Probe  s/n:38220401,1401719893,1727429198.218166711,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1401719896,1727429198.268166711,1,OK,0.7065526,0.2039180,0.4291925,0.5243994,-40.535,-95.875,-1959.965,0.1378324,3,OK,-40.577,-95.997,-1959.892,OK,-22.074,-187.791,-1954.877,OK,-84.906,-161.506,-1899.756,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1401719896,1727429198.268166711,1,OK,0.0308457,-0.2017675,0.0849652,0.9752535,122.768,259.254,-2073.370,0.4520703,3,OK,122.439,259.122,-2073.447,OK,211.127,211.228,-2040.401,OK,135.539,165.337,-2055.836,Port 0x03: BrainLAB Black Probe  s/n:38220401,1401719896,1727429198.268166711,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1401719899,1727429198.318166711,1,OK,0.7065553,0.2038233,0.4293030,0.5243421,-40.531,-95.868,-1959.923,0.1293871,3,OK,-40.563,-95.983,-1959.863,OK,-22.069,-187.775,-1954.808,OK,-84.902,-161.498,-1899.681,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1401719899,1727429198.318166711,1,OK,0.0308250,-0.2014998,0.0848009,0.9753238,122.792,259.256,-2073.411,0.4461646,3,OK,122.470,259.123,-2073.487,OK,211.169,211.230,-2040.509,OK,135.576,165.329,-2055.916,Port 0x03: BrainLAB Black Probe  s/n:38220401,1401719899,1727429198.318166711,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1401719902,1727429198.368166711,1,OK,0.7065654,0.2040228,0.4291442,0.5243808,-40.562,-95.856,-1959.931,0.1372581,3,OK,-40.605,-95.977,-1959.858,OK,-22.115,-187.778,-1954.859,OK,-84.939,-161.491,-1899.734,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1401719902,1727429198.368166711,1,OK,0.0308679,-0.2017546,0.0855077,0.9752080,122.760,259.242,-2073.446,0.4549808,3,OK,122.422,259.121,-2073.526,OK,211.109,211.220,-2040.427,OK,135.512,165.335,-2055.810,Port 0x03: BrainLAB Black Probe  s/n:38220401,1401719902,1727429198.368166711,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
