Tools,Port 0x01: BrainLAB Y Junction  s/n:38220010,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: BrainLAB Black Probe  s/n:38220401,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1402253389,1727438089.818166712,1,OK,0.7081166,0.2001940,0.4279728,0.5247214,-40.298,-96.758,-1959.360,0.1007712,3,OK,-40.301,-96.873,-1959.327,OK,-21.872,-188.529,-1953.632,OK,-84.900,-162.295,-1899.251,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1402253389,1727438089.818166712,1,OK,0.0177156,-0.1986633,0.1560919,0.9673957,123.506,257.333,-2105.092,0.3950974,3,OK,123.372,257.172,-2105.083,OK,211.763,214.233,-2066.424,OK,136.189,166.835,-2074.228,Port 0x03: BrainLAB Black Probe  s/n:38220401,1402253389,1727438089.818166712,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1402253392,1727438089.868166712,1,OK,0.7082141,0.1999857,0.4277225,0.5248733,-40.299,-96.695,-1959.311,0.1184336,3,OK,-40.311,-96.815,-1959.268,OK,-21.878,-188.462,-1953.559,OK,-84.904,-162.240,-1899.266,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1402253392,1727438089.868166712,1,OK,0.0177762,-0.1997995,0.1559363,0.9671856,123.546,257.373,-2105.116,0.4176244,3,OK,123.367,257.221,-2105.123,OK,211.756,214.257,-2066.235,OK,136.198,166.894,-2074.245,Port 0x03: BrainLAB Black Probe  s/n:38220401,1402253392,1727438089.868166712,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1402253395,1727438089.918166712,1,OK,0.7082032,0.1999088,0.4276957,0.5249392,-40.279,-96.765,-1959.282,0.1192938,3,OK,-40.292,-96.884,-1959.238,OK,-21.846,-188.530,-1953.523,OK,-84.879,-162.316,-1899.244,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1402253395,1727438089.918166712,1,OK,0.0177960,-0.1995038,0.1561137,0.9672177,123.529,257.310,-2105.112,0.4068089,3,OK,123.365,257.163,-2105.116,OK,211.740,214.198,-2066.276,OK,136.180,166.823,-2074.216,Port 0x03: BrainLAB Black Probe  s/n:38220401,1402253395,1727438089.918166712,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1402253398,1727438089.968166712,1,OK,0.7081748,0.1997755,0.4278944,0.5248663,-40.261,-96.734,-1959.309,0.1109409,3,OK,-40.262,-96.841,-1959.280,OK,-21.819,-188.488,-1953.511,OK,-84.851,-162.281,-1899.220,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1402253398,1727438089.968166712,1,OK,0.0178448,-0.1996752,0.1557160,0.9672455,123.540,257.380,-2105.124,0.4145505,3,OK,123.368,257.223,-2105.127,OK,211.754,214.244,-2066.286,OK,136.188,166.885,-2074.300,Port 0x03: BrainLAB Black Probe  s/n:38220401,1402253398,1727438089.968166712,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1402253401,1727438090.018166712,1,OK,0.7082479,0.1997527,0.4277817,0.5248681,-40.258,-96.774,-1959.355,0.1183486,3,OK,-40.267,-96.889,-1959.317,OK,-21.829,-188.534,-1953.556,OK,-84.860,-162.312,-1899.292,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1402253401,1727438090.018166712,1,OK,0.0178111,-0.1997061,0.1561055,0.9671770,123.546,257.319,-2105.109,0.4008013,3,OK,123.383,257.177,-2105.114,OK,211.746,214.215,-2066.237,OK,136.183,166.825,-2074.207,Port 0x03: BrainLAB Black Probe  s/n:38220401,1402253401,1727438090.018166712,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1402253404,1727438090.068166712,1,OK,0.7082204,0.1998101,0.4277295,0.5249260,-40.276,-96.722,-1959.322,0.1179693,3,OK,-40.285,-96.841,-1959.283,OK,-21.839,-188.479,-1953.545,OK,-84.881,-162.270,-1899.269,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1402253404,1727438090.068166712,1,OK,0.0177921,-0.1991668,0.1562183,0.9672703,123.514,257.363,-2105.068,0.4016369,3,OK,123.362,257.215,-2105.068,OK,211.735,214.254,-2066.290,OK,136.172,166.873,-2074.163,Port 0x03: BrainLAB Black Probe  s/n:38220401,1402253404,1727438090.068166712,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1402253407,1727438090.118166712,1,OK,0.7080743,0.2002208,0.4278805,0.5248435,-40.275,-96.765,-1959.326,0.1040218,3,OK,-40.285,-96.883,-1959.286,OK,-21.835,-188.541,-1953.619,OK,-84.867,-162.316,-1899.248,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1402253407,1727438090.118166712,1,OK,0.0177137,-0.1994268,0.1562922,0.9672062,123.517,257.302,-2105.106,0.4033413,3,OK,123.351,257.160,-2105.112,OK,211.742,214.212,-2066.268,OK,136.176,166.823,-2074.177,Port 0x03: BrainLAB Black Probe  s/n:38220401,1402253407,1727438090.118166712,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1402253410,1727438090.168166712,1,OK,0.7082172,0.1996586,0.4278238,0.5249111,-40.223,-96.756,-1959.330,0.1272158,3,OK,-40.231,-96.869,-1959.293,OK,-21.788,-188.506,-1953.509,OK,-84.803,-162.300,-1899.270,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1402253410,1727438090.168166712,1,OK,0.0177975,-0.1993918,0.1558105,0.9672896,123.546,257.360,-2105.103,0.4097289,3,OK,123.387,257.193,-2105.100,OK,211.776,214.238,-2066.314,OK,136.201,166.870,-2074.273,Port 0x03: BrainLAB Black Probe  s/n:38220401,1402253410,1727438090.168166712,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1402253413,1727438090.218166712,1,OK,0.7081480,0.1998697,0.4277285,0.5250017,-40.190,-96.789,-1959.283,0.1281987,3,OK,-40.210,-96.915,-1959.231,OK,-21.740,-188.552,-1953.522,OK,-84.767,-162.339,-1899.254,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1402253413,1727438090.218166712,1,OK,0.0177879,-0.1998072,0.1561219,0.9671539,123.563,257.312,-2105.204,0.4072771,3,OK,123.386,257.176,-2105.214,OK,211.765,214.206,-2066.306,OK,136.205,166.825,-2074.294,Port 0x03: BrainLAB Black Probe  s/n:38220401,1402253413,1727438090.218166712,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1402253416,1727438090.268166712,1,OK,0.7081500,0.1997553,0.4275030,0.5252262,-40.141,-96.755,-1959.225,0.1547260,3,OK,-40.174,-96.880,-1959.161,OK,-21.690,-188.517,-1953.454,OK,-84.693,-162.333,-1899.273,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1402253416,1727438090.268166712,1,OK,0.0176872,-0.1989932,0.1565765,0.9672501,123.458,257.335,-2105.085,0.3987979,3,OK,123.305,257.192,-2105.087,OK,211.696,214.255,-2066.307,OK,136.127,166.863,-2074.117,Port 0x03: BrainLAB Black Probe  s/n:38220401,1402253416,1727438090.268166712,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
