Tools,Port 0x01: BrainLAB Y Junction  s/n:38220010,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: BrainLAB Black Probe  s/n:38220401,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1402243816,1727437930.268166712,1,OK,0.7083755,0.2019855,0.4271476,0.5243576,-40.530,-97.315,-1960.022,0.1069704,3,OK,-40.540,-97.441,-1959.981,OK,-22.341,-189.153,-1954.584,OK,-85.265,-162.903,-1900.087,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1402243816,1727437930.268166712,1,OK,0.0511971,-0.1854426,0.0705735,0.9787795,132.521,252.327,-2064.577,0.3886828,3,OK,132.311,252.147,-2064.610,OK,219.834,200.019,-2036.091,OK,142.279,157.380,-2050.950,Port 0x03: BrainLAB Black Probe  s/n:38220401,1402243816,1727437930.268166712,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1402243819,1727437930.318166712,1,OK,0.7084276,0.2019747,0.4268707,0.5245168,-40.489,-97.304,-1959.995,0.1191317,3,OK,-40.505,-97.435,-1959.946,OK,-22.307,-189.140,-1954.574,OK,-85.233,-162.913,-1900.126,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1402243819,1727437930.318166712,1,OK,0.0512085,-0.1858609,0.0704795,0.9787063,132.595,252.327,-2064.617,0.3954719,3,OK,132.376,252.138,-2064.652,OK,219.905,200.019,-2036.059,OK,142.339,157.392,-2050.999,Port 0x03: BrainLAB Black Probe  s/n:38220401,1402243819,1727437930.318166712,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1402243822,1727437930.368166712,1,OK,0.7084404,0.2017432,0.4271069,0.5243964,-40.483,-97.314,-1959.934,0.1121165,3,OK,-40.490,-97.433,-1959.898,OK,-22.297,-189.141,-1954.447,OK,-85.217,-162.904,-1900.007,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1402243822,1727437930.368166712,1,OK,0.0512525,-0.1849576,0.0702464,0.9788919,132.555,252.351,-2064.456,0.3902274,3,OK,132.356,252.155,-2064.484,OK,219.886,200.027,-2036.094,OK,142.316,157.404,-2050.910,Port 0x03: BrainLAB Black Probe  s/n:38220401,1402243822,1727437930.368166712,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1402243825,1727437930.418166712,1,OK,0.7082554,0.2021835,0.4269902,0.5245717,-40.467,-97.355,-1959.927,0.1122398,3,OK,-40.486,-97.483,-1959.876,OK,-22.260,-189.201,-1954.548,OK,-85.179,-162.982,-1900.048,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1402243825,1727437930.418166712,1,OK,0.0511625,-0.1851277,0.0702924,0.9788611,132.490,252.299,-2064.538,0.3893132,3,OK,132.288,252.099,-2064.566,OK,219.834,199.997,-2036.137,OK,142.255,157.357,-2050.977,Port 0x03: BrainLAB Black Probe  s/n:38220401,1402243825,1727437930.418166712,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1402243828,1727437930.468166712,1,OK,0.7081073,0.2017712,0.4274083,0.5245898,-40.347,-97.334,-1959.943,0.1149893,3,OK,-40.353,-97.448,-1959.908,OK,-22.099,-189.147,-1954.462,OK,-84.985,-162.962,-1899.994,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1402243828,1727437930.468166712,1,OK,0.0511585,-0.1855099,0.0706565,0.9787628,132.545,252.361,-2064.557,0.3940051,3,OK,132.330,252.182,-2064.592,OK,219.859,200.058,-2036.050,OK,142.310,157.423,-2050.911,Port 0x03: BrainLAB Black Probe  s/n:38220401,1402243828,1727437930.468166712,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1402243831,1727437930.518166712,1,OK,0.7079697,0.2019602,0.4276327,0.5245200,-40.302,-97.415,-1959.954,0.1025789,3,OK,-40.310,-97.529,-1959.917,OK,-22.034,-189.239,-1954.503,OK,-84.919,-163.034,-1899.963,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1402243831,1727437930.518166712,1,OK,0.0511870,-0.1851125,0.0708201,0.9788247,132.546,252.298,-2064.573,0.3886511,3,OK,132.346,252.103,-2064.601,OK,219.871,200.001,-2036.125,OK,142.296,157.363,-2050.913,Port 0x03: BrainLAB Black Probe  s/n:38220401,1402243831,1727437930.518166712,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1402243834,1727437930.568166712,1,OK,0.7078628,0.2018912,0.4273920,0.5248870,-40.185,-97.395,-1959.908,0.1293457,3,OK,-40.210,-97.514,-1959.854,OK,-21.887,-189.215,-1954.474,OK,-84.753,-163.061,-1900.012,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1402243834,1727437930.568166712,1,OK,0.0511323,-0.1854396,0.0706316,0.9787792,132.470,252.353,-2064.567,0.3920835,3,OK,132.259,252.165,-2064.599,OK,219.796,200.060,-2036.074,OK,142.233,157.418,-2050.930,Port 0x03: BrainLAB Black Probe  s/n:38220401,1402243834,1727437930.568166712,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1402243837,1727437930.618166711,1,OK,0.7071994,0.2026144,0.4282373,0.5248135,-39.860,-97.477,-1959.831,0.1140394,3,OK,-39.879,-97.607,-1959.780,OK,-21.492,-189.291,-1954.502,OK,-84.287,-163.169,-1899.814,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1402243837,1727437930.618166711,1,OK,0.0511572,-0.1856465,0.0708395,0.9787237,132.529,252.346,-2064.604,0.3941713,3,OK,132.315,252.163,-2064.638,OK,219.835,200.051,-2036.054,OK,142.283,157.415,-2050.921,Port 0x03: BrainLAB Black Probe  s/n:38220401,1402243837,1727437930.618166711,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1402243840,1727437930.668166711,1,OK,0.7064473,0.2033227,0.4288844,0.5250240,-39.572,-97.523,-1959.686,0.1132259,3,OK,-39.591,-97.665,-1959.631,OK,-21.101,-189.329,-1954.493,OK,-83.839,-163.283,-1899.606,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1402243840,1727437930.668166711,1,OK,0.0510454,-0.1853814,0.0713221,0.9787447,132.479,252.375,-2064.710,0.3841306,3,OK,132.269,252.209,-2064.744,OK,219.792,200.110,-2036.164,OK,142.247,157.438,-2050.938,Port 0x03: BrainLAB Black Probe  s/n:38220401,1402243840,1727437930.668166711,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1402243843,1727437930.718166711,1,OK,0.7062080,0.2028616,0.4288695,0.5255362,-39.304,-97.560,-1959.613,0.1408172,3,OK,-39.342,-97.696,-1959.541,OK,-20.751,-189.348,-1954.361,OK,-83.452,-163.373,-1899.606,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1402243843,1727437930.718166711,1,OK,0.0510149,-0.1851118,0.0716989,0.9787698,132.442,252.426,-2064.822,0.3906599,3,OK,132.226,252.256,-2064.857,OK,219.771,200.166,-2036.287,OK,142.207,157.507,-2050.989,Port 0x03: BrainLAB Black Probe  s/n:38220401,1402243843,1727437930.718166711,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
