Tools,Port 0x01: BrainLAB Y Junction  s/n:38220010,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: BrainLAB Black Probe  s/n:38220401,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1708009690,1732534028.168411853,1,OK,0.6952922,-0.1176352,0.4321159,-0.5621447,15.719,8.835,-1547.510,0.0790673,3,OK,15.715,8.904,-1547.475,OK,-9.038,68.940,-1479.792,OK,36.845,106.073,-1544.448,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1708009690,1732534028.168411853,1,OK,0.9806318,-0.0229729,-0.1928840,-0.0250869,279.162,-317.007,-1618.488,0.3968247,3,OK,279.340,-316.753,-1618.416,OK,198.520,-270.138,-1668.270,OK,267.354,-222.830,-1635.185,Port 0x03: BrainLAB Black Probe  s/n:38220401,1708009690,1732534028.168411853,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1708009693,1732534028.218411854,1,OK,0.6952175,-0.1175045,0.4323972,-0.5620481,15.757,8.840,-1547.528,0.0745680,3,OK,15.763,8.897,-1547.516,OK,-8.978,68.930,-1479.745,OK,36.895,106.066,-1544.419,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1708009693,1732534028.218411854,1,OK,0.9807007,-0.0233510,-0.1924726,-0.0252004,279.193,-317.010,-1618.486,0.3916409,3,OK,279.365,-316.764,-1618.418,OK,198.543,-270.143,-1668.223,OK,267.398,-222.832,-1635.243,Port 0x03: BrainLAB Black Probe  s/n:38220401,1708009693,1732534028.218411854,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1708009696,1732534028.268411854,1,OK,0.6951594,-0.1175034,0.4324791,-0.5620571,15.765,8.860,-1547.513,0.0727223,3,OK,15.774,8.915,-1547.506,OK,-8.953,68.954,-1479.718,OK,36.911,106.079,-1544.398,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1708009696,1732534028.268411854,1,OK,0.9806617,-0.0231589,-0.1926960,-0.0251886,279.178,-316.999,-1618.464,0.3964937,3,OK,279.353,-316.745,-1618.394,OK,198.534,-270.123,-1668.227,OK,267.387,-222.824,-1635.188,Port 0x03: BrainLAB Black Probe  s/n:38220401,1708009696,1732534028.268411854,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1708009699,1732534028.318411854,1,OK,0.6952397,-0.1174256,0.4323782,-0.5620517,15.760,8.836,-1547.494,0.0654704,3,OK,15.761,8.895,-1547.473,OK,-8.971,68.919,-1479.729,OK,36.895,106.061,-1544.362,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1708009699,1732534028.318411854,1,OK,0.9805832,-0.0230625,-0.1931250,-0.0250481,279.152,-317.006,-1618.395,0.3911127,3,OK,279.329,-316.750,-1618.324,OK,198.521,-270.160,-1668.231,OK,267.360,-222.827,-1635.111,Port 0x03: BrainLAB Black Probe  s/n:38220401,1708009699,1732534028.318411854,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1708009702,1732534028.368411853,1,OK,0.6952156,-0.1174422,0.4323469,-0.5621021,15.782,8.853,-1547.496,0.0635506,3,OK,15.780,8.913,-1547.469,OK,-8.940,68.942,-1479.749,OK,36.922,106.078,-1544.370,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1708009702,1732534028.368411853,1,OK,0.9806690,-0.0232380,-0.1926512,-0.0251751,279.148,-317.007,-1618.499,0.4028861,3,OK,279.325,-316.748,-1618.429,OK,198.502,-270.135,-1668.262,OK,267.354,-222.844,-1635.237,Port 0x03: BrainLAB Black Probe  s/n:38220401,1708009702,1732534028.368411853,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1708009705,1732534028.418411853,1,OK,0.6950589,-0.1177427,0.4325153,-0.5621034,15.818,8.824,-1547.430,0.0878122,3,OK,15.821,8.893,-1547.407,OK,-8.880,68.920,-1479.648,OK,36.972,106.051,-1544.371,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1708009705,1732534028.418411853,1,OK,0.9806441,-0.0231281,-0.1927948,-0.0251470,279.170,-317.029,-1618.482,0.3986084,3,OK,279.347,-316.771,-1618.412,OK,198.528,-270.160,-1668.262,OK,267.377,-222.858,-1635.202,Port 0x03: BrainLAB Black Probe  s/n:38220401,1708009705,1732534028.418411853,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1708009708,1732534028.468411854,1,OK,0.6951047,-0.1175902,0.4324877,-0.5620999,15.830,8.860,-1547.465,0.0746682,3,OK,15.834,8.922,-1547.447,OK,-8.873,68.955,-1479.686,OK,36.982,106.081,-1544.369,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1708009708,1732534028.468411854,1,OK,0.9807257,-0.0228124,-0.1924136,-0.0251747,279.188,-317.020,-1618.568,0.3900138,3,OK,279.353,-316.766,-1618.505,OK,198.523,-270.129,-1668.246,OK,267.373,-222.829,-1635.222,Port 0x03: BrainLAB Black Probe  s/n:38220401,1708009708,1732534028.468411854,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1708009711,1732534028.518411854,1,OK,0.6950365,-0.1175182,0.4327124,-0.5620264,15.798,8.844,-1547.481,0.0841665,3,OK,15.810,8.902,-1547.478,OK,-8.891,68.923,-1479.645,OK,36.964,106.057,-1544.362,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1708009711,1732534028.518411854,1,OK,0.9807001,-0.0232931,-0.1924780,-0.0252393,279.143,-317.027,-1618.498,0.4000962,3,OK,279.318,-316.774,-1618.429,OK,198.494,-270.146,-1668.232,OK,267.353,-222.859,-1635.242,Port 0x03: BrainLAB Black Probe  s/n:38220401,1708009711,1732534028.518411854,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1708009714,1732534028.568411854,1,OK,0.6951229,-0.1178102,0.4323660,-0.5621250,15.793,8.850,-1547.452,0.0919167,3,OK,15.793,8.924,-1547.422,OK,-8.925,68.952,-1479.697,OK,36.936,106.085,-1544.419,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1708009714,1732534028.568411854,1,OK,0.9806252,-0.0231103,-0.1928972,-0.0251165,279.148,-316.988,-1618.418,0.3955884,3,OK,279.324,-316.733,-1618.348,OK,198.514,-270.125,-1668.214,OK,267.351,-222.813,-1635.140,Port 0x03: BrainLAB Black Probe  s/n:38220401,1708009714,1732534028.568411854,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1708009717,1732534028.618411853,1,OK,0.6950518,-0.1175618,0.4326198,-0.5620697,15.808,8.842,-1547.479,0.0786112,3,OK,15.816,8.900,-1547.470,OK,-8.883,68.930,-1479.670,OK,36.971,106.061,-1544.374,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1708009717,1732534028.618411853,1,OK,0.9807258,-0.0229245,-0.1924050,-0.0251315,279.176,-317.023,-1618.492,0.3989438,3,OK,279.343,-316.764,-1618.428,OK,198.511,-270.141,-1668.178,OK,267.351,-222.849,-1635.169,Port 0x03: BrainLAB Black Probe  s/n:38220401,1708009717,1732534028.618411853,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
