Tools,Port 0x01: BrainLAB Y Junction  s/n:38220010,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: BrainLAB Black Probe  s/n:38220401,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1707853168,1732531474.568647922,1,OK,0.9388748,0.1370594,-0.1890834,-0.2529353,-93.318,-79.913,-1729.595,0.1629181,3,OK,-93.477,-79.954,-1729.659,OK,-179.300,-69.420,-1765.262,OK,-138.225,6.397,-1751.049,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1707853168,1732531474.568647922,1,OK,0.9751294,-0.0912215,-0.1968932,-0.0451047,269.624,-311.947,-1575.562,0.4434682,3,OK,269.771,-311.634,-1575.565,OK,192.509,-266.602,-1631.736,OK,264.065,-220.142,-1604.136,Port 0x03: BrainLAB Black Probe  s/n:38220401,1707853168,1732531474.568647922,1,OK,0.7600066,0.0550052,0.5289562,-0.3735903,48.816,-134.392,-1651.057,0.3521146,3,OK,-146.190,-295.376,-1573.696,OK,-39.157,-207.143,-1605.515,OK,-112.847,-266.037,-1567.225
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1707853171,1732531474.618647922,1,OK,0.9387895,0.1370895,-0.1895714,-0.2528702,-93.326,-79.904,-1729.546,0.1375003,3,OK,-93.459,-79.939,-1729.600,OK,-179.301,-69.408,-1765.311,OK,-138.204,6.392,-1751.059,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1707853171,1732531474.618647922,1,OK,0.9752186,-0.0909337,-0.1965816,-0.0451157,269.650,-311.952,-1575.589,0.4485437,3,OK,269.790,-311.634,-1575.598,OK,192.513,-266.576,-1631.680,OK,264.062,-220.136,-1604.107,Port 0x03: BrainLAB Black Probe  s/n:38220401,1707853171,1732531474.618647922,1,OK,0.7597223,0.0551114,0.5291442,-0.3738865,48.804,-134.429,-1651.210,0.3549852,3,OK,-146.280,-295.265,-1573.742,OK,-39.192,-207.108,-1605.624,OK,-112.923,-265.963,-1567.295
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1707853174,1732531474.668647921,1,OK,0.9388522,0.1370438,-0.1892157,-0.2529288,-93.320,-79.904,-1729.533,0.1596792,3,OK,-93.478,-79.941,-1729.597,OK,-179.293,-69.403,-1765.223,OK,-138.220,6.394,-1751.007,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1707853174,1732531474.668647921,1,OK,0.9752638,-0.0911687,-0.1962347,-0.0451744,269.651,-311.958,-1575.640,0.4508867,3,OK,269.784,-311.648,-1575.651,OK,192.508,-266.578,-1631.683,OK,264.052,-220.149,-1604.200,Port 0x03: BrainLAB Black Probe  s/n:38220401,1707853174,1732531474.668647921,1,OK,0.7590994,0.0557310,0.5303040,-0.3734163,48.832,-134.378,-1651.029,0.3804660,3,OK,-146.146,-295.338,-1573.537,OK,-39.105,-207.145,-1605.428,OK,-112.765,-266.066,-1567.174
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1707853177,1732531474.718647927,1,OK,0.9387994,0.1370900,-0.1894854,-0.2528978,-93.346,-79.899,-1729.519,0.1397335,3,OK,-93.486,-79.928,-1729.575,OK,-179.324,-69.399,-1765.267,OK,-138.223,6.394,-1751.018,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1707853177,1732531474.718647927,1,OK,0.9752283,-0.0909886,-0.1964903,-0.0451918,269.636,-311.958,-1575.615,0.4465787,3,OK,269.772,-311.638,-1575.627,OK,192.499,-266.575,-1631.694,OK,264.064,-220.140,-1604.137,Port 0x03: BrainLAB Black Probe  s/n:38220401,1707853177,1732531474.718647927,1,OK,0.7585861,0.0552656,0.5313703,-0.3730127,48.791,-134.399,-1651.109,0.3609432,3,OK,-145.861,-295.572,-1573.256,OK,-38.967,-207.265,-1605.347,OK,-112.492,-266.271,-1566.888
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1707853180,1732531474.768647927,1,OK,0.9388131,0.1370150,-0.1894685,-0.2529001,-93.341,-79.901,-1729.538,0.1459623,3,OK,-93.482,-79.939,-1729.595,OK,-179.314,-69.404,-1765.278,OK,-138.223,6.399,-1751.048,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1707853180,1732531474.768647927,1,OK,0.9752516,-0.0910164,-0.1963671,-0.0451703,269.658,-311.966,-1575.669,0.4485259,3,OK,269.789,-311.642,-1575.685,OK,192.511,-266.589,-1631.727,OK,264.076,-220.153,-1604.194,Port 0x03: BrainLAB Black Probe  s/n:38220401,1707853180,1732531474.768647927,1,OK,0.7588775,0.0549822,0.5311641,-0.3727555,48.811,-134.393,-1651.075,0.3641161,3,OK,-145.731,-295.709,-1573.250,OK,-38.902,-207.319,-1605.327,OK,-112.396,-266.382,-1566.882
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1707853183,1732531474.818647927,1,OK,0.9387135,0.1377168,-0.1894829,-0.2528780,-93.321,-79.918,-1729.554,0.1377307,3,OK,-93.464,-79.939,-1729.611,OK,-179.298,-69.407,-1765.323,OK,-138.200,6.393,-1750.961,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1707853183,1732531474.818647927,1,OK,0.9752039,-0.0913228,-0.1964508,-0.0452177,269.642,-311.943,-1575.572,0.4500130,3,OK,269.777,-311.620,-1575.585,OK,192.512,-266.580,-1631.671,OK,264.082,-220.147,-1604.153,Port 0x03: BrainLAB Black Probe  s/n:38220401,1707853183,1732531474.818647927,1,OK,0.7588607,0.0557324,0.5308737,-0.3730918,48.803,-134.412,-1651.188,0.3702581,3,OK,-146.034,-295.510,-1573.623,OK,-39.048,-207.242,-1605.559,OK,-112.661,-266.232,-1567.244
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1707853186,1732531474.868647927,1,OK,0.9386687,0.1378699,-0.1896953,-0.2528016,-93.354,-79.919,-1729.546,0.1299504,3,OK,-93.487,-79.941,-1729.600,OK,-179.327,-69.418,-1765.363,OK,-138.229,6.395,-1750.961,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1707853186,1732531474.868647927,1,OK,0.9752225,-0.0911339,-0.1964571,-0.0451704,269.643,-311.959,-1575.626,0.4465235,3,OK,269.777,-311.639,-1575.640,OK,192.505,-266.592,-1631.711,OK,264.069,-220.150,-1604.175,Port 0x03: BrainLAB Black Probe  s/n:38220401,1707853186,1732531474.868647927,1,OK,0.7591269,0.0561567,0.5297672,-0.3740582,48.804,-134.425,-1651.166,0.3558429,3,OK,-146.499,-295.072,-1573.848,OK,-39.284,-207.041,-1605.645,OK,-113.079,-265.835,-1567.381
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1707853189,1732531474.918647927,1,OK,0.9388606,0.1366925,-0.1895853,-0.2528110,-93.361,-79.889,-1729.530,0.1491497,3,OK,-93.498,-79.937,-1729.584,OK,-179.324,-69.408,-1765.280,OK,-138.258,6.390,-1751.109,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1707853189,1732531474.918647927,1,OK,0.9752314,-0.0911005,-0.1964100,-0.0452505,269.629,-311.962,-1575.650,0.4451231,3,OK,269.760,-311.640,-1575.665,OK,192.495,-266.581,-1631.721,OK,264.069,-220.148,-1604.188,Port 0x03: BrainLAB Black Probe  s/n:38220401,1707853189,1732531474.918647927,1,OK,0.7593334,0.0567125,0.5290337,-0.3745928,48.800,-134.399,-1651.102,0.3778201,3,OK,-146.844,-294.758,-1574.037,OK,-39.465,-206.886,-1605.694,OK,-113.398,-265.574,-1567.596
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1707853192,1732531474.968647927,1,OK,0.9388358,0.1371158,-0.1892741,-0.2529069,-93.333,-79.903,-1729.555,0.1447464,3,OK,-93.481,-79.928,-1729.615,OK,-179.321,-69.407,-1765.265,OK,-138.221,6.389,-1751.022,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1707853192,1732531474.968647927,1,OK,0.9752421,-0.0912616,-0.1962919,-0.0452059,269.653,-311.958,-1575.640,0.4494133,3,OK,269.791,-311.638,-1575.651,OK,192.502,-266.588,-1631.710,OK,264.082,-220.157,-1604.207,Port 0x03: BrainLAB Black Probe  s/n:38220401,1707853192,1732531474.968647927,1,OK,0.7591723,0.0566695,0.5293533,-0.3744744,48.774,-134.375,-1651.165,0.3870440,3,OK,-146.795,-294.785,-1574.004,OK,-39.446,-206.885,-1605.715,OK,-113.352,-265.605,-1567.611
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1707853195,1732531475.018647927,1,OK,0.9387568,0.1372046,-0.1896925,-0.2528387,-93.345,-79.895,-1729.559,0.1295662,3,OK,-93.467,-79.935,-1729.608,OK,-179.323,-69.402,-1765.354,OK,-138.221,6.410,-1751.073,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1707853195,1732531475.018647927,1,OK,0.9752459,-0.0911951,-0.1962906,-0.0452644,269.653,-311.959,-1575.633,0.4469162,3,OK,269.793,-311.646,-1575.641,OK,192.507,-266.570,-1631.697,OK,264.087,-220.148,-1604.189,Port 0x03: BrainLAB Black Probe  s/n:38220401,1707853195,1732531475.018647927,1,OK,0.7592753,0.0564539,0.5289479,-0.3748707,48.781,-134.411,-1651.221,0.3556311,3,OK,-146.887,-294.680,-1574.034,OK,-39.488,-206.844,-1605.759,OK,-113.429,-265.485,-1567.550
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1707853198,1732531475.068647927,1,OK,0.9387779,0.1373899,-0.1894154,-0.2528674,-93.345,-79.911,-1729.555,0.1454731,3,OK,-93.493,-79.937,-1729.615,OK,-179.318,-69.410,-1765.298,OK,-138.234,6.388,-1751.003,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1707853198,1732531475.068647927,1,OK,0.9751793,-0.0909484,-0.1967643,-0.0451383,269.625,-311.960,-1575.626,0.4415706,3,OK,269.767,-311.644,-1575.633,OK,192.496,-266.590,-1631.754,OK,264.060,-220.137,-1604.146,Port 0x03: BrainLAB Black Probe  s/n:38220401,1707853198,1732531475.068647927,1,OK,0.7593111,0.0564297,0.5291941,-0.3744543,48.773,-134.377,-1651.169,0.3520567,3,OK,-146.756,-294.830,-1574.024,OK,-39.432,-206.901,-1605.726,OK,-113.319,-265.616,-1567.513
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1707853201,1732531475.118647927,1,OK,0.9387912,0.1374570,-0.1893132,-0.2528581,-93.332,-79.907,-1729.551,0.1452092,3,OK,-93.481,-79.931,-1729.611,OK,-179.314,-69.410,-1765.279,OK,-138.228,6.393,-1750.976,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1707853201,1732531475.118647927,1,OK,0.9752048,-0.0914751,-0.1963702,-0.0452396,269.638,-311.944,-1575.576,0.4495722,3,OK,269.776,-311.625,-1575.587,OK,192.503,-266.585,-1631.677,OK,264.081,-220.154,-1604.183,Port 0x03: BrainLAB Black Probe  s/n:38220401,1707853201,1732531475.118647927,1,OK,0.7595469,0.0556607,0.5291036,-0.3742189,48.785,-134.396,-1651.176,0.3589455,3,OK,-146.520,-295.033,-1573.820,OK,-39.304,-206.982,-1605.644,OK,-113.126,-265.776,-1567.381
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1707853204,1732531475.168647927,1,OK,0.9387499,0.1375810,-0.1893953,-0.2528824,-93.322,-79.923,-1729.547,0.1385652,3,OK,-93.466,-79.942,-1729.605,OK,-179.304,-69.415,-1765.296,OK,-138.206,6.380,-1750.962,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1707853204,1732531475.168647927,1,OK,0.9752551,-0.0912099,-0.1962485,-0.0452182,269.648,-311.946,-1575.578,0.4447032,3,OK,269.781,-311.632,-1575.590,OK,192.500,-266.571,-1631.632,OK,264.073,-220.135,-1604.137,Port 0x03: BrainLAB Black Probe  s/n:38220401,1707853204,1732531475.168647927,1,OK,0.7598180,0.0546801,0.5290410,-0.3739016,48.803,-134.374,-1651.125,0.3553229,3,OK,-146.198,-295.249,-1573.521,OK,-39.158,-207.065,-1605.475,OK,-112.849,-265.920,-1567.104
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1707853207,1732531475.218647927,1,OK,0.9388368,0.1371872,-0.1891985,-0.2529212,-93.329,-79.911,-1729.557,0.1465454,3,OK,-93.477,-79.940,-1729.617,OK,-179.322,-69.416,-1765.256,OK,-138.222,6.394,-1751.004,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1707853207,1732531475.218647927,1,OK,0.9752783,-0.0909896,-0.1962467,-0.0451716,269.648,-311.962,-1575.659,0.4465830,3,OK,269.776,-311.639,-1575.676,OK,192.493,-266.581,-1631.692,OK,264.060,-220.143,-1604.177,Port 0x03: BrainLAB Black Probe  s/n:38220401,1707853207,1732531475.218647927,1,OK,0.7600904,0.0535167,0.5288358,-0.3738064,48.766,-134.413,-1651.236,0.3839591,3,OK,-145.961,-295.439,-1573.242,OK,-39.065,-207.149,-1605.413,OK,-112.667,-266.068,-1566.986
