Tools,Port 0x01: BrainLAB Y Junction  s/n:38220010,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: BrainLAB Black Probe  s/n:38220401,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1458632350,1728377739.168420679,1,OK,0.6067159,-0.1012872,0.4504602,0.6470875,19.351,-246.459,-1926.678,0.2719107,3,OK,19.249,-246.602,-1926.500,OK,76.430,-308.896,-1885.977,OK,-4.769,-310.416,-1854.794,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1458632350,1728377739.168420679,1,OK,0.0456696,-0.2704271,0.0258425,0.9613093,124.846,107.977,-2021.251,0.5718415,3,OK,124.584,107.593,-2021.358,OK,208.154,56.273,-1981.472,OK,136.230,12.879,-2012.872,Port 0x03: BrainLAB Black Probe  s/n:38220401,1458632350,1728377739.168420679,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1458632353,1728377739.218420679,1,OK,0.6065729,-0.1012577,0.4508585,0.6469489,19.331,-246.446,-1926.613,0.2548924,3,OK,19.240,-246.577,-1926.450,OK,76.423,-308.855,-1885.912,OK,-4.756,-310.372,-1854.655,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1458632353,1728377739.218420679,1,OK,0.0456609,-0.2706572,0.0256539,0.9612500,124.840,108.003,-2021.186,0.5732412,3,OK,124.573,107.618,-2021.296,OK,208.150,56.298,-1981.377,OK,136.224,12.905,-2012.837,Port 0x03: BrainLAB Black Probe  s/n:38220401,1458632353,1728377739.218420679,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1458632356,1728377739.268420678,1,OK,0.6067072,-0.1008499,0.4505078,0.6471309,19.302,-246.440,-1926.591,0.2834932,3,OK,19.205,-246.607,-1926.391,OK,76.388,-308.905,-1885.970,OK,-4.802,-310.412,-1854.734,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1458632356,1728377739.268420678,1,OK,0.0456578,-0.2705584,0.0264389,0.9612567,124.836,107.962,-2021.322,0.5660474,3,OK,124.563,107.598,-2021.434,OK,208.126,56.273,-1981.460,OK,136.193,12.857,-2012.827,Port 0x03: BrainLAB Black Probe  s/n:38220401,1458632356,1728377739.268420678,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1458632359,1728377739.318420679,1,OK,0.6066681,-0.1006593,0.4509864,0.6468638,19.273,-246.427,-1926.598,0.2541872,3,OK,19.197,-246.589,-1926.410,OK,76.364,-308.881,-1886.001,OK,-4.836,-310.361,-1854.650,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1458632359,1728377739.318420679,1,OK,0.0456439,-0.2706525,0.0256862,0.9612513,124.835,107.986,-2021.250,0.5631443,3,OK,124.571,107.609,-2021.358,OK,208.143,56.289,-1981.439,OK,136.219,12.874,-2012.893,Port 0x03: BrainLAB Black Probe  s/n:38220401,1458632359,1728377739.318420679,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1458632362,1728377739.368420679,1,OK,0.6067667,-0.1000549,0.4505833,0.6471460,19.286,-246.385,-1926.555,0.2875529,3,OK,19.203,-246.583,-1926.330,OK,76.379,-308.911,-1886.076,OK,-4.818,-310.393,-1854.729,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1458632362,1728377739.368420679,1,OK,0.0456589,-0.2709892,0.0258621,0.9611510,124.848,107.969,-2021.281,0.5685232,3,OK,124.573,107.596,-2021.395,OK,208.135,56.271,-1981.389,OK,136.214,12.864,-2012.883,Port 0x03: BrainLAB Black Probe  s/n:38220401,1458632362,1728377739.368420679,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1458632365,1728377739.418420679,1,OK,0.6067038,-0.1008349,0.4507723,0.6469522,19.338,-246.443,-1926.670,0.2623632,3,OK,19.249,-246.596,-1926.487,OK,76.422,-308.902,-1886.040,OK,-4.773,-310.391,-1854.754,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1458632365,1728377739.418420679,1,OK,0.0456624,-0.2705217,0.0257229,0.9612863,124.854,107.980,-2021.273,0.5628974,3,OK,124.594,107.601,-2021.380,OK,208.166,56.282,-1981.485,OK,136.235,12.870,-2012.916,Port 0x03: BrainLAB Black Probe  s/n:38220401,1458632365,1728377739.418420679,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1458632368,1728377739.468420679,1,OK,0.6066670,-0.1012978,0.4507500,0.6469300,19.285,-246.462,-1926.657,0.2675472,3,OK,19.188,-246.606,-1926.479,OK,76.367,-308.882,-1885.946,OK,-4.826,-310.379,-1854.725,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1458632368,1728377739.468420679,1,OK,0.0456597,-0.2706603,0.0260148,0.9612395,124.842,107.978,-2021.303,0.5638479,3,OK,124.570,107.609,-2021.415,OK,208.145,56.283,-1981.458,OK,136.208,12.867,-2012.887,Port 0x03: BrainLAB Black Probe  s/n:38220401,1458632368,1728377739.468420679,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1458632371,1728377739.518420678,1,OK,0.6067792,-0.1007655,0.4503788,0.6471664,19.270,-246.414,-1926.623,0.2929472,3,OK,19.176,-246.597,-1926.408,OK,76.346,-308.890,-1886.024,OK,-4.852,-310.397,-1854.797,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1458632371,1728377739.518420678,1,OK,0.0456492,-0.2704197,0.0265143,0.9612941,124.830,107.965,-2021.266,0.5737171,3,OK,124.554,107.600,-2021.380,OK,208.127,56.272,-1981.423,OK,136.195,12.871,-2012.758,Port 0x03: BrainLAB Black Probe  s/n:38220401,1458632371,1728377739.518420678,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1458632374,1728377739.568420679,1,OK,0.6068934,-0.1009549,0.4503272,0.6470656,19.287,-246.388,-1926.512,0.2827061,3,OK,19.189,-246.554,-1926.312,OK,76.343,-308.868,-1885.866,OK,-4.869,-310.362,-1854.673,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1458632374,1728377739.568420679,1,OK,0.0456637,-0.2705260,0.0261221,0.9612742,124.885,107.978,-2021.202,0.5681161,3,OK,124.612,107.612,-2021.315,OK,208.187,56.278,-1981.375,OK,136.257,12.873,-2012.767,Port 0x03: BrainLAB Black Probe  s/n:38220401,1458632374,1728377739.568420679,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1458632377,1728377739.618420682,1,OK,0.6069172,-0.1015720,0.4504960,0.6468292,19.202,-246.464,-1926.657,0.2569360,3,OK,19.110,-246.598,-1926.492,OK,76.232,-308.890,-1885.892,OK,-4.985,-310.386,-1854.733,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1458632377,1728377739.618420682,1,OK,0.0457140,-0.2704358,0.0260628,0.9612988,124.822,107.958,-2021.204,0.5669840,3,OK,124.551,107.590,-2021.315,OK,208.125,56.249,-1981.401,OK,136.188,12.851,-2012.786,Port 0x03: BrainLAB Black Probe  s/n:38220401,1458632377,1728377739.618420682,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
