Tools,Port 0x01: BrainLAB Y Junction  s/n:38220010,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: BrainLAB Black Probe  s/n:38220401,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1460105662,1728402294.368466105,1,OK,0.6146569,-0.1071198,0.4470266,0.6410066,16.505,-246.421,-1926.653,0.1332757,3,OK,16.434,-246.449,-1926.600,OK,72.069,-309.255,-1884.424,OK,-9.892,-309.720,-1854.728,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1460105662,1728402294.368466105,1,OK,0.0271197,-0.2800360,0.0863902,0.9557097,126.505,109.017,-2057.352,0.5534932,3,OK,126.305,108.498,-2057.364,OK,209.567,63.360,-2009.994,OK,137.618,15.689,-2036.899,Port 0x03: BrainLAB Black Probe  s/n:38220401,1460105662,1728402294.368466105,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1460105665,1728402294.418466105,1,OK,0.6143877,-0.1076218,0.4471507,0.6410940,16.693,-246.503,-1926.737,0.1506222,3,OK,16.617,-246.517,-1926.696,OK,72.276,-309.264,-1884.430,OK,-9.634,-309.777,-1854.775,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1460105665,1728402294.418466105,1,OK,0.0271149,-0.2799163,0.0869785,0.9556916,126.534,108.991,-2057.339,0.5470815,3,OK,126.322,108.490,-2057.360,OK,209.588,63.343,-2009.950,OK,137.638,15.680,-2036.776,Port 0x03: BrainLAB Black Probe  s/n:38220401,1460105665,1728402294.418466105,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1460105668,1728402294.468466105,1,OK,0.6142359,-0.1065777,0.4472240,0.6413627,16.797,-246.443,-1926.646,0.1478074,3,OK,16.727,-246.495,-1926.570,OK,72.440,-309.270,-1884.540,OK,-9.465,-309.786,-1854.742,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1460105668,1728402294.468466105,1,OK,0.0270614,-0.2795753,0.0868979,0.9558002,126.504,108.992,-2057.353,0.5435367,3,OK,126.304,108.484,-2057.366,OK,209.589,63.354,-2010.036,OK,137.626,15.675,-2036.814,Port 0x03: BrainLAB Black Probe  s/n:38220401,1460105668,1728402294.468466105,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1460105671,1728402294.518466105,1,OK,0.6139408,-0.1071434,0.4476486,0.6412548,16.879,-246.505,-1926.700,0.1434811,3,OK,16.800,-246.512,-1926.664,OK,72.559,-309.257,-1884.486,OK,-9.324,-309.786,-1854.689,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1460105671,1728402294.518466105,1,OK,0.0271300,-0.2796625,0.0864835,0.9558104,126.503,109.004,-2057.300,0.5583437,3,OK,126.299,108.481,-2057.313,OK,209.583,63.328,-2010.004,OK,137.637,15.695,-2036.838,Port 0x03: BrainLAB Black Probe  s/n:38220401,1460105671,1728402294.518466105,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1460105674,1728402294.568466105,1,OK,0.6140326,-0.1060402,0.4472751,0.6416108,16.916,-246.412,-1926.530,0.1525503,3,OK,16.844,-246.483,-1926.435,OK,72.619,-309.262,-1884.538,OK,-9.285,-309.798,-1854.657,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1460105674,1728402294.568466105,1,OK,0.0271161,-0.2797270,0.0866913,0.9557730,126.504,109.005,-2057.319,0.5489162,3,OK,126.302,108.493,-2057.333,OK,209.587,63.354,-2009.989,OK,137.614,15.680,-2036.820,Port 0x03: BrainLAB Black Probe  s/n:38220401,1460105674,1728402294.568466105,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1460105677,1728402294.618466105,1,OK,0.6139070,-0.1065361,0.4476597,0.6413807,16.899,-246.477,-1926.636,0.1389310,3,OK,16.822,-246.511,-1926.575,OK,72.613,-309.274,-1884.539,OK,-9.286,-309.794,-1854.664,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1460105677,1728402294.618466105,1,OK,0.0270689,-0.2796280,0.0866074,0.9558110,126.477,108.990,-2057.312,0.5435144,3,OK,126.277,108.483,-2057.326,OK,209.562,63.337,-2010.012,OK,137.614,15.665,-2036.823,Port 0x03: BrainLAB Black Probe  s/n:38220401,1460105677,1728402294.618466105,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1460105680,1728402294.668466105,1,OK,0.6138064,-0.1061388,0.4475235,0.6416378,16.983,-246.445,-1926.595,0.1409269,3,OK,16.919,-246.503,-1926.515,OK,72.717,-309.254,-1884.593,OK,-9.165,-309.821,-1854.669,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1460105680,1728402294.668466105,1,OK,0.0271042,-0.2800364,0.0863513,0.9557136,126.503,109.010,-2057.292,0.5609117,3,OK,126.297,108.486,-2057.307,OK,209.570,63.348,-2009.935,OK,137.624,15.692,-2036.846,Port 0x03: BrainLAB Black Probe  s/n:38220401,1460105680,1728402294.668466105,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1460105683,1728402294.718466105,1,OK,0.6135807,-0.1058678,0.4480710,0.6415163,17.037,-246.481,-1926.657,0.1181286,3,OK,16.985,-246.522,-1926.599,OK,72.805,-309.277,-1884.693,OK,-9.049,-309.835,-1854.643,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1460105683,1728402294.718466105,1,OK,0.0271070,-0.2795884,0.0862892,0.9558503,126.489,108.995,-2057.308,0.5505251,3,OK,126.299,108.471,-2057.314,OK,209.582,63.331,-2010.044,OK,137.626,15.664,-2036.886,Port 0x03: BrainLAB Black Probe  s/n:38220401,1460105683,1728402294.718466105,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1460105686,1728402294.768466105,1,OK,0.6133517,-0.1064003,0.4482038,0.6415543,17.073,-246.517,-1926.688,0.1087845,3,OK,17.015,-246.530,-1926.655,OK,72.886,-309.247,-1884.643,OK,-8.985,-309.845,-1854.615,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1460105686,1728402294.768466105,1,OK,0.0270777,-0.2797740,0.0864712,0.9557803,126.464,109.007,-2057.368,0.5535592,3,OK,126.258,108.492,-2057.383,OK,209.552,63.350,-2010.047,OK,137.593,15.684,-2036.905,Port 0x03: BrainLAB Black Probe  s/n:38220401,1460105686,1728402294.768466105,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1460105689,1728402294.818466105,1,OK,0.6132536,-0.1064666,0.4479668,0.6418027,17.194,-246.519,-1926.634,0.1468573,3,OK,17.117,-246.553,-1926.573,OK,73.018,-309.244,-1884.590,OK,-8.818,-309.863,-1854.632,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1460105689,1728402294.818466105,1,OK,0.0270482,-0.2796430,0.0865517,0.9558122,126.472,108.992,-2057.372,0.5449712,3,OK,126.277,108.479,-2057.383,OK,209.556,63.344,-2010.076,OK,137.614,15.668,-2036.893,Port 0x03: BrainLAB Black Probe  s/n:38220401,1460105689,1728402294.818466105,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
