Tools,Port 0x01: BrainLAB Y Junction  s/n:38220010,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: BrainLAB Black Probe  s/n:38220401,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1460472067,1728408401.118475578,1,OK,0.6088320,-0.1035266,0.4509614,0.6443910,19.148,-247.259,-1926.641,0.1090916,3,OK,19.074,-247.264,-1926.609,OK,75.863,-309.726,-1885.349,OK,-5.690,-310.849,-1854.370,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1460472067,1728408401.118475578,1,OK,0.0393506,-0.2704137,0.0730798,0.9591597,129.786,107.337,-2046.955,0.5916652,3,OK,129.636,106.813,-2046.953,OK,212.484,58.558,-2002.763,OK,139.885,13.354,-2029.708,Port 0x03: BrainLAB Black Probe  s/n:38220401,1460472067,1728408401.118475578,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1460472070,1728408401.168475578,1,OK,0.6084044,-0.1035323,0.4512824,0.6445690,19.360,-247.317,-1926.662,0.1095069,3,OK,19.286,-247.321,-1926.631,OK,76.147,-309.728,-1885.394,OK,-5.372,-310.901,-1854.349,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1460472070,1728408401.168475578,1,OK,0.0393185,-0.2705049,0.0727391,0.9591612,129.796,107.330,-2047.010,0.5976780,3,OK,129.649,106.789,-2047.004,OK,212.505,58.552,-2002.830,OK,139.903,13.346,-2029.826,Port 0x03: BrainLAB Black Probe  s/n:38220401,1460472070,1728408401.168475578,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1460472073,1728408401.218475578,1,OK,0.6080348,-0.1028250,0.4511598,0.6451167,19.615,-247.239,-1926.445,0.1545727,3,OK,19.526,-247.293,-1926.358,OK,76.483,-309.676,-1885.337,OK,-4.979,-310.892,-1854.246,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1460472073,1728408401.218475578,1,OK,0.0392939,-0.2703863,0.0724389,0.9592183,129.797,107.355,-2046.913,0.5976754,3,OK,129.664,106.807,-2046.901,OK,212.510,58.576,-2002.789,OK,139.929,13.364,-2029.786,Port 0x03: BrainLAB Black Probe  s/n:38220401,1460472073,1728408401.218475578,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1460472076,1728408401.268475578,1,OK,0.6075122,-0.1031397,0.4516079,0.6452453,19.714,-247.320,-1926.500,0.1380342,3,OK,19.632,-247.349,-1926.442,OK,76.660,-309.662,-1885.362,OK,-4.763,-310.953,-1854.204,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1460472076,1728408401.268475578,1,OK,0.0392357,-0.2703687,0.0732165,0.9591667,129.714,107.327,-2047.016,0.5895522,3,OK,129.571,106.798,-2047.010,OK,212.421,58.581,-2002.820,OK,139.823,13.348,-2029.741,Port 0x03: BrainLAB Black Probe  s/n:38220401,1460472076,1728408401.268475578,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1460472079,1728408401.318475579,1,OK,0.6074575,-0.1024970,0.4509054,0.6458902,19.912,-247.227,-1926.384,0.1951916,3,OK,19.815,-247.314,-1926.262,OK,76.885,-309.633,-1885.398,OK,-4.504,-310.980,-1854.288,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1460472079,1728408401.318475579,1,OK,0.0392142,-0.2699622,0.0729248,0.9593042,129.717,107.362,-2047.037,0.5989541,3,OK,129.588,106.817,-2047.022,OK,212.451,58.606,-2002.948,OK,139.859,13.386,-2029.827,Port 0x03: BrainLAB Black Probe  s/n:38220401,1460472079,1728408401.318475579,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1460472082,1728408401.368475578,1,OK,0.6070389,-0.1016054,0.4522634,0.6454750,20.029,-247.271,-1926.401,0.1123573,3,OK,19.975,-247.330,-1926.323,OK,77.089,-309.664,-1885.557,OK,-4.302,-310.971,-1854.079,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1460472082,1728408401.368475578,1,OK,0.0391725,-0.2703800,0.0724078,0.9592274,129.777,107.347,-2046.982,0.5992624,3,OK,129.650,106.788,-2046.965,OK,212.512,58.598,-2002.858,OK,139.921,13.360,-2029.860,Port 0x03: BrainLAB Black Probe  s/n:38220401,1460472082,1728408401.368475578,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1460472085,1728408401.418475578,1,OK,0.6068707,-0.1025847,0.4522646,0.6454774,19.985,-247.329,-1926.451,0.1110366,3,OK,19.926,-247.354,-1926.404,OK,77.045,-309.624,-1885.444,OK,-4.324,-310.986,-1854.071,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1460472085,1728408401.418475578,1,OK,0.0391371,-0.2708711,0.0725636,0.9590785,129.718,107.349,-2046.988,0.6069656,3,OK,129.569,106.801,-2046.983,OK,212.418,58.597,-2002.756,OK,139.863,13.380,-2029.815,Port 0x03: BrainLAB Black Probe  s/n:38220401,1460472085,1728408401.418475578,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1460472088,1728408401.468475578,1,OK,0.6068011,-0.1024790,0.4524288,0.6454446,20.032,-247.343,-1926.497,0.1123749,3,OK,19.964,-247.366,-1926.449,OK,77.116,-309.645,-1885.503,OK,-4.260,-310.985,-1854.102,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1460472088,1728408401.468475578,1,OK,0.0391632,-0.2705003,0.0728177,0.9591629,129.703,107.341,-2047.051,0.6019526,3,OK,129.562,106.795,-2047.042,OK,212.415,58.595,-2002.868,OK,139.841,13.370,-2029.844,Port 0x03: BrainLAB Black Probe  s/n:38220401,1460472088,1728408401.468475578,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1460472091,1728408401.518475578,1,OK,0.6067380,-0.1017799,0.4524648,0.6455893,20.111,-247.297,-1926.442,0.1164059,3,OK,20.048,-247.349,-1926.366,OK,77.231,-309.645,-1885.583,OK,-4.152,-310.978,-1854.089,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1460472091,1728408401.518475578,1,OK,0.0391510,-0.2706303,0.0732372,0.9590948,129.774,107.337,-2047.060,0.5961717,3,OK,129.617,106.806,-2047.060,OK,212.484,58.604,-2002.806,OK,139.887,13.370,-2029.772,Port 0x03: BrainLAB Black Probe  s/n:38220401,1460472091,1728408401.518475578,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1460472094,1728408401.568475579,1,OK,0.6066546,-0.1012804,0.4526627,0.6456075,20.076,-247.285,-1926.418,0.1039319,3,OK,20.031,-247.350,-1926.337,OK,77.217,-309.651,-1885.655,OK,-4.162,-310.989,-1854.051,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1460472094,1728408401.568475579,1,OK,0.0391203,-0.2698078,0.0733829,0.9593166,129.673,107.343,-2047.041,0.5965996,3,OK,129.543,106.808,-2047.028,OK,212.406,58.613,-2002.941,OK,139.825,13.379,-2029.743,Port 0x03: BrainLAB Black Probe  s/n:38220401,1460472094,1728408401.568475579,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
