Tools,Port 0x01: BrainLAB Y Junction  s/n:38220010,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: BrainLAB Black Probe  s/n:38220401,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1459920148,1728399202.468455126,1,OK,0.6153490,-0.1072852,0.4451885,0.6415938,16.586,-246.966,-1926.136,0.1734869,3,OK,16.495,-247.017,-1926.055,OK,72.037,-309.906,-1883.909,OK,-9.970,-310.448,-1854.509,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1459920148,1728399202.468455126,1,OK,0.0450203,-0.2790675,0.0267967,0.9588412,127.168,106.439,-2023.066,0.5965939,3,OK,126.956,105.891,-2023.148,OK,209.977,55.088,-1981.569,OK,138.267,11.396,-2014.296,Port 0x03: BrainLAB Black Probe  s/n:38220401,1459920148,1728399202.468455126,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1459920151,1728399202.518455126,1,OK,0.6152257,-0.1068313,0.4457641,0.6413882,16.569,-246.973,-1926.131,0.1369591,3,OK,16.500,-247.014,-1926.066,OK,72.047,-309.917,-1883.971,OK,-9.960,-310.435,-1854.408,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1459920151,1728399202.518455126,1,OK,0.0450758,-0.2785690,0.0268963,0.9589808,127.133,106.427,-2023.071,0.5889092,3,OK,126.935,105.878,-2023.145,OK,209.952,55.069,-1981.666,OK,138.234,11.379,-2014.297,Port 0x03: BrainLAB Black Probe  s/n:38220401,1459920151,1728399202.518455126,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1459920154,1728399202.568455126,1,OK,0.6153081,-0.1064261,0.4454430,0.6415995,16.618,-246.907,-1926.030,0.1523620,3,OK,16.551,-246.976,-1925.938,OK,72.089,-309.895,-1883.955,OK,-9.913,-310.427,-1854.393,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1459920154,1728399202.568455126,1,OK,0.0450210,-0.2793908,0.0265964,0.9587526,127.186,106.446,-2023.062,0.5947952,3,OK,126.980,105.892,-2023.141,OK,209.973,55.099,-1981.526,OK,138.282,11.396,-2014.321,Port 0x03: BrainLAB Black Probe  s/n:38220401,1459920154,1728399202.568455126,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1459920157,1728399202.618455126,1,OK,0.6153182,-0.1071342,0.4452882,0.6415794,16.625,-246.970,-1926.162,0.1647440,3,OK,16.542,-247.021,-1926.083,OK,72.082,-309.913,-1883.962,OK,-9.923,-310.457,-1854.520,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1459920157,1728399202.618455126,1,OK,0.0449875,-0.2788369,0.0275786,0.9588877,127.177,106.424,-2023.084,0.5977760,3,OK,126.960,105.883,-2023.167,OK,209.972,55.087,-1981.563,OK,138.266,11.398,-2014.168,Port 0x03: BrainLAB Black Probe  s/n:38220401,1459920157,1728399202.618455126,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1459920160,1728399202.668455126,1,OK,0.6152102,-0.1070146,0.4457593,0.6413758,16.624,-246.981,-1926.171,0.1351425,3,OK,16.558,-247.011,-1926.117,OK,72.094,-309.906,-1883.979,OK,-9.903,-310.438,-1854.434,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1459920160,1728399202.668455126,1,OK,0.0450394,-0.2782128,0.0279206,0.9590566,127.156,106.435,-2023.028,0.5897731,3,OK,126.951,105.898,-2023.106,OK,209.960,55.095,-1981.602,OK,138.244,11.408,-2014.066,Port 0x03: BrainLAB Black Probe  s/n:38220401,1459920160,1728399202.668455126,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1459920163,1728399202.718455126,1,OK,0.6153213,-0.1064669,0.4452645,0.6417040,16.621,-246.932,-1926.133,0.1703444,3,OK,16.545,-247.011,-1926.029,OK,72.091,-309.925,-1884.056,OK,-9.904,-310.463,-1854.538,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1459920163,1728399202.718455126,1,OK,0.0450682,-0.2786089,0.0275770,0.9589502,127.171,106.433,-2023.012,0.5891688,3,OK,126.958,105.900,-2023.093,OK,209.969,55.083,-1981.537,OK,138.251,11.395,-2014.106,Port 0x03: BrainLAB Black Probe  s/n:38220401,1459920163,1728399202.718455126,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1459920166,1728399202.768455126,1,OK,0.6152153,-0.1062783,0.4456946,0.6415383,16.641,-246.947,-1926.122,0.1538043,3,OK,16.575,-247.019,-1926.028,OK,72.125,-309.932,-1884.067,OK,-9.857,-310.447,-1854.458,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1459920166,1728399202.768455126,1,OK,0.0450190,-0.2792482,0.0265112,0.9587966,127.170,106.444,-2022.973,0.5953915,3,OK,126.966,105.890,-2023.051,OK,209.966,55.092,-1981.473,OK,138.278,11.397,-2014.250,Port 0x03: BrainLAB Black Probe  s/n:38220401,1459920166,1728399202.768455126,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1459920169,1728399202.818455126,1,OK,0.6149176,-0.1065164,0.4462111,0.6414251,16.707,-247.001,-1926.188,0.1256216,3,OK,16.646,-247.036,-1926.131,OK,72.240,-309.927,-1884.086,OK,-9.736,-310.457,-1854.407,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1459920169,1728399202.818455126,1,OK,0.0449686,-0.2786370,0.0275270,0.9589481,127.165,106.426,-2023.069,0.5893565,3,OK,126.955,105.890,-2023.149,OK,209.966,55.092,-1981.594,OK,138.268,11.391,-2014.165,Port 0x03: BrainLAB Black Probe  s/n:38220401,1459920169,1728399202.818455126,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1459920172,1728399202.868455126,1,OK,0.6147578,-0.1064170,0.4465150,0.6413833,16.751,-247.010,-1926.160,0.1109805,3,OK,16.708,-247.048,-1926.107,OK,72.305,-309.908,-1884.084,OK,-9.657,-310.454,-1854.325,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1459920172,1728399202.868455126,1,OK,0.0450046,-0.2785957,0.0277080,0.9589532,127.144,106.439,-2023.084,0.5881401,3,OK,126.932,105.907,-2023.165,OK,209.943,55.105,-1981.600,OK,138.231,11.404,-2014.151,Port 0x03: BrainLAB Black Probe  s/n:38220401,1459920172,1728399202.868455126,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1459920175,1728399202.918455126,1,OK,0.6146289,-0.1062290,0.4462554,0.6417186,16.853,-247.006,-1926.204,0.1332626,3,OK,16.797,-247.070,-1926.121,OK,72.453,-309.915,-1884.190,OK,-9.518,-310.495,-1854.447,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1459920175,1728399202.918455126,1,OK,0.0449038,-0.2781889,0.0280398,0.9590664,127.173,106.441,-2023.203,0.5912873,3,OK,126.969,105.900,-2023.279,OK,209.994,55.132,-1981.764,OK,138.276,11.419,-2014.214,Port 0x03: BrainLAB Black Probe  s/n:38220401,1459920175,1728399202.918455126,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
