Tools,Port 0x01: BrainLAB Y Junction  s/n:38220010,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: BrainLAB Black Probe  s/n:38220401,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1723496053,1732792134.218166712,1,OK,0.6288229,-0.0261803,0.4294792,0.6476450,44.241,-160.225,-1925.965,0.0991426,3,OK,44.241,-160.321,-1925.894,OK,97.159,-231.966,-1896.557,OK,17.271,-230.444,-1860.823,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1723496053,1732792134.218166712,1,OK,0.6939282,0.0702785,0.0912326,-0.7107750,154.569,76.850,-1931.325,0.5056998,3,OK,154.877,76.639,-1931.368,OK,200.694,171.668,-1923.856,OK,248.638,96.854,-1935.231,Port 0x03: BrainLAB Black Probe  s/n:38220401,1723496053,1732792134.218166712,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1723496056,1732792134.268166712,1,OK,0.6286587,-0.0261563,0.4298255,0.6475756,44.222,-160.289,-1926.010,0.0968545,3,OK,44.230,-160.373,-1925.951,OK,97.174,-232.009,-1896.605,OK,17.281,-230.493,-1860.799,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1723496056,1732792134.268166712,1,OK,0.6939257,0.0701891,0.0911106,-0.7108020,154.525,76.814,-1931.302,0.5037305,3,OK,154.832,76.602,-1931.345,OK,200.652,171.637,-1923.859,OK,248.598,96.811,-1935.211,Port 0x03: BrainLAB Black Probe  s/n:38220401,1723496056,1732792134.268166712,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1723496059,1732792134.318166712,1,OK,0.6287449,-0.0259251,0.4294452,0.6477535,44.259,-160.285,-1926.068,0.1077706,3,OK,44.259,-160.389,-1925.989,OK,97.195,-232.036,-1896.715,OK,17.311,-230.527,-1860.951,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1723496059,1732792134.318166712,1,OK,0.6939029,0.0703914,0.0911525,-0.7107989,154.540,76.810,-1931.339,0.5121860,3,OK,154.851,76.594,-1931.383,OK,200.678,171.628,-1923.853,OK,248.604,96.807,-1935.218,Port 0x03: BrainLAB Black Probe  s/n:38220401,1723496059,1732792134.318166712,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1723496062,1732792134.368166712,1,OK,0.6286256,-0.0263615,0.4297223,0.6476679,44.298,-160.328,-1926.125,0.0825166,3,OK,44.297,-160.402,-1926.068,OK,97.253,-232.038,-1896.684,OK,17.378,-230.536,-1860.930,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1723496062,1732792134.368166712,1,OK,0.6939561,0.0703799,0.0909109,-0.7107790,154.559,76.799,-1931.326,0.5120995,3,OK,154.868,76.583,-1931.369,OK,200.688,171.620,-1923.860,OK,248.623,96.804,-1935.181,Port 0x03: BrainLAB Black Probe  s/n:38220401,1723496062,1732792134.368166712,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1723496065,1732792134.418166712,1,OK,0.6285356,-0.0262420,0.4297122,0.6477668,44.358,-160.319,-1926.028,0.0817385,3,OK,44.362,-160.402,-1925.968,OK,97.314,-232.022,-1896.615,OK,17.474,-230.546,-1860.851,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1723496065,1732792134.418166712,1,OK,0.6939507,0.0699881,0.0909855,-0.7108134,154.544,76.812,-1931.245,0.5047583,3,OK,154.852,76.598,-1931.289,OK,200.669,171.643,-1923.851,OK,248.614,96.809,-1935.173,Port 0x03: BrainLAB Black Probe  s/n:38220401,1723496065,1732792134.418166712,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1723496068,1732792134.468166712,1,OK,0.6283997,-0.0261590,0.4298621,0.6478025,44.399,-160.343,-1926.082,0.0882916,3,OK,44.398,-160.423,-1926.021,OK,97.396,-232.042,-1896.690,OK,17.539,-230.566,-1860.886,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1723496068,1732792134.468166712,1,OK,0.6938965,0.0699265,0.0914434,-0.7108136,154.533,76.813,-1931.317,0.5034146,3,OK,154.835,76.593,-1931.361,OK,200.667,171.643,-1923.902,OK,248.605,96.814,-1935.302,Port 0x03: BrainLAB Black Probe  s/n:38220401,1723496068,1732792134.468166712,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1723496071,1732792134.518166712,1,OK,0.6282798,-0.0259904,0.4299892,0.6478412,44.432,-160.340,-1926.071,0.0849404,3,OK,44.437,-160.420,-1926.013,OK,97.439,-232.033,-1896.711,OK,17.607,-230.575,-1860.862,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1723496071,1732792134.518166712,1,OK,0.6939348,0.0702914,0.0911865,-0.7107732,154.539,76.834,-1931.368,0.5011927,3,OK,154.835,76.613,-1931.412,OK,200.666,171.663,-1923.899,OK,248.618,96.839,-1935.268,Port 0x03: BrainLAB Black Probe  s/n:38220401,1723496071,1732792134.518166712,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1723496074,1732792134.568166712,1,OK,0.6282835,-0.0262325,0.4301235,0.6477388,44.435,-160.358,-1926.117,0.0756946,3,OK,44.440,-160.426,-1926.068,OK,97.441,-232.035,-1896.704,OK,17.607,-230.566,-1860.868,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1723496074,1732792134.568166712,1,OK,0.6939181,0.0701812,0.0917037,-0.7107339,154.548,76.812,-1931.278,0.5004855,3,OK,154.856,76.602,-1931.321,OK,200.662,171.640,-1923.792,OK,248.618,96.823,-1935.248,Port 0x03: BrainLAB Black Probe  s/n:38220401,1723496074,1732792134.568166712,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1723496077,1732792134.618166712,1,OK,0.6284165,-0.0260842,0.4296906,0.6479030,44.423,-160.321,-1926.074,0.0869005,3,OK,44.416,-160.405,-1926.008,OK,97.409,-232.033,-1896.697,OK,17.573,-230.564,-1860.922,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1723496077,1732792134.618166712,1,OK,0.6939195,0.0700324,0.0911482,-0.7108187,154.541,76.835,-1931.291,0.5034317,3,OK,154.845,76.619,-1931.335,OK,200.673,171.662,-1923.877,OK,248.615,96.832,-1935.230,Port 0x03: BrainLAB Black Probe  s/n:38220401,1723496077,1732792134.618166712,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1723496080,1732792134.668166712,1,OK,0.6283976,-0.0259938,0.4298141,0.6478430,44.405,-160.325,-1926.067,0.0920173,3,OK,44.408,-160.408,-1926.006,OK,97.403,-232.034,-1896.709,OK,17.542,-230.568,-1860.883,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1723496080,1732792134.668166712,1,OK,0.6939683,0.0699019,0.0908403,-0.7108233,154.538,76.829,-1931.297,0.5051783,3,OK,154.838,76.611,-1931.341,OK,200.668,171.659,-1923.932,OK,248.611,96.835,-1935.224,Port 0x03: BrainLAB Black Probe  s/n:38220401,1723496080,1732792134.668166712,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
