Tools,Port 0x01: BrainLAB Y Junction  s/n:38220010,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: BrainLAB Black Probe  s/n:38220401,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1724720989,1732812549.818166715,1,OK,0.6331693,-0.0269055,0.4242606,0.6468197,42.752,-160.438,-1926.348,0.1018281,3,OK,42.745,-160.544,-1926.267,OK,94.909,-232.643,-1896.725,OK,14.667,-230.835,-1861.912,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1724720989,1732812549.818166715,1,OK,0.6974736,0.0698737,0.0823128,-0.7084299,153.303,80.347,-1932.707,0.4797560,3,OK,153.599,80.152,-1932.742,OK,198.641,175.583,-1925.918,OK,247.305,100.965,-1935.685,Port 0x03: BrainLAB Black Probe  s/n:38220401,1724720989,1732812549.818166715,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1724720992,1732812549.868166715,1,OK,0.6334924,-0.0265643,0.4242178,0.6465454,42.621,-160.414,-1926.374,0.1184187,3,OK,42.622,-160.541,-1926.281,OK,94.703,-232.666,-1896.787,OK,14.460,-230.792,-1861.955,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1724720992,1732812549.868166715,1,OK,0.6974583,0.0692000,0.0828404,-0.7084496,153.322,80.337,-1932.631,0.4767958,3,OK,153.613,80.139,-1932.666,OK,198.660,175.583,-1925.937,OK,247.322,100.967,-1935.772,Port 0x03: BrainLAB Black Probe  s/n:38220401,1724720992,1732812549.868166715,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1724720995,1732812549.918166714,1,OK,0.6337419,-0.0275083,0.4240684,0.6463594,42.512,-160.434,-1926.432,0.0905000,3,OK,42.505,-160.526,-1926.361,OK,94.562,-232.658,-1896.662,OK,14.275,-230.760,-1861.972,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1724720995,1732812549.918166714,1,OK,0.6974764,0.0694123,0.0828582,-0.7084089,153.327,80.308,-1932.591,0.4680876,3,OK,153.608,80.116,-1932.625,OK,198.654,175.545,-1925.853,OK,247.340,100.946,-1935.699,Port 0x03: BrainLAB Black Probe  s/n:38220401,1724720995,1732812549.918166714,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1724720998,1732812549.968166714,1,OK,0.6340018,-0.0272396,0.4236686,0.6463781,42.461,-160.422,-1926.450,0.1069013,3,OK,42.451,-160.533,-1926.364,OK,94.463,-232.695,-1896.728,OK,14.164,-230.776,-1862.075,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1724720998,1732812549.968166714,1,OK,0.6974309,0.0697393,0.0835574,-0.7083394,153.345,80.281,-1932.589,0.4672774,3,OK,153.637,80.094,-1932.624,OK,198.660,175.519,-1925.734,OK,247.351,100.919,-1935.716,Port 0x03: BrainLAB Black Probe  s/n:38220401,1724720998,1732812549.968166714,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1724721001,1732812550.018166715,1,OK,0.6341901,-0.0273056,0.4231036,0.6465606,42.419,-160.388,-1926.395,0.1225601,3,OK,42.391,-160.510,-1926.293,OK,94.396,-232.694,-1896.672,OK,14.087,-230.774,-1862.129,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1724721001,1732812550.018166715,1,OK,0.6974423,0.0697260,0.0833435,-0.7083547,153.348,80.297,-1932.650,0.4694518,3,OK,153.637,80.105,-1932.685,OK,198.669,175.536,-1925.814,OK,247.354,100.935,-1935.757,Port 0x03: BrainLAB Black Probe  s/n:38220401,1724721001,1732812550.018166715,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1724721004,1732812550.068166715,1,OK,0.6341582,-0.0272669,0.4236490,0.6462364,42.343,-160.406,-1926.406,0.1014521,3,OK,42.333,-160.508,-1926.327,OK,94.322,-232.698,-1896.666,OK,13.999,-230.748,-1862.020,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1724721004,1732812550.068166715,1,OK,0.6974338,0.0700790,0.0831142,-0.7083552,153.333,80.294,-1932.645,0.4719834,3,OK,153.629,80.110,-1932.679,OK,198.656,175.517,-1925.756,OK,247.339,100.924,-1935.671,Port 0x03: BrainLAB Black Probe  s/n:38220401,1724721004,1732812550.068166715,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1724721007,1732812550.118166715,1,OK,0.6342608,-0.0273455,0.4235322,0.6462089,42.318,-160.417,-1926.444,0.1027520,3,OK,42.313,-160.523,-1926.364,OK,94.275,-232.709,-1896.690,OK,13.949,-230.759,-1862.070,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1724721007,1732812550.118166715,1,OK,0.6974427,0.0694314,0.0829328,-0.7084315,153.343,80.277,-1932.584,0.4709106,3,OK,153.632,80.088,-1932.618,OK,198.675,175.511,-1925.838,OK,247.350,100.906,-1935.697,Port 0x03: BrainLAB Black Probe  s/n:38220401,1724721007,1732812550.118166715,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1724721010,1732812550.168166714,1,OK,0.6343884,-0.0271917,0.4231789,0.6463215,42.311,-160.385,-1926.437,0.1189375,3,OK,42.291,-160.505,-1926.340,OK,94.252,-232.714,-1896.716,OK,13.918,-230.751,-1862.146,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1724721010,1732812550.168166714,1,OK,0.6974250,0.0697482,0.0835978,-0.7083396,153.372,80.275,-1932.608,0.4634330,3,OK,153.660,80.090,-1932.642,OK,198.687,175.508,-1925.749,OK,247.384,100.915,-1935.738,Port 0x03: BrainLAB Black Probe  s/n:38220401,1724721010,1732812550.168166714,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1724721013,1732812550.218166714,1,OK,0.6343624,-0.0271650,0.4236420,0.6460448,42.248,-160.400,-1926.444,0.1076906,3,OK,42.251,-160.509,-1926.365,OK,94.186,-232.709,-1896.712,OK,13.844,-230.730,-1862.048,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1724721013,1732812550.218166714,1,OK,0.6974167,0.0697230,0.0833499,-0.7083794,153.361,80.271,-1932.585,0.4683149,3,OK,153.650,80.079,-1932.619,OK,198.688,175.507,-1925.749,OK,247.371,100.902,-1935.694,Port 0x03: BrainLAB Black Probe  s/n:38220401,1724721013,1732812550.218166714,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1724721016,1732812550.268166715,1,OK,0.6344361,-0.0273535,0.4236834,0.6459373,42.174,-160.403,-1926.407,0.0931044,3,OK,42.175,-160.498,-1926.337,OK,94.090,-232.710,-1896.625,OK,13.758,-230.714,-1861.990,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1724721016,1732812550.268166715,1,OK,0.6974315,0.0696434,0.0829409,-0.7084207,153.333,80.260,-1932.557,0.4715481,3,OK,153.628,80.071,-1932.592,OK,198.664,175.496,-1925.767,OK,247.340,100.880,-1935.637,Port 0x03: BrainLAB Black Probe  s/n:38220401,1724721016,1732812550.268166715,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
