Tools,Port 0x01: BrainLAB Y Junction  s/n:38220010,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: BrainLAB Black Probe  s/n:38220401,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1723231933,1732787732.218432308,1,OK,0.9669568,-0.1778945,-0.0703017,0.1685402,-84.097,-59.608,-2067.042,0.1739201,3,OK,-84.079,-59.664,-2067.004,OK,-151.654,-123.624,-2055.982,OK,-176.679,-54.998,-2103.281,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1723231933,1732787732.218432308,1,OK,0.6979426,0.0376401,0.1084509,-0.7068930,162.353,54.689,-1909.864,0.4808038,3,OK,162.625,54.448,-1909.923,OK,206.956,150.553,-1907.495,OK,255.551,76.342,-1920.675,Port 0x03: BrainLAB Black Probe  s/n:38220401,1723231933,1732787732.218432308,1,OK,0.6233050,-0.1572290,0.4092328,-0.6475326,246.352,-43.363,-1974.214,0.4743707,3,OK,44.163,-46.400,-1803.653,OK,158.147,-38.323,-1889.539,OK,84.223,-31.773,-1818.368
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1723231936,1732787732.268432308,1,OK,0.9670726,-0.1774020,-0.0696832,0.1686513,-84.106,-59.616,-2067.047,0.2027502,3,OK,-84.110,-59.658,-2067.024,OK,-151.671,-123.620,-2055.962,OK,-176.692,-55.016,-2103.115,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1723231936,1732787732.268432308,1,OK,0.6979548,0.0378195,0.1082888,-0.7068963,162.328,54.706,-1909.938,0.4821162,3,OK,162.607,54.471,-1909.996,OK,206.931,150.563,-1907.544,OK,255.528,76.354,-1920.702,Port 0x03: BrainLAB Black Probe  s/n:38220401,1723231936,1732787732.268432308,1,OK,0.6237900,-0.1587336,0.4082162,-0.6473401,246.266,-43.398,-1974.268,0.4684356,3,OK,44.119,-46.423,-1803.595,OK,158.115,-38.320,-1889.600,OK,84.150,-31.769,-1818.412
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1723231939,1732787732.318432308,1,OK,0.9669218,-0.1783276,-0.0697152,0.1685265,-84.087,-59.613,-2067.043,0.1606216,3,OK,-84.088,-59.659,-2067.018,OK,-151.656,-123.616,-2055.843,OK,-176.679,-55.006,-2103.194,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1723231939,1732787732.318432308,1,OK,0.6978679,0.0370577,0.1086160,-0.7069722,162.352,54.690,-1909.808,0.4760004,3,OK,162.611,54.443,-1909.865,OK,206.967,150.552,-1907.543,OK,255.551,76.333,-1920.732,Port 0x03: BrainLAB Black Probe  s/n:38220401,1723231939,1732787732.318432308,1,OK,0.6241114,-0.1585237,0.4080496,-0.6471868,246.350,-43.419,-1974.197,0.4305404,3,OK,44.103,-46.576,-1803.664,OK,158.099,-38.400,-1889.547,OK,84.140,-31.929,-1818.492
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1723231942,1732787732.368432308,1,OK,0.9668713,-0.1784055,-0.0701428,0.1685569,-84.085,-59.599,-2066.978,0.1572090,3,OK,-84.076,-59.650,-2066.947,OK,-151.644,-123.618,-2055.830,OK,-176.663,-55.008,-2103.217,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1723231942,1732787732.368432308,1,OK,0.6979387,0.0378902,0.1080874,-0.7069392,162.358,54.695,-1909.925,0.4911967,3,OK,162.644,54.456,-1909.985,OK,206.975,150.551,-1907.534,OK,255.551,76.330,-1920.657,Port 0x03: BrainLAB Black Probe  s/n:38220401,1723231942,1732787732.368432308,1,OK,0.6236854,-0.1583621,0.4085537,-0.6473190,246.283,-43.380,-1974.302,0.4564322,3,OK,44.128,-46.449,-1803.613,OK,158.138,-38.328,-1889.623,OK,84.188,-31.808,-1818.444
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1723231945,1732787732.418432315,1,OK,0.9668532,-0.1787249,-0.0697696,0.1684768,-84.086,-59.624,-2066.999,0.1441935,3,OK,-84.087,-59.676,-2066.971,OK,-151.652,-123.627,-2055.755,OK,-176.679,-55.015,-2103.194,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1723231945,1732787732.418432315,1,OK,0.6979068,0.0373206,0.1081828,-0.7069864,162.347,54.702,-1909.849,0.4786957,3,OK,162.620,54.465,-1909.907,OK,206.959,150.559,-1907.564,OK,255.548,76.332,-1920.686,Port 0x03: BrainLAB Black Probe  s/n:38220401,1723231945,1732787732.418432315,1,OK,0.6237638,-0.1583911,0.4086688,-0.6471637,246.261,-43.428,-1974.300,0.4504433,3,OK,44.137,-46.590,-1803.568,OK,158.136,-38.419,-1889.607,OK,84.181,-31.955,-1818.422
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1723231948,1732787732.468432308,1,OK,0.9668215,-0.1787421,-0.0700469,0.1685255,-84.099,-59.605,-2066.994,0.1532072,3,OK,-84.096,-59.667,-2066.958,OK,-151.649,-123.608,-2055.792,OK,-176.688,-55.015,-2103.240,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1723231948,1732787732.468432308,1,OK,0.6979368,0.0367796,0.1078121,-0.7070417,162.359,54.709,-1909.810,0.4787430,3,OK,162.620,54.465,-1909.867,OK,206.974,150.569,-1907.661,OK,255.561,76.340,-1920.698,Port 0x03: BrainLAB Black Probe  s/n:38220401,1723231948,1732787732.468432308,1,OK,0.6233470,-0.1578142,0.4094564,-0.6472083,246.279,-43.373,-1974.296,0.4613413,3,OK,44.253,-46.547,-1803.474,OK,158.197,-38.387,-1889.543,OK,84.305,-31.917,-1818.293
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1723231951,1732787732.518432308,1,OK,0.9670122,-0.1776568,-0.0700906,0.1685611,-84.103,-59.612,-2066.960,0.1873896,3,OK,-84.093,-59.662,-2066.928,OK,-151.666,-123.619,-2055.903,OK,-176.682,-55.003,-2103.134,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1723231951,1732787732.518432308,1,OK,0.6978306,0.0369500,0.1087238,-0.7069981,162.363,54.711,-1909.850,0.4712372,3,OK,162.619,54.473,-1909.906,OK,206.980,150.559,-1907.600,OK,255.564,76.353,-1920.804,Port 0x03: BrainLAB Black Probe  s/n:38220401,1723231951,1732787732.518432308,1,OK,0.6231774,-0.1579825,0.4095207,-0.6472899,246.233,-43.384,-1974.352,0.4674283,3,OK,44.273,-46.475,-1803.443,OK,158.197,-38.360,-1889.573,OK,84.321,-31.856,-1818.279
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1723231954,1732787732.568432308,1,OK,0.9669542,-0.1779560,-0.0702987,0.1684912,-84.091,-59.605,-2066.957,0.1744170,3,OK,-84.081,-59.665,-2066.920,OK,-151.649,-123.610,-2055.893,OK,-176.669,-54.988,-2103.201,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1723231954,1732787732.568432308,1,OK,0.6978998,0.0373633,0.1082057,-0.7069875,162.372,54.714,-1909.910,0.4784658,3,OK,162.643,54.476,-1909.968,OK,206.988,150.567,-1907.616,OK,255.575,76.346,-1920.743,Port 0x03: BrainLAB Black Probe  s/n:38220401,1723231954,1732787732.568432308,1,OK,0.6236895,-0.1582458,0.4087124,-0.6472433,246.293,-43.392,-1974.251,0.4545069,3,OK,44.153,-46.518,-1803.546,OK,158.157,-38.370,-1889.565,OK,84.203,-31.884,-1818.381
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1723231957,1732787732.618432308,1,OK,0.9668904,-0.1782723,-0.0702899,0.1685267,-84.102,-59.603,-2066.956,0.1601738,3,OK,-84.083,-59.655,-2066.920,OK,-151.664,-123.623,-2055.847,OK,-176.680,-55.004,-2103.217,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1723231957,1732787732.618432308,1,OK,0.6979042,0.0374513,0.1079649,-0.7070154,162.355,54.712,-1909.888,0.4863939,3,OK,162.633,54.474,-1909.947,OK,206.980,150.562,-1907.595,OK,255.553,76.337,-1920.681,Port 0x03: BrainLAB Black Probe  s/n:38220401,1723231957,1732787732.618432308,1,OK,0.6238834,-0.1581923,0.4084365,-0.6472436,246.305,-43.399,-1974.248,0.4470246,3,OK,44.080,-46.546,-1803.670,OK,158.097,-38.384,-1889.596,OK,84.133,-31.901,-1818.479
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1723231960,1732787732.668432315,1,OK,0.9670416,-0.1774423,-0.0700169,0.1686490,-84.096,-59.603,-2066.944,0.1977415,3,OK,-84.093,-59.654,-2066.915,OK,-151.650,-123.616,-2055.902,OK,-176.676,-55.006,-2103.085,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1723231960,1732787732.668432315,1,OK,0.6979096,0.0377539,0.1083871,-0.7069293,162.357,54.708,-1909.917,0.4806049,3,OK,162.632,54.472,-1909.975,OK,206.969,150.560,-1907.531,OK,255.559,76.351,-1920.703,Port 0x03: BrainLAB Black Probe  s/n:38220401,1723231960,1732787732.668432315,1,OK,0.6237576,-0.1580578,0.4089386,-0.6470806,246.267,-43.415,-1974.280,0.4508259,3,OK,44.126,-46.674,-1803.570,OK,158.131,-38.456,-1889.585,OK,84.191,-32.020,-1818.401
