Tools,Port 0x01: BrainLAB Y Junction  s/n:38220010,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: BrainLAB Black Probe  s/n:38220401,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1718960200,1732716536.668166713,1,OK,0.6268415,0.0014002,0.4256923,0.6525748,46.479,-163.346,-1927.649,0.1035471,3,OK,46.497,-163.439,-1927.593,OK,99.223,-237.030,-1903.174,OK,20.543,-235.993,-1864.736,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1718960200,1732716536.668166713,1,OK,0.6835354,-0.1211652,-0.0231160,-0.7194192,149.897,117.827,-1954.031,0.3661542,3,OK,150.253,117.856,-1954.109,OK,194.696,205.454,-1992.030,OK,242.714,131.143,-1976.434,Port 0x03: BrainLAB Black Probe  s/n:38220401,1718960200,1732716536.668166713,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1718960203,1732716536.718166713,1,OK,0.6262833,0.0016961,0.4260960,0.6528465,46.734,-163.364,-1927.623,0.0949686,3,OK,46.749,-163.452,-1927.570,OK,99.563,-237.011,-1903.220,OK,20.953,-236.038,-1864.685,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1718960203,1732716536.718166713,1,OK,0.6836048,-0.1211167,-0.0220965,-0.7193935,149.914,117.757,-1953.789,0.3645073,3,OK,150.259,117.789,-1953.866,OK,194.678,205.420,-1991.707,OK,242.708,131.113,-1976.301,Port 0x03: BrainLAB Black Probe  s/n:38220401,1718960203,1732716536.718166713,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1718960206,1732716536.768166713,1,OK,0.6258137,0.0022238,0.4266602,0.6529267,46.848,-163.409,-1927.611,0.1117008,3,OK,46.872,-163.495,-1927.564,OK,99.763,-237.035,-1903.318,OK,21.170,-236.099,-1864.605,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1718960206,1732716536.768166713,1,OK,0.6836190,-0.1210770,-0.0218642,-0.7193937,149.904,117.720,-1953.717,0.3628689,3,OK,150.246,117.745,-1953.792,OK,194.666,205.402,-1991.615,OK,242.692,131.082,-1976.248,Port 0x03: BrainLAB Black Probe  s/n:38220401,1718960206,1732716536.768166713,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1718960209,1732716536.818166713,1,OK,0.6257154,0.0021238,0.4263567,0.6532195,46.959,-163.426,-1927.571,0.1031912,3,OK,46.971,-163.526,-1927.508,OK,99.886,-237.040,-1903.280,OK,21.325,-236.144,-1864.642,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1718960209,1732716536.818166713,1,OK,0.6837139,-0.1204774,-0.0221884,-0.7193943,149.870,117.687,-1953.715,0.3796852,3,OK,150.246,117.723,-1953.800,OK,194.646,205.404,-1991.523,OK,242.663,131.059,-1976.110,Port 0x03: BrainLAB Black Probe  s/n:38220401,1718960209,1732716536.818166713,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1718960212,1732716536.868166713,1,OK,0.6255141,0.0026646,0.4262380,0.6534877,47.076,-163.425,-1927.537,0.1256440,3,OK,47.085,-163.550,-1927.456,OK,100.043,-237.053,-1903.372,OK,21.489,-236.194,-1864.675,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1718960212,1732716536.868166713,1,OK,0.6837620,-0.1205049,-0.0217234,-0.7193582,149.878,117.666,-1953.638,0.3658597,3,OK,150.240,117.707,-1953.722,OK,194.621,205.403,-1991.417,OK,242.677,131.051,-1976.091,Port 0x03: BrainLAB Black Probe  s/n:38220401,1718960212,1732716536.868166713,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1718960215,1732716536.918166713,1,OK,0.6252148,0.0020589,0.4266928,0.6534795,47.194,-163.506,-1927.641,0.0869462,3,OK,47.216,-163.587,-1927.597,OK,100.203,-237.055,-1903.364,OK,21.688,-236.254,-1864.658,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1718960215,1732716536.918166713,1,OK,0.6837535,-0.1205280,-0.0221387,-0.7193497,149.874,117.652,-1953.600,0.3720776,3,OK,150.242,117.672,-1953.678,OK,194.640,205.395,-1991.422,OK,242.666,131.029,-1976.008,Port 0x03: BrainLAB Black Probe  s/n:38220401,1718960215,1732716536.918166713,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1718960218,1732716536.968166713,1,OK,0.6249362,0.0025008,0.4267090,0.6537338,47.296,-163.483,-1927.523,0.0930015,3,OK,47.311,-163.574,-1927.468,OK,100.353,-237.038,-1903.345,OK,21.866,-236.274,-1864.582,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1718960218,1732716536.968166713,1,OK,0.6838732,-0.1199221,-0.0214637,-0.7193576,149.859,117.606,-1953.565,0.3772827,3,OK,150.235,117.655,-1953.653,OK,194.607,205.387,-1991.215,OK,242.655,131.030,-1975.955,Port 0x03: BrainLAB Black Probe  s/n:38220401,1718960218,1732716536.968166713,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1718960221,1732716537.018166713,1,OK,0.6247903,0.0026984,0.4270346,0.6536599,47.320,-163.510,-1927.567,0.1017118,3,OK,47.343,-163.601,-1927.515,OK,100.399,-237.055,-1903.422,OK,21.919,-236.289,-1864.576,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1718960221,1732716537.018166713,1,OK,0.6839013,-0.1199625,-0.0214948,-0.7193233,149.852,117.604,-1953.558,0.3797983,3,OK,150.227,117.646,-1953.645,OK,194.597,205.388,-1991.220,OK,242.639,131.037,-1975.952,Port 0x03: BrainLAB Black Probe  s/n:38220401,1718960221,1732716537.018166713,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1718960224,1732716537.068166713,1,OK,0.6246960,0.0026529,0.4270872,0.6537158,47.317,-163.527,-1927.580,0.1129480,3,OK,47.341,-163.626,-1927.524,OK,100.425,-237.053,-1903.442,OK,21.926,-236.304,-1864.578,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1718960224,1732716537.068166713,1,OK,0.6838864,-0.1199154,-0.0217451,-0.7193378,149.840,117.599,-1953.523,0.3797821,3,OK,150.222,117.640,-1953.611,OK,194.593,205.383,-1991.195,OK,242.636,131.017,-1975.879,Port 0x03: BrainLAB Black Probe  s/n:38220401,1718960224,1732716537.068166713,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1718960227,1732716537.118166713,1,OK,0.6247697,0.0028876,0.4268375,0.6538075,47.331,-163.510,-1927.553,0.1125349,3,OK,47.348,-163.618,-1927.487,OK,100.418,-237.067,-1903.458,OK,21.936,-236.313,-1864.620,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1718960227,1732716537.118166713,1,OK,0.6838928,-0.1198140,-0.0213003,-0.7193619,149.866,117.575,-1953.516,0.3809757,3,OK,150.245,117.626,-1953.606,OK,194.613,205.364,-1991.133,OK,242.657,131.008,-1975.907,Port 0x03: BrainLAB Black Probe  s/n:38220401,1718960227,1732716537.118166713,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
