Tools,Port 0x01: BrainLAB Y Junction  s/n:38220010,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: BrainLAB Black Probe  s/n:38220401,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1718986975,1732716982.918166712,1,OK,0.6371380,0.0076475,0.4127648,0.6508624,42.214,-166.671,-1929.994,0.1209948,3,OK,42.238,-166.789,-1929.930,OK,92.991,-241.980,-1906.389,OK,13.699,-240.177,-1869.236,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1718986975,1732716982.918166712,1,OK,0.6783879,-0.0597138,0.0961081,-0.7259390,162.583,90.351,-1925.111,0.3656432,3,OK,162.855,90.203,-1925.175,OK,209.277,183.416,-1943.312,OK,254.242,105.878,-1950.577,Port 0x03: BrainLAB Black Probe  s/n:38220401,1718986975,1732716982.918166712,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1718986978,1732716982.968166712,1,OK,0.6369351,0.0079344,0.4127731,0.6510523,42.302,-166.732,-1930.047,0.1256084,3,OK,42.318,-166.853,-1929.977,OK,93.122,-242.046,-1906.510,OK,13.837,-240.268,-1869.316,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1718986978,1732716982.968166712,1,OK,0.6784167,-0.0593209,0.0963024,-0.7259185,162.543,90.303,-1925.166,0.3666509,3,OK,162.825,90.164,-1925.233,OK,209.237,183.383,-1943.274,OK,254.207,105.839,-1950.589,Port 0x03: BrainLAB Black Probe  s/n:38220401,1718986978,1732716982.968166712,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1718986981,1732716983.018166712,1,OK,0.6361926,0.0090701,0.4138404,0.6510859,42.463,-166.704,-1930.000,0.1614343,3,OK,42.498,-166.839,-1929.931,OK,93.403,-241.994,-1906.675,OK,14.164,-240.257,-1869.149,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1718986981,1732716983.018166712,1,OK,0.6784619,-0.0597009,0.0957385,-0.7259197,162.513,90.376,-1925.173,0.3783204,3,OK,162.794,90.221,-1925.238,OK,209.207,183.449,-1943.399,OK,254.167,105.906,-1950.594,Port 0x03: BrainLAB Black Probe  s/n:38220401,1718986981,1732716983.018166712,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1718986984,1732716983.068166712,1,OK,0.6358245,0.0085358,0.4139045,0.6514119,42.714,-166.758,-1930.008,0.1346692,3,OK,42.735,-166.882,-1929.938,OK,93.726,-241.987,-1906.609,OK,14.531,-240.313,-1869.151,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1718986984,1732716983.068166712,1,OK,0.6785639,-0.0590405,0.0956387,-0.7258915,162.469,90.402,-1925.304,0.3783728,3,OK,162.768,90.265,-1925.375,OK,209.161,183.486,-1943.402,OK,254.146,105.945,-1950.609,Port 0x03: BrainLAB Black Probe  s/n:38220401,1718986984,1732716983.068166712,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1718986987,1732716983.118166712,1,OK,0.6354589,0.0082575,0.4142478,0.6515539,42.870,-166.784,-1930.021,0.1234803,3,OK,42.903,-166.886,-1929.971,OK,93.948,-241.946,-1906.588,OK,14.771,-240.349,-1869.084,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1718986987,1732716983.118166712,1,OK,0.6785270,-0.0596336,0.0957191,-0.7258669,162.488,90.438,-1925.267,0.3675712,3,OK,162.766,90.294,-1925.332,OK,209.161,183.511,-1943.476,OK,254.156,105.981,-1950.678,Port 0x03: BrainLAB Black Probe  s/n:38220401,1718986987,1732716983.118166712,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1718986990,1732716983.168166712,1,OK,0.6351610,0.0088113,0.4142253,0.6518514,42.993,-166.799,-1929.974,0.1309228,3,OK,43.014,-166.921,-1929.906,OK,94.122,-241.973,-1906.662,OK,14.982,-240.408,-1869.104,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1718986990,1732716983.168166712,1,OK,0.6784867,-0.0598876,0.0962127,-0.7258185,162.475,90.426,-1925.213,0.3585597,3,OK,162.746,90.287,-1925.277,OK,209.123,183.501,-1943.435,OK,254.128,105.977,-1950.718,Port 0x03: BrainLAB Black Probe  s/n:38220401,1718986990,1732716983.168166712,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1718986993,1732716983.218166712,1,OK,0.6348797,0.0089854,0.4144803,0.6519610,43.085,-166.817,-1929.971,0.1339120,3,OK,43.108,-166.936,-1929.906,OK,94.266,-241.972,-1906.702,OK,15.140,-240.439,-1869.071,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1718986993,1732716983.218166712,1,OK,0.6784946,-0.0600817,0.0959576,-0.7258288,162.444,90.449,-1925.182,0.3608913,3,OK,162.710,90.300,-1925.244,OK,209.094,183.522,-1943.462,OK,254.095,105.993,-1950.691,Port 0x03: BrainLAB Black Probe  s/n:38220401,1718986993,1732716983.218166712,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1718986996,1732716983.268166712,1,OK,0.6346685,0.0091968,0.4146347,0.6520654,43.172,-166.823,-1929.949,0.1381327,3,OK,43.205,-166.947,-1929.885,OK,94.379,-241.958,-1906.729,OK,15.279,-240.467,-1869.036,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1718986996,1732716983.268166712,1,OK,0.6784693,-0.0603041,0.0958954,-0.7258422,162.438,90.468,-1925.139,0.3608404,3,OK,162.703,90.320,-1925.201,OK,209.085,183.531,-1943.468,OK,254.084,106.003,-1950.676,Port 0x03: BrainLAB Black Probe  s/n:38220401,1718986996,1732716983.268166712,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1718986999,1732716983.318166712,1,OK,0.6345461,0.0097884,0.4148635,0.6520305,43.205,-166.798,-1929.888,0.1618736,3,OK,43.235,-166.935,-1929.816,OK,94.440,-241.961,-1906.775,OK,15.329,-240.447,-1868.969,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1718986999,1732716983.318166712,1,OK,0.6785143,-0.0601012,0.0958720,-0.7258201,162.441,90.489,-1925.176,0.3607603,3,OK,162.711,90.345,-1925.240,OK,209.084,183.560,-1943.465,OK,254.093,106.033,-1950.678,Port 0x03: BrainLAB Black Probe  s/n:38220401,1718986999,1732716983.318166712,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1718987002,1732716983.368166712,1,OK,0.6347694,0.0089689,0.4143045,0.6521803,43.187,-166.822,-1929.972,0.1286238,3,OK,43.211,-166.949,-1929.902,OK,94.378,-241.960,-1906.718,OK,15.281,-240.476,-1869.116,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1718987002,1732716983.368166712,1,OK,0.6785570,-0.0600770,0.0955113,-0.7258297,162.418,90.482,-1925.137,0.3762150,3,OK,162.692,90.323,-1925.200,OK,209.077,183.556,-1943.450,OK,254.064,106.028,-1950.593,Port 0x03: BrainLAB Black Probe  s/n:38220401,1718987002,1732716983.368166712,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1718987005,1732716983.418166712,1,OK,0.6347950,0.0092212,0.4144840,0.6520378,43.114,-166.820,-1929.940,0.1430783,3,OK,43.134,-166.949,-1929.867,OK,94.312,-241.982,-1906.721,OK,15.188,-240.454,-1869.060,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1718987005,1732716983.418166712,1,OK,0.6786231,-0.0593089,0.0956705,-0.7258101,162.405,90.465,-1925.207,0.3742656,3,OK,162.687,90.313,-1925.273,OK,209.077,183.562,-1943.356,OK,254.077,106.030,-1950.560,Port 0x03: BrainLAB Black Probe  s/n:38220401,1718987005,1732716983.418166712,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1718987008,1732716983.468166712,1,OK,0.6350596,0.0089246,0.4137888,0.6522258,43.058,-166.792,-1929.973,0.1382614,3,OK,43.068,-166.932,-1929.889,OK,94.214,-241.969,-1906.718,OK,15.077,-240.456,-1869.208,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1718987008,1732716983.468166712,1,OK,0.6785776,-0.0596116,0.0956996,-0.7258240,162.396,90.459,-1925.192,0.3689933,3,OK,162.661,90.300,-1925.253,OK,209.068,183.548,-1943.401,OK,254.064,106.021,-1950.598,Port 0x03: BrainLAB Black Probe  s/n:38220401,1718987008,1732716983.468166712,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1718987011,1732716983.518166712,1,OK,0.6351951,0.0088221,0.4141321,0.6518773,43.017,-166.798,-1930.029,0.1354072,3,OK,43.044,-166.923,-1929.962,OK,94.141,-241.971,-1906.727,OK,14.990,-240.420,-1869.168,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1718987011,1732716983.518166712,1,OK,0.6786201,-0.0591882,0.0956329,-0.7258277,162.424,90.452,-1925.189,0.3812498,3,OK,162.718,90.308,-1925.259,OK,209.102,183.540,-1943.317,OK,254.090,106.017,-1950.516,Port 0x03: BrainLAB Black Probe  s/n:38220401,1718987011,1732716983.518166712,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
