Tools,Port 0x01: BrainLAB Y Junction  s/n:38220010,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: BrainLAB Black Probe  s/n:38220401,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1719012385,1732717406.418166712,1,OK,0.6274624,0.0016798,0.4246688,0.6526443,46.373,-163.042,-1927.445,0.1416247,3,OK,46.364,-163.187,-1927.342,OK,99.019,-236.828,-1903.022,OK,20.293,-235.716,-1864.745,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1719012385,1732717406.418166712,1,OK,0.6833689,-0.1232359,-0.0270378,-0.7190889,149.611,118.605,-1954.857,0.3775843,3,OK,149.979,118.640,-1954.939,OK,194.407,205.942,-1993.496,OK,242.454,131.834,-1977.158,Port 0x03: BrainLAB Black Probe  s/n:38220401,1719012385,1732717406.418166712,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1719012388,1732717406.468166712,1,OK,0.6273529,0.0014598,0.4251773,0.6524189,46.368,-163.046,-1927.477,0.1203595,3,OK,46.376,-163.170,-1927.396,OK,99.016,-236.792,-1902.994,OK,20.313,-235.680,-1864.660,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1719012388,1732717406.468166712,1,OK,0.6834132,-0.1228067,-0.0268740,-0.7191263,149.612,118.609,-1954.906,0.3782516,3,OK,149.984,118.664,-1954.996,OK,194.411,205.960,-1993.445,OK,242.471,131.854,-1977.160,Port 0x03: BrainLAB Black Probe  s/n:38220401,1719012388,1732717406.468166712,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1719012391,1732717406.518166712,1,OK,0.6274599,0.0014594,0.4251141,0.6523572,46.313,-163.057,-1927.495,0.1251809,3,OK,46.328,-163.187,-1927.414,OK,98.938,-236.806,-1903.011,OK,20.227,-235.689,-1864.681,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1719012391,1732717406.518166712,1,OK,0.6833472,-0.1233320,-0.0269299,-0.7190971,149.633,118.620,-1954.862,0.3729378,3,OK,149.991,118.660,-1954.945,OK,194.424,205.941,-1993.507,OK,242.480,131.850,-1977.193,Port 0x03: BrainLAB Black Probe  s/n:38220401,1719012391,1732717406.518166712,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1719012394,1732717406.568166712,1,OK,0.6276135,0.0015305,0.4253392,0.6520625,46.218,-163.073,-1927.551,0.1262712,3,OK,46.236,-163.193,-1927.478,OK,98.819,-236.845,-1903.052,OK,20.084,-235.669,-1864.681,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1719012394,1732717406.568166712,1,OK,0.6833181,-0.1233576,-0.0266228,-0.7191318,149.626,118.620,-1954.911,0.3733363,3,OK,149.985,118.665,-1954.995,OK,194.412,205.943,-1993.538,OK,242.467,131.844,-1977.279,Port 0x03: BrainLAB Black Probe  s/n:38220401,1719012394,1732717406.568166712,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1719012397,1732717406.618166712,1,OK,0.6277511,0.0011468,0.4251896,0.6520285,46.165,-163.076,-1927.560,0.1067339,3,OK,46.183,-163.178,-1927.498,OK,98.739,-236.841,-1902.984,OK,20.002,-235.667,-1864.687,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1719012397,1732717406.618166712,1,OK,0.6833326,-0.1234216,-0.0267303,-0.7191030,149.636,118.617,-1954.929,0.3625726,3,OK,149.979,118.652,-1955.007,OK,194.422,205.942,-1993.579,OK,242.487,131.847,-1977.299,Port 0x03: BrainLAB Black Probe  s/n:38220401,1719012397,1732717406.618166712,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1719012400,1732717406.668166712,1,OK,0.6279481,0.0016125,0.4248936,0.6520307,46.104,-163.051,-1927.561,0.1226842,3,OK,46.113,-163.165,-1927.488,OK,98.652,-236.879,-1903.068,OK,19.888,-235.670,-1864.763,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1719012400,1732717406.668166712,1,OK,0.6833266,-0.1233728,-0.0268678,-0.7191120,149.661,118.614,-1954.995,0.3742806,3,OK,150.019,118.657,-1955.078,OK,194.453,205.926,-1993.641,OK,242.506,131.841,-1977.340,Port 0x03: BrainLAB Black Probe  s/n:38220401,1719012400,1732717406.668166712,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1719012403,1732717406.718166712,1,OK,0.6282658,0.0010985,0.4244201,0.6520341,46.028,-163.038,-1927.593,0.1254007,3,OK,46.030,-163.169,-1927.505,OK,98.521,-236.864,-1903.008,OK,19.744,-235.638,-1864.859,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1719012403,1732717406.718166712,1,OK,0.6833060,-0.1232798,-0.0270985,-0.7191389,149.656,118.624,-1954.961,0.3755408,3,OK,150.023,118.671,-1955.047,OK,194.459,205.934,-1993.606,OK,242.510,131.837,-1977.263,Port 0x03: BrainLAB Black Probe  s/n:38220401,1719012403,1732717406.718166712,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1719012406,1732717406.768166712,1,OK,0.6284476,0.0011315,0.4245286,0.6517882,45.911,-163.053,-1927.647,0.1225656,3,OK,45.918,-163.172,-1927.569,OK,98.376,-236.902,-1903.047,OK,19.567,-235.632,-1864.872,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1719012406,1732717406.768166712,1,OK,0.6832437,-0.1241315,-0.0274405,-0.7190386,149.669,118.649,-1954.916,0.3612428,3,OK,150.009,118.655,-1954.983,OK,194.457,205.935,-1993.759,OK,242.507,131.836,-1977.314,Port 0x03: BrainLAB Black Probe  s/n:38220401,1719012406,1732717406.768166712,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1719012409,1732717406.818166712,1,OK,0.6285820,0.0014246,0.4246010,0.6516108,45.820,-163.048,-1927.637,0.1309539,3,OK,45.835,-163.167,-1927.562,OK,98.257,-236.926,-1903.075,OK,19.433,-235.624,-1864.847,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1719012409,1732717406.818166712,1,OK,0.6832560,-0.1237264,-0.0272389,-0.7191043,149.682,118.632,-1955.016,0.3655950,3,OK,150.028,118.661,-1955.093,OK,194.481,205.918,-1993.759,OK,242.532,131.834,-1977.375,Port 0x03: BrainLAB Black Probe  s/n:38220401,1719012409,1732717406.818166712,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1719012412,1732717406.868166712,1,OK,0.6287772,0.0011641,0.4241976,0.6516858,45.823,-163.047,-1927.593,0.1280128,3,OK,45.830,-163.177,-1927.506,OK,98.222,-236.932,-1902.986,OK,19.403,-235.626,-1864.871,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1719012412,1732717406.868166712,1,OK,0.6832940,-0.1233503,-0.0275218,-0.7191221,149.693,118.626,-1955.103,0.3739911,3,OK,150.059,118.661,-1955.184,OK,194.510,205.930,-1993.795,OK,242.552,131.830,-1977.368,Port 0x03: BrainLAB Black Probe  s/n:38220401,1719012412,1732717406.868166712,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
