Tools,Port 0x01: BrainLAB Y Junction  s/n:38220010,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: BrainLAB Black Probe  s/n:38220401,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1744641244,1733144554.068756254,1,OK,0.6777241,-0.1390686,0.3604404,-0.6256459,-34.273,166.157,-1568.928,0.2458272,3,OK,-34.261,166.228,-1568.924,OK,-58.610,238.588,-1514.607,OK,-6.048,260.762,-1580.052,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1744641244,1733144554.068756254,1,OK,0.9590743,-0.0395221,-0.0173062,-0.2798481,186.027,-190.922,-1628.291,0.4977660,3,OK,186.368,-190.600,-1628.317,OK,129.393,-104.192,-1649.459,OK,218.854,-101.454,-1641.439,Port 0x03: BrainLAB Black Probe  s/n:38220401,1744641244,1733144554.068756254,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1744641247,1733144554.118756254,1,OK,0.6774521,-0.1392671,0.3608221,-0.6256762,-34.168,166.152,-1568.855,0.2290633,3,OK,-34.153,166.218,-1568.857,OK,-58.442,238.588,-1514.483,OK,-5.910,260.752,-1580.010,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1744641247,1733144554.118756254,1,OK,0.9590537,-0.0396510,-0.0173901,-0.2798953,186.041,-190.938,-1628.247,0.4969297,3,OK,186.381,-190.619,-1628.273,OK,129.423,-104.208,-1649.446,OK,218.874,-101.473,-1641.420,Port 0x03: BrainLAB Black Probe  s/n:38220401,1744641247,1733144554.118756254,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1744641250,1733144554.168756254,1,OK,0.6773567,-0.1391329,0.3610568,-0.6256740,-34.082,166.174,-1568.856,0.2424554,3,OK,-34.060,166.230,-1568.869,OK,-58.317,238.611,-1514.450,OK,-5.813,260.762,-1579.960,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1744641250,1733144554.168756254,1,OK,0.9590630,-0.0395727,-0.0167574,-0.2799132,186.036,-190.928,-1628.220,0.4998291,3,OK,186.376,-190.600,-1628.248,OK,129.398,-104.187,-1649.309,OK,218.863,-101.465,-1641.385,Port 0x03: BrainLAB Black Probe  s/n:38220401,1744641250,1733144554.168756254,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1744641253,1733144554.218756254,1,OK,0.6770581,-0.1394931,0.3613233,-0.6257632,-33.983,166.165,-1568.754,0.2207575,3,OK,-33.966,166.226,-1568.759,OK,-58.155,238.608,-1514.332,OK,-5.677,260.752,-1579.936,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1744641253,1733144554.218756254,1,OK,0.9590844,-0.0391871,-0.0171210,-0.2798720,186.040,-190.954,-1628.318,0.5003771,3,OK,186.381,-190.626,-1628.344,OK,129.409,-104.209,-1649.411,OK,218.868,-101.481,-1641.404,Port 0x03: BrainLAB Black Probe  s/n:38220401,1744641253,1733144554.218756254,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1744641256,1733144554.268756254,1,OK,0.6768430,-0.1394171,0.3616673,-0.6258140,-33.858,166.202,-1568.743,0.2319984,3,OK,-33.839,166.256,-1568.753,OK,-57.959,238.646,-1514.283,OK,-5.522,260.777,-1579.885,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1744641256,1733144554.268756254,1,OK,0.9590336,-0.0397090,-0.0170814,-0.2799748,186.026,-190.925,-1628.277,0.4910785,3,OK,186.358,-190.608,-1628.303,OK,129.420,-104.191,-1649.433,OK,218.868,-101.458,-1641.465,Port 0x03: BrainLAB Black Probe  s/n:38220401,1744641256,1733144554.268756254,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1744641259,1733144554.318756257,1,OK,0.6766341,-0.1393327,0.3620636,-0.6258295,-33.762,166.210,-1568.716,0.2403444,3,OK,-33.734,166.264,-1568.738,OK,-57.799,238.650,-1514.199,OK,-5.398,260.761,-1579.817,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1744641259,1733144554.318756257,1,OK,0.9590819,-0.0392667,-0.0173167,-0.2798575,186.030,-190.949,-1628.318,0.4991377,3,OK,186.368,-190.617,-1628.346,OK,129.402,-104.216,-1649.452,OK,218.862,-101.478,-1641.416,Port 0x03: BrainLAB Black Probe  s/n:38220401,1744641259,1733144554.318756257,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1744641262,1733144554.368756257,1,OK,0.6765228,-0.1394397,0.3622867,-0.6257969,-33.673,166.234,-1568.715,0.2379420,3,OK,-33.644,166.296,-1568.737,OK,-57.679,238.665,-1514.173,OK,-5.305,260.780,-1579.824,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1744641262,1733144554.368756257,1,OK,0.9590934,-0.0390483,-0.0179367,-0.2798093,186.045,-190.947,-1628.348,0.5007882,3,OK,186.390,-190.628,-1628.372,OK,129.430,-104.208,-1649.552,OK,218.873,-101.468,-1641.398,Port 0x03: BrainLAB Black Probe  s/n:38220401,1744641262,1733144554.368756257,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1744641265,1733144554.418756257,1,OK,0.6764407,-0.1394996,0.3623922,-0.6258112,-33.615,166.220,-1568.669,0.2406069,3,OK,-33.581,166.269,-1568.701,OK,-57.598,238.668,-1514.113,OK,-5.244,260.762,-1579.778,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1744641265,1733144554.418756257,1,OK,0.9590644,-0.0395520,-0.0177615,-0.2798492,186.037,-190.953,-1628.236,0.4970845,3,OK,186.379,-190.631,-1628.262,OK,129.414,-104.230,-1649.481,OK,218.877,-101.488,-1641.384,Port 0x03: BrainLAB Black Probe  s/n:38220401,1744641265,1733144554.418756257,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1744641268,1733144554.468756257,1,OK,0.6763014,-0.1396310,0.3624583,-0.6258943,-33.598,166.241,-1568.674,0.2336580,3,OK,-33.571,166.295,-1568.695,OK,-57.549,238.691,-1514.128,OK,-5.204,260.784,-1579.818,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1744641268,1733144554.468756257,1,OK,0.9590884,-0.0390592,-0.0178955,-0.2798276,186.025,-190.942,-1628.310,0.5008112,3,OK,186.367,-190.612,-1628.337,OK,129.408,-104.209,-1649.509,OK,218.864,-101.469,-1641.362,Port 0x03: BrainLAB Black Probe  s/n:38220401,1744641268,1733144554.468756257,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1744641271,1733144554.518756257,1,OK,0.6763590,-0.1397545,0.3621605,-0.6259768,-33.586,166.204,-1568.585,0.2478365,3,OK,-33.570,166.268,-1568.589,OK,-57.547,238.664,-1514.119,OK,-5.208,260.752,-1579.764,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1744641271,1733144554.518756257,1,OK,0.9590224,-0.0398720,-0.0175953,-0.2799582,186.021,-190.937,-1628.251,0.4969853,3,OK,186.360,-190.618,-1628.277,OK,129.423,-104.212,-1649.512,OK,218.868,-101.484,-1641.463,Port 0x03: BrainLAB Black Probe  s/n:38220401,1744641271,1733144554.518756257,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
