Tools,Port 0x01: BrainLAB Y Junction  s/n:38220010,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: BrainLAB Black Probe  s/n:38220401,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1745421364,1733157556.068762332,1,OK,0.6920825,-0.1246850,0.3470245,-0.6205236,-41.650,164.472,-1566.534,0.2110656,3,OK,-41.646,164.533,-1566.524,OK,-69.766,235.846,-1512.624,OK,-14.680,259.711,-1575.456,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1745421364,1733157556.068762332,1,OK,0.9333503,-0.1871264,-0.0571113,-0.3009639,173.894,-170.121,-1555.377,0.4991167,3,OK,174.271,-169.826,-1555.505,OK,121.825,-90.799,-1602.133,OK,211.548,-90.875,-1594.836,Port 0x03: BrainLAB Black Probe  s/n:38220401,1745421364,1733157556.068762332,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1745421367,1733157556.118762332,1,OK,0.6921996,-0.1244392,0.3470826,-0.6204097,-41.687,164.466,-1566.566,0.2146741,3,OK,-41.677,164.517,-1566.565,OK,-69.825,235.822,-1512.623,OK,-14.731,259.708,-1575.424,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1745421367,1733157556.118762332,1,OK,0.9333273,-0.1871902,-0.0572524,-0.3009687,173.874,-170.113,-1555.340,0.5051996,3,OK,174.257,-169.821,-1555.466,OK,121.819,-90.795,-1602.128,OK,211.524,-90.878,-1594.806,Port 0x03: BrainLAB Black Probe  s/n:38220401,1745421367,1733157556.118762332,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1745421370,1733157556.168762331,1,OK,0.6921921,-0.1247950,0.3469199,-0.6204377,-41.621,164.454,-1566.502,0.2116556,3,OK,-41.617,164.508,-1566.493,OK,-69.764,235.831,-1512.609,OK,-14.686,259.705,-1575.439,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1745421370,1733157556.168762331,1,OK,0.9332758,-0.1873492,-0.0574027,-0.3010008,173.906,-170.120,-1555.367,0.5020931,3,OK,174.294,-169.847,-1555.482,OK,121.859,-90.806,-1602.204,OK,211.569,-90.897,-1594.860,Port 0x03: BrainLAB Black Probe  s/n:38220401,1745421370,1733157556.168762331,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1745421373,1733157556.218762336,1,OK,0.6920927,-0.1246387,0.3472814,-0.6203778,-41.625,164.481,-1566.551,0.1999857,3,OK,-41.607,164.542,-1566.557,OK,-69.749,235.840,-1512.571,OK,-14.664,259.712,-1575.445,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1745421373,1733157556.218762336,1,OK,0.9332929,-0.1872534,-0.0576307,-0.3009638,173.890,-170.114,-1555.290,0.5123696,3,OK,174.286,-169.834,-1555.408,OK,121.852,-90.803,-1602.151,OK,211.549,-90.893,-1594.758,Port 0x03: BrainLAB Black Probe  s/n:38220401,1745421373,1733157556.218762336,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1745421376,1733157556.268762336,1,OK,0.6920511,-0.1246450,0.3472719,-0.6204283,-41.589,164.472,-1566.527,0.2070211,3,OK,-41.573,164.525,-1566.533,OK,-69.696,235.842,-1512.560,OK,-14.624,259.704,-1575.419,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1745421376,1733157556.268762336,1,OK,0.9332017,-0.1875974,-0.0578895,-0.3009829,173.878,-170.104,-1555.320,0.5099718,3,OK,174.277,-169.841,-1555.429,OK,121.857,-90.820,-1602.267,OK,211.547,-90.910,-1594.846,Port 0x03: BrainLAB Black Probe  s/n:38220401,1745421376,1733157556.268762336,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1745421379,1733157556.318762336,1,OK,0.6919535,-0.1250872,0.3471834,-0.6204976,-41.548,164.481,-1566.472,0.1956650,3,OK,-41.546,164.541,-1566.459,OK,-69.638,235.864,-1512.555,OK,-14.582,259.730,-1575.465,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1745421379,1733157556.318762336,1,OK,0.9331969,-0.1878296,-0.0572182,-0.3009811,173.903,-170.096,-1555.299,0.4980209,3,OK,174.285,-169.819,-1555.418,OK,121.844,-90.821,-1602.164,OK,211.552,-90.906,-1594.883,Port 0x03: BrainLAB Black Probe  s/n:38220401,1745421379,1733157556.318762336,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1745421382,1733157556.368762336,1,OK,0.6917335,-0.1248516,0.3476004,-0.6205568,-41.471,164.495,-1566.486,0.2055437,3,OK,-41.461,164.556,-1566.483,OK,-69.491,235.870,-1512.503,OK,-14.461,259.719,-1575.410,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1745421382,1733157556.368762336,1,OK,0.9332323,-0.1875472,-0.0576846,-0.3009585,173.905,-170.136,-1555.416,0.4994023,3,OK,174.292,-169.865,-1555.530,OK,121.865,-90.856,-1602.318,OK,211.575,-90.927,-1594.940,Port 0x03: BrainLAB Black Probe  s/n:38220401,1745421382,1733157556.368762336,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1745421385,1733157556.418762336,1,OK,0.6913949,-0.1251132,0.3482083,-0.6205407,-41.288,164.550,-1566.472,0.1865077,3,OK,-41.272,164.609,-1566.477,OK,-69.225,235.921,-1512.402,OK,-14.242,259.765,-1575.421,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1745421385,1733157556.418762336,1,OK,0.9333369,-0.1871094,-0.0575426,-0.3009339,173.939,-170.157,-1555.486,0.5076948,3,OK,174.327,-169.865,-1555.611,OK,121.886,-90.847,-1602.308,OK,211.603,-90.920,-1594.929,Port 0x03: BrainLAB Black Probe  s/n:38220401,1745421385,1733157556.418762336,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1745421388,1733157556.468762336,1,OK,0.6911491,-0.1248914,0.3485456,-0.6206699,-41.206,164.549,-1566.429,0.2038383,3,OK,-41.183,164.598,-1566.446,OK,-69.065,235.930,-1512.315,OK,-14.112,259.739,-1575.314,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1745421388,1733157556.468762336,1,OK,0.9333164,-0.1872808,-0.0573312,-0.3009311,173.954,-170.193,-1555.484,0.5010366,3,OK,174.339,-169.915,-1555.602,OK,121.892,-90.882,-1602.298,OK,211.604,-90.958,-1594.967,Port 0x03: BrainLAB Black Probe  s/n:38220401,1745421388,1733157556.468762336,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1745421391,1733157556.518762336,1,OK,0.6910748,-0.1252372,0.3483557,-0.6207894,-41.142,164.570,-1566.339,0.2106163,3,OK,-41.129,164.632,-1566.339,OK,-68.980,235.975,-1512.299,OK,-14.053,259.760,-1575.303,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1745421391,1733157556.518762336,1,OK,0.9333842,-0.1870605,-0.0569378,-0.3009327,173.950,-170.226,-1555.636,0.4948602,3,OK,174.327,-169.942,-1555.757,OK,121.868,-90.890,-1602.359,OK,211.590,-90.964,-1595.090,Port 0x03: BrainLAB Black Probe  s/n:38220401,1745421391,1733157556.518762336,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
