Tools,Port 0x01: BrainLAB Y Junction  s/n:38220010,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: BrainLAB Black Probe  s/n:38220401,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1749251323,1733221388.718765524,1,OK,0.6971048,-0.1398895,0.2787522,-0.6455796,-46.135,182.001,-1583.823,0.2484826,3,OK,-46.163,182.072,-1583.786,OK,-78.254,259.237,-1541.633,OK,-17.941,275.595,-1601.905,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1749251323,1733221388.718765524,1,OK,0.9500042,0.0216522,-0.0033801,-0.3114672,175.144,-168.490,-1664.027,0.5432423,3,OK,175.487,-168.288,-1664.006,OK,124.683,-76.272,-1674.475,OK,213.620,-80.331,-1665.657,Port 0x03: BrainLAB Black Probe  s/n:38220401,1749251323,1733221388.718765524,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1749251326,1733221388.768765524,1,OK,0.6970942,-0.1401555,0.2787829,-0.6455201,-46.075,181.984,-1583.781,0.2410911,3,OK,-46.105,182.058,-1583.741,OK,-78.199,259.220,-1541.596,OK,-17.899,275.584,-1601.911,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1749251326,1733221388.768765524,1,OK,0.9499854,0.0211836,-0.0040428,-0.3115488,175.150,-168.503,-1663.924,0.5471225,3,OK,175.495,-168.295,-1663.903,OK,124.720,-76.289,-1674.541,OK,213.642,-80.358,-1665.632,Port 0x03: BrainLAB Black Probe  s/n:38220401,1749251326,1733221388.768765524,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1749251329,1733221388.818765524,1,OK,0.6970073,-0.1400577,0.2790930,-0.6455012,-46.051,182.005,-1583.808,0.2364438,3,OK,-46.075,182.079,-1583.775,OK,-78.149,259.235,-1541.563,OK,-17.861,275.599,-1601.900,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1749251329,1733221388.818765524,1,OK,0.9499920,0.0219190,-0.0036234,-0.3114828,175.153,-168.503,-1664.026,0.5446858,3,OK,175.498,-168.303,-1664.005,OK,124.703,-76.276,-1674.474,OK,213.632,-80.346,-1665.601,Port 0x03: BrainLAB Black Probe  s/n:38220401,1749251329,1733221388.818765524,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1749251332,1733221388.868765524,1,OK,0.6970143,-0.1398801,0.2790781,-0.6455385,-46.075,182.014,-1583.847,0.2458584,3,OK,-46.093,182.086,-1583.819,OK,-78.167,259.250,-1541.599,OK,-17.879,275.598,-1601.901,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1749251332,1733221388.868765524,1,OK,0.9499865,0.0214195,-0.0040468,-0.3115292,175.118,-168.493,-1663.998,0.5496396,3,OK,175.469,-168.289,-1663.976,OK,124.682,-76.270,-1674.583,OK,213.606,-80.351,-1665.661,Port 0x03: BrainLAB Black Probe  s/n:38220401,1749251332,1733221388.868765524,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1749251335,1733221388.918765524,1,OK,0.6969715,-0.1401998,0.2789078,-0.6455890,-46.043,182.008,-1583.774,0.2454101,3,OK,-46.073,182.072,-1583.735,OK,-78.129,259.257,-1541.582,OK,-17.853,275.604,-1601.903,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1749251335,1733221388.918765524,1,OK,0.9500086,0.0216918,-0.0038401,-0.3114457,175.123,-168.494,-1663.969,0.5488970,3,OK,175.468,-168.291,-1663.948,OK,124.675,-76.279,-1674.482,OK,213.590,-80.337,-1665.585,Port 0x03: BrainLAB Black Probe  s/n:38220401,1749251335,1733221388.918765524,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1749251338,1733221388.968765524,1,OK,0.6968710,-0.1397965,0.2792796,-0.6456243,-45.976,182.033,-1583.823,0.2538060,3,OK,-45.992,182.111,-1583.797,OK,-78.021,259.273,-1541.551,OK,-17.753,275.604,-1601.849,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1749251338,1733221388.968765524,1,OK,0.9500129,0.0222407,-0.0039046,-0.3113930,175.152,-168.503,-1664.016,0.5545259,3,OK,175.499,-168.289,-1663.995,OK,124.701,-76.285,-1674.460,OK,213.606,-80.349,-1665.525,Port 0x03: BrainLAB Black Probe  s/n:38220401,1749251338,1733221388.968765524,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1749251341,1733221389.018765524,1,OK,0.6966339,-0.1402631,0.2795275,-0.6456716,-45.871,182.047,-1583.746,0.2398122,3,OK,-45.890,182.122,-1583.717,OK,-77.867,259.302,-1541.463,OK,-17.636,275.615,-1601.856,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1749251341,1733221389.018765524,1,OK,0.9500143,0.0217976,-0.0041424,-0.3114170,175.145,-168.521,-1664.069,0.5537592,3,OK,175.493,-168.315,-1664.047,OK,124.703,-76.306,-1674.613,OK,213.603,-80.366,-1665.658,Port 0x03: BrainLAB Black Probe  s/n:38220401,1749251341,1733221389.018765524,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1749251344,1733221389.068765524,1,OK,0.6964865,-0.1403433,0.2795793,-0.6457908,-45.754,182.079,-1583.699,0.2615759,3,OK,-45.780,182.157,-1583.663,OK,-77.694,259.346,-1541.443,OK,-17.507,275.638,-1601.813,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1749251344,1733221389.068765524,1,OK,0.9499895,0.0212326,-0.0032869,-0.3115418,175.100,-168.521,-1663.989,0.5448329,3,OK,175.449,-168.315,-1663.969,OK,124.639,-76.299,-1674.485,OK,213.592,-80.377,-1665.701,Port 0x03: BrainLAB Black Probe  s/n:38220401,1749251344,1733221389.068765524,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1749251347,1733221389.118765524,1,OK,0.6962989,-0.1405143,0.2798713,-0.6458294,-45.665,182.106,-1583.657,0.2583620,3,OK,-45.688,182.191,-1583.623,OK,-77.558,259.379,-1541.368,OK,-17.403,275.650,-1601.788,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1749251347,1733221389.118765524,1,OK,0.9500048,0.0215017,-0.0043802,-0.3114634,175.083,-168.527,-1664.035,0.5386393,3,OK,175.429,-168.326,-1664.014,OK,124.631,-76.314,-1674.660,OK,213.576,-80.374,-1665.675,Port 0x03: BrainLAB Black Probe  s/n:38220401,1749251347,1733221389.118765524,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1749251350,1733221389.168765524,1,OK,0.6961052,-0.1406099,0.2801105,-0.6459137,-45.538,182.120,-1583.631,0.2553969,3,OK,-45.563,182.191,-1583.596,OK,-77.379,259.405,-1541.319,OK,-17.249,275.666,-1601.772,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1749251350,1733221389.168765524,1,OK,0.9500151,0.0212072,-0.0037777,-0.3114598,175.096,-168.540,-1663.986,0.5447089,3,OK,175.438,-168.335,-1663.965,OK,124.644,-76.336,-1674.559,OK,213.570,-80.383,-1665.695,Port 0x03: BrainLAB Black Probe  s/n:38220401,1749251350,1733221389.168765524,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
