Tools,Port 0x01: BrainLAB Y Junction  s/n:38220010,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: BrainLAB Black Probe  s/n:38220401,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1749835834,1733231130.568760993,1,OK,0.6898164,-0.1482236,0.2941585,-0.6447122,-41.849,183.370,-1580.348,0.2922855,3,OK,-41.861,183.437,-1580.325,OK,-71.756,260.594,-1536.536,OK,-13.632,276.837,-1598.787,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1749835834,1733231130.568760993,1,OK,0.9518583,0.0470498,0.0064554,-0.3028374,178.150,-167.359,-1679.273,0.5514756,3,OK,178.497,-167.160,-1679.241,OK,126.004,-75.635,-1684.602,OK,215.009,-78.558,-1676.197,Port 0x03: BrainLAB Black Probe  s/n:38220401,1749835834,1733231130.568760993,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1749835837,1733231130.618760993,1,OK,0.6898613,-0.1480717,0.2940123,-0.6447658,-41.853,183.367,-1580.323,0.3069610,3,OK,-41.866,183.444,-1580.299,OK,-71.764,260.591,-1536.536,OK,-13.634,276.823,-1598.737,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1749835837,1733231130.618760993,1,OK,0.9518725,0.0471656,0.0071146,-0.3027598,178.161,-167.370,-1679.334,0.5513375,3,OK,178.502,-167.163,-1679.303,OK,125.996,-75.662,-1684.544,OK,215.003,-78.561,-1676.247,Port 0x03: BrainLAB Black Probe  s/n:38220401,1749835837,1733231130.618760993,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1749835840,1733231130.668760993,1,OK,0.6896814,-0.1483683,0.2944192,-0.6447044,-41.859,183.377,-1580.321,0.2703294,3,OK,-41.871,183.459,-1580.296,OK,-71.747,260.589,-1536.461,OK,-13.620,276.839,-1598.790,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1749835840,1733231130.668760993,1,OK,0.9519051,0.0471199,0.0058541,-0.3026916,178.147,-167.362,-1679.301,0.5477407,3,OK,178.492,-167.161,-1679.269,OK,125.982,-75.654,-1684.714,OK,214.986,-78.550,-1676.201,Port 0x03: BrainLAB Black Probe  s/n:38220401,1749835840,1733231130.668760993,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1749835843,1733231130.718760993,1,OK,0.6897779,-0.1483696,0.2942164,-0.6446934,-41.842,183.369,-1580.302,0.2878751,3,OK,-41.855,183.451,-1580.277,OK,-71.745,260.587,-1536.487,OK,-13.629,276.830,-1598.769,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1749835843,1733231130.718760993,1,OK,0.9518851,0.0463594,0.0069510,-0.3028485,178.117,-167.354,-1679.130,0.5513495,3,OK,178.465,-167.143,-1679.099,OK,125.951,-75.641,-1684.482,OK,214.982,-78.557,-1676.195,Port 0x03: BrainLAB Black Probe  s/n:38220401,1749835843,1733231130.718760993,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1749835846,1733231130.768760993,1,OK,0.6898133,-0.1484252,0.2940367,-0.6447248,-41.826,183.368,-1580.274,0.2895329,3,OK,-41.843,183.449,-1580.244,OK,-71.741,260.593,-1536.494,OK,-13.617,276.832,-1598.764,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1749835846,1733231130.768760993,1,OK,0.9518828,0.0465793,0.0062535,-0.3028373,178.144,-167.364,-1679.204,0.5466449,3,OK,178.489,-167.166,-1679.172,OK,125.995,-75.647,-1684.631,OK,215.010,-78.557,-1676.214,Port 0x03: BrainLAB Black Probe  s/n:38220401,1749835846,1733231130.768760993,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1749835849,1733231130.818760993,1,OK,0.6897603,-0.1482860,0.2943685,-0.6446621,-41.847,183.387,-1580.389,0.2740456,3,OK,-41.857,183.464,-1580.368,OK,-71.752,260.598,-1536.530,OK,-13.621,276.852,-1598.838,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1749835849,1733231130.818760993,1,OK,0.9518699,0.0468141,0.0065685,-0.3028350,178.146,-167.354,-1679.231,0.5449594,3,OK,178.486,-167.145,-1679.200,OK,125.993,-75.644,-1684.576,OK,215.015,-78.551,-1676.202,Port 0x03: BrainLAB Black Probe  s/n:38220401,1749835849,1733231130.818760993,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1749835852,1733231130.868760993,1,OK,0.6898602,-0.1481393,0.2940277,-0.6447444,-41.876,183.371,-1580.355,0.2944982,3,OK,-41.890,183.447,-1580.330,OK,-71.797,260.592,-1536.559,OK,-13.654,276.833,-1598.790,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1749835852,1733231130.868760993,1,OK,0.9518904,0.0466249,0.0064062,-0.3028032,178.152,-167.365,-1679.191,0.5528342,3,OK,178.500,-167.162,-1679.159,OK,125.997,-75.650,-1684.588,OK,215.004,-78.562,-1676.195,Port 0x03: BrainLAB Black Probe  s/n:38220401,1749835852,1733231130.868760993,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1749835855,1733231130.918760993,1,OK,0.6898962,-0.1480500,0.2939637,-0.6447556,-41.923,183.370,-1580.320,0.2998957,3,OK,-41.936,183.449,-1580.295,OK,-71.849,260.589,-1536.532,OK,-13.701,276.830,-1598.740,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1749835855,1733231130.918760993,1,OK,0.9519068,0.0465196,0.0065215,-0.3027653,178.135,-167.350,-1679.220,0.5513875,3,OK,178.483,-167.147,-1679.188,OK,125.969,-75.642,-1684.615,OK,214.982,-78.542,-1676.246,Port 0x03: BrainLAB Black Probe  s/n:38220401,1749835855,1733231130.918760993,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1749835858,1733231130.968760993,1,OK,0.6899270,-0.1481115,0.2939366,-0.6447209,-41.913,183.366,-1580.367,0.2906820,3,OK,-41.927,183.443,-1580.342,OK,-71.855,260.584,-1536.578,OK,-13.696,276.832,-1598.805,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1749835858,1733231130.968760993,1,OK,0.9518604,0.0468716,0.0067438,-0.3028522,178.149,-167.348,-1679.202,0.5613018,3,OK,178.502,-167.146,-1679.170,OK,126.005,-75.620,-1684.511,OK,214.998,-78.554,-1676.166,Port 0x03: BrainLAB Black Probe  s/n:38220401,1749835858,1733231130.968760993,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1749835861,1733231131.018760993,1,OK,0.6898885,-0.1480821,0.2941566,-0.6446684,-41.937,183.363,-1580.389,0.2775358,3,OK,-41.944,183.442,-1580.370,OK,-71.875,260.573,-1536.546,OK,-13.712,276.827,-1598.812,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1749835861,1733231131.018760993,1,OK,0.9518945,0.0468839,0.0065201,-0.3027479,178.170,-167.342,-1679.138,0.5538289,3,OK,178.520,-167.135,-1679.106,OK,126.001,-75.630,-1684.482,OK,215.014,-78.540,-1676.095,Port 0x03: BrainLAB Black Probe  s/n:38220401,1749835861,1733231131.018760993,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
