Tools,Port 0x01: BrainLAB Y Junction  s/n:38220010,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: BrainLAB Black Probe  s/n:38220401,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1750828960,1733247682.668786913,1,OK,0.6958771,-0.1438166,0.2761195,-0.6471707,-45.256,184.334,-1582.058,0.2779441,3,OK,-45.286,184.418,-1582.018,OK,-77.213,262.020,-1540.624,OK,-17.034,277.706,-1601.107,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1750828960,1733247682.668786913,1,OK,0.9483376,0.0225753,-0.0138350,-0.3161562,171.926,-171.278,-1660.315,0.6027527,3,OK,172.391,-171.038,-1660.277,OK,122.487,-78.487,-1672.230,OK,211.392,-83.679,-1661.551,Port 0x03: BrainLAB Black Probe  s/n:38220401,1750828960,1733247682.668786913,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1750828963,1733247682.718786913,1,OK,0.6957612,-0.1438985,0.2764411,-0.6471397,-45.180,184.346,-1582.039,0.2632342,3,OK,-45.201,184.419,-1582.010,OK,-77.115,262.040,-1540.545,OK,-16.949,277.714,-1601.086,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1750828963,1733247682.718786913,1,OK,0.9483474,0.0223001,-0.0143853,-0.3161217,171.940,-171.255,-1660.289,0.6098866,3,OK,172.411,-171.001,-1660.251,OK,122.495,-78.476,-1672.330,OK,211.408,-83.672,-1661.566,Port 0x03: BrainLAB Black Probe  s/n:38220401,1750828963,1733247682.718786913,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1750828966,1733247682.768786913,1,OK,0.6957291,-0.1440170,0.2763105,-0.6472037,-45.147,184.347,-1581.994,0.2739440,3,OK,-45.175,184.433,-1581.955,OK,-77.069,262.042,-1540.544,OK,-16.915,277.712,-1601.072,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1750828966,1733247682.768786913,1,OK,0.9483610,0.0223775,-0.0140151,-0.3160920,171.930,-171.282,-1660.360,0.6104649,3,OK,172.406,-171.053,-1660.320,OK,122.471,-78.486,-1672.333,OK,211.382,-83.686,-1661.630,Port 0x03: BrainLAB Black Probe  s/n:38220401,1750828966,1733247682.768786913,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1750828969,1733247682.818786913,1,OK,0.6957258,-0.1440770,0.2762053,-0.6472388,-45.105,184.355,-1581.940,0.2801416,3,OK,-45.139,184.434,-1581.897,OK,-77.024,262.057,-1540.520,OK,-16.877,277.723,-1601.035,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1750828969,1733247682.818786913,1,OK,0.9483278,0.0233617,-0.0143764,-0.3161044,171.931,-171.263,-1660.444,0.6048868,3,OK,172.397,-171.024,-1660.405,OK,122.502,-78.460,-1672.328,OK,211.388,-83.660,-1661.520,Port 0x03: BrainLAB Black Probe  s/n:38220401,1750828969,1733247682.818786913,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1750828972,1733247682.868786913,1,OK,0.6956566,-0.1440834,0.2764284,-0.6472165,-45.106,184.353,-1581.970,0.2735960,3,OK,-45.136,184.441,-1581.930,OK,-77.008,262.046,-1540.509,OK,-16.869,277.715,-1601.055,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1750828972,1733247682.868786913,1,OK,0.9483686,0.0232312,-0.0145976,-0.3159814,171.951,-171.276,-1660.470,0.6105486,3,OK,172.425,-171.034,-1660.430,OK,122.494,-78.483,-1672.409,OK,211.388,-83.674,-1661.566,Port 0x03: BrainLAB Black Probe  s/n:38220401,1750828972,1733247682.868786913,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1750828975,1733247682.918786913,1,OK,0.6957232,-0.1441591,0.2762481,-0.6472051,-45.108,184.356,-1581.950,0.2708039,3,OK,-45.138,184.439,-1581.909,OK,-77.035,262.057,-1540.517,OK,-16.883,277.721,-1601.061,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1750828975,1733247682.918786913,1,OK,0.9483396,0.0229385,-0.0144225,-0.3160978,171.931,-171.259,-1660.402,0.6070647,3,OK,172.408,-171.028,-1660.361,OK,122.477,-78.451,-1672.358,OK,211.398,-83.664,-1661.556,Port 0x03: BrainLAB Black Probe  s/n:38220401,1750828975,1733247682.918786913,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1750828978,1733247682.968786913,1,OK,0.6957558,-0.1439648,0.2761917,-0.6472373,-45.104,184.354,-1581.963,0.2855037,3,OK,-45.136,184.441,-1581.921,OK,-77.025,262.051,-1540.541,OK,-16.875,277.717,-1601.034,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1750828978,1733247682.968786913,1,OK,0.9483359,0.0231286,-0.0144947,-0.3160916,171.934,-171.265,-1660.409,0.6102142,3,OK,172.408,-171.026,-1660.368,OK,122.495,-78.460,-1672.346,OK,211.391,-83.670,-1661.526,Port 0x03: BrainLAB Black Probe  s/n:38220401,1750828978,1733247682.968786913,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1750828981,1733247683.018786913,1,OK,0.6956976,-0.1439011,0.2763014,-0.6472672,-45.118,184.361,-1582.004,0.2839544,3,OK,-45.146,184.440,-1581.966,OK,-77.023,262.063,-1540.560,OK,-16.876,277.721,-1601.057,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1750828981,1733247683.018786913,1,OK,0.9483626,0.0221438,-0.0142948,-0.3160911,171.918,-171.256,-1660.240,0.6044772,3,OK,172.382,-171.013,-1660.202,OK,122.482,-78.486,-1672.287,OK,211.371,-83.655,-1661.550,Port 0x03: BrainLAB Black Probe  s/n:38220401,1750828981,1733247683.018786913,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1750828984,1733247683.068786913,1,OK,0.6957237,-0.1441339,0.2761059,-0.6472708,-45.110,184.356,-1581.948,0.2834032,3,OK,-45.146,184.439,-1581.902,OK,-77.030,262.062,-1540.552,OK,-16.882,277.721,-1601.061,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1750828984,1733247683.068786913,1,OK,0.9483698,0.0224387,-0.0148959,-0.3160210,171.927,-171.269,-1660.327,0.6115245,3,OK,172.398,-171.018,-1660.288,OK,122.488,-78.498,-1672.424,OK,211.371,-83.674,-1661.568,Port 0x03: BrainLAB Black Probe  s/n:38220401,1750828984,1733247683.068786913,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1750828987,1733247683.118786913,1,OK,0.6956823,-0.1438577,0.2764481,-0.6472307,-45.116,184.360,-1582.043,0.2748937,3,OK,-45.140,184.442,-1582.009,OK,-77.021,262.055,-1540.564,OK,-16.867,277.721,-1601.084,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1750828987,1733247683.118786913,1,OK,0.9483470,0.0221865,-0.0141036,-0.3161437,171.944,-171.268,-1660.296,0.6073294,3,OK,172.413,-171.022,-1660.258,OK,122.499,-78.485,-1672.309,OK,211.411,-83.679,-1661.600,Port 0x03: BrainLAB Black Probe  s/n:38220401,1750828987,1733247683.118786913,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
