Tools,Port 0x01: BrainLAB Y Junction  s/n:38220010,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: BrainLAB Black Probe  s/n:38220401,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1781904427,1733765607.118733069,1,OK,0.6820197,0.1865569,0.4217980,0.5675669,-24.108,-130.146,-1729.447,0.1626700,3,OK,-24.022,-130.280,-1729.483,OK,3.140,-219.770,-1726.508,OK,-63.221,-201.824,-1672.296,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1781904427,1733765607.118733069,1,OK,0.4356932,0.0074673,0.1555145,-0.8865274,158.832,159.647,-1737.535,0.5449814,3,OK,158.801,159.167,-1737.632,OK,250.569,211.851,-1747.590,OK,243.783,123.821,-1765.192,Port 0x03: BrainLAB Black Probe  s/n:38220401,1781904427,1733765607.118733069,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1781904430,1733765607.168733069,1,OK,0.6820169,0.1864636,0.4218031,0.5675970,-24.132,-130.140,-1729.413,0.1558180,3,OK,-24.045,-130.259,-1729.455,OK,3.122,-219.766,-1726.455,OK,-63.238,-201.825,-1672.259,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1781904430,1733765607.168733069,1,OK,0.4356487,0.0075897,0.1557189,-0.8865124,158.812,159.648,-1737.529,0.5361863,3,OK,158.777,159.176,-1737.624,OK,250.548,211.847,-1747.555,OK,243.770,123.820,-1765.204,Port 0x03: BrainLAB Black Probe  s/n:38220401,1781904430,1733765607.168733069,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1781904433,1733765607.218733069,1,OK,0.6819294,0.1866535,0.4219843,0.5675051,-24.147,-130.154,-1729.470,0.1700370,3,OK,-24.058,-130.281,-1729.512,OK,3.116,-219.780,-1726.545,OK,-63.250,-201.830,-1672.277,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1781904433,1733765607.218733069,1,OK,0.4356670,0.0076665,0.1558399,-0.8864815,158.789,159.642,-1737.566,0.5319583,3,OK,158.759,159.174,-1737.662,OK,250.516,211.841,-1747.574,OK,243.751,123.826,-1765.250,Port 0x03: BrainLAB Black Probe  s/n:38220401,1781904433,1733765607.218733069,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1781904436,1733765607.268733069,1,OK,0.6819799,0.1864908,0.4218171,0.5676223,-24.125,-130.154,-1729.430,0.1529737,3,OK,-24.042,-130.279,-1729.466,OK,3.133,-219.778,-1726.478,OK,-63.216,-201.837,-1672.286,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1781904436,1733765607.268733069,1,OK,0.4357059,0.0076492,0.1553752,-0.8865441,158.796,159.650,-1737.569,0.5434359,3,OK,158.766,159.172,-1737.666,OK,250.536,211.846,-1747.587,OK,243.758,123.818,-1765.185,Port 0x03: BrainLAB Black Probe  s/n:38220401,1781904436,1733765607.268733069,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1781904439,1733765607.318733069,1,OK,0.6818814,0.1867336,0.4221686,0.5673993,-24.092,-130.152,-1729.450,0.1756618,3,OK,-23.999,-130.279,-1729.495,OK,3.167,-219.778,-1726.525,OK,-63.183,-201.818,-1672.222,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1781904439,1733765607.318733069,1,OK,0.4356734,0.0074380,0.1557020,-0.8865045,158.832,159.648,-1737.526,0.5394426,3,OK,158.795,159.174,-1737.621,OK,250.564,211.855,-1747.584,OK,243.784,123.827,-1765.216,Port 0x03: BrainLAB Black Probe  s/n:38220401,1781904439,1733765607.318733069,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1781904442,1733765607.368733069,1,OK,0.6819611,0.1865271,0.4218472,0.5676104,-24.104,-130.149,-1729.436,0.1582159,3,OK,-24.020,-130.278,-1729.472,OK,3.157,-219.771,-1726.492,OK,-63.197,-201.832,-1672.282,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1781904442,1733765607.368733069,1,OK,0.4356622,0.0073407,0.1555965,-0.8865293,158.831,159.639,-1737.505,0.5395484,3,OK,158.793,159.165,-1737.599,OK,250.562,211.837,-1747.586,OK,243.782,123.813,-1765.191,Port 0x03: BrainLAB Black Probe  s/n:38220401,1781904442,1733765607.368733069,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1781904445,1733765607.418733069,1,OK,0.6819937,0.1864087,0.4219054,0.5675669,-24.129,-130.137,-1729.423,0.1604013,3,OK,-24.039,-130.263,-1729.465,OK,3.124,-219.750,-1726.446,OK,-63.220,-201.815,-1672.252,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1781904445,1733765607.418733069,1,OK,0.4356696,0.0074854,0.1555600,-0.8865309,158.802,159.657,-1737.554,0.5386572,3,OK,158.774,159.183,-1737.651,OK,250.533,211.853,-1747.604,OK,243.755,123.827,-1765.218,Port 0x03: BrainLAB Black Probe  s/n:38220401,1781904445,1733765607.418733069,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1781904448,1733765607.468733069,1,OK,0.6818563,0.1866630,0.4220903,0.5675110,-24.138,-130.156,-1729.421,0.1690848,3,OK,-24.049,-130.287,-1729.461,OK,3.133,-219.776,-1726.493,OK,-63.214,-201.831,-1672.220,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1781904448,1733765607.468733069,1,OK,0.4356703,0.0074984,0.1555720,-0.8865283,158.789,159.637,-1737.536,0.5382881,3,OK,158.754,159.164,-1737.631,OK,250.523,211.833,-1747.584,OK,243.747,123.809,-1765.200,Port 0x03: BrainLAB Black Probe  s/n:38220401,1781904448,1733765607.468733069,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1781904451,1733765607.518733069,1,OK,0.6818620,0.1865336,0.4222665,0.5674156,-24.108,-130.160,-1729.458,0.1769615,3,OK,-24.009,-130.279,-1729.510,OK,3.165,-219.772,-1726.492,OK,-63.183,-201.826,-1672.206,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1781904451,1733765607.518733069,1,OK,0.4356877,0.0074375,0.1553815,-0.8865538,158.824,159.642,-1737.535,0.5489296,3,OK,158.787,159.158,-1737.631,OK,250.569,211.842,-1747.599,OK,243.776,123.808,-1765.177,Port 0x03: BrainLAB Black Probe  s/n:38220401,1781904451,1733765607.518733069,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1781904454,1733765607.568733069,1,OK,0.6818643,0.1869178,0.4220214,0.5674687,-24.091,-130.132,-1729.404,0.1734411,3,OK,-24.003,-130.265,-1729.442,OK,3.163,-219.764,-1726.524,OK,-63.188,-201.813,-1672.214,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1781904454,1733765607.568733069,1,OK,0.4357146,0.0073625,0.1551249,-0.8865860,158.838,159.661,-1737.528,0.5526667,3,OK,158.803,159.176,-1737.625,OK,250.582,211.853,-1747.613,OK,243.791,123.826,-1765.140,Port 0x03: BrainLAB Black Probe  s/n:38220401,1781904454,1733765607.568733069,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
