Tools,Port 0x01: BrainLAB Y Junction  s/n:38220010,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: BrainLAB Black Probe  s/n:38220401,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1781741560,1733762892.668741620,1,OK,0.6856701,0.1854850,0.4152632,0.5683382,-26.505,-131.252,-1729.468,0.1663973,3,OK,-26.416,-131.389,-1729.505,OK,0.288,-221.010,-1726.634,OK,-66.715,-203.046,-1673.227,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1781741560,1733762892.668741620,1,OK,0.4296072,0.0282940,0.1766122,-0.8851244,159.477,150.178,-1723.565,0.5457562,3,OK,159.453,149.706,-1723.692,OK,252.150,201.361,-1729.182,OK,244.326,114.592,-1751.806,Port 0x03: BrainLAB Black Probe  s/n:38220401,1781741560,1733762892.668741620,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1781741563,1733762892.718741620,1,OK,0.6856558,0.1852750,0.4154300,0.5683020,-26.479,-131.271,-1729.493,0.1703880,3,OK,-26.381,-131.398,-1729.542,OK,0.318,-221.014,-1726.605,OK,-66.671,-203.064,-1673.212,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1781741563,1733762892.718741620,1,OK,0.4296174,0.0283802,0.1764200,-0.8851551,159.483,150.184,-1723.583,0.5505800,3,OK,159.466,149.709,-1723.712,OK,252.162,201.364,-1729.184,OK,244.331,114.587,-1751.785,Port 0x03: BrainLAB Black Probe  s/n:38220401,1781741563,1733762892.718741620,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1781741566,1733762892.768741621,1,OK,0.6857044,0.1849135,0.4154453,0.5683500,-26.450,-131.276,-1729.493,0.1603823,3,OK,-26.353,-131.395,-1729.543,OK,0.354,-221.009,-1726.531,OK,-66.622,-203.060,-1673.213,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1781741566,1733762892.768741621,1,OK,0.4296293,0.0284516,0.1763448,-0.8851619,159.492,150.193,-1723.636,0.5465176,3,OK,159.487,149.721,-1723.767,OK,252.163,201.371,-1729.221,OK,244.342,114.588,-1751.820,Port 0x03: BrainLAB Black Probe  s/n:38220401,1781741566,1733762892.768741621,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1781741569,1733762892.818741620,1,OK,0.6856502,0.1846968,0.4156220,0.5683566,-26.425,-131.298,-1729.515,0.1675173,3,OK,-26.321,-131.419,-1729.570,OK,0.400,-221.012,-1726.508,OK,-66.571,-203.077,-1673.198,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1781741569,1733762892.818741620,1,OK,0.4296709,0.0283903,0.1760395,-0.8852045,159.482,150.207,-1723.639,0.5568703,3,OK,159.471,149.726,-1723.771,OK,252.165,201.389,-1729.242,OK,244.332,114.595,-1751.784,Port 0x03: BrainLAB Black Probe  s/n:38220401,1781741569,1733762892.818741620,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1781741572,1733762892.868741620,1,OK,0.6855118,0.1851509,0.4156735,0.5683381,-26.378,-131.292,-1729.468,0.1556889,3,OK,-26.287,-131.414,-1729.512,OK,0.447,-221.032,-1726.545,OK,-66.505,-203.077,-1673.167,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1781741572,1733762892.868741620,1,OK,0.4296409,0.0283390,0.1762878,-0.8851713,159.474,150.205,-1723.629,0.5491017,3,OK,159.457,149.730,-1723.758,OK,252.149,201.386,-1729.240,OK,244.325,114.602,-1751.818,Port 0x03: BrainLAB Black Probe  s/n:38220401,1781741572,1733762892.868741620,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1781741575,1733762892.918741620,1,OK,0.6854182,0.1852980,0.4157649,0.5683362,-26.338,-131.286,-1729.412,0.1630358,3,OK,-26.242,-131.405,-1729.461,OK,0.495,-221.023,-1726.516,OK,-66.455,-203.084,-1673.093,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1781741575,1733762892.918741620,1,OK,0.4296358,0.0281444,0.1760626,-0.8852248,159.485,150.232,-1723.641,0.5545694,3,OK,159.467,149.753,-1723.771,OK,252.165,201.407,-1729.298,OK,244.330,114.620,-1751.820,Port 0x03: BrainLAB Black Probe  s/n:38220401,1781741575,1733762892.918741620,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1781741578,1733762892.968741620,1,OK,0.6853856,0.1853846,0.4157341,0.5683699,-26.297,-131.296,-1729.429,0.1571641,3,OK,-26.207,-131.418,-1729.472,OK,0.539,-221.039,-1726.554,OK,-66.407,-203.096,-1673.127,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1781741578,1733762892.968741620,1,OK,0.4296378,0.0282523,0.1761777,-0.8851975,159.504,150.220,-1723.658,0.5534757,3,OK,159.491,149.742,-1723.789,OK,252.182,201.400,-1729.289,OK,244.348,114.612,-1751.840,Port 0x03: BrainLAB Black Probe  s/n:38220401,1781741578,1733762892.968741620,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1781741581,1733762893.018741621,1,OK,0.6853446,0.1851247,0.4160516,0.5682717,-26.333,-131.304,-1729.530,0.1718791,3,OK,-26.228,-131.418,-1729.589,OK,0.523,-221.026,-1726.591,OK,-66.425,-203.090,-1673.147,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1781741581,1733762893.018741621,1,OK,0.4296598,0.0283193,0.1760215,-0.8852157,159.493,150.245,-1723.691,0.5541321,3,OK,159.482,149.766,-1723.822,OK,252.174,201.429,-1729.308,OK,244.342,114.627,-1751.844,Port 0x03: BrainLAB Black Probe  s/n:38220401,1781741581,1733762893.018741621,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1781741584,1733762893.068741620,1,OK,0.6853847,0.1852150,0.4158703,0.5683266,-26.324,-131.303,-1729.473,0.1618903,3,OK,-26.227,-131.422,-1729.523,OK,0.515,-221.034,-1726.555,OK,-66.422,-203.096,-1673.139,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1781741584,1733762893.068741620,1,OK,0.4296204,0.0283760,0.1762560,-0.8851864,159.473,150.238,-1723.668,0.5480275,3,OK,159.460,149.764,-1723.798,OK,252.150,201.415,-1729.272,OK,244.323,114.626,-1751.849,Port 0x03: BrainLAB Black Probe  s/n:38220401,1781741584,1733762893.068741620,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1781741587,1733762893.118741620,1,OK,0.6853520,0.1852008,0.4158552,0.5683817,-26.292,-131.308,-1729.487,0.1603459,3,OK,-26.194,-131.423,-1729.539,OK,0.553,-221.036,-1726.568,OK,-66.379,-203.113,-1673.160,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1781741587,1733762893.118741620,1,OK,0.4296324,0.0282058,0.1759791,-0.8852411,159.483,150.242,-1723.667,0.5551259,3,OK,159.470,149.763,-1723.798,OK,252.166,201.420,-1729.311,OK,244.327,114.618,-1751.828,Port 0x03: BrainLAB Black Probe  s/n:38220401,1781741587,1733762893.118741620,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
