Tools,Port 0x01: BrainLAB Y Junction  s/n:38220010,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: BrainLAB Black Probe  s/n:38220401,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1781625088,1733760951.468727303,1,OK,0.6776045,0.1872474,0.4299821,0.5664856,-21.682,-129.629,-1728.487,0.1865752,3,OK,-21.578,-129.741,-1728.547,OK,6.170,-219.060,-1725.326,OK,-59.473,-201.122,-1670.132,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1781625088,1733760951.468727303,1,OK,0.4323193,-0.0550178,0.0162257,-0.8998943,157.094,187.010,-1791.182,0.4980704,3,OK,157.022,186.567,-1791.125,OK,248.985,233.845,-1815.674,OK,242.297,144.563,-1805.953,Port 0x03: BrainLAB Black Probe  s/n:38220401,1781625088,1733760951.468727303,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1781625091,1733760951.518727303,1,OK,0.6774551,0.1870538,0.4297964,0.5668691,-21.469,-129.646,-1728.382,0.1585389,3,OK,-21.382,-129.779,-1728.419,OK,6.420,-219.055,-1725.208,OK,-59.182,-201.170,-1670.121,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1781625091,1733760951.518727303,1,OK,0.4323741,-0.0545426,0.0168730,-0.8998850,157.095,186.938,-1790.981,0.4890658,3,OK,157.035,186.505,-1790.929,OK,248.976,233.800,-1815.367,OK,242.307,144.520,-1805.795,Port 0x03: BrainLAB Black Probe  s/n:38220401,1781625091,1733760951.518727303,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1781625094,1733760951.568727303,1,OK,0.6771362,0.1877149,0.4301333,0.5667760,-21.400,-129.645,-1728.350,0.1705458,3,OK,-21.309,-129.775,-1728.391,OK,6.500,-219.065,-1725.288,OK,-59.066,-201.191,-1670.047,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1781625094,1733760951.568727303,1,OK,0.4324318,-0.0544130,0.0167620,-0.8998672,157.063,186.921,-1790.916,0.4961735,3,OK,157.007,186.478,-1790.863,OK,248.955,233.807,-1815.278,OK,242.274,144.506,-1805.695,Port 0x03: BrainLAB Black Probe  s/n:38220401,1781625094,1733760951.568727303,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1781625097,1733760951.618727303,1,OK,0.6771203,0.1874015,0.4304360,0.5666689,-21.415,-129.665,-1728.388,0.1787303,3,OK,-21.317,-129.793,-1728.437,OK,6.508,-219.069,-1725.256,OK,-59.064,-201.180,-1670.010,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1781625097,1733760951.618727303,1,OK,0.4323665,-0.0537729,0.0172842,-0.8999272,157.047,186.890,-1790.908,0.4849452,3,OK,157.005,186.459,-1790.861,OK,248.947,233.774,-1815.131,OK,242.262,144.480,-1805.692,Port 0x03: BrainLAB Black Probe  s/n:38220401,1781625097,1733760951.618727303,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1781625100,1733760951.668727303,1,OK,0.6772385,0.1876276,0.4299451,0.5668255,-21.432,-129.632,-1728.338,0.1613903,3,OK,-21.349,-129.762,-1728.373,OK,6.461,-219.062,-1725.270,OK,-59.121,-201.174,-1670.069,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1781625100,1733760951.668727303,1,OK,0.4323979,-0.0541210,0.0168142,-0.8999001,157.061,186.898,-1790.873,0.4946655,3,OK,157.011,186.458,-1790.823,OK,248.964,233.778,-1815.174,OK,242.274,144.483,-1805.626,Port 0x03: BrainLAB Black Probe  s/n:38220401,1781625100,1733760951.668727303,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1781625103,1733760951.718727303,1,OK,0.6772983,0.1872091,0.4302135,0.5666887,-21.456,-129.652,-1728.425,0.1786048,3,OK,-21.355,-129.774,-1728.479,OK,6.447,-219.055,-1725.261,OK,-59.147,-201.169,-1670.070,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1781625103,1733760951.718727303,1,OK,0.4324129,-0.0540279,0.0167413,-0.8998999,157.076,186.890,-1790.893,0.4961216,3,OK,157.036,186.447,-1790.844,OK,248.980,233.774,-1815.174,OK,242.285,144.477,-1805.623,Port 0x03: BrainLAB Black Probe  s/n:38220401,1781625103,1733760951.718727303,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1781625106,1733760951.768727303,1,OK,0.6773200,0.1873673,0.4302145,0.5666098,-21.494,-129.643,-1728.422,0.1792347,3,OK,-21.396,-129.768,-1728.473,OK,6.396,-219.059,-1725.284,OK,-59.199,-201.151,-1670.066,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1781625106,1733760951.768727303,1,OK,0.4323846,-0.0543799,0.0175519,-0.8998768,157.070,186.884,-1790.816,0.4926021,3,OK,157.004,186.449,-1790.762,OK,248.952,233.773,-1815.166,OK,242.276,144.486,-1805.713,Port 0x03: BrainLAB Black Probe  s/n:38220401,1781625106,1733760951.768727303,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1781625109,1733760951.818727303,1,OK,0.6773461,0.1876635,0.4297584,0.5668266,-21.527,-129.621,-1728.351,0.1667772,3,OK,-21.446,-129.764,-1728.380,OK,6.352,-219.055,-1725.301,OK,-59.253,-201.158,-1670.109,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1781625109,1733760951.818727303,1,OK,0.4324031,-0.0542894,0.0172392,-0.8998794,157.024,186.886,-1790.811,0.4983361,3,OK,156.965,186.443,-1790.759,OK,248.917,233.779,-1815.146,OK,242.227,144.482,-1805.648,Port 0x03: BrainLAB Black Probe  s/n:38220401,1781625109,1733760951.818727303,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1781625112,1733760951.868727303,1,OK,0.6773969,0.1874803,0.4298204,0.5667795,-21.508,-129.626,-1728.398,0.1642299,3,OK,-21.429,-129.768,-1728.426,OK,6.375,-219.059,-1725.308,OK,-59.237,-201.143,-1670.137,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1781625112,1733760951.868727303,1,OK,0.4324248,-0.0540599,0.0172261,-0.8998831,157.052,186.877,-1790.842,0.4982104,3,OK,157.004,186.433,-1790.792,OK,248.950,233.774,-1815.127,OK,242.259,144.481,-1805.649,Port 0x03: BrainLAB Black Probe  s/n:38220401,1781625112,1733760951.868727303,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1781625115,1733760951.918727303,1,OK,0.6776361,0.1867213,0.4296967,0.5668379,-21.537,-129.633,-1728.518,0.1618093,3,OK,-21.441,-129.755,-1728.568,OK,6.335,-219.033,-1725.276,OK,-59.283,-201.151,-1670.250,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1781625115,1733760951.918727303,1,OK,0.4324365,-0.0540920,0.0175128,-0.8998700,157.085,186.878,-1790.824,0.4956114,3,OK,157.025,186.439,-1790.772,OK,248.975,233.781,-1815.115,OK,242.297,144.493,-1805.681,Port 0x03: BrainLAB Black Probe  s/n:38220401,1781625115,1733760951.918727303,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
