Tools,Port 0x01: BrainLAB Y Junction  s/n:38220010,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: BrainLAB Black Probe  s/n:38220401,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1781650837,1733761380.618740678,1,OK,0.6760901,0.1881658,0.4274262,0.5699147,-21.622,-130.196,-1728.630,0.1677509,3,OK,-21.532,-130.327,-1728.671,OK,6.627,-219.524,-1726.076,OK,-59.194,-202.285,-1670.947,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1781650837,1733761380.618740678,1,OK,0.4592951,-0.0124102,0.0884183,-0.8837852,146.869,181.908,-1759.936,0.4956575,3,OK,146.830,181.461,-1759.958,OK,236.299,236.925,-1774.504,OK,234.365,147.054,-1780.154,Port 0x03: BrainLAB Black Probe  s/n:38220401,1781650837,1733761380.618740678,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1781650840,1733761380.668740678,1,OK,0.6759819,0.1885352,0.4274317,0.5699168,-21.625,-130.171,-1728.594,0.1696762,3,OK,-21.543,-130.306,-1728.627,OK,6.624,-219.514,-1726.115,OK,-59.191,-202.271,-1670.925,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1781650840,1733761380.668740678,1,OK,0.4592837,-0.0124994,0.0885075,-0.8837809,146.861,181.919,-1759.891,0.4944583,3,OK,146.820,181.473,-1759.913,OK,236.287,236.932,-1774.477,OK,234.355,147.068,-1780.134,Port 0x03: BrainLAB Black Probe  s/n:38220401,1781650840,1733761380.668740678,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1781650843,1733761380.718740678,1,OK,0.6759770,0.1882043,0.4276416,0.5698744,-21.643,-130.196,-1728.633,0.1743118,3,OK,-21.548,-130.319,-1728.682,OK,6.621,-219.518,-1726.078,OK,-59.191,-202.288,-1670.907,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1781650843,1733761380.718740678,1,OK,0.4592899,-0.0125351,0.0884489,-0.8837830,146.853,181.907,-1759.911,0.5004475,3,OK,146.806,181.454,-1759.932,OK,236.287,236.929,-1774.507,OK,234.344,147.053,-1780.149,Port 0x03: BrainLAB Black Probe  s/n:38220401,1781650843,1733761380.718740678,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1781650846,1733761380.768740678,1,OK,0.6760310,0.1880875,0.4274625,0.5699834,-21.586,-130.196,-1728.626,0.1635849,3,OK,-21.497,-130.322,-1728.667,OK,6.679,-219.517,-1726.059,OK,-59.136,-202.293,-1670.942,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1781650846,1733761380.768740678,1,OK,0.4592576,-0.0124096,0.0886296,-0.8837835,146.859,181.911,-1759.910,0.4961689,3,OK,146.815,181.463,-1759.932,OK,236.293,236.926,-1774.477,OK,234.351,147.059,-1780.160,Port 0x03: BrainLAB Black Probe  s/n:38220401,1781650846,1733761380.768740678,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1781650849,1733761380.818740678,1,OK,0.6758333,0.1884180,0.4276650,0.5699567,-21.524,-130.196,-1728.559,0.1703707,3,OK,-21.435,-130.325,-1728.599,OK,6.754,-219.521,-1726.051,OK,-59.040,-202.303,-1670.853,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1781650849,1733761380.818740678,1,OK,0.4592793,-0.0124597,0.0887436,-0.8837601,146.871,181.900,-1759.884,0.4945670,3,OK,146.819,181.454,-1759.904,OK,236.300,236.922,-1774.459,OK,234.369,147.058,-1780.157,Port 0x03: BrainLAB Black Probe  s/n:38220401,1781650849,1733761380.818740678,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1781650852,1733761380.868740678,1,OK,0.6758486,0.1877860,0.4278888,0.5699792,-21.485,-130.225,-1728.598,0.1701442,3,OK,-21.382,-130.343,-1728.655,OK,6.810,-219.509,-1725.951,OK,-58.956,-202.323,-1670.843,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1781650852,1733761380.868740678,1,OK,0.4592661,-0.0125013,0.0885160,-0.8837892,146.860,181.908,-1759.879,0.4942444,3,OK,146.815,181.462,-1759.900,OK,236.290,236.920,-1774.466,OK,234.355,147.052,-1780.124,Port 0x03: BrainLAB Black Probe  s/n:38220401,1781650852,1733761380.868740678,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1781650855,1733761380.918740678,1,OK,0.6756174,0.1882298,0.4279607,0.5700529,-21.411,-130.231,-1728.578,0.1647854,3,OK,-21.321,-130.356,-1728.621,OK,6.912,-219.534,-1726.030,OK,-58.850,-202.345,-1670.838,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1781650855,1733761380.918740678,1,OK,0.4592488,-0.0122718,0.0887405,-0.8837788,146.872,181.893,-1759.907,0.4923145,3,OK,146.831,181.449,-1759.929,OK,236.305,236.906,-1774.442,OK,234.368,147.043,-1780.156,Port 0x03: BrainLAB Black Probe  s/n:38220401,1781650855,1733761380.918740678,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1781650858,1733761380.968740678,1,OK,0.6755660,0.1882984,0.4278878,0.5701458,-21.333,-130.216,-1728.550,0.1518758,3,OK,-21.248,-130.335,-1728.590,OK,6.989,-219.524,-1726.015,OK,-58.751,-202.349,-1670.844,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1781650858,1733761380.968740678,1,OK,0.4592575,-0.0118980,0.0885254,-0.8838010,146.873,181.902,-1759.982,0.4919757,3,OK,146.846,181.459,-1760.006,OK,236.316,236.908,-1774.441,OK,234.377,147.046,-1780.152,Port 0x03: BrainLAB Black Probe  s/n:38220401,1781650858,1733761380.968740678,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1781650861,1733761381.018740678,1,OK,0.6754828,0.1883283,0.4281574,0.5700322,-21.290,-130.237,-1728.528,0.1674894,3,OK,-21.195,-130.359,-1728.577,OK,7.039,-219.531,-1725.985,OK,-58.690,-202.360,-1670.763,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1781650861,1733761381.018740678,1,OK,0.4592371,-0.0123718,0.0883913,-0.8838186,146.897,181.898,-1759.913,0.4962233,3,OK,146.859,181.450,-1759.936,OK,236.337,236.903,-1774.475,OK,234.390,147.031,-1780.124,Port 0x03: BrainLAB Black Probe  s/n:38220401,1781650861,1733761381.018740678,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1781650864,1733761381.068740678,1,OK,0.6754099,0.1885379,0.4282218,0.5700009,-21.301,-130.233,-1728.554,0.1705331,3,OK,-21.211,-130.362,-1728.595,OK,7.036,-219.536,-1726.055,OK,-58.698,-202.350,-1670.783,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1781650864,1733761381.068740678,1,OK,0.4592577,-0.0124600,0.0883750,-0.8838082,146.878,181.899,-1759.919,0.5004498,3,OK,146.838,181.446,-1759.941,OK,236.319,236.919,-1774.500,OK,234.366,147.030,-1780.137,Port 0x03: BrainLAB Black Probe  s/n:38220401,1781650864,1733761381.068740678,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
