Tools,Port 0x01: BrainLAB Y Junction  s/n:38220010,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: BrainLAB Black Probe  s/n:38220401,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1780871599,1733748393.318768708,1,OK,0.6816709,0.1869425,0.4155572,0.5724417,-25.368,-132.421,-1729.356,0.1398529,3,OK,-25.296,-132.558,-1729.380,OK,2.205,-221.956,-1727.177,OK,-64.649,-204.935,-1673.489,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1780871599,1733748393.318768708,1,OK,0.6116274,0.2488953,0.2154111,-0.7194172,129.000,94.986,-1756.918,0.5536242,3,OK,129.111,94.590,-1757.155,OK,185.915,169.815,-1708.039,OK,224.828,99.993,-1748.866,Port 0x03: BrainLAB Black Probe  s/n:38220401,1780871599,1733748393.318768708,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1780871602,1733748393.368768715,1,OK,0.6816075,0.1869478,0.4159901,0.5722010,-25.374,-132.413,-1729.391,0.1555502,3,OK,-25.286,-132.544,-1729.430,OK,2.202,-221.937,-1727.184,OK,-64.647,-204.904,-1673.417,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1780871602,1733748393.368768715,1,OK,0.6115838,0.2485865,0.2164458,-0.7192505,129.001,94.987,-1756.912,0.5360794,3,OK,129.120,94.599,-1757.145,OK,185.914,169.827,-1708.023,OK,224.854,100.029,-1749.030,Port 0x03: BrainLAB Black Probe  s/n:38220401,1780871602,1733748393.368768715,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1780871605,1733748393.418768715,1,OK,0.6816596,0.1867614,0.4158670,0.5722893,-25.418,-132.433,-1729.419,0.1499884,3,OK,-25.332,-132.560,-1729.457,OK,2.168,-221.956,-1727.189,OK,-64.697,-204.926,-1673.466,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1780871605,1733748393.418768715,1,OK,0.6116455,0.2488195,0.2157405,-0.7193293,128.998,94.972,-1756.916,0.5490381,3,OK,129.108,94.577,-1757.153,OK,185.906,169.810,-1708.027,OK,224.834,99.998,-1748.911,Port 0x03: BrainLAB Black Probe  s/n:38220401,1780871605,1733748393.418768715,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1780871608,1733748393.468768708,1,OK,0.6816641,0.1868612,0.4160065,0.5721500,-25.469,-132.416,-1729.445,0.1566413,3,OK,-25.376,-132.540,-1729.489,OK,2.103,-221.941,-1727.218,OK,-64.756,-204.900,-1673.455,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1780871608,1733748393.468768708,1,OK,0.6116233,0.2488986,0.2155009,-0.7193926,128.971,94.988,-1756.899,0.5605364,3,OK,129.086,94.588,-1757.139,OK,185.891,169.816,-1708.014,OK,224.790,100.003,-1748.854,Port 0x03: BrainLAB Black Probe  s/n:38220401,1780871608,1733748393.468768708,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1780871611,1733748393.518768708,1,OK,0.6816481,0.1866891,0.4160084,0.5722238,-25.445,-132.432,-1729.416,0.1584752,3,OK,-25.349,-132.551,-1729.465,OK,2.142,-221.946,-1727.162,OK,-64.721,-204.925,-1673.423,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1780871611,1733748393.518768708,1,OK,0.6115877,0.2489220,0.2158517,-0.7193096,128.997,94.970,-1756.891,0.5514510,3,OK,129.108,94.572,-1757.130,OK,185.910,169.792,-1707.976,OK,224.831,99.989,-1748.885,Port 0x03: BrainLAB Black Probe  s/n:38220401,1780871611,1733748393.518768708,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1780871614,1733748393.568768708,1,OK,0.6816290,0.1868392,0.4161001,0.5721309,-25.423,-132.416,-1729.426,0.1613687,3,OK,-25.325,-132.532,-1729.478,OK,2.161,-221.940,-1727.195,OK,-64.709,-204.903,-1673.408,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1780871614,1733748393.568768708,1,OK,0.6115703,0.2488223,0.2160076,-0.7193121,129.009,94.978,-1756.906,0.5420663,3,OK,129.115,94.583,-1757.144,OK,185.924,169.808,-1707.998,OK,224.859,99.994,-1748.939,Port 0x03: BrainLAB Black Probe  s/n:38220401,1780871614,1733748393.568768708,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1780871617,1733748393.618768715,1,OK,0.6816576,0.1869648,0.4158696,0.5722233,-25.438,-132.414,-1729.440,0.1558372,3,OK,-25.351,-132.548,-1729.478,OK,2.134,-221.941,-1727.246,OK,-64.731,-204.907,-1673.486,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1780871617,1733748393.618768715,1,OK,0.6116041,0.2486870,0.2159672,-0.7193423,128.994,94.966,-1756.870,0.5458114,3,OK,129.113,94.574,-1757.105,OK,185.912,169.804,-1707.994,OK,224.832,99.992,-1748.917,Port 0x03: BrainLAB Black Probe  s/n:38220401,1780871617,1733748393.618768715,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1780871620,1733748393.668768715,1,OK,0.6816929,0.1870623,0.4157079,0.5722669,-25.458,-132.404,-1729.377,0.1524576,3,OK,-25.375,-132.542,-1729.409,OK,2.105,-221.939,-1727.209,OK,-64.764,-204.904,-1673.458,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1780871620,1733748393.668768715,1,OK,0.6115954,0.2487935,0.2158894,-0.7193362,128.976,94.970,-1756.872,0.5462674,3,OK,129.086,94.576,-1757.109,OK,185.892,169.801,-1707.980,OK,224.817,99.992,-1748.892,Port 0x03: BrainLAB Black Probe  s/n:38220401,1780871620,1733748393.668768715,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1780871623,1733748393.718768708,1,OK,0.6817980,0.1867977,0.4155232,0.5723622,-25.463,-132.404,-1729.420,0.1413658,3,OK,-25.383,-132.528,-1729.453,OK,2.093,-221.940,-1727.206,OK,-64.775,-204.911,-1673.536,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1780871623,1733748393.718768708,1,OK,0.6115784,0.2490552,0.2157628,-0.7192981,128.984,94.970,-1756.881,0.5546341,3,OK,129.095,94.568,-1757.122,OK,185.892,169.789,-1707.943,OK,224.813,99.977,-1748.848,Port 0x03: BrainLAB Black Probe  s/n:38220401,1780871623,1733748393.718768708,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1780871626,1733748393.768768708,1,OK,0.6817181,0.1867983,0.4159848,0.5721219,-25.458,-132.392,-1729.413,0.1604402,3,OK,-25.363,-132.517,-1729.460,OK,2.109,-221.916,-1727.175,OK,-64.761,-204.871,-1673.417,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1780871626,1733748393.768768708,1,OK,0.6115421,0.2488683,0.2160538,-0.7193063,129.014,94.979,-1756.885,0.5440252,3,OK,129.124,94.585,-1757.122,OK,185.933,169.795,-1707.970,OK,224.859,99.994,-1748.915,Port 0x03: BrainLAB Black Probe  s/n:38220401,1780871626,1733748393.768768708,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
