Tools,Port 0x01: BrainLAB Y Junction  s/n:38220010,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: BrainLAB Black Probe  s/n:38220401,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1781360497,1733756541.618707763,1,OK,0.6831844,0.1861253,0.4200837,0.5675791,-25.133,-131.114,-1728.722,0.1930807,3,OK,-25.028,-131.241,-1728.777,OK,1.984,-220.773,-1725.785,OK,-64.617,-202.801,-1671.746,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1781360497,1733756541.618707763,1,OK,0.4279767,-0.0624145,0.0018177,-0.9016303,158.453,186.431,-1793.836,0.4895484,3,OK,158.387,186.002,-1793.768,OK,250.652,231.724,-1819.910,OK,243.330,142.894,-1807.265,Port 0x03: BrainLAB Black Probe  s/n:38220401,1781360497,1733756541.618707763,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1781360500,1733756541.668707763,1,OK,0.6834342,0.1854456,0.4198523,0.5676721,-25.171,-131.109,-1728.724,0.1784217,3,OK,-25.065,-131.231,-1728.781,OK,1.937,-220.749,-1725.661,OK,-64.674,-202.782,-1671.777,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1781360500,1733756541.668707763,1,OK,0.4279761,-0.0623676,0.0017779,-0.9016339,158.440,186.442,-1793.853,0.4892407,3,OK,158.383,186.014,-1793.787,OK,250.636,231.727,-1819.915,OK,243.315,142.911,-1807.271,Port 0x03: BrainLAB Black Probe  s/n:38220401,1781360500,1733756541.668707763,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1781360503,1733756541.718707763,1,OK,0.6834666,0.1859667,0.4192632,0.5678980,-25.178,-131.097,-1728.614,0.1588247,3,OK,-25.098,-131.238,-1728.643,OK,1.903,-220.770,-1725.685,OK,-64.711,-202.805,-1671.818,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1781360503,1733756541.718707763,1,OK,0.4279877,-0.0625136,0.0016388,-0.9016185,158.445,186.424,-1793.840,0.4903868,3,OK,158.386,185.993,-1793.773,OK,250.638,231.711,-1819.934,OK,243.319,142.887,-1807.253,Port 0x03: BrainLAB Black Probe  s/n:38220401,1781360503,1733756541.718707763,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1781360506,1733756541.768707763,1,OK,0.6834640,0.1859809,0.4193141,0.5678590,-25.185,-131.075,-1728.608,0.1618091,3,OK,-25.104,-131.215,-1728.638,OK,1.900,-220.750,-1725.681,OK,-64.723,-202.777,-1671.796,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1781360506,1733756541.768707763,1,OK,0.4279617,-0.0625074,0.0016675,-0.9016312,158.436,186.442,-1793.843,0.4939110,3,OK,158.371,186.009,-1793.775,OK,250.638,231.723,-1819.937,OK,243.309,142.904,-1807.260,Port 0x03: BrainLAB Black Probe  s/n:38220401,1781360506,1733756541.768707763,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1781360509,1733756541.818707762,1,OK,0.6836296,0.1853877,0.4192341,0.5679127,-25.219,-131.089,-1728.663,0.1630683,3,OK,-25.128,-131.227,-1728.702,OK,1.868,-220.737,-1725.626,OK,-64.768,-202.783,-1671.846,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1781360509,1733756541.818707762,1,OK,0.4279604,-0.0624393,0.0021432,-0.9016355,158.441,186.425,-1793.822,0.4879712,3,OK,158.375,186.000,-1793.755,OK,250.631,231.712,-1819.897,OK,243.316,142.899,-1807.305,Port 0x03: BrainLAB Black Probe  s/n:38220401,1781360509,1733756541.818707762,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1781360512,1733756541.868707763,1,OK,0.6836028,0.1857798,0.4192369,0.5678146,-25.238,-131.065,-1728.638,0.1693364,3,OK,-25.148,-131.201,-1728.677,OK,1.838,-220.736,-1725.677,OK,-64.815,-202.760,-1671.813,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1781360512,1733756541.868707763,1,OK,0.4279756,-0.0623064,0.0018506,-0.9016382,158.441,186.438,-1793.853,0.4826036,3,OK,158.380,186.015,-1793.787,OK,250.636,231.727,-1819.901,OK,243.324,142.901,-1807.275,Port 0x03: BrainLAB Black Probe  s/n:38220401,1781360512,1733756541.868707763,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1781360515,1733756541.918707763,1,OK,0.6837293,0.1854691,0.4192926,0.5677227,-25.330,-131.066,-1728.704,0.1730742,3,OK,-25.232,-131.190,-1728.753,OK,1.744,-220.733,-1725.677,OK,-64.930,-202.740,-1671.840,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1781360515,1733756541.918707763,1,OK,0.4279422,-0.0624242,0.0018240,-0.9016459,158.457,186.434,-1793.857,0.4911635,3,OK,158.390,186.003,-1793.789,OK,250.662,231.723,-1819.934,OK,243.329,142.889,-1807.287,Port 0x03: BrainLAB Black Probe  s/n:38220401,1781360515,1733756541.918707763,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1781360518,1733756541.968707763,1,OK,0.6841492,0.1852543,0.4186493,0.5677618,-25.512,-131.035,-1728.772,0.1640217,3,OK,-25.421,-131.168,-1728.813,OK,1.499,-220.712,-1725.721,OK,-65.211,-202.701,-1672.010,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1781360518,1733756541.968707763,1,OK,0.4279299,-0.0625472,0.0015655,-0.9016437,158.439,186.434,-1793.842,0.4956338,3,OK,158.368,185.997,-1793.771,OK,250.651,231.716,-1819.947,OK,243.308,142.880,-1807.246,Port 0x03: BrainLAB Black Probe  s/n:38220401,1781360518,1733756541.968707763,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1781360521,1733756542.018707763,1,OK,0.6842571,0.1850307,0.4187160,0.5676555,-25.689,-131.031,-1728.858,0.1718298,3,OK,-25.592,-131.157,-1728.906,OK,1.326,-220.708,-1725.763,OK,-65.420,-202.673,-1672.052,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1781360521,1733756542.018707763,1,OK,0.4279331,-0.0621939,0.0015651,-0.9016666,158.429,186.419,-1793.906,0.4866336,3,OK,158.368,185.992,-1793.840,OK,250.644,231.698,-1819.934,OK,243.310,142.869,-1807.271,Port 0x03: BrainLAB Black Probe  s/n:38220401,1781360521,1733756542.018707763,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1781360524,1733756542.068707762,1,OK,0.6845683,0.1852573,0.4180420,0.5677031,-25.771,-130.990,-1728.773,0.1544027,3,OK,-25.693,-131.125,-1728.801,OK,1.181,-220.707,-1725.742,OK,-65.592,-202.634,-1672.098,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1781360524,1733756542.068707762,1,OK,0.4278265,-0.0620834,0.0011476,-0.9017254,158.432,186.413,-1793.882,0.4836523,3,OK,158.382,185.986,-1793.818,OK,250.664,231.665,-1819.889,OK,243.306,142.829,-1807.167,Port 0x03: BrainLAB Black Probe  s/n:38220401,1781360524,1733756542.068707762,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
