Tools,Port 0x01: BrainLAB Y Junction  s/n:38220010,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: BrainLAB Black Probe  s/n:38220401,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1730320756,1732905879.268433279,1,OK,0.7275486,-0.0869941,0.3244236,-0.5982093,-44.310,148.117,-1566.268,0.2682936,3,OK,-44.310,148.461,-1566.192,OK,-81.704,214.858,-1511.957,OK,-21.793,244.909,-1568.413,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1730320756,1732905879.268433279,1,OK,0.9172582,0.2712647,0.0441752,-0.2882733,192.084,-152.285,-1757.062,0.4231076,3,OK,192.342,-152.174,-1756.962,OK,138.313,-67.286,-1724.810,OK,226.863,-74.137,-1712.696,Port 0x03: BrainLAB Black Probe  s/n:38220401,1730320756,1732905879.268433279,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1730320759,1732905879.318433279,1,OK,0.7274506,-0.0869594,0.3247884,-0.5981356,-44.297,148.125,-1566.270,0.2679583,3,OK,-44.286,148.460,-1566.206,OK,-81.672,214.852,-1511.880,OK,-21.761,244.916,-1568.387,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1730320759,1732905879.318433279,1,OK,0.9171647,0.2716235,0.0441231,-0.2882408,192.086,-152.257,-1757.111,0.4105610,3,OK,192.342,-152.168,-1757.022,OK,138.298,-67.270,-1724.817,OK,226.867,-74.128,-1712.673,Port 0x03: BrainLAB Black Probe  s/n:38220401,1730320759,1732905879.318433279,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1730320762,1732905879.368433279,1,OK,0.7275061,-0.0870698,0.3246682,-0.5981173,-44.265,148.119,-1566.242,0.2685611,3,OK,-44.262,148.458,-1566.169,OK,-81.646,214.844,-1511.888,OK,-21.749,244.919,-1568.382,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1730320762,1732905879.368433279,1,OK,0.9171580,0.2715672,0.0441721,-0.2883076,192.089,-152.269,-1757.090,0.4193094,3,OK,192.347,-152.178,-1757.000,OK,138.327,-67.273,-1724.791,OK,226.871,-74.140,-1712.666,Port 0x03: BrainLAB Black Probe  s/n:38220401,1730320762,1732905879.368433279,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1730320765,1732905879.418433279,1,OK,0.7274747,-0.0869331,0.3247336,-0.5981398,-44.289,148.130,-1566.288,0.2625938,3,OK,-44.282,148.464,-1566.221,OK,-81.660,214.858,-1511.918,OK,-21.764,244.922,-1568.396,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1730320765,1732905879.418433279,1,OK,0.9172099,0.2713321,0.0442828,-0.2883470,192.063,-152.273,-1757.039,0.4256820,3,OK,192.328,-152.166,-1756.940,OK,138.298,-67.266,-1724.757,OK,226.860,-74.144,-1712.667,Port 0x03: BrainLAB Black Probe  s/n:38220401,1730320765,1732905879.418433279,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1730320768,1732905879.468433279,1,OK,0.7275239,-0.0867941,0.3246380,-0.5981521,-44.330,148.129,-1566.304,0.2656547,3,OK,-44.323,148.469,-1566.235,OK,-81.715,214.853,-1511.944,OK,-21.804,244.915,-1568.394,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1730320768,1732905879.468433279,1,OK,0.9171570,0.2716275,0.0439597,-0.2882865,192.079,-152.269,-1757.119,0.4178753,3,OK,192.334,-152.172,-1757.026,OK,138.309,-67.273,-1724.847,OK,226.850,-74.145,-1712.681,Port 0x03: BrainLAB Black Probe  s/n:38220401,1730320768,1732905879.468433279,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1730320771,1732905879.518433279,1,OK,0.7275981,-0.0870394,0.3243675,-0.5981729,-44.314,148.110,-1566.222,0.2702604,3,OK,-44.316,148.456,-1566.142,OK,-81.720,214.845,-1511.922,OK,-21.807,244.910,-1568.378,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1730320771,1732905879.518433279,1,OK,0.9171276,0.2717719,0.0439926,-0.2882390,192.096,-152.254,-1757.134,0.4140218,3,OK,192.352,-152.168,-1757.047,OK,138.314,-67.267,-1724.837,OK,226.863,-74.136,-1712.668,Port 0x03: BrainLAB Black Probe  s/n:38220401,1730320771,1732905879.518433279,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1730320774,1732905879.568433279,1,OK,0.7276179,-0.0867958,0.3243361,-0.5982013,-44.310,148.123,-1566.257,0.2623424,3,OK,-44.307,148.465,-1566.184,OK,-81.714,214.863,-1511.956,OK,-21.801,244.909,-1568.362,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1730320774,1732905879.568433279,1,OK,0.9171472,0.2716206,0.0441046,-0.2883019,192.080,-152.258,-1757.113,0.4146615,3,OK,192.335,-152.167,-1757.024,OK,138.313,-67.265,-1724.819,OK,226.864,-74.132,-1712.677,Port 0x03: BrainLAB Black Probe  s/n:38220401,1730320774,1732905879.568433279,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1730320777,1732905879.618433279,1,OK,0.7275700,-0.0869632,0.3244636,-0.5981661,-44.335,148.108,-1566.274,0.2669957,3,OK,-44.331,148.449,-1566.202,OK,-81.736,214.843,-1511.949,OK,-21.821,244.903,-1568.409,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1730320777,1732905879.618433279,1,OK,0.9172059,0.2715314,0.0435789,-0.2882793,192.078,-152.283,-1757.103,0.4109742,3,OK,192.320,-152.170,-1757.005,OK,138.306,-67.283,-1724.909,OK,226.841,-74.143,-1712.672,Port 0x03: BrainLAB Black Probe  s/n:38220401,1730320777,1732905879.618433279,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1730320780,1732905879.668433279,1,OK,0.7275751,-0.0867330,0.3245050,-0.5981709,-44.349,148.127,-1566.332,0.2562119,3,OK,-44.342,148.459,-1566.266,OK,-81.743,214.863,-1511.996,OK,-21.833,244.913,-1568.413,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1730320780,1732905879.668433279,1,OK,0.9172100,0.2714969,0.0436152,-0.2882933,192.079,-152.268,-1757.112,0.4181878,3,OK,192.332,-152.153,-1757.011,OK,138.303,-67.258,-1724.915,OK,226.843,-74.137,-1712.695,Port 0x03: BrainLAB Black Probe  s/n:38220401,1730320780,1732905879.668433279,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1730320783,1732905879.718433279,1,OK,0.7275528,-0.0869876,0.3245861,-0.5981170,-44.323,148.113,-1566.324,0.2688554,3,OK,-44.316,148.452,-1566.256,OK,-81.724,214.842,-1511.971,OK,-21.809,244.908,-1568.456,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1730320783,1732905879.718433279,1,OK,0.9171597,0.2715707,0.0440102,-0.2883238,192.092,-152.268,-1757.137,0.4162148,3,OK,192.345,-152.155,-1757.038,OK,138.326,-67.276,-1724.869,OK,226.880,-74.149,-1712.713,Port 0x03: BrainLAB Black Probe  s/n:38220401,1730320783,1732905879.718433279,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1730320786,1732905879.768433279,1,OK,0.7276678,-0.0869873,0.3242286,-0.5981710,-44.315,148.114,-1566.311,0.2693790,3,OK,-44.318,148.461,-1566.230,OK,-81.738,214.852,-1512.031,OK,-21.819,244.913,-1568.463,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1730320786,1732905879.768433279,1,OK,0.9171378,0.2716834,0.0439622,-0.2882947,192.088,-152.261,-1757.155,0.4157401,3,OK,192.340,-152.151,-1757.057,OK,138.317,-67.275,-1724.879,OK,226.867,-74.148,-1712.709,Port 0x03: BrainLAB Black Probe  s/n:38220401,1730320786,1732905879.768433279,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1730320789,1732905879.818433279,1,OK,0.7276114,-0.0867908,0.3244247,-0.5981619,-44.354,148.118,-1566.317,0.2632141,3,OK,-44.350,148.455,-1566.245,OK,-81.763,214.847,-1511.993,OK,-21.839,244.912,-1568.421,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1730320789,1732905879.818433279,1,OK,0.9170995,0.2718564,0.0439172,-0.2882602,192.061,-152.254,-1757.200,0.4149137,3,OK,192.317,-152.155,-1757.107,OK,138.281,-67.271,-1724.905,OK,226.831,-74.151,-1712.721,Port 0x03: BrainLAB Black Probe  s/n:38220401,1730320789,1732905879.818433279,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
