Tools,Port 0x01: BrainLAB Y Junction  s/n:38220010,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: BrainLAB Black Probe  s/n:38220401,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1728463519,1732874925.318440718,1,OK,0.7155320,-0.0969169,0.3381743,-0.6035388,-36.635,148.632,-1566.360,0.2821088,3,OK,-36.610,148.965,-1566.306,OK,-70.734,216.219,-1510.847,OK,-12.444,244.998,-1569.787,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1728463519,1732874925.318440718,1,OK,0.9330257,0.2179144,0.0399245,-0.2835178,195.999,-156.811,-1742.201,0.4311863,3,OK,196.229,-156.724,-1742.137,OK,141.092,-69.873,-1718.249,OK,229.853,-73.607,-1707.236,Port 0x03: BrainLAB Black Probe  s/n:38220401,1728463519,1732874925.318440718,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1728463522,1732874925.368440718,1,OK,0.7153286,-0.0971869,0.3383340,-0.6036471,-36.585,148.661,-1566.355,0.2869756,3,OK,-36.565,149.000,-1566.294,OK,-70.630,216.264,-1510.841,OK,-12.369,245.023,-1569.831,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1728463522,1732874925.368440718,1,OK,0.9330643,0.2176111,0.0399508,-0.2836201,195.922,-156.833,-1742.177,0.4394452,3,OK,196.157,-156.738,-1742.110,OK,141.038,-69.874,-1718.260,OK,229.789,-73.623,-1707.274,Port 0x03: BrainLAB Black Probe  s/n:38220401,1728463522,1732874925.368440718,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1728463525,1732874925.418440718,1,OK,0.7152510,-0.0969769,0.3384258,-0.6037213,-36.505,148.651,-1566.318,0.2759793,3,OK,-36.481,148.984,-1566.263,OK,-70.520,216.261,-1510.793,OK,-12.268,244.999,-1569.746,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1728463525,1732874925.418440718,1,OK,0.9331152,0.2174680,0.0394350,-0.2836347,195.940,-156.884,-1742.091,0.4335337,3,OK,196.168,-156.783,-1742.022,OK,141.052,-69.909,-1718.276,OK,229.801,-73.659,-1707.205,Port 0x03: BrainLAB Black Probe  s/n:38220401,1728463525,1732874925.418440718,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1728463528,1732874925.468440718,1,OK,0.7151019,-0.0973390,0.3385801,-0.6037532,-36.412,148.671,-1566.294,0.2867709,3,OK,-36.388,149.009,-1566.237,OK,-70.397,216.294,-1510.756,OK,-12.164,245.020,-1569.790,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1728463528,1732874925.468440718,1,OK,0.9330796,0.2174201,0.0396588,-0.2837572,195.946,-156.897,-1742.110,0.4375738,3,OK,196.181,-156.796,-1742.041,OK,141.079,-69.907,-1718.263,OK,229.834,-73.684,-1707.240,Port 0x03: BrainLAB Black Probe  s/n:38220401,1728463528,1732874925.468440718,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1728463531,1732874925.518440718,1,OK,0.7150561,-0.0975157,0.3386413,-0.6037445,-36.375,148.660,-1566.248,0.2939353,3,OK,-36.355,149.004,-1566.185,OK,-70.350,216.280,-1510.709,OK,-12.126,245.017,-1569.778,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1728463531,1732874925.518440718,1,OK,0.9331935,0.2169448,0.0394406,-0.2837767,195.933,-156.936,-1742.039,0.4395896,3,OK,196.163,-156.810,-1741.962,OK,141.067,-69.933,-1718.296,OK,229.820,-73.698,-1707.256,Port 0x03: BrainLAB Black Probe  s/n:38220401,1728463531,1732874925.518440718,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1728463534,1732874925.568440718,1,OK,0.7150593,-0.0972669,0.3385510,-0.6038315,-36.383,148.680,-1566.245,0.2783877,3,OK,-36.365,149.018,-1566.181,OK,-70.343,216.306,-1510.732,OK,-12.124,245.027,-1569.726,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1728463534,1732874925.568440718,1,OK,0.9331125,0.2172361,0.0398537,-0.2837626,195.866,-156.918,-1742.097,0.4359596,3,OK,196.100,-156.812,-1742.026,OK,140.998,-69.931,-1718.247,OK,229.765,-73.695,-1707.264,Port 0x03: BrainLAB Black Probe  s/n:38220401,1728463534,1732874925.568440718,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1728463537,1732874925.618440718,1,OK,0.7150056,-0.0972859,0.3387393,-0.6037865,-36.362,148.673,-1566.273,0.2846256,3,OK,-36.339,149.012,-1566.214,OK,-70.313,216.290,-1510.720,OK,-12.096,245.017,-1569.748,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1728463537,1732874925.618440718,1,OK,0.9331474,0.2171756,0.0395074,-0.2837427,195.888,-156.944,-1742.081,0.4303715,3,OK,196.118,-156.836,-1742.009,OK,141.010,-69.949,-1718.295,OK,229.780,-73.711,-1707.251,Port 0x03: BrainLAB Black Probe  s/n:38220401,1728463537,1732874925.618440718,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1728463540,1732874925.668440718,1,OK,0.7148675,-0.0974902,0.3389994,-0.6037710,-36.255,148.689,-1566.237,0.2957891,3,OK,-36.227,149.030,-1566.183,OK,-70.181,216.306,-1510.639,OK,-11.973,245.031,-1569.744,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1728463540,1732874925.668440718,1,OK,0.9331580,0.2170298,0.0393745,-0.2838376,195.937,-156.952,-1742.054,0.4372251,3,OK,196.163,-156.827,-1741.977,OK,141.086,-69.947,-1718.308,OK,229.835,-73.720,-1707.253,Port 0x03: BrainLAB Black Probe  s/n:38220401,1728463540,1732874925.668440718,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1728463543,1732874925.718440718,1,OK,0.7148556,-0.0973894,0.3388943,-0.6038605,-36.245,148.670,-1566.183,0.2820863,3,OK,-36.221,149.005,-1566.128,OK,-70.158,216.303,-1510.614,OK,-11.957,245.009,-1569.673,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1728463543,1732874925.718440718,1,OK,0.9331453,0.2169922,0.0394081,-0.2839037,195.884,-156.975,-1742.029,0.4331812,3,OK,196.110,-156.853,-1741.953,OK,141.040,-69.961,-1718.281,OK,229.801,-73.744,-1707.235,Port 0x03: BrainLAB Black Probe  s/n:38220401,1728463543,1732874925.718440718,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1728463546,1732874925.768440716,1,OK,0.7147880,-0.0975433,0.3389690,-0.6038736,-36.288,148.689,-1566.203,0.2876298,3,OK,-36.270,149.030,-1566.139,OK,-70.181,216.317,-1510.637,OK,-11.995,245.032,-1569.720,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1728463546,1732874925.768440716,1,OK,0.9331996,0.2168230,0.0391616,-0.2838885,195.834,-156.976,-1742.024,0.4340122,3,OK,196.054,-156.837,-1741.943,OK,140.987,-69.961,-1718.343,OK,229.742,-73.734,-1707.259,Port 0x03: BrainLAB Black Probe  s/n:38220401,1728463546,1732874925.768440716,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
