Tools,Port 0x01: BrainLAB Y Junction  s/n:38220010,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: BrainLAB Black Probe  s/n:38220401,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1730168845,1732903347.418395963,1,OK,0.7300110,-0.0850248,0.3212745,-0.5971913,-45.429,147.995,-1567.115,0.2618924,3,OK,-45.442,148.342,-1567.026,OK,-83.487,214.583,-1513.144,OK,-23.275,244.870,-1569.031,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1730168845,1732903347.418395963,1,OK,0.9136144,0.2821359,0.0426343,-0.2896385,191.755,-151.945,-1760.034,0.3359644,3,OK,191.902,-151.772,-1759.917,OK,138.267,-67.414,-1726.502,OK,226.774,-74.910,-1713.716,Port 0x03: BrainLAB Black Probe  s/n:38220401,1730168845,1732903347.418395963,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1730168848,1732903347.468395963,1,OK,0.7298690,-0.0853861,0.3215656,-0.5971567,-45.349,147.983,-1567.040,0.2683568,3,OK,-45.362,148.332,-1566.951,OK,-83.377,214.570,-1513.029,OK,-23.187,244.867,-1569.011,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1730168848,1732903347.468395963,1,OK,0.9136264,0.2821169,0.0428342,-0.2895896,191.741,-151.961,-1759.973,0.3381422,3,OK,191.894,-151.788,-1759.855,OK,138.240,-67.438,-1726.414,OK,226.759,-74.929,-1713.665,Port 0x03: BrainLAB Black Probe  s/n:38220401,1730168848,1732903347.468395963,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1730168851,1732903347.518395963,1,OK,0.7298202,-0.0852605,0.3214497,-0.5972966,-45.268,147.998,-1566.997,0.2607139,3,OK,-45.287,148.343,-1566.902,OK,-83.268,214.603,-1513.024,OK,-23.090,244.876,-1568.949,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1730168851,1732903347.518395963,1,OK,0.9135660,0.2822416,0.0428507,-0.2896562,191.742,-151.937,-1759.976,0.3381038,3,OK,191.907,-151.780,-1759.864,OK,138.245,-67.397,-1726.387,OK,226.769,-74.925,-1713.649,Port 0x03: BrainLAB Black Probe  s/n:38220401,1730168851,1732903347.518395963,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1730168854,1732903347.568395963,1,OK,0.7296655,-0.0852368,0.3217842,-0.5973089,-45.239,148.007,-1567.013,0.2628758,3,OK,-45.250,148.354,-1566.926,OK,-83.203,214.607,-1512.979,OK,-23.031,244.872,-1568.945,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1730168854,1732903347.568395963,1,OK,0.9137416,0.2819012,0.0418019,-0.2895868,191.764,-151.998,-1759.943,0.3358184,3,OK,191.901,-151.796,-1759.813,OK,138.247,-67.439,-1726.581,OK,226.754,-74.937,-1713.653,Port 0x03: BrainLAB Black Probe  s/n:38220401,1730168854,1732903347.568395963,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1730168857,1732903347.618395963,1,OK,0.7296821,-0.0852560,0.3216162,-0.5973763,-45.214,148.024,-1567.032,0.2655050,3,OK,-45.232,148.377,-1566.936,OK,-83.174,214.634,-1513.041,OK,-23.009,244.887,-1568.976,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1730168857,1732903347.618395963,1,OK,0.9137700,0.2816927,0.0421036,-0.2896566,191.736,-151.999,-1759.984,0.3353736,3,OK,191.874,-151.791,-1759.850,OK,138.228,-67.438,-1726.605,OK,226.759,-74.931,-1713.738,Port 0x03: BrainLAB Black Probe  s/n:38220401,1730168857,1732903347.618395963,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1730168860,1732903347.668395963,1,OK,0.7295312,-0.0853931,0.3218892,-0.5973940,-45.140,148.006,-1566.929,0.2651334,3,OK,-45.156,148.355,-1566.835,OK,-83.063,214.616,-1512.897,OK,-22.913,244.869,-1568.886,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1730168860,1732903347.668395963,1,OK,0.9136413,0.2819017,0.0430936,-0.2897137,191.703,-151.980,-1759.979,0.3447993,3,OK,191.873,-151.814,-1759.862,OK,138.218,-67.427,-1726.399,OK,226.750,-74.950,-1713.722,Port 0x03: BrainLAB Black Probe  s/n:38220401,1730168860,1732903347.668395963,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1730168863,1732903347.718395963,1,OK,0.7294021,-0.0854135,0.3219505,-0.5975156,-45.015,148.041,-1566.922,0.2646226,3,OK,-45.031,148.393,-1566.829,OK,-82.898,214.670,-1512.896,OK,-22.764,244.891,-1568.882,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1730168863,1732903347.718395963,1,OK,0.9137369,0.2818412,0.0419289,-0.2896419,191.753,-152.020,-1759.980,0.3311706,3,OK,191.885,-151.826,-1759.855,OK,138.250,-67.459,-1726.605,OK,226.759,-74.950,-1713.699,Port 0x03: BrainLAB Black Probe  s/n:38220401,1730168863,1732903347.718395963,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1730168866,1732903347.768395963,1,OK,0.7291164,-0.0856757,0.3225545,-0.5975011,-44.952,148.056,-1566.905,0.2680509,3,OK,-44.958,148.404,-1566.823,OK,-82.774,214.680,-1512.775,OK,-22.659,244.904,-1568.888,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1730168866,1732903347.768395963,1,OK,0.9136930,0.2819783,0.0418667,-0.2896560,191.729,-152.022,-1760.009,0.3267330,3,OK,191.860,-151.830,-1759.885,OK,138.225,-67.464,-1726.624,OK,226.740,-74.965,-1713.701,Port 0x03: BrainLAB Black Probe  s/n:38220401,1730168866,1732903347.768395963,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1730168869,1732903347.818395963,1,OK,0.7289276,-0.0859828,0.3226625,-0.5976290,-44.836,148.075,-1566.828,0.2701661,3,OK,-44.847,148.427,-1566.739,OK,-82.600,214.725,-1512.713,OK,-22.524,244.919,-1568.864,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1730168869,1732903347.818395963,1,OK,0.9138267,0.2816635,0.0413164,-0.2896194,191.720,-152.054,-1759.919,0.3322613,3,OK,191.842,-151.830,-1759.781,OK,138.198,-67.477,-1726.673,OK,226.713,-74.968,-1713.660,Port 0x03: BrainLAB Black Probe  s/n:38220401,1730168869,1732903347.818395963,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1730168872,1732903347.868395958,1,OK,0.7288606,-0.0858267,0.3226414,-0.5977445,-44.735,148.088,-1566.768,0.2673056,3,OK,-44.754,148.441,-1566.670,OK,-82.467,214.741,-1512.673,OK,-22.401,244.926,-1568.775,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1730168872,1732903347.868395958,1,OK,0.9138272,0.2815471,0.0416108,-0.2896889,191.711,-152.059,-1759.941,0.3400148,3,OK,191.849,-151.840,-1759.803,OK,138.200,-67.466,-1726.657,OK,226.720,-74.981,-1713.716,Port 0x03: BrainLAB Black Probe  s/n:38220401,1730168872,1732903347.868395958,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
