Tools,Port 0x01: BrainLAB Y Junction  s/n:38220010,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: BrainLAB Black Probe  s/n:38220401,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1766272543,1733505075.718756050,1,OK,0.6836403,-0.1675108,0.3513500,-0.6173567,-47.247,163.030,-1573.171,0.3040479,3,OK,-47.240,163.135,-1573.160,OK,-73.458,236.649,-1521.459,OK,-23.301,258.126,-1588.819,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1766272543,1733505075.718756050,1,OK,0.9276056,0.0619002,0.1601709,-0.3317551,175.068,-204.583,-1628.887,0.4597122,3,OK,175.422,-204.473,-1628.942,OK,130.138,-111.026,-1608.546,OK,217.812,-118.334,-1626.446,Port 0x03: BrainLAB Black Probe  s/n:38220401,1766272543,1733505075.718756050,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1766272546,1733505075.768756050,1,OK,0.6836028,-0.1673726,0.3514392,-0.6173849,-47.266,163.034,-1573.184,0.3119909,3,OK,-47.255,163.134,-1573.181,OK,-73.459,236.656,-1521.458,OK,-23.307,258.123,-1588.797,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1766272546,1733505075.768756050,1,OK,0.9276097,0.0620097,0.1600130,-0.3317994,175.065,-204.591,-1628.964,0.4525357,3,OK,175.418,-204.503,-1629.021,OK,130.132,-111.020,-1608.628,OK,217.830,-118.337,-1626.500,Port 0x03: BrainLAB Black Probe  s/n:38220401,1766272546,1733505075.768756050,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1766272549,1733505075.818756050,1,OK,0.6836153,-0.1674227,0.3514153,-0.6173710,-47.272,163.017,-1573.161,0.3092033,3,OK,-47.262,163.118,-1573.155,OK,-73.471,236.639,-1521.438,OK,-23.319,258.109,-1588.785,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1766272549,1733505075.818756050,1,OK,0.9276097,0.0616753,0.1600861,-0.3318264,175.075,-204.597,-1628.875,0.4547282,3,OK,175.428,-204.486,-1628.930,OK,130.142,-111.028,-1608.578,OK,217.836,-118.350,-1626.478,Port 0x03: BrainLAB Black Probe  s/n:38220401,1766272549,1733505075.818756050,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1766272552,1733505075.868756050,1,OK,0.6836526,-0.1673615,0.3513986,-0.6173559,-47.295,163.037,-1573.204,0.3094526,3,OK,-47.285,163.135,-1573.200,OK,-73.502,236.655,-1521.478,OK,-23.343,258.130,-1588.816,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1766272552,1733505075.868756050,1,OK,0.9276569,0.0614069,0.1599410,-0.3318142,175.089,-204.585,-1628.828,0.4490173,3,OK,175.434,-204.473,-1628.881,OK,130.149,-111.017,-1608.594,OK,217.840,-118.323,-1626.477,Port 0x03: BrainLAB Black Probe  s/n:38220401,1766272552,1733505075.868756050,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1766272555,1733505075.918756050,1,OK,0.6838067,-0.1674010,0.3512551,-0.6172561,-47.358,163.015,-1573.232,0.3023757,3,OK,-47.346,163.116,-1573.228,OK,-73.612,236.625,-1521.511,OK,-23.435,258.115,-1588.857,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1766272555,1733505075.918756050,1,OK,0.9276036,0.0615568,0.1600306,-0.3318923,175.056,-204.578,-1628.769,0.4518884,3,OK,175.407,-204.472,-1628.824,OK,130.131,-110.998,-1608.499,OK,217.828,-118.330,-1626.396,Port 0x03: BrainLAB Black Probe  s/n:38220401,1766272555,1733505075.918756050,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1766272558,1733505075.968756050,1,OK,0.6838662,-0.1673497,0.3511692,-0.6172530,-47.407,163.005,-1573.234,0.3012841,3,OK,-47.394,163.120,-1573.229,OK,-73.681,236.609,-1521.517,OK,-23.485,258.101,-1588.859,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1766272558,1733505075.968756050,1,OK,0.9277648,0.0614613,0.1592906,-0.3318156,175.076,-204.583,-1628.762,0.4509063,3,OK,175.416,-204.473,-1628.814,OK,130.132,-111.014,-1608.622,OK,217.814,-118.315,-1626.383,Port 0x03: BrainLAB Black Probe  s/n:38220401,1766272558,1733505075.968756050,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1766272561,1733505076.018756050,1,OK,0.6839082,-0.1675686,0.3510719,-0.6172024,-47.450,163.018,-1573.255,0.2782551,3,OK,-47.442,163.123,-1573.246,OK,-73.753,236.623,-1521.545,OK,-23.542,258.133,-1588.940,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1766272561,1733505076.018756050,1,OK,0.9276706,0.0616852,0.1596818,-0.3318492,175.064,-204.551,-1628.810,0.4517242,3,OK,175.412,-204.450,-1628.864,OK,130.125,-110.974,-1608.574,OK,217.825,-118.297,-1626.401,Port 0x03: BrainLAB Black Probe  s/n:38220401,1766272561,1733505076.018756050,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1766272564,1733505076.068756050,1,OK,0.6840903,-0.1671991,0.3508488,-0.6172277,-47.533,162.982,-1573.303,0.2988433,3,OK,-47.523,163.083,-1573.297,OK,-73.869,236.586,-1521.614,OK,-23.629,258.094,-1588.918,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1766272564,1733505076.068756050,1,OK,0.9276264,0.0615941,0.1599882,-0.3318422,175.082,-204.569,-1628.800,0.4553568,3,OK,175.438,-204.467,-1628.856,OK,130.143,-110.988,-1608.529,OK,217.843,-118.320,-1626.417,Port 0x03: BrainLAB Black Probe  s/n:38220401,1766272564,1733505076.068756050,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1766272567,1733505076.118756050,1,OK,0.6843164,-0.1670154,0.3506725,-0.6171270,-47.640,162.985,-1573.375,0.3012952,3,OK,-47.628,163.086,-1573.371,OK,-74.031,236.573,-1521.689,OK,-23.761,258.104,-1588.956,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1766272567,1733505076.118756050,1,OK,0.9276984,0.0620259,0.1594452,-0.3318218,175.064,-204.528,-1628.708,0.4605440,3,OK,175.417,-204.422,-1628.763,OK,130.128,-110.956,-1608.459,OK,217.817,-118.284,-1626.228,Port 0x03: BrainLAB Black Probe  s/n:38220401,1766272567,1733505076.118756050,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1766272570,1733505076.168756050,1,OK,0.6845139,-0.1668441,0.3504021,-0.6171078,-47.749,162.964,-1573.383,0.3022462,3,OK,-47.735,163.064,-1573.383,OK,-74.196,236.552,-1521.715,OK,-23.884,258.084,-1588.947,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1766272570,1733505076.168756050,1,OK,0.9276784,0.0615491,0.1595709,-0.3319060,175.068,-204.531,-1628.719,0.4488093,3,OK,175.411,-204.426,-1628.773,OK,130.141,-110.952,-1608.523,OK,217.835,-118.275,-1626.335,Port 0x03: BrainLAB Black Probe  s/n:38220401,1766272570,1733505076.168756050,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
