Tools,Port 0x01: BrainLAB Y Junction  s/n:38220010,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: BrainLAB Black Probe  s/n:38220401,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1765672363,1733495072.718765482,1,OK,0.6802184,-0.1710410,0.3546783,-0.6182646,-45.381,163.054,-1573.135,0.3026527,3,OK,-45.372,163.179,-1573.125,OK,-70.725,236.900,-1521.319,OK,-21.218,258.000,-1589.293,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1765672363,1733495072.718765482,1,OK,0.9275526,0.0453989,0.1550955,-0.3369429,174.615,-201.860,-1621.284,0.4658850,3,OK,174.954,-201.772,-1621.342,OK,130.249,-107.423,-1604.206,OK,217.754,-115.767,-1621.997,Port 0x03: BrainLAB Black Probe  s/n:38220401,1765672363,1733495072.718765482,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1765672366,1733495072.768765482,1,OK,0.6804282,-0.1706371,0.3545998,-0.6181904,-45.518,163.053,-1573.248,0.3088128,3,OK,-45.500,163.169,-1573.253,OK,-70.908,236.888,-1521.403,OK,-21.361,257.998,-1589.323,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1765672366,1733495072.768765482,1,OK,0.9275673,0.0457690,0.1549466,-0.3369209,174.605,-201.827,-1621.258,0.4816647,3,OK,174.956,-201.740,-1621.319,OK,130.244,-107.385,-1604.149,OK,217.732,-115.747,-1621.895,Port 0x03: BrainLAB Black Probe  s/n:38220401,1765672366,1733495072.768765482,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1765672369,1733495072.818765482,1,OK,0.6806829,-0.1703792,0.3542448,-0.6181847,-45.613,163.032,-1573.285,0.3258527,3,OK,-45.593,163.146,-1573.291,OK,-71.060,236.868,-1521.480,OK,-21.478,257.977,-1589.319,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1765672369,1733495072.818765482,1,OK,0.9275939,0.0460914,0.1546114,-0.3369577,174.615,-201.826,-1621.246,0.4873486,3,OK,174.971,-201.737,-1621.307,OK,130.258,-107.379,-1604.140,OK,217.753,-115.759,-1621.815,Port 0x03: BrainLAB Black Probe  s/n:38220401,1765672369,1733495072.818765482,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1765672372,1733495072.868765482,1,OK,0.6809059,-0.1705448,0.3540228,-0.6180207,-45.752,163.008,-1573.348,0.2929312,3,OK,-45.734,163.118,-1573.352,OK,-71.283,236.832,-1521.541,OK,-21.655,257.980,-1589.438,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1765672372,1733495072.868765482,1,OK,0.9276627,0.0462234,0.1543770,-0.3368576,174.627,-201.796,-1621.161,0.4846537,3,OK,174.975,-201.725,-1621.222,OK,130.259,-107.358,-1604.072,OK,217.744,-115.704,-1621.694,Port 0x03: BrainLAB Black Probe  s/n:38220401,1765672372,1733495072.868765482,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1765672375,1733495072.918765482,1,OK,0.6811978,-0.1704056,0.3534609,-0.6180589,-45.891,162.981,-1573.379,0.3054181,3,OK,-45.881,163.098,-1573.370,OK,-71.498,236.804,-1521.655,OK,-21.819,257.961,-1589.473,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1765672375,1733495072.918765482,1,OK,0.9276208,0.0458235,0.1545553,-0.3369458,174.612,-201.796,-1621.072,0.4827651,3,OK,174.960,-201.726,-1621.134,OK,130.255,-107.344,-1604.016,OK,217.737,-115.707,-1621.688,Port 0x03: BrainLAB Black Probe  s/n:38220401,1765672375,1733495072.918765482,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1765672378,1733495072.968765482,1,OK,0.6814372,-0.1702993,0.3533196,-0.6179051,-46.049,162.964,-1573.463,0.2896285,3,OK,-46.033,163.080,-1573.463,OK,-71.729,236.772,-1521.715,OK,-22.006,257.955,-1589.545,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1765672378,1733495072.968765482,1,OK,0.9276085,0.0460946,0.1543639,-0.3370305,174.602,-201.770,-1621.095,0.4823617,3,OK,174.946,-201.705,-1621.156,OK,130.271,-107.315,-1604.031,OK,217.745,-115.685,-1621.657,Port 0x03: BrainLAB Black Probe  s/n:38220401,1765672378,1733495072.968765482,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1765672381,1733495073.018765482,1,OK,0.6816332,-0.1699909,0.3530813,-0.6179100,-46.130,162.938,-1573.500,0.3054923,3,OK,-46.112,163.057,-1573.503,OK,-71.852,236.739,-1521.774,OK,-22.095,257.923,-1589.530,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1765672381,1733495073.018765482,1,OK,0.9276245,0.0453093,0.1546282,-0.3369718,174.645,-201.786,-1621.010,0.4738760,3,OK,174.983,-201.720,-1621.070,OK,130.288,-107.332,-1604.019,OK,217.765,-115.681,-1621.725,Port 0x03: BrainLAB Black Probe  s/n:38220401,1765672381,1733495073.018765482,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1765672384,1733495073.068765482,1,OK,0.6817907,-0.1698643,0.3529173,-0.6178648,-46.160,162.953,-1573.526,0.3141210,3,OK,-46.139,163.067,-1573.533,OK,-71.917,236.755,-1521.813,OK,-22.146,257.940,-1589.528,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1765672384,1733495073.068765482,1,OK,0.9276142,0.0447360,0.1546133,-0.3370835,174.630,-201.767,-1620.938,0.4622244,3,OK,174.965,-201.681,-1620.996,OK,130.265,-107.303,-1604.033,OK,217.775,-115.671,-1621.770,Port 0x03: BrainLAB Black Probe  s/n:38220401,1765672384,1733495073.068765482,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1765672387,1733495073.118765482,1,OK,0.6818244,-0.1698401,0.3528207,-0.6178895,-46.182,162.935,-1573.537,0.3161702,3,OK,-46.165,163.050,-1573.539,OK,-71.947,236.737,-1521.842,OK,-22.168,257.926,-1589.542,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1765672387,1733495073.118765482,1,OK,0.9276739,0.0453114,0.1540912,-0.3370814,174.622,-201.777,-1620.997,0.4712850,3,OK,174.957,-201.693,-1621.054,OK,130.268,-107.319,-1604.089,OK,217.766,-115.688,-1621.705,Port 0x03: BrainLAB Black Probe  s/n:38220401,1765672387,1733495073.118765482,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1765672390,1733495073.168765482,1,OK,0.6818894,-0.1698965,0.3527309,-0.6178535,-46.207,162.941,-1573.534,0.3116759,3,OK,-46.194,163.060,-1573.530,OK,-71.994,236.736,-1521.852,OK,-22.206,257.940,-1589.556,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1765672390,1733495073.168765482,1,OK,0.9276381,0.0448081,0.1542930,-0.3371548,174.615,-201.762,-1620.931,0.4687592,3,OK,174.949,-201.675,-1620.988,OK,130.271,-107.293,-1604.068,OK,217.761,-115.672,-1621.741,Port 0x03: BrainLAB Black Probe  s/n:38220401,1765672390,1733495073.168765482,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
