Tools,Port 0x01: BrainLAB Y Junction  s/n:38220010,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: BrainLAB Black Probe  s/n:38220401,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1785568777,1733826679.618747469,1,OK,0.6772172,-0.2160164,0.3026600,-0.6349099,-171.123,188.329,-1813.570,0.2291305,3,OK,-171.097,188.428,-1813.603,OK,-199.196,267.994,-1772.805,OK,-148.683,280.706,-1842.346,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1785568777,1733826679.618747469,1,OK,0.9847623,-0.1571969,-0.0741711,0.0055639,112.627,-179.768,-1831.875,0.6144017,3,OK,113.065,-179.425,-1831.874,OK,20.489,-145.314,-1871.630,OK,93.917,-93.236,-1869.442,Port 0x03: BrainLAB Black Probe  s/n:38220401,1785568777,1733826679.618747469,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1785568780,1733826679.668747470,1,OK,0.6771946,-0.2165237,0.3024372,-0.6348674,-171.106,188.329,-1813.522,0.1980838,3,OK,-171.095,188.421,-1813.535,OK,-199.209,267.994,-1772.809,OK,-148.692,280.720,-1842.428,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1785568780,1733826679.668747470,1,OK,0.9847262,-0.1573575,-0.0743093,0.0055735,112.620,-179.770,-1831.875,0.6195251,3,OK,113.066,-179.428,-1831.872,OK,20.489,-145.327,-1871.670,OK,93.914,-93.254,-1869.475,Port 0x03: BrainLAB Black Probe  s/n:38220401,1785568780,1733826679.668747470,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1785568783,1733826679.718747470,1,OK,0.6773524,-0.2159353,0.3021949,-0.6350149,-171.103,188.349,-1813.531,0.2487415,3,OK,-171.085,188.450,-1813.554,OK,-199.205,268.019,-1772.859,OK,-148.668,280.722,-1842.315,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1785568783,1733826679.718747470,1,OK,0.9847638,-0.1572552,-0.0740286,0.0055509,112.652,-179.771,-1831.912,0.6108089,3,OK,113.087,-179.428,-1831.912,OK,20.505,-145.319,-1871.644,OK,93.944,-93.237,-1869.484,Port 0x03: BrainLAB Black Probe  s/n:38220401,1785568783,1733826679.718747470,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1785568786,1733826679.768747465,1,OK,0.6772118,-0.2162152,0.3026077,-0.6348730,-171.087,188.350,-1813.555,0.2180716,3,OK,-171.064,188.450,-1813.585,OK,-199.174,268.015,-1772.801,OK,-148.661,280.726,-1842.378,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1785568786,1733826679.768747465,1,OK,0.9847686,-0.1571410,-0.0742063,0.0055694,112.637,-179.765,-1831.936,0.6158720,3,OK,113.079,-179.424,-1831.933,OK,20.499,-145.306,-1871.695,OK,93.926,-93.229,-1869.495,Port 0x03: BrainLAB Black Probe  s/n:38220401,1785568786,1733826679.768747465,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1785568789,1733826679.818747465,1,OK,0.6772818,-0.2159973,0.3022725,-0.6350322,-171.089,188.348,-1813.513,0.2473572,3,OK,-171.071,188.455,-1813.537,OK,-199.176,268.020,-1772.833,OK,-148.649,280.715,-1842.307,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1785568789,1733826679.818747465,1,OK,0.9848004,-0.1570342,-0.0740127,0.0055182,112.638,-179.780,-1831.953,0.6201343,3,OK,113.078,-179.429,-1831.954,OK,20.486,-145.302,-1871.669,OK,93.932,-93.239,-1869.481,Port 0x03: BrainLAB Black Probe  s/n:38220401,1785568789,1733826679.818747465,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1785568792,1733826679.868747465,1,OK,0.6771921,-0.2157395,0.3027434,-0.6349912,-171.125,188.358,-1813.609,0.2477124,3,OK,-171.096,188.464,-1813.646,OK,-199.172,268.022,-1772.831,OK,-148.659,280.726,-1842.322,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1785568792,1733826679.868747465,1,OK,0.9847865,-0.1571815,-0.0738818,0.0055685,112.613,-179.780,-1831.961,0.6098656,3,OK,113.044,-179.436,-1831.962,OK,20.468,-145.317,-1871.658,OK,93.884,-93.245,-1869.515,Port 0x03: BrainLAB Black Probe  s/n:38220401,1785568792,1733826679.868747465,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1785568795,1733826679.918747465,1,OK,0.6772045,-0.2156458,0.3026631,-0.6350480,-171.092,188.399,-1813.575,0.2502590,3,OK,-171.066,188.499,-1813.608,OK,-199.137,268.064,-1772.812,OK,-148.614,280.773,-1842.279,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1785568795,1733826679.918747465,1,OK,0.9847862,-0.1570811,-0.0741026,0.0055149,112.626,-179.754,-1831.978,0.6158420,3,OK,113.067,-179.411,-1831.976,OK,20.485,-145.280,-1871.714,OK,93.921,-93.211,-1869.522,Port 0x03: BrainLAB Black Probe  s/n:38220401,1785568795,1733826679.918747465,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1785568798,1733826679.968747465,1,OK,0.6771945,-0.2156818,0.3025793,-0.6350864,-171.061,188.339,-1813.557,0.2561372,3,OK,-171.038,188.448,-1813.586,OK,-199.103,268.002,-1772.819,OK,-148.582,280.705,-1842.273,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1785568798,1733826679.968747465,1,OK,0.9847365,-0.1575623,-0.0737457,0.0054555,112.640,-179.792,-1831.908,0.6046534,3,OK,113.077,-179.461,-1831.903,OK,20.490,-145.331,-1871.612,OK,93.933,-93.265,-1869.528,Port 0x03: BrainLAB Black Probe  s/n:38220401,1785568798,1733826679.968747465,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1785568801,1733826680.018747465,1,OK,0.6771321,-0.2160920,0.3027372,-0.6349382,-171.056,188.385,-1813.566,0.2173006,3,OK,-171.032,188.480,-1813.597,OK,-199.115,268.052,-1772.790,OK,-148.601,280.764,-1842.365,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1785568801,1733826680.018747465,1,OK,0.9848023,-0.1570221,-0.0740115,0.0055449,112.644,-179.770,-1831.978,0.6141389,3,OK,113.079,-179.424,-1831.979,OK,20.496,-145.298,-1871.690,OK,93.930,-93.224,-1869.507,Port 0x03: BrainLAB Black Probe  s/n:38220401,1785568801,1733826680.018747465,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1785568804,1733826680.068747465,1,OK,0.6771232,-0.2159302,0.3026983,-0.6350213,-171.112,188.388,-1813.600,0.2248435,3,OK,-171.090,188.488,-1813.628,OK,-199.161,268.053,-1772.831,OK,-148.636,280.763,-1842.375,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1785568804,1733826680.068747465,1,OK,0.9847455,-0.1572757,-0.0742294,0.0055414,112.596,-179.754,-1831.928,0.6169376,3,OK,113.042,-179.414,-1831.923,OK,20.457,-145.301,-1871.703,OK,93.896,-93.225,-1869.511,Port 0x03: BrainLAB Black Probe  s/n:38220401,1785568804,1733826680.068747465,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
