Tools,Port 0x01: BrainLAB Y Junction  s/n:38220010,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: BrainLAB Black Probe  s/n:38220401,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1786541137,1733842885.618725890,1,OK,0.6853849,-0.2071142,0.2971718,-0.6316963,-175.110,189.790,-1811.893,0.2012913,3,OK,-175.099,189.886,-1811.905,OK,-205.031,268.657,-1770.927,OK,-153.106,282.753,-1839.225,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1786541137,1733842885.618725890,1,OK,0.9949004,-0.0573014,-0.0815378,-0.0155381,105.223,-193.979,-1874.911,0.5644381,3,OK,105.659,-193.707,-1874.828,OK,14.706,-149.844,-1908.339,OK,89.298,-101.087,-1894.492,Port 0x03: BrainLAB Black Probe  s/n:38220401,1786541137,1733842885.618725890,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1786541140,1733842885.668725890,1,OK,0.6852527,-0.2071659,0.2971136,-0.6318501,-175.034,189.799,-1811.833,0.2214425,3,OK,-175.022,189.902,-1811.847,OK,-204.917,268.690,-1770.906,OK,-153.015,282.736,-1839.173,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1786541140,1733842885.668725890,1,OK,0.9949192,-0.0573581,-0.0812719,-0.0155147,105.239,-193.981,-1874.898,0.5605773,3,OK,105.666,-193.703,-1874.818,OK,14.713,-149.853,-1908.279,OK,89.302,-101.094,-1894.481,Port 0x03: BrainLAB Black Probe  s/n:38220401,1786541140,1733842885.668725890,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1786541143,1733842885.718725890,1,OK,0.6847720,-0.2079409,0.2979986,-0.6316999,-174.858,189.828,-1811.722,0.1723295,3,OK,-174.844,189.933,-1811.738,OK,-204.653,268.723,-1770.670,OK,-152.841,282.765,-1839.175,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1786541143,1733842885.718725890,1,OK,0.9949175,-0.0572957,-0.0813367,-0.0155140,105.227,-193.983,-1874.899,0.5667439,3,OK,105.662,-193.705,-1874.817,OK,14.694,-149.850,-1908.290,OK,89.294,-101.096,-1894.471,Port 0x03: BrainLAB Black Probe  s/n:38220401,1786541143,1733842885.718725890,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1786541146,1733842885.768725890,1,OK,0.6845764,-0.2077894,0.2982689,-0.6318341,-174.746,189.888,-1811.766,0.1873221,3,OK,-174.729,189.990,-1811.787,OK,-204.471,268.795,-1770.689,OK,-152.689,282.814,-1839.171,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1786541146,1733842885.768725890,1,OK,0.9948966,-0.0578967,-0.0811508,-0.0155942,105.197,-193.961,-1874.837,0.5554737,3,OK,105.624,-193.693,-1874.756,OK,14.681,-149.842,-1908.241,OK,89.272,-101.084,-1894.517,Port 0x03: BrainLAB Black Probe  s/n:38220401,1786541146,1733842885.768725890,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1786541149,1733842885.818725890,1,OK,0.6845172,-0.2075750,0.2981539,-0.6320231,-174.662,189.904,-1811.755,0.2193166,3,OK,-174.641,189.993,-1811.782,OK,-204.350,268.842,-1770.724,OK,-152.583,282.814,-1839.112,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1786541149,1733842885.818725890,1,OK,0.9948886,-0.0575765,-0.0814809,-0.0155686,105.179,-193.971,-1874.841,0.5674374,3,OK,105.619,-193.700,-1874.757,OK,14.661,-149.840,-1908.284,OK,89.261,-101.090,-1894.472,Port 0x03: BrainLAB Black Probe  s/n:38220401,1786541149,1733842885.818725890,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1786541152,1733842885.868725890,1,OK,0.6843237,-0.2079673,0.2982799,-0.6320441,-174.601,189.909,-1811.686,0.2068245,3,OK,-174.586,190.007,-1811.703,OK,-204.255,268.852,-1770.661,OK,-152.522,282.814,-1839.119,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1786541152,1733842885.868725890,1,OK,0.9948939,-0.0574441,-0.0815154,-0.0155393,105.194,-193.975,-1874.823,0.5655499,3,OK,105.628,-193.698,-1874.742,OK,14.679,-149.846,-1908.259,OK,89.271,-101.093,-1894.430,Port 0x03: BrainLAB Black Probe  s/n:38220401,1786541152,1733842885.868725890,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1786541155,1733842885.918725890,1,OK,0.6842880,-0.2074514,0.2985925,-0.6321047,-174.545,189.935,-1811.777,0.2330196,3,OK,-174.518,190.033,-1811.811,OK,-204.154,268.875,-1770.689,OK,-152.428,282.831,-1839.079,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1786541155,1733842885.918725890,1,OK,0.9948724,-0.0577399,-0.0815631,-0.0155729,105.164,-193.966,-1874.763,0.5637917,3,OK,105.599,-193.694,-1874.680,OK,14.657,-149.847,-1908.233,OK,89.252,-101.090,-1894.427,Port 0x03: BrainLAB Black Probe  s/n:38220401,1786541155,1733842885.918725890,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1786541158,1733842885.968725894,1,OK,0.6840466,-0.2080113,0.2988517,-0.6320595,-174.447,189.942,-1811.676,0.2138818,3,OK,-174.427,190.053,-1811.700,OK,-204.016,268.884,-1770.576,OK,-152.345,282.831,-1839.076,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1786541158,1733842885.968725894,1,OK,0.9949249,-0.0575677,-0.0810391,-0.0155895,105.172,-193.977,-1874.798,0.5572953,3,OK,105.595,-193.700,-1874.720,OK,14.647,-149.844,-1908.153,OK,89.242,-101.094,-1894.412,Port 0x03: BrainLAB Black Probe  s/n:38220401,1786541158,1733842885.968725894,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1786541161,1733842886.018725894,1,OK,0.6838279,-0.2080922,0.2990093,-0.6321950,-174.327,189.976,-1811.614,0.2175168,3,OK,-174.311,190.083,-1811.632,OK,-203.834,268.930,-1770.520,OK,-152.194,282.861,-1839.027,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1786541161,1733842886.018725894,1,OK,0.9949218,-0.0579988,-0.0807581,-0.0156490,105.166,-193.961,-1874.752,0.5578681,3,OK,105.595,-193.692,-1874.671,OK,14.633,-149.830,-1908.093,OK,89.239,-101.089,-1894.436,Port 0x03: BrainLAB Black Probe  s/n:38220401,1786541161,1733842886.018725894,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1786541164,1733842886.068725894,1,OK,0.6834588,-0.2085449,0.2995981,-0.6321662,-174.129,190.008,-1811.592,0.1999118,3,OK,-174.110,190.119,-1811.615,OK,-203.556,268.974,-1770.428,OK,-151.988,282.880,-1839.061,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1786541164,1733842886.068725894,1,OK,0.9948840,-0.0577984,-0.0813723,-0.0156108,105.151,-193.967,-1874.714,0.5662000,3,OK,105.590,-193.697,-1874.631,OK,14.635,-149.839,-1908.156,OK,89.239,-101.093,-1894.382,Port 0x03: BrainLAB Black Probe  s/n:38220401,1786541164,1733842886.068725894,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1786541167,1733842886.118725894,1,OK,0.6829672,-0.2091303,0.2995896,-0.6325080,-173.871,190.055,-1811.417,0.2088103,3,OK,-173.869,190.160,-1811.417,OK,-203.183,269.071,-1770.353,OK,-151.691,282.904,-1839.012,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1786541167,1733842886.118725894,1,OK,0.9948837,-0.0575903,-0.0815336,-0.0155599,105.122,-193.972,-1874.689,0.5663707,3,OK,105.555,-193.694,-1874.608,OK,14.610,-149.848,-1908.141,OK,89.206,-101.096,-1894.323,Port 0x03: BrainLAB Black Probe  s/n:38220401,1786541167,1733842886.118725894,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1786541170,1733842886.168725894,1,OK,0.6821390,-0.2097100,0.3009096,-0.6325832,-173.493,190.180,-1811.404,0.1842707,3,OK,-173.482,190.285,-1811.416,OK,-202.600,269.225,-1770.178,OK,-151.253,283.004,-1839.042,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1786541170,1733842886.168725894,1,OK,0.9949035,-0.0578971,-0.0810573,-0.0156422,105.084,-193.968,-1874.685,0.5618970,3,OK,105.516,-193.695,-1874.604,OK,14.562,-149.837,-1908.074,OK,89.167,-101.097,-1894.360,Port 0x03: BrainLAB Black Probe  s/n:38220401,1786541170,1733842886.168725894,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1786541173,1733842886.218725894,1,OK,0.6815026,-0.2102731,0.3015695,-0.6327680,-173.163,190.261,-1811.240,0.1832600,3,OK,-173.156,190.372,-1811.246,OK,-202.111,269.338,-1769.985,OK,-150.881,283.059,-1838.955,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1786541173,1733842886.218725894,1,OK,0.9949019,-0.0580025,-0.0809886,-0.0157112,105.035,-193.952,-1874.606,0.5620712,3,OK,105.465,-193.677,-1874.526,OK,14.518,-149.813,-1907.991,OK,89.130,-101.084,-1894.297,Port 0x03: BrainLAB Black Probe  s/n:38220401,1786541173,1733842886.218725894,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
